Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),NGR total counts (cps)
317,U1351,A,1,H,1,0,0,19.135
317,U1351,A,1,H,1,10,0.1,20.246
317,U1351,A,1,H,1,20,0.2,23.219
317,U1351,A,1,H,1,30,0.3,24.343
317,U1351,A,1,H,1,40,0.4,24.777
317,U1351,A,1,H,1,50,0.5,25.463
317,U1351,A,1,H,1,60,0.6,23.91
317,U1351,A,1,H,2,0,1.5,26.781
317,U1351,A,1,H,2,10,1.6,27.988
317,U1351,A,1,H,2,20,1.7,30.086
317,U1351,A,1,H,2,30,1.8,31.146
317,U1351,A,1,H,2,40,1.9,31.05
317,U1351,A,1,H,2,50,2,32.083
317,U1351,A,1,H,2,60,2.1,32.345
317,U1351,A,1,H,2,70,2.2,31.828
317,U1351,A,1,H,2,80,2.3,32.255
317,U1351,A,1,H,2,90,2.4,29.11
317,U1351,A,2,H,1,0,2.7,21.421
317,U1351,A,2,H,1,10,2.8,22.64
317,U1351,A,2,H,1,20,2.9,28.109
317,U1351,A,2,H,1,30,3,32.276
317,U1351,A,2,H,1,40,3.1,31.95
317,U1351,A,2,H,1,50,3.2,32.464
317,U1351,A,2,H,2,0,4.2,50.828
317,U1351,A,2,H,2,10,4.3,54.374
317,U1351,A,2,H,2,20,4.4,59.293
317,U1351,A,2,H,2,30,4.5,59.903
317,U1351,A,2,H,2,40,4.6,57.04
317,U1351,A,2,H,2,50,4.7,55.52
317,U1351,A,2,H,2,60,4.8,54.355
317,U1351,A,2,H,2,70,4.9,53.452
317,U1351,A,2,H,2,80,5,50.758
317,U1351,A,2,H,2,90,5.1,49.685
317,U1351,A,2,H,2,100,5.2,55.003
317,U1351,A,2,H,2,110,5.3,61.42
317,U1351,A,2,H,2,120,5.4,61.579
317,U1351,A,2,H,2,130,5.5,59.532
317,U1351,A,2,H,2,140,5.6,56.989
317,U1351,A,2,H,2,150,5.7,53.34
317,U1351,A,2,H,3,0,5.7,52.521
317,U1351,A,2,H,3,10,5.8,54.955
317,U1351,A,2,H,3,20,5.9,58.299
317,U1351,A,2,H,3,30,6,59.303
317,U1351,A,2,H,3,40,6.1,59.52
317,U1351,A,2,H,3,50,6.2,60.12
317,U1351,A,2,H,3,60,6.3,60.062
317,U1351,A,2,H,3,70,6.4,61.898
317,U1351,A,2,H,3,80,6.5,60.645
317,U1351,A,2,H,3,90,6.6,60.988
317,U1351,A,2,H,3,100,6.7,60.516
317,U1351,A,2,H,3,110,6.8,59.931
317,U1351,A,2,H,3,120,6.9,54.405
317,U1351,A,2,H,4,0,7.2,52.535
317,U1351,A,2,H,4,10,7.3,55.275
317,U1351,A,2,H,4,20,7.4,58.896
317,U1351,A,2,H,4,30,7.5,61.019
317,U1351,A,2,H,4,40,7.6,58.767
317,U1351,A,2,H,4,50,7.7,59.44
317,U1351,A,2,H,4,60,7.8,58.038
317,U1351,A,2,H,4,70,7.9,57.588
317,U1351,A,2,H,4,80,8,57.935
317,U1351,A,2,H,4,90,8.1,59.875
317,U1351,A,2,H,4,100,8.2,60.183
317,U1351,A,2,H,4,110,8.3,60.093
317,U1351,A,2,H,4,120,8.4,56.622
317,U1351,A,2,H,4,130,8.5,54.484
317,U1351,A,2,H,4,140,8.6,45.04
317,U1351,A,2,H,5,0,8.7,53.928
317,U1351,A,2,H,5,10,8.8,54.737
317,U1351,A,2,H,5,20,8.9,58.283
317,U1351,A,2,H,5,30,9,59.466
317,U1351,A,2,H,5,40,9.1,58.563
317,U1351,A,2,H,5,50,9.2,59.053
317,U1351,A,2,H,5,60,9.3,58.788
317,U1351,A,2,H,5,70,9.4,59.172
317,U1351,A,2,H,5,80,9.5,56.615
317,U1351,A,2,H,5,90,9.6,56.465
317,U1351,A,2,H,5,100,9.7,57.92
317,U1351,A,2,H,5,110,9.8,55.749
317,U1351,A,2,H,5,120,9.9,46.621
317,U1351,A,2,H,6,0,10.2,49.128
317,U1351,A,2,H,6,10,10.3,52.615
317,U1351,A,2,H,6,20,10.4,57.626
317,U1351,A,2,H,6,30,10.5,57.333
317,U1351,A,2,H,6,40,10.6,54.83
317,U1351,A,2,H,6,50,10.7,54.263
317,U1351,A,2,H,6,60,10.8,54.675
317,U1351,A,2,H,6,70,10.9,54.632
317,U1351,A,2,H,6,80,11,55.118
317,U1351,A,2,H,6,90,11.1,54.467
317,U1351,A,3,H,1,0,12.2,45.235
317,U1351,A,3,H,1,10,12.3,44.12
317,U1351,A,3,H,1,20,12.4,47.106
317,U1351,A,3,H,1,30,12.5,50.813
317,U1351,A,3,H,1,40,12.6,52.94
317,U1351,A,3,H,1,50,12.7,53.29
317,U1351,A,3,H,1,60,12.8,46.303
317,U1351,A,3,H,2,0,13.7,41.381
317,U1351,A,3,H,2,10,13.8,42.805
317,U1351,A,3,H,2,20,13.9,44.546
317,U1351,A,3,H,2,30,14,43.979
317,U1351,A,3,H,2,40,14.1,46.39
317,U1351,A,3,H,2,50,14.2,84.946
317,U1351,A,3,H,3,0,15.2,33.388
317,U1351,A,3,H,3,10,15.3,31.494
317,U1351,A,3,H,3,20,15.4,30.256
317,U1351,A,3,H,3,30,15.5,25.666
317,U1351,A,3,H,3,40,15.6,19.82
317,U1351,A,3,H,3,50,15.7,17.32
317,U1351,A,3,H,3,60,15.8,18.175
317,U1351,A,3,H,3,70,15.9,24.975
317,U1351,A,3,H,3,80,16,35.728
317,U1351,A,3,H,3,90,16.1,42.751
317,U1351,A,3,H,3,100,16.2,48.546
317,U1351,A,3,H,3,110,16.3,52.189
317,U1351,A,3,H,3,120,16.4,43.764
317,U1351,A,3,H,4,0,16.7,41.295
317,U1351,A,3,H,4,10,16.8,45.984
317,U1351,A,3,H,4,20,16.9,55.849
317,U1351,A,3,H,4,30,17,63.713
317,U1351,A,3,H,4,40,17.1,64.74
317,U1351,A,3,H,4,50,17.2,65.83
317,U1351,A,3,H,4,60,17.3,66.135
317,U1351,A,3,H,4,70,17.4,67.155
317,U1351,A,3,H,4,80,17.5,66.501
317,U1351,A,3,H,4,90,17.6,64.024
