HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
87.5656	94.1013	-0.1080	15.4260	32.0000	851.0000
87.7180	34.3750	1.3662	24.9256	35.5000	2477.5000
87.8704	35.2326	1.3364	29.3757	411.0000	2487.0000
88.0228	76.8060	-0.1371	34.9293	440.4445	2465.7778
88.1752	74.9049	0.0218	36.6811	454.5000	2406.5000
88.3276	76.6388	-0.1526	38.2281	453.5000	2461.5000
88.4800	78.8024	-0.3671	38.3562	428.8889	2428.8889
88.6324	79.2132	-0.4405	37.1005	443.5000	2450.0000
88.7848	74.3810	0.0583	36.2139	476.0000	2496.0000
88.9372	72.3766	0.2119	35.9846	470.4000	2448.3999
89.0896	71.4636	0.2785	35.2268	464.0000	2439.5557
89.2420	69.8257	0.3980	34.1208	474.2222	2474.8000
89.3944	69.3569	0.2934	33.7453	442.0000	2454.8000
89.5468	67.3319	0.1791	34.5349	451.6000	2454.8000
89.6992	66.8570	0.1812	34.1756	467.5555	2464.4443
89.8516	68.8110	0.2581	33.9535	456.8000	2453.6001
90.0040	69.7702	0.3992	33.7958	487.2000	2418.8000
90.1564	66.6128	0.6081	34.0145	443.2000	2518.3999
90.3088	66.7685	0.6049	32.9632	438.4000	2468.0000
90.4612	68.3167	0.5121	31.7057	475.5555	2458.6667
90.6136	69.0615	0.4549	32.9915	461.6000	2570.8000
90.7660	66.2292	0.6249	32.6465	476.0000	2541.2000
90.9184	65.0919	0.6891	32.2226	452.8000	2537.2000
91.0708	62.3494	0.6575	32.0637	500.8889	2497.7778
91.2232	60.2176	0.5256	33.0684	488.0000	2512.3999
91.3756	56.1073	1.0204	30.1953	460.0000	2517.6001
91.5280	51.9142	0.8781	30.3914	492.8000	2487.6001
91.6804	49.2445	1.1273	28.5899	477.2000	2553.4546
91.8328	52.2407	1.0889	28.2576	521.2000	2532.8000
91.9852	52.8494	1.0793	27.8765	528.0000	2564.0000
92.1376	47.0761	0.9082	27.0580	525.2000	2584.8000
92.2900	45.9331	0.8859	25.3962	513.0909	2595.3845
92.4424	44.0583	0.7709	24.9373	547.2727	2578.3999
92.5948	45.7669	0.6448	25.4633	544.2667	2643.5557
92.7472	43.6857	0.7217	25.1600	519.7647	2635.1304
92.8996	44.5341	0.8027	25.7994	491.2381	2628.8572
93.0520	49.1643	0.7855	26.8299	536.9231	2621.7334
93.2044	52.5432	0.9705	27.6386	493.2000	2589.6553
93.3568	58.2052	0.9593	28.8602	485.1035	2570.9678
