HOLE:	U1351B
EXPEDITION:	317
TOP:	70.8680
BOTTOM:	485.7008
DEPTH_WMSF	C1	C2
m	in	in
70.8680	-999.2500	-999.2500
71.0204	-999.2500	-999.2500
71.1728	-999.2500	-999.2500
71.3252	-999.2500	-999.2500
71.4776	-999.2500	-999.2500
71.6300	-999.2500	-999.2500
71.7824	-999.2500	-999.2500
71.9348	-999.2500	-999.2500
72.0872	-999.2500	-999.2500
72.2396	-999.2500	-999.2500
72.3920	-999.2500	-999.2500
72.5444	-999.2500	-999.2500
72.6968	-999.2500	-999.2500
72.8492	-999.2500	-999.2500
73.0016	2.7289	2.5718
73.1540	2.7296	2.5717
73.3064	2.7295	2.5715
73.4588	2.7295	2.5715
73.6112	2.7298	2.5738
73.7636	2.7295	2.5715
73.9160	2.7286	2.5715
74.0684	2.7291	2.5712
74.2208	2.7280	2.5706
74.3732	2.7295	2.5715
74.5256	2.7295	2.5715
74.6780	2.7298	2.5719
74.8304	2.7296	2.5716
74.9828	2.7296	2.5717
75.1352	2.7298	2.5719
75.2876	2.7296	2.5716
75.4400	2.7298	2.5720
75.5924	2.7297	2.5717
75.7448	2.7295	2.5715
75.8972	2.7295	2.5715
76.0496	2.7295	2.5715
76.2020	2.7295	2.5715
76.3544	2.7290	2.5715
76.5068	2.7295	2.5715
76.6592	2.7284	2.5708
76.8116	2.7295	2.5715
76.9640	2.7295	2.5715
77.1164	2.7295	2.5715
77.2688	2.7295	2.5715
77.4212	2.7295	2.5715
77.5736	2.7295	2.5715
77.7260	2.7295	2.5715
77.8784	2.7295	2.5715
78.0308	2.7295	2.5715
78.1832	2.7295	2.5715
78.3356	2.7295	2.5715
78.4880	2.7295	2.5715
78.6404	2.7295	2.5715
78.7928	2.7295	2.5715
78.9452	2.7295	2.5715
79.0976	2.7295	2.5715
79.2500	2.7295	2.5715
79.4024	2.7295	2.5715
79.5548	2.7295	2.5715
79.7072	2.7295	2.5715
79.8596	2.7295	2.5715
80.0120	2.7295	2.5715
80.1644	2.7295	2.5715
80.3168	2.7191	2.5715
80.4692	2.7295	2.5715
80.6216	2.7220	2.5715
80.7740	2.7191	2.5715
80.9264	2.7200	2.5715
81.0788	2.7197	2.5715
81.2312	2.7295	2.5715
81.3836	2.7295	2.5715
81.5360	2.7295	2.5715
81.6884	2.7295	2.5715
81.8408	2.7295	2.5715
81.9932	2.7297	2.5717
82.1456	2.7295	2.5715
82.2980	2.7295	2.5715
82.4504	2.7295	2.5715
82.6028	2.7295	2.5715
82.7552	2.7295	2.5715
82.9076	2.7295	2.5715
83.0600	2.7295	2.5715
83.2124	2.7295	2.5715
83.3648	2.7295	2.5715
83.5172	2.7295	2.5715
83.6696	2.7295	2.5715
83.8220	2.7295	2.5715
83.9744	2.7295	2.5715
84.1268	2.7295	2.5715
84.2792	2.7295	2.5715
84.4316	2.7295	2.5715
84.5840	2.7295	2.5715
84.7364	2.7295	2.5715
84.8888	2.7295	2.5715
85.0412	2.7295	2.5715
85.1936	2.7295	2.5715
85.3460	2.7295	2.5715
85.4984	2.7295	2.5715
85.6508	2.7295	2.5715
85.8032	2.7295	2.5715
85.9556	2.7296	2.5716
86.1080	2.7297	2.5717
86.2604	2.7295	2.5715
86.4128	2.7298	2.5719
86.5652	2.7295	2.5715
86.7176	2.7295	2.5715
86.8700	2.7295	2.5715
87.0224	2.7286	2.5710
87.1748	2.7295	2.5715
87.3272	2.7295	2.5715
87.4796	2.7295	2.5715
87.6320	2.7295	2.5715
87.7844	2.7295	2.5715
87.9368	2.7295	2.5715
88.0892	2.7295	2.5715
88.2416	2.7295	2.5715
88.3940	2.7290	2.5715
88.5464	2.7282	2.5715
88.6988	2.7295	2.5715
88.8512	2.7295	2.5715
89.0036	2.7295	2.5715
89.1560	2.7295	2.5715
89.3084	2.7295	2.5715
89.4608	2.7295	2.5715
89.6132	2.7295	2.5715
89.7656	2.7295	2.5715
89.9180	2.7295	2.5715
90.0704	2.7289	2.5711
90.2228	2.7298	2.5719
90.3752	2.7286	2.5715
90.5276	2.7295	2.5715
90.6800	2.7295	2.5715
90.8324	2.7286	2.5815
90.9848	2.7295	2.5815
91.1372	2.7295	2.5815
91.2896	2.7295	2.5815
91.4420	2.7295	2.5815
91.5944	2.7295	2.5815
91.7468	2.7295	2.5815
91.8992	2.7295	2.5815
92.0516	2.7295	2.5815
92.2040	2.7298	2.5820
92.3564	2.7296	2.5816
92.5088	2.7295	2.5815
92.6612	2.7295	2.5815
92.8136	2.7295	2.5815
92.9660	2.7280	2.5807
93.1184	2.7295	2.5815
93.2708	2.7295	2.5815
93.4232	2.7295	2.5815
93.5756	2.7295	2.5815
93.7280	2.7295	2.5815
93.8804	2.7295	2.5815
94.0328	2.7295	2.5815
94.1852	2.7295	2.5815
94.3376	2.7295	2.5815
94.4900	2.7295	2.5815
94.6424	2.7295	2.5815
94.7948	2.7295	2.5815
94.9472	2.7295	2.5815
95.0996	2.7295	2.5815
95.2520	2.7295	2.5815
95.4044	2.7295	2.5815
95.5568	2.7268	2.5815
95.7092	2.7292	2.5815
95.8616	2.7235	2.5815
96.0140	2.7247	2.5804
96.1664	2.7267	2.5749
96.3188	2.7295	2.5716
96.4712	2.7295	2.5715
96.6236	2.7244	2.5715
96.7760	2.7209	2.5815
96.9284	2.7220	2.5815
97.0808	2.7295	2.5815
97.2332	2.7295	2.5815
97.3856	2.7295	2.5815
97.5380	2.7295	2.5815
97.6904	2.7295	2.5815
97.8428	2.7295	2.5815
97.9952	2.7265	2.5815
98.1476	2.7295	2.5815
98.3000	2.7295	2.5815
98.4524	2.7295	2.5815
98.6048	2.7295	2.5815
98.7572	2.7295	2.5815
98.9096	2.7295	2.5815
99.0620	2.7295	2.5815
99.2144	2.7295	2.5815
99.3668	2.7295	2.5815
99.5192	2.7295	2.5815
99.6716	2.7295	2.5815
99.8240	2.7295	2.5815
99.9764	2.7295	2.5815
100.1288	2.7295	2.5815
100.2812	2.7295	2.5815
100.4336	2.7295	2.5815
100.5860	2.7295	2.5815
100.7384	2.7295	2.5815
100.8908	2.7295	2.5815
101.0432	2.7295	2.5815
101.1956	2.7295	2.5815
101.3480	2.7295	2.5815
101.5004	2.7297	2.5819
101.6528	2.7299	2.5822
101.8052	2.7296	2.5816
101.9576	2.7291	2.5813
102.1100	2.7295	2.5815
102.2624	2.7295	2.5815
102.4148	2.7295	2.5815
102.5672	2.7295	2.5815
102.7196	2.7295	2.5815
102.8720	2.7295	2.5815
103.0244	2.7295	2.5815
103.1768	2.7295	2.5815
103.3292	2.7295	2.5815
103.4816	2.7295	2.5815
103.6340	2.7297	2.5819
103.7864	2.7296	2.5817
103.9388	2.7295	2.5815
104.0912	2.7295	2.5815
104.2436	2.7295	2.5815
104.3960	2.7295	2.5815
104.5484	2.7295	2.5815
104.7008	2.7295	2.5815
104.8532	2.7295	2.5815
105.0056	2.7297	2.5819
105.1580	2.7297	2.5818
105.3104	2.7291	2.5813
105.4628	2.7298	2.5820
105.6152	2.7295	2.5816
105.7676	2.7295	2.5815
105.9200	2.7295	2.5815
106.0724	2.7295	2.5815
106.2248	2.7295	2.5815
106.3772	2.7292	2.5814
106.5296	2.7295	2.5815
106.6820	2.7295	2.5815
106.8344	2.7291	2.5815
106.9868	2.7295	2.5815
107.1392	2.7295	2.5815
107.2916	2.7295	2.5751
107.4440	2.7191	2.5715
107.5964	2.7191	2.5715
107.7488	2.7191	2.5715
107.9012	2.7263	2.5715
108.0536	2.7203	2.5715
108.2060	2.7213	2.5792
108.3584	2.7191	2.5759
108.5108	2.7191	2.5721
108.6632	2.7191	2.5765
108.8156	2.7191	2.5815
108.9680	2.7191	2.5815
109.1204	2.7191	2.5815
109.2728	2.7191	2.5815
109.4252	2.7191	2.5815
109.5776	2.7191	2.5815
109.7300	2.7191	2.5815
109.8824	2.7191	2.5815
110.0348	2.7191	2.5815
110.1872	2.7191	2.5815
110.3396	2.7191	2.5815
110.4920	2.7191	2.5815
110.6444	2.7191	2.5815
110.7968	2.7191	2.5807
110.9492	2.7191	2.5815
111.1016	2.7191	2.5815
111.2540	2.7191	2.5815
111.4064	2.7191	2.5797
111.5588	2.7191	2.5815
111.7112	2.7191	2.5815
111.8636	2.7191	2.5807
112.0160	2.7191	2.5815
112.1684	2.7191	2.5807
112.3208	2.7191	2.5815
112.4732	2.7191	2.5815
112.6256	2.7191	2.5815
112.7780	2.7191	2.5815
112.9304	2.7191	2.5815
113.0828	2.7191	2.5815
113.2352	2.7191	2.5815
113.3876	2.7191	2.5751
113.5400	2.7191	2.5715
113.6924	2.7191	2.5715
113.8448	2.7191	2.5740
113.9972	2.7191	2.5740
114.1496	2.7191	2.5733
114.3020	2.7191	2.5715
114.4544	2.7191	2.5740
114.6068	2.7191	2.5715
114.7592	2.7191	2.5721
114.9116	2.7191	2.5765
115.0640	2.7191	2.5815
115.2164	2.7191	2.5790
115.3688	2.7191	2.5769
115.5212	2.7191	2.5815
115.6736	2.7191	2.5751
115.8260	2.7191	2.5715
115.9784	2.7191	2.5715
116.1308	2.7191	2.5715
116.2832	2.7191	2.5715
116.4356	2.7191	2.5715
116.5880	2.7191	2.5715
116.7404	2.7191	2.5715
116.8928	2.7186	2.5712
117.0452	2.7191	2.5715
117.1976	2.7191	2.5715
117.3500	2.7191	2.5715
117.5024	2.7191	2.5715
117.6548	2.7191	2.5715
117.8072	2.7191	2.5715
117.9596	2.7191	2.5715
118.1120	2.7191	2.5715
118.2644	2.7191	2.5715
118.4168	2.7191	2.5715
118.5692	2.7191	2.5715
118.7216	2.7191	2.5715
118.8740	2.7191	2.5715
119.0264	2.7191	2.5715
119.1788	2.7191	2.5715
119.3312	2.7194	2.5719
119.4836	2.7191	2.5715
119.6360	2.7191	2.5745
119.7884	2.7188	2.5814
119.9408	2.7191	2.5815
120.0932	2.7191	2.5740
120.2456	2.7191	2.5715
120.3980	2.7104	2.5795
120.5504	2.7088	2.5715
120.7028	2.7088	2.5715
120.8552	2.7088	2.5712
121.0076	15.9955	15.6400
121.1600	15.9379	15.4643
121.3124	15.9203	15.3724
121.4648	15.9281	15.3136
121.6172	15.9341	15.3258
121.7696	15.9351	15.3812
121.9220	15.9972	15.5777
122.0744	16.0316	15.8036
122.2268	16.0671	15.9997
122.3792	16.0828	16.1189
122.5316	16.0838	16.1170
122.6840	16.0890	16.1170
122.8364	16.0870	16.1170
122.9888	16.0870	16.1099
123.1412	16.0807	16.1052
123.2936	16.0807	16.1045
123.4460	16.0849	16.1211
123.5984	16.0883	16.1170
123.7508	16.0890	16.1170
123.9032	16.0890	16.1170
124.0556	16.0870	16.1170
124.2080	16.0821	16.1170
124.3604	16.0876	16.1170
124.5128	16.0838	16.1009
124.6652	16.0631	15.9730
124.8176	16.0807	16.1008
124.9700	16.0807	16.1008
125.1224	16.0807	16.1008
125.2748	16.0807	16.1008
125.4272	16.0807	16.1008
125.5796	16.0807	16.1008
125.7320	16.0807	16.1008
125.8844	16.0797	16.1006
126.0368	16.0805	16.1006
126.1892	16.0807	16.1008
126.3416	16.0807	16.1008
126.4940	16.0807	16.1008
126.6464	16.0807	16.1008
126.7988	16.0786	16.1008
126.9512	16.0807	16.1008
127.1036	16.0807	16.1008
127.2560	16.0807	16.1048
127.4084	16.0804	16.1006
127.5608	16.0807	16.1008
127.7132	16.0807	16.1008
127.8656	16.0786	16.1008
128.0180	16.0807	16.1008
128.1704	16.0807	16.1008
128.3228	16.0807	16.1008
128.4752	16.0807	16.1008
128.6276	16.0807	16.1008
128.7800	16.0807	16.1008
128.9324	16.0807	16.1008
129.0848	16.0807	16.1008
129.2372	16.0807	16.1008
129.3896	16.0807	16.1008
129.5420	16.0807	16.1008
129.6944	16.0807	16.1008
129.8468	16.0807	16.1008
129.9992	16.0807	16.1008
130.1516	16.0807	16.1008
130.3040	16.0807	16.1008
130.4564	16.0807	16.1008
130.6088	16.0807	16.1008
130.7612	16.0805	16.1006
130.9136	16.0804	16.0986
131.0660	16.0807	16.1008
131.2184	16.0807	16.1008
131.3708	16.0807	16.1008
131.5232	16.0807	16.1008
131.6756	16.0807	16.1008
131.8280	16.0807	16.1008
131.9804	16.0807	16.1008
132.1328	16.0807	16.1008
132.2852	16.0807	16.1008
132.4376	16.0807	16.1008
132.5900	16.0807	16.1008
132.7424	16.0807	16.1008
132.8948	16.0807	16.0941
133.0472	16.0807	16.1008
133.1996	16.0807	16.1008
133.3520	16.0807	16.1008
133.5044	16.0807	16.1008
133.6568	16.0807	16.1008
133.8092	16.0807	16.1008
133.9616	16.0807	16.0927
134.1140	16.0807	16.0927
134.2664	16.0807	16.0927
134.4188	16.0807	16.0927
134.5712	16.0807	16.0927
134.7236	16.0807	16.0927
134.8760	16.0807	16.0927
135.0284	16.0807	16.0927
135.1808	16.0807	16.0927
135.3332	16.0807	16.0947
135.4856	16.0807	16.0927
135.6380	16.0807	16.0927
135.7904	16.0807	16.0927
135.9428	16.0807	16.0927
136.0952	16.0807	16.0954
136.2476	16.0807	16.1008
136.4000	16.0786	16.0847
136.5524	16.0807	16.1008
136.7048	16.0807	16.1008
136.8572	16.0807	16.1008
137.0096	16.0807	16.1008
137.1620	16.0807	16.1008
137.3144	16.0786	16.1008
137.4668	16.0807	16.0997
137.6192	16.0807	16.1008
137.7716	16.0786	16.1008
137.9240	16.0807	16.0967
138.0764	16.0807	16.0941
138.2288	16.0769	16.0994
138.3812	16.0807	16.1008
138.5336	16.0807	16.1008
138.6860	16.0807	16.1008
138.8384	16.0766	16.0738
138.9908	16.0807	16.1008
139.1432	16.0807	16.0934
139.2956	16.0807	16.0957
139.4480	16.0807	16.0846
139.6004	16.0786	16.0664
139.7528	16.0807	16.0795
139.9052	16.0807	16.0764
140.0576	16.0807	16.0764
140.2100	16.0807	16.0771
140.3624	16.0807	16.0764
140.5148	16.0807	16.0764
140.6672	16.0807	16.0764
140.8196	16.0807	16.0784
140.9720	16.0807	16.0784
141.1244	16.0807	16.0764
141.2768	16.0807	16.0764
141.4292	16.0807	16.0764
141.5816	16.0806	16.0519
141.7340	16.0801	16.0509
141.8864	16.0805	16.0478
142.0388	16.0786	16.0500
142.1912	16.0804	16.0518
142.3436	16.0783	16.0518
142.4960	16.0763	16.0518
142.6484	16.0751	16.0518
142.8008	16.0762	16.0520
142.9532	16.0807	16.0581
143.1056	16.0475	15.8866
143.2580	16.0199	15.7595
143.4104	16.0055	15.7222
143.5628	16.0108	15.7299
143.7152	16.0139	15.7299
143.8676	16.0201	15.7653
144.0200	16.0461	15.8924
144.1724	16.0776	16.1008
144.3248	16.0807	16.1008
144.4772	16.0807	16.1008
144.6296	16.0744	16.0520
144.7820	16.0471	15.8959
144.9344	16.0807	16.1008
145.0868	16.0796	16.1018
145.2392	16.0776	16.0780
145.3916	16.0807	16.1002
145.5440	16.0807	16.1008
145.6964	16.0807	16.1001
145.8488	16.0807	16.1001
146.0012	16.0807	16.0988
146.1536	16.0807	16.1008
146.3060	16.0807	16.1008
146.4584	16.0807	16.1008
146.6108	16.0776	16.0706
146.7632	16.0807	16.1008
146.9156	16.0807	16.1008
147.0680	16.0807	16.0977
147.2204	16.0807	16.1001
147.3728	16.0800	16.0954
147.5252	16.0807	16.0941
147.6776	16.0807	16.0927
147.8300	16.0807	16.0987
147.9824	16.0796	16.0837
148.1348	16.0172	15.7536
148.2872	16.0094	15.7184
148.4396	16.0024	15.6912
148.5920	15.8010	15.4293
148.7444	15.6839	15.2846
148.8968	15.6598	15.2779
149.0492	15.6655	15.2779
149.2016	15.6410	15.2779
149.3540	15.6554	15.2721
149.5064	15.6773	15.3135
149.6588	15.7729	15.3981
149.8112	15.7984	15.4332
149.9636	15.8006	15.4303
150.1160	15.8780	15.5159
150.2684	15.9977	15.6612
150.4208	16.0717	16.1007
150.5732	16.0724	16.1095
150.7256	16.0728	16.1008
150.8780	16.0762	16.1111
151.0304	16.0807	16.1170
151.1828	16.0807	16.1170
151.3352	16.0807	16.1170
151.4876	16.0807	16.1170
151.6400	16.0807	16.1170
151.7924	16.0807	16.1170
151.9448	16.0807	16.1170
152.0972	16.0807	16.1127
152.2496	15.9397	15.6923
152.4020	15.9692	15.6456
152.5544	16.0670	16.0384
152.7068	16.0644	16.0216
152.8592	16.0640	15.9949
153.0116	16.0640	15.9949
153.1640	16.0640	15.9949
153.3164	16.0640	16.0098
153.4688	16.0590	15.9946
153.6212	16.0676	16.0263
153.7736	16.0724	16.0602
153.9260	16.0604	16.0039
154.0784	16.0640	16.0439
154.2308	16.0640	16.0439
154.3832	16.0640	16.0439
154.5356	16.0640	16.0439
154.6880	16.0640	16.0439
154.8404	16.0546	15.9825
154.9928	16.0474	15.9127
155.1452	16.0474	15.9127
155.2976	16.0546	15.9372
155.4500	16.0706	16.0519
155.6024	16.0640	16.0384
155.7548	16.0649	16.0373
155.9072	16.0640	16.0457
156.0596	16.0660	16.0462
156.2120	16.0640	16.0350
156.3644	16.0640	16.0295
156.5168	16.0640	16.0276
156.6692	16.0640	16.0276
156.8216	16.0640	16.0281
156.9740	16.0640	16.0439
157.1264	16.0603	16.0255
157.2788	16.0063	15.7166
157.4312	16.0139	15.7466
157.5836	16.0211	15.7604
157.7360	16.0253	15.8079
157.8884	16.0421	15.9216
158.0408	16.0293	15.8408
158.1932	16.0039	15.7215
158.3456	15.6987	15.3880
158.4980	15.6497	15.3227
158.6504	15.7036	15.3871
158.8028	15.8392	15.4800
158.9552	15.9880	15.6586
159.1076	16.0556	15.9722
159.2600	16.0694	16.0488
159.4124	16.0706	16.0507
159.5648	16.0704	16.0492
159.7172	16.0714	16.0518
159.8696	16.0692	16.0527
160.0220	16.0686	16.0460
160.1744	16.0640	16.0467
160.3268	16.0640	16.0363
160.4792	16.0640	16.0366
160.6316	16.0640	16.0409
160.7840	16.0640	16.0215
160.9364	16.0640	15.9883
161.0888	16.0640	15.9703
161.2412	16.0609	15.9534
161.3936	16.0488	15.9029
161.5460	16.0168	15.7554
161.6984	16.0138	15.7471
161.8508	16.0221	15.7967
162.0032	16.0206	15.7830
162.1556	15.9542	15.5014
162.3080	15.9978	15.6948
162.4604	16.0390	15.8879
162.6128	16.0390	15.8879
162.7652	16.0390	15.8879
162.9176	16.0390	15.8966
163.0700	16.0369	15.8705
163.2224	16.0307	15.8466
163.3748	16.0349	15.8699
163.5272	16.0368	15.8661
163.6796	16.0379	15.9027
163.8320	16.0303	15.8383
163.9844	16.0010	15.7300
164.1368	15.9972	15.7159
164.2892	15.9972	15.6969
164.4416	15.9972	15.6964
164.5940	15.9972	15.6964
164.7464	15.9972	15.6981
164.8988	15.9964	15.6904
165.0512	15.9053	15.5770
165.2036	15.8418	15.5096
165.3560	15.8655	15.5187
165.5084	15.8498	15.5104
165.6608	15.8489	15.5101
165.8132	15.8457	15.4991
165.9656	15.7414	15.4115
166.1180	15.6838	15.3506
166.2704	15.7145	15.3823
166.4228	15.7731	15.4500
166.5752	15.6866	15.3779
166.7276	15.6050	15.3131
166.8800	15.6112	15.3170
167.0324	15.6081	15.3061
167.1848	15.5911	15.2779
167.3372	15.5971	15.2779
167.4896	15.5740	15.2779
167.6420	15.5365	15.2779
167.7944	15.5267	15.2711
167.9468	15.5950	15.3392
168.0992	15.5233	15.2683
168.2516	15.5180	15.2432
168.4040	15.5281	15.2713
168.5564	15.7575	15.4407
168.7088	15.9932	15.6908
168.8612	16.0052	15.7798
169.0136	16.0055	15.7965
169.1660	16.0367	15.8922
169.3184	16.0390	15.9108
169.4708	16.0390	15.9098
169.6232	16.0438	15.9147
169.7756	16.0338	15.8529
169.9280	16.0077	15.7781
170.0804	15.9950	15.6894
170.2328	15.9505	15.6343
170.3852	15.4807	15.3430
170.5376	14.9176	15.0628
170.6900	14.8643	14.6829
170.8424	14.8577	14.6423
170.9948	14.8866	14.6470
171.1472	15.0704	15.1237
171.2996	15.4239	15.2310
171.4520	15.5025	15.2703
171.6044	15.5285	15.2937
171.7568	15.7151	15.4620
171.9092	15.6640	15.3460
172.0616	15.6089	15.2921
172.2140	15.6042	15.2817
172.3664	15.5724	15.2784
172.5188	15.4026	15.2840
172.6712	15.4122	15.2739
172.8236	15.3164	15.2770
172.9760	14.9036	15.1098
173.1284	14.6947	15.0062
173.2808	13.8191	13.9447
173.4332	12.1407	13.6941
173.5856	13.6123	13.0468
173.7380	14.0336	13.0406
173.8904	14.0294	13.0959
174.0428	13.6765	13.0484
174.1952	13.7906	13.0292
174.3476	13.6826	13.1693
174.5000	12.5454	12.4263
174.6524	12.8463	12.9336
174.8048	12.7326	12.8008
174.9572	12.6411	12.6186
175.1096	12.6948	12.5903
175.2620	12.6950	12.5726
175.4144	12.6950	12.5644
175.5668	12.6592	12.5355
175.7192	12.7632	12.9056
175.8716	13.1073	12.8641
176.0240	12.8323	12.1888
176.1764	13.2179	12.2104
176.3288	13.3494	12.7330
176.4812	13.2415	12.7886
176.6336	13.2059	12.7886
176.7860	13.2668	12.7922
176.9384	13.2837	12.8053
177.0908	13.2999	12.8392
177.2432	13.3278	12.8932
177.3956	14.7348	13.6811
177.5480	15.3822	14.7000
177.7004	15.4826	14.8623
177.8528	15.5251	14.9429
178.0052	15.5425	15.0018
178.1576	15.5496	15.0897
178.3100	15.4591	15.1580
178.4624	15.4037	15.1379
178.6148	15.3448	15.0919
178.7672	15.3521	15.0651
178.9196	15.3089	15.0452
179.0720	15.3327	14.9998
179.2244	15.2323	14.9663
179.3768	15.1900	14.8540
179.5292	15.1005	14.8071
179.6816	15.0647	14.7396
179.8340	15.0830	14.7469
179.9864	15.0830	14.7469
180.1388	15.0763	14.7379
180.2912	15.0573	14.7111
180.4436	15.0284	14.5714
180.5960	14.9195	14.5041
180.7484	14.9900	14.7968
180.9008	15.1154	15.0364
181.0532	15.1182	15.1278
181.2056	15.0863	15.1066
181.3580	15.0878	15.0558
181.5104	15.0527	14.9582
181.6628	15.0836	15.0836
181.8152	15.0634	15.1001
181.9676	15.0081	15.0118
182.1200	14.9977	14.9205
182.2724	14.9818	14.9553
182.4248	15.0602	15.0365
182.5772	15.1008	15.1269
182.7296	15.2212	15.1987
182.8820	15.3563	15.2432
183.0344	15.3680	15.2519
183.1868	15.3864	15.2519
183.3392	15.3830	15.2523
183.4916	15.4494	15.2779
183.6440	15.4919	15.2758
183.7964	15.4067	15.2828
183.9488	15.3565	15.2586
184.1012	15.1761	15.2521
184.2536	14.9382	15.2362
184.4060	14.9870	15.2519
184.5584	14.9834	15.2519
184.7108	14.9834	15.2519
184.8632	14.9834	15.2519
185.0156	14.9862	15.2452
185.1680	14.9327	15.2430
185.3204	15.1745	15.2229
185.4728	15.2392	15.1122
185.6252	15.3519	15.1449
185.7776	15.3599	15.1447
185.9300	15.3563	15.1324
186.0824	15.3249	15.1161
186.2348	15.3495	15.1648
186.3872	15.3727	15.2105
186.5396	15.4774	15.2519
186.6920	15.4387	15.2461
186.8444	15.5084	15.2518
186.9968	15.4717	15.1882
187.1492	15.4482	15.0893
187.3016	15.5414	15.2454
187.4540	15.5671	15.2517
187.6064	15.5635	15.2702
187.7588	15.5442	15.2779
187.9112	15.5275	15.2778
188.0636	15.5196	15.2777
188.2160	15.4532	15.2779
188.3684	15.3650	15.2684
188.5208	15.2110	15.2541
188.6732	15.0839	14.9415
188.8256	14.9300	14.5894
188.9780	14.9257	14.5837
189.1304	14.9178	14.5650
