HOLE:	U1351B
EXPEDITION:	317
TOP:	82.0792
BOTTOM:	966.9136
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
82.0792	1950.0000	1950.0000	0.1589
82.2316	1950.0000	1950.0000	0.5894
82.3840	0.9995	1950.0000	0.9396
82.5364	0.3803	54.2140	0.7171
82.6888	0.4274	1.8567	0.7319
82.8412	0.4656	0.8460	0.6779
82.9936	0.5560	0.6019	0.7189
83.1460	0.9156	0.5606	0.7913
83.2984	1.0464	0.6290	0.8596
83.4508	1.0824	0.8053	0.8151
83.6032	1.6160	1.0914	0.8920
83.7556	1.7073	1.3602	0.7073
83.9080	1.2261	1.3966	0.7229
84.0604	1.2424	1.2812	0.7533
84.2128	1.2635	1.2106	0.7406
84.3652	1.3000	1.2414	0.8311
84.5176	1.3536	1.3725	0.9565
84.6700	1.4264	1.5687	0.8292
84.8224	1.5047	1.7309	0.9911
84.9748	1.5652	1.7595	1.1923
85.1272	1.5778	1.6564	1.1382
85.2796	1.5326	1.4928	0.8685
85.4320	1.4736	1.3376	0.8643
85.5844	1.4112	1.2268	0.6670
85.7368	1.3499	1.1628	0.6959
85.8892	1.2933	1.1352	0.6869
86.0416	1.2435	1.1305	0.6927
86.1940	1.2112	1.1324	0.5784
86.3464	1.1984	1.1292	0.8059
86.4988	1.1991	1.1210	0.6391
86.6512	1.2102	1.1131	0.7515
86.8036	1.2177	1.1092	0.5914
86.9560	1.2210	1.1110	0.8074
87.1084	1.2219	1.1169	0.7013
87.2608	1.2198	1.1231	0.7024
87.4132	1.2167	1.1266	0.6908
87.5656	1.2128	1.1263	0.6969
87.7180	1.2078	1.1217	0.7856
87.8704	1.2039	1.1139	0.7162
88.0228	1.2033	1.1054	0.7795
88.1752	1.2024	1.0982	0.8012
88.3276	1.2021	1.0929	0.7378
88.4800	1.2017	1.0889	0.6003
88.6324	1.2001	1.0847	0.7430
88.7848	1.1989	1.0802	0.6333
88.9372	1.1979	1.0770	0.6224
89.0896	1.1984	1.0771	0.7765
89.2420	1.1994	1.0811	0.6298
89.3944	1.2002	1.0871	0.6286
89.5468	1.1978	1.0921	0.6523
89.6992	1.1946	1.0935	0.8069
89.8516	1.1974	1.0910	0.5751
90.0040	1.2080	1.0851	0.5953
90.1564	1.2264	1.0771	0.7803
90.3088	1.2478	1.0725	0.7662
90.4612	1.2708	1.0822	0.6044
90.6136	1.2975	1.1175	0.7969
90.7660	1.3292	1.1840	0.7244
90.9184	1.3658	1.2763	0.7710
91.0708	1.4186	1.3752	0.8853
91.2232	1.4866	1.4566	0.9650
91.3756	1.5748	1.5099	0.8249
91.5280	1.6694	1.5431	0.8157
91.6804	1.7458	1.5708	0.9191
91.8328	1.8198	1.6059	0.9236
91.9852	1.8969	1.6595	0.9274
92.1376	1.9946	1.7396	0.9609
92.2900	2.1168	1.8505	1.0905
92.4424	2.2767	1.9917	1.1224
92.5948	2.4493	2.1525	1.1811
92.7472	2.5645	2.3080	1.3198
92.8996	2.6114	2.4247	1.2886
93.0520	2.5880	2.4677	1.5301
93.2044	2.5345	2.4237	1.2812
93.3568	2.4550	2.3054	1.2002
93.5092	2.3085	2.1426	1.1379
93.6616	2.2190	1.9617	1.0806
93.8140	2.1183	1.7782	0.8757
93.9664	2.0557	1.6059	0.8404
94.1188	1.9956	1.4589	0.8964
94.2712	1.9188	1.3453	0.8180
94.4236	1.8212	1.2669	0.8247
94.5760	1.7116	1.2204	0.8335
94.7284	1.6007	1.1983	0.7073
94.8808	1.5129	1.1915	0.7830
95.0332	1.4420	1.1926	0.7504
95.1856	1.3907	1.1950	0.7162
95.3380	1.3679	1.1931	0.7016
95.4904	1.3653	1.1850	0.7025
95.6428	1.3656	1.1736	0.8148
95.7952	1.3663	1.1646	0.7590
95.9476	1.3669	1.1630	0.7154
96.1000	1.3666	1.1708	0.7853
96.2524	1.3663	1.1846	0.7523
96.4048	1.3671	1.1979	0.7122
96.5572	1.3706	1.2060	0.6460
96.7096	1.3773	1.2081	0.7113
96.8620	1.3849	1.2070	0.6785
97.0144	1.3914	1.2063	0.6811
97.1668	1.3975	1.2080	0.7880
97.3192	1.4033	1.2118	0.7084
97.4716	1.4035	1.2165	0.6657
97.6240	1.3985	1.2204	0.7649
97.7764	1.3950	1.2216	0.7210
97.9288	1.3931	1.2183	0.7048
98.0812	1.3907	1.2104	0.6948
98.2336	1.3879	1.2004	0.7011
98.3860	1.3864	1.1931	0.8091
98.5384	1.3857	1.1923	0.6840
98.6908	1.3847	1.1977	0.7402
98.8432	1.3835	1.2055	0.6782
