HOLE:	U1351B
EXPEDITION:	323
TOP:		80.1408
BOTTOM:		469.2180
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
80.1408	138.22528	-999.25000	-999.25000	2.2051	-999.2500	-999.2500
80.2932	138.52113	-999.25000	-999.25000	2.2004	-999.2500	-999.2500
80.4456	139.65562	-999.25000	-999.25000	2.1825	-999.2500	-999.2500
80.5980	138.33826	-999.25000	-999.25000	2.2033	-999.2500	-999.2500
80.7504	141.86504	-999.25000	-999.25000	2.1485	-999.2500	-999.2500
80.9028	146.84004	-999.25000	-999.25000	2.0757	-999.2500	-999.2500
81.0552	157.48767	-999.25000	-999.25000	1.9354	-999.2500	-999.2500
81.2076	177.67993	-999.25000	-999.25000	1.7154	-999.2500	-999.2500
81.3600	183.47128	-999.25000	-999.25000	1.6613	-999.2500	-999.2500
81.5124	184.17239	-999.25000	-999.25000	1.6550	-999.2500	-999.2500
81.6648	189.63248	-999.25000	-999.25000	1.6073	-999.2500	-999.2500
81.8172	187.40399	-999.25000	-999.25000	1.6264	-999.2500	-999.2500
81.9696	186.13475	-999.25000	-999.25000	1.6375	-999.2500	-999.2500
82.1220	184.91551	-999.25000	-999.25000	1.6483	-999.2500	-999.2500
82.2744	184.75769	-999.25000	-999.25000	1.6497	-999.2500	-999.2500
82.4268	185.04526	-999.25000	-999.25000	1.6472	-999.2500	-999.2500
82.5792	185.69106	-999.25000	-999.25000	1.6414	-999.2500	-999.2500
82.7316	184.23537	-999.25000	-999.25000	1.6544	-999.2500	-999.2500
82.8840	183.90619	-999.25000	-999.25000	1.6574	-999.2500	-999.2500
83.0364	185.07629	-999.25000	-999.25000	1.6469	-999.2500	-999.2500
83.1888	184.81348	-999.25000	-999.25000	1.6492	-999.2500	-999.2500
83.3412	184.88058	-999.25000	-999.25000	1.6486	-999.2500	-999.2500
83.4936	184.71571	-999.25000	-999.25000	1.6501	-999.2500	-999.2500
83.6460	185.05574	-999.25000	-999.25000	1.6471	-999.2500	-999.2500
83.7984	185.11598	-999.25000	-999.25000	1.6465	-999.2500	-999.2500
83.9508	183.71707	-999.25000	-999.25000	1.6591	-999.2500	-999.2500
84.1032	183.33203	-999.25000	-999.25000	1.6626	-999.2500	-999.2500
84.2556	179.45071	-999.25000	-999.25000	1.6985	-999.2500	-999.2500
84.4080	176.26247	-999.25000	-999.25000	1.7292	-999.2500	-999.2500
84.5604	173.16756	-999.25000	-999.25000	1.7601	-999.2500	-999.2500
84.7128	160.85641	-999.25000	-999.25000	1.8949	-999.2500	-999.2500
84.8652	156.03267	-999.25000	-999.25000	1.9534	-999.2500	-999.2500
85.0176	159.69386	-999.25000	-999.25000	1.9087	-999.2500	-999.2500
85.1700	165.20291	-999.25000	-999.25000	1.8450	-999.2500	-999.2500
85.3224	169.86501	-999.25000	-999.25000	1.7944	-999.2500	-999.2500
85.4748	168.71014	-999.25000	-999.25000	1.8066	-999.2500	-999.2500
85.6272	169.78728	-999.25000	-999.25000	1.7952	-999.2500	-999.2500
85.7796	175.68233	-999.25000	-999.25000	1.7349	-999.2500	-999.2500
85.9320	179.30678	-999.25000	-999.25000	1.6999	-999.2500	-999.2500
86.0844	179.60063	-999.25000	-999.25000	1.6971	-999.2500	-999.2500
86.2368	179.73186	-999.25000	-999.25000	1.6959	-999.2500	-999.2500
86.3892	180.97826	-999.25000	-999.25000	1.6842	-999.2500	-999.2500
86.5416	181.03394	-999.25000	-999.25000	1.6837	-999.2500	-999.2500
86.6940	180.35832	-999.25000	-999.25000	1.6900	-999.2500	-999.2500
86.8464	179.89536	-999.25000	-999.25000	1.6943	-999.2500	-999.2500
86.9988	181.89005	-999.25000	-999.25000	1.6757	-999.2500	-999.2500
87.1512	182.98320	-999.25000	-999.25000	1.6657	-999.2500	-999.2500
87.3036	183.18840	-999.25000	-999.25000	1.6639	-999.2500	-999.2500
87.4560	184.00172	-999.25000	-999.25000	1.6565	-999.2500	-999.2500
87.6084	184.61674	-999.25000	-999.25000	1.6510	-999.2500	-999.2500
87.7608	185.67029	-999.25000	-999.25000	1.6416	-999.2500	-999.2500
87.9132	185.70863	-999.25000	-999.25000	1.6413	-999.2500	-999.2500
88.0656	184.23868	-999.25000	-999.25000	1.6544	-999.2500	-999.2500
88.2180	182.56982	-999.25000	-999.25000	1.6695	-999.2500	-999.2500
88.3704	182.41043	-999.25000	-999.25000	1.6710	-999.2500	-999.2500
88.5228	183.18410	-999.25000	-999.25000	1.6639	-999.2500	-999.2500
88.6752	184.44330	-999.25000	-999.25000	1.6525	-999.2500	-999.2500
88.8276	184.58401	-999.25000	-999.25000	1.6513	-999.2500	-999.2500
88.9800	185.03412	-999.25000	-999.25000	1.6473	-999.2500	-999.2500
89.1324	185.06294	-999.25000	-999.25000	1.6470	-999.2500	-999.2500
89.2848	185.01178	-999.25000	-999.25000	1.6475	-999.2500	-999.2500
89.4372	184.89709	-999.25000	-999.25000	1.6485	-999.2500	-999.2500
89.5896	184.45615	-999.25000	-999.25000	1.6524	-999.2500	-999.2500
89.7420	183.81834	-999.25000	-999.25000	1.6582	-999.2500	-999.2500
89.8944	183.26747	-999.25000	-999.25000	1.6631	-999.2500	-999.2500
90.0468	183.31525	-999.25000	-999.25000	1.6627	-999.2500	-999.2500
90.1992	183.84235	-999.25000	-999.25000	1.6579	-999.2500	-999.2500
90.3516	184.00008	-999.25000	-999.25000	1.6565	-999.2500	-999.2500
90.5040	180.46646	-999.25000	-999.25000	1.6890	-999.2500	-999.2500
90.6564	176.42122	-999.25000	-999.25000	1.7277	-999.2500	-999.2500
90.8088	176.75279	-999.25000	-999.25000	1.7244	-999.2500	-999.2500
90.9612	175.88789	-999.25000	-999.25000	1.7329	-999.2500	-999.2500
91.1136	170.39571	-999.25000	-999.25000	1.7888	-999.2500	-999.2500
91.2660	165.00856	-999.25000	-999.25000	1.8472	-999.2500	-999.2500
91.4184	164.04152	-999.25000	-999.25000	1.8581	-999.2500	-999.2500
91.5708	163.73428	-999.25000	-999.25000	1.8616	-999.2500	-999.2500
91.7232	161.88727	-999.25000	-999.25000	1.8828	-999.2500	-999.2500
91.8756	159.57083	-999.25000	-999.25000	1.9101	-999.2500	-999.2500
92.0280	157.02545	-999.25000	-999.25000	1.9411	-999.2500	-999.2500
92.1804	154.21149	-999.25000	-999.25000	1.9765	-999.2500	-999.2500
92.3328	150.87833	-999.25000	-999.25000	2.0202	-999.2500	-999.2500
92.4852	146.88023	-999.25000	-999.25000	2.0752	-999.2500	-999.2500
92.6376	140.41821	-999.25000	-999.25000	2.1707	-999.2500	-999.2500
92.7900	135.21443	-999.25000	-999.25000	2.2542	-999.2500	-999.2500
92.9424	140.83752	-999.25000	-999.25000	2.1642	-999.2500	-999.2500
93.0948	151.13702	-999.25000	-999.25000	2.0167	-999.2500	-999.2500
93.2472	155.77864	-999.25000	-999.25000	1.9566	-999.2500	-999.2500
93.3996	154.87895	-999.25000	-999.25000	1.9680	-999.2500	-999.2500
93.5520	155.07968	-999.25000	-999.25000	1.9654	-999.2500	-999.2500
93.7044	162.49075	-999.25000	-999.25000	1.8758	-999.2500	-999.2500
93.8568	168.76643	-999.25000	-999.25000	1.8060	-999.2500	-999.2500
94.0092	171.96167	-999.25000	-999.25000	1.7725	-999.2500	-999.2500
94.1616	174.88690	-999.25000	-999.25000	1.7428	-999.2500	-999.2500
94.3140	178.56116	-999.25000	-999.25000	1.7070	-999.2500	-999.2500
94.4664	180.29921	-999.25000	-999.25000	1.6905	-999.2500	-999.2500
94.6188	181.46944	789.95245	-999.25000	1.6796	0.3858	-999.2500
94.7712	181.50342	831.63342	-999.25000	1.6793	0.3665	-999.2500
94.9236	181.30917	777.98792	-999.25000	1.6811	0.3918	-999.2500
95.0760	183.43500	756.09839	-999.25000	1.6616	0.4031	-999.2500
95.2284	184.60118	812.00745	-999.25000	1.6511	0.3754	-999.2500
95.3808	185.47974	856.67090	-999.25000	1.6433	0.3558	-999.2500
95.5332	184.28691	855.60089	-999.25000	1.6539	0.3562	-999.2500
95.6856	184.48956	816.96454	-999.25000	1.6521	0.3731	-999.2500
95.8380	182.80305	795.37347	-999.25000	1.6674	0.3832	-999.2500
95.9904	179.76416	793.25226	-999.25000	1.6956	0.3842	-999.2500
96.1428	179.35243	791.13104	-999.25000	1.6994	0.3853	-999.2500
96.2952	180.63486	780.94690	-999.25000	1.6874	0.3903	-999.2500
96.4476	181.64925	761.55298	-999.25000	1.6780	0.4002	-999.2500
96.6000	180.26418	742.15900	-999.25000	1.6909	0.4107	-999.2500
96.7524	181.45433	756.43134	-999.25000	1.6798	0.4029	-999.2500
96.9048	181.68730	830.80115	-999.25000	1.6776	0.3669	-999.2500
97.0572	178.13121	881.72668	-999.25000	1.7111	0.3457	-999.2500
97.2096	178.44308	877.63580	-999.25000	1.7081	0.3473	-999.2500
97.3620	181.25266	838.53485	-999.25000	1.6816	0.3635	-999.2500
97.5144	182.64839	771.75049	-999.25000	1.6688	0.3949	-999.2500
97.6668	181.10394	766.97638	-999.25000	1.6830	0.3974	-999.2500
97.8192	179.79752	797.45563	-999.25000	1.6952	0.3822	-999.2500
97.9716	179.63971	839.16223	-999.25000	1.6967	0.3632	-999.2500
98.1240	178.64708	836.41125	-999.25000	1.7062	0.3644	-999.2500
98.2764	178.47763	804.06622	-999.25000	1.7078	0.3791	-999.2500
