HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0892
BOTTOM:	968.4388
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
0.0892	0.075649	0.153347	-0.436677	0.466452	-75.4491	133.3356	317.2892	183.9547	-0.0392	0.0595	9.8189
0.2416	0.045237	0.103918	-0.441981	0.448982	-75.7095	124.2345	307.8558	183.6215	-0.0883	0.0536	9.8154
0.3940	-0.028443	-0.000234	-0.396800	0.434563	-76.2851	21.3022	213.7389	192.4383	-0.0831	0.1001	9.8010
0.5464	-0.068692	0.060623	-0.391093	0.421317	-76.2207	54.2681	261.5062	207.2379	-0.1010	0.1002	9.8255
0.6988	-0.063183	0.106674	-0.377577	0.409026	-75.8693	57.1279	272.1316	215.0031	-0.0601	0.1226	9.8386
0.8512	0.002718	0.101610	-0.419792	0.391507	-76.1729	69.4734	286.6633	217.1901	-0.0092	0.0751	9.8486
1.0036	0.009801	0.003291	-0.389976	0.369168	-76.7774	11.6773	234.2040	222.5265	-0.0038	0.0792	9.9206
1.1560	-0.044798	-0.028629	-0.377734	0.345314	-75.7438	323.7132	189.1980	225.4844	-0.0077	0.0038	9.9231
1.3084	-0.104830	-0.017884	-0.374065	0.319275	-73.9578	326.3677	192.3507	225.9838	-0.1124	0.0378	9.9494
1.4608	-0.060132	-0.014255	-0.357648	0.294893	-69.9855	351.6154	218.2275	226.6127	-0.1404	0.0800	9.9361
1.6132	-0.053487	0.040297	-0.339141	0.268826	-64.3650	14.3621	240.0738	225.7111	-0.0893	0.0151	9.9368
1.7656	-0.027706	0.022212	-0.288827	0.240319	-58.7157	34.7462	266.8695	232.1230	-0.1018	0.0892	9.9203
1.9180	0.007134	0.045280	-0.276424	0.193630	-47.7991	60.6893	296.4247	235.7352	-0.0324	0.1092	9.9084
2.0704	-0.003843	0.101661	-0.234877	0.161802	-23.8106	59.2213	269.1241	236.7872	0.0404	0.0095	9.8758
2.2228	0.041576	0.012224	-0.211217	0.168857	-2.7475	128.4717	4.9288	236.4409	-0.0344	0.0126	9.8512
2.3752	0.023057	0.062961	-0.069898	0.184895	15.4961	88.3323	326.8022	238.4699	-0.1537	0.0556	9.8455
2.5276	0.036000	0.161906	-0.089584	0.207167	28.9897	42.7391	288.7412	246.0013	-0.1547	0.0568	9.8044
2.6800	-0.083684	0.320950	0.062664	0.233680	37.6848	24.3269	279.8940	255.5664	-0.1828	0.0569	9.9156
2.8324	-0.067615	0.368402	0.124174	0.258551	39.4640	16.5831	275.1920	258.6084	-0.0701	0.0904	9.8855
2.9848	-0.112308	0.246338	0.175383	0.324483	49.0033	20.6520	281.7070	261.0544	-0.0291	0.0513	9.9095
3.1372	0.095147	0.157433	0.383824	0.357916	51.5835	12.8740	275.4964	262.6227	-0.0204	0.0372	9.8671
3.2896	-0.317293	0.191256	1.051530	0.375695	52.2331	326.1794	231.7203	265.5421	-0.0553	0.0050	9.8731
3.4420	-0.470979	0.188306	0.618300	0.380053	51.6571	328.3145	234.3576	266.0432	-0.1232	-0.0001	9.8631
3.5944	-0.164639	0.167200	0.540784	0.374462	50.3089	0.7751	260.6585	259.8837	-0.1918	0.0183	9.8424
3.7468	-0.055646	0.148496	0.709160	0.361748	49.1619	51.8456	306.3030	254.4571	-0.1065	0.0054	9.8036
3.8992	0.048913	0.084372	0.259553	0.345534	47.1857	56.4012	308.5868	252.1844	-0.1016	0.0300	9.7578
4.0516	0.161728	0.223600	-0.813220	0.321004	45.2476	14.1624	265.9687	251.8060	-0.0293	0.0404	9.7689
4.2040	-0.005287	0.321593	1.182649	0.293790	41.6813	25.2882	278.4366	253.1481	-0.0226	0.0268	9.7424
4.3564	-0.146041	0.128959	0.514424	0.270207	36.0574	3.9643	257.1226	253.1591	-0.0879	-0.0033	9.8409
4.5088	-0.052757	0.175566	0.095994	0.239948	25.0454	30.5940	283.5670	252.9725	-0.2044	-0.0032	9.9287
4.6612	-0.045349	0.180522	-0.139662	0.205881	7.3250	25.0525	258.1087	261.8091	-0.1096	-0.0480	9.9508
4.8136	-0.132262	0.080616	-0.295280	0.188941	-7.6445	280.5318	217.0374	296.5063	-0.1100	-0.0250	9.9695
4.9660	-0.073524	-0.036161	-0.342032	0.197997	-22.7370	173.6087	132.5993	318.9917	-0.0941	0.0041	10.0312
5.1184	0.056286	-0.117527	-0.328741	0.219964	-34.4461	135.0093	85.5924	310.5802	0.0220	0.0160	10.0288
5.2708	0.102789	-0.194711	-0.327865	0.243327	-42.9554	141.0643	83.9078	302.8417	-0.0672	0.0140	9.9683
5.4232	0.151414	-0.159954	-0.404857	0.257187	-49.2872	141.8840	64.3719	282.4920	-0.0793	-0.0170	9.8903
5.5756	0.160424	-0.083272	-0.405616	0.323938	-59.9016	179.1673	49.6978	230.5297	-0.1129	-0.0533	9.8356
5.7280	0.161718	-0.089858	-0.315111	0.359644	-63.7777	214.4535	55.0803	200.6257	-0.0945	-0.0322	9.7979
5.8804	0.200458	-0.092017	-0.336281	0.379817	-66.7276	241.4446	43.1581	161.6996	-0.1024	-0.0406	9.8317
6.0328	0.143644	-0.035562	-0.332130	0.389761	-68.3949	248.7881	42.9793	131.2975	-0.0907	-0.0049	9.8264
6.1852	0.060581	0.056565	-0.274499	0.393236	-68.9508	172.1669	282.9566	110.7924	-0.1147	-0.0599	9.7598
6.3376	-0.073964	0.101779	-0.306000	0.396194	-68.8385	153.0697	258.3335	105.2678	-0.0493	-0.0108	9.8283
6.4900	-0.049049	0.084803	-0.344680	0.395975	-68.9205	129.1379	238.2250	109.0941	-0.0542	-0.0101	9.8552
6.6424	-0.113100	0.001656	-0.426657	0.391303	-69.2498	68.2911	177.3304	109.0431	-0.0965	-0.0619	9.8522
6.7948	-0.112970	-0.139603	-0.473467	0.389929	-69.8049	53.4254	153.4542	100.0238	-0.0508	-0.0869	9.8772
6.9472	-0.139697	-0.096564	-0.385990	0.388391	-70.0088	73.3333	168.5826	95.2529	-0.0923	-0.0938	9.8760
7.0996	-0.038008	-0.053588	-0.379032	0.390232	-69.9524	116.6062	198.9383	82.3350	-0.0788	-0.0348	9.9114
7.2520	0.029169	-0.030229	-0.443120	0.388487	-70.6975	15.5524	85.6094	70.0632	-0.0646	-0.0430	9.9137
7.4044	0.019055	-0.055901	-0.389464	0.390868	-71.1032	15.3734	107.4761	92.1193	-0.0804	-0.0171	9.9348
7.5568	0.003722	-0.104371	-0.402243	0.390400	-71.4323	340.9712	84.8851	103.9305	-0.0696	-0.0176	9.8402
7.7092	0.107506	-0.130077	-0.361327	0.387452	-72.0323	333.7144	70.1994	96.4811	-0.0585	-0.0853	9.8192
7.8616	0.113123	-0.086241	-0.285501	0.383793	-71.9819	294.3235	38.0128	103.6849	-0.0766	-0.0979	9.8589
8.0140	0.160000	-0.011171	-0.366575	0.376385	-71.4631	257.7875	356.6038	98.8137	-0.0847	-0.0500	9.8284
8.1664	0.122033	0.103293	-0.377993	0.366860	-71.1137	226.0863	326.7327	100.6506	-0.0473	-0.0918	9.8698
8.3188	0.037072	0.205090	-0.351550	0.362232	-70.7182	221.7656	313.2680	91.5021	-0.0897	-0.0867	9.8219
