HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0890
BOTTOM:	1028.9414
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
0.0890	-0.022862	-0.091800	0.739473	0.766942	71.2468	292.6570	153.7036	221.0476	0.1541	-0.0719	9.8585
0.2414	-0.024469	-0.129577	0.738308	0.752092	70.5485	250.7235	111.3699	220.6463	0.1292	0.0428	9.7700
0.3938	0.102745	-0.070935	0.817732	0.743093	69.4872	247.2353	100.5412	213.3054	0.0964	-0.0647	9.8636
0.5462	0.198488	0.065494	0.714321	0.737009	69.5970	155.2113	14.1941	218.9829	0.0657	-0.0509	9.9014
0.6986	0.253122	0.113805	0.798692	0.742466	69.7192	146.6327	2.2168	215.5842	0.0989	-0.0132	9.9032
0.8510	0.386392	0.081545	0.812805	0.738553	69.1908	156.8699	6.5769	209.7073	0.1224	-0.0798	9.9129
1.0034	0.385928	-0.005389	0.689093	0.729880	68.5177	169.2305	20.0970	210.8660	0.1677	0.0247	9.8352
1.1558	0.521053	-0.040947	0.680194	0.716184	67.3544	183.1183	31.8046	208.6864	0.0415	0.0462	9.8488
1.3082	0.448318	0.002267	0.511395	0.712259	66.9575	192.2192	26.1896	193.9697	-0.0076	-0.0167	9.8449
1.4606	0.571863	-0.034498	0.392527	0.704921	66.3837	195.0761	23.5478	188.4714	-0.0716	0.0337	9.8165
1.6130	0.398950	-0.086029	0.475765	0.693860	64.9719	208.7337	33.9236	185.1893	0.2518	0.0141	10.0347
1.7654	0.029485	0.120944	0.690895	0.680376	63.7728	201.9335	24.6328	182.6983	0.1569	0.0562	9.9056
1.9178	0.318460	0.068862	0.774981	0.674153	63.3807	153.2183	334.2377	181.0202	0.1544	0.1453	9.7668
2.0702	0.117625	0.160802	0.595619	0.671123	63.1922	184.5985	12.6309	188.0320	0.0657	-0.0813	9.9204
2.2226	0.115774	0.160722	0.490731	0.656170	61.9567	125.5484	318.8797	193.3318	-0.0013	-0.1003	9.8997
2.3750	0.202682	0.014705	0.525257	0.630230	61.6821	178.7558	7.8804	189.1250	0.1995	0.0545	9.7564
2.5274	0.156953	0.034932	0.657481	0.616240	61.9852	196.4006	12.4861	176.0851	0.0737	0.0044	10.0513
