HOLE:	U1351B
EXPEDITION:	317
TOP:	872.5778
BOTTOM:	1028.9402
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
872.5778	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
872.7302	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
872.8826	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.0350	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.1874	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.3398	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.4922	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.6446	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.7970	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
873.9494	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.1018	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.2542	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.4066	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.5590	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.7114	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
874.8638	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.0162	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.1686	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.3210	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.4734	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.6258	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.7782	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
875.9306	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.0830	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.2354	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.3878	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.5402	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.6926	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.8450	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
876.9974	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
877.1498	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
877.3022	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
877.4546	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
877.6070	0.154243	0.118854	0.424913	0.466556	66.3129	181.9677	342.5103	160.5417	0.2301	-0.0171	9.9555
