HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0886
BOTTOM:	486.3970
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
0.0886	-0.160595	0.053480	-0.529531	0.459485	-72.4164	52.5627	246.2337	193.6707	0.0318	0.1097	9.8376	0.1968
0.2410	-0.049710	0.086478	-0.484164	0.431555	-71.2098	122.3663	304.4534	182.0871	0.0645	0.0784	9.8623	0.2329
0.3934	0.032645	0.055322	-0.544552	0.407181	-69.4336	185.3432	355.2860	169.9444	0.0835	0.0909	9.9387	0.2575
0.5458	0.117627	0.003915	-0.442208	0.385801	-66.3626	235.0756	34.2846	159.2037	0.0711	0.0346	10.0095	0.2519
0.6982	0.101608	-0.047335	-0.234275	0.367294	-64.1427	239.4670	115.7690	150.4937	0.0151	0.0527	10.0001	0.2185
0.8506	0.027777	0.063009	-0.255248	0.355469	-63.5410	177.1411	318.5722	141.4308	0.0458	0.0060	9.9121	0.1783
1.0030	0.090043	0.153196	0.084960	0.323495	-57.7866	223.3560	273.2125	136.0463	0.0074	0.0505	9.8165	0.1478
1.1554	0.086679	0.052138	0.387029	0.254215	-43.0170	286.3745	141.2063	128.4294	0.0245	0.1341	9.7964	0.1156
1.3078	0.006349	-0.006672	-0.263265	0.227898	-38.0635	191.0826	313.3492	122.2651	0.0590	0.0077	9.8879	0.0959
1.4602	0.045012	0.118011	-0.207562	0.231077	-40.5313	196.6564	277.7741	167.9058	0.0856	0.0608	9.9649	0.0348
1.6126	-0.120290	0.077315	-0.179254	0.242833	-43.0362	240.3204	205.2854	324.9738	0.0662	0.0890	9.9705	0.0144
1.7650	-0.224299	-0.065225	-0.271870	0.264009	-45.7402	233.3488	178.3908	305.0505	0.0050	0.1050	9.8911	0.0363
1.9174	-0.225388	-0.137896	0.014720	0.289787	-50.9957	193.8034	153.9489	320.1389	-0.0003	-0.0018	9.8818	0.0505
2.0698	-0.060106	-0.167934	-0.396888	0.327741	-56.2109	127.4578	113.2947	345.8326	0.0643	0.0836	9.9180	0.0485
2.2222	0.033446	-0.345590	-1.142474	0.371286	-61.1890	57.7153	59.7564	2.0434	0.0350	0.0740	9.9267	0.0801
2.3746	0.590751	-0.153394	1.184459	0.444421	-64.9548	68.6401	83.9169	15.2778	0.0056	0.0470	9.9198	0.1117
2.5270	-0.062654	-0.049805	0.347574	0.507505	-66.8529	131.8271	154.8129	22.9858	-0.0008	0.0803	9.8564	0.1481
2.6794	0.026132	-0.019371	-0.574885	0.543854	-67.7745	30.0397	46.8706	16.8309	0.0126	0.0911	9.8679	0.2114
2.8318	0.179724	-0.029796	-0.777124	0.582552	-68.9590	350.5311	358.8568	8.3261	0.0277	0.0934	9.9183	0.2756
2.9842	0.061269	0.180445	-0.800218	0.615755	-70.4450	335.2018	332.1436	356.9421	-0.0046	0.1150	9.9573	0.2966
3.1366	0.138350	0.100373	-0.978846	0.653058	-72.6686	40.6305	31.7068	351.0765	-0.0129	0.1457	9.9423	0.2729
3.2890	0.030263	-0.060892	-1.049741	0.688167	-73.7293	111.5638	99.9843	348.4212	-0.0011	0.0510	9.8967	0.2196
3.4414	0.053700	-0.099011	-1.083051	0.708474	-74.6323	120.7967	106.2226	345.4263	-0.0356	0.0682	9.8414	0.1557
3.5938	0.041711	-0.168655	-1.061384	0.757648	-77.7082	118.0737	107.8594	349.7908	-0.0330	0.0708	9.8558	0.1102
3.7462	-0.040979	-0.334746	-1.033314	0.862800	-80.8180	117.5267	113.0356	355.5144	-0.0050	0.1224	9.9236	0.0650
3.8986	0.009393	-0.243062	-0.891779	0.906996	-81.2562	163.9720	87.1144	283.1566	0.0048	0.0915	9.9542	0.0574
4.0510	0.146933	-0.133271	-0.911838	0.924597	-81.2629	346.2478	54.7999	68.5653	-0.0391	0.1314	9.9246	0.0707
4.2034	0.147550	-0.038810	-0.799688	0.935093	-81.7216	277.6308	78.9708	71.0084	-0.0360	0.0836	9.8836	0.1359
4.3558	0.026276	0.033476	-0.904393	0.933940	-82.2242	160.8150	217.8826	57.0863	-0.0585	0.0795	9.9145	0.1884
