HOLE:	U1351B
EXPEDITION:	317
TOP:	70.8680
BOTTOM:	485.7008
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
70.8680	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.0204	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.1728	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.3252	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.4776	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.6300	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.7824	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
71.9348	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.0872	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.2396	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.3920	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.5444	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.6968	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
72.8492	-999.250000	-999.250000	-999.250000	-999.250000	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500	-999.2500
73.0016	0.019533	-0.046497	-1.138175	0.866349	-81.3240	298.1259	174.9782	236.8337	-0.0081	-0.0274	9.9039	0.0483
73.1540	0.030470	0.044644	-1.138271	0.866349	-81.3240	298.1259	174.9782	236.8337	-0.0048	-0.0242	9.8650	0.0483
73.3064	-0.218907	0.078914	-1.004622	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0018	-0.0232	9.8782	0.0483
73.4588	-0.026163	0.069828	0.209501	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0028	-0.0186	9.8986	0.0483
73.6112	0.069841	0.201434	-0.228424	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0075	-0.0145	9.8968	0.0483
73.7636	0.194835	-0.021014	-1.050946	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0107	-0.0115	9.8699	0.0483
73.9160	-0.069940	-0.030577	-0.944052	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0103	-0.0089	9.9244	0.0483
74.0684	-0.257138	-0.021557	-0.353660	0.866349	-81.3240	298.1259	174.9782	236.8337	0.0080	-0.0058	9.9204	0.0483
74.2208	-0.097010	-0.015262	-0.894516	0.866349	-81.3240	298.1205	174.9735	236.8345	0.0134	0.0010	9.8268	0.0483
74.3732	0.072459	-0.053397	-1.143968	0.864422	-81.1254	243.1867	127.3257	244.1361	0.0177	0.0036	9.8359	0.0550
74.5256	-0.011190	-0.021305	-1.087693	0.860226	-80.7131	163.7325	57.7573	254.0356	0.0184	0.0081	9.9301	0.0722
74.6780	0.092706	0.075069	-1.076297	0.862158	-80.6916	121.9462	16.2510	254.3012	0.0160	0.0160	9.9110	0.0891
74.8304	0.013993	0.114315	-1.008734	0.896337	-81.2524	63.6310	318.7948	255.1544	0.0168	0.0221	9.9131	0.1057
74.9828	0.020236	0.088329	-0.951439	0.950002	-81.8828	45.1116	303.7014	258.5834	0.0135	0.0268	9.8923	0.1268
75.1352	0.075394	0.109190	-0.921456	0.972824	-82.2610	58.1023	321.2368	263.1315	0.0154	0.0325	9.8570	0.1480
75.2876	0.119373	0.076205	-0.979159	0.991292	-82.5620	75.0547	340.7956	265.7377	0.0144	0.0357	9.8561	0.1671
75.4400	0.145370	0.040715	-1.032713	1.026904	-83.0136	96.4385	359.6438	263.2054	0.0125	0.0416	9.9048	0.1869
75.5924	0.150367	0.013329	-1.045557	1.046350	-83.2605	112.5646	13.8819	261.3244	0.0089	0.0440	9.9322	0.2079
75.7448	0.160704	0.019245	-1.057072	1.040781	-82.9936	112.5350	16.1195	263.5877	0.0054	0.0487	9.8782	0.2274
75.8972	0.149775	0.047744	-1.071893	1.025528	-82.6178	103.6245	9.1985	265.5731	0.0043	0.0530	9.9000	0.2465
76.0496	0.126702	0.028162	-1.084480	1.008996	-82.4081	99.1982	7.8088	268.6047	0.0021	0.0534	9.9151	0.2657
76.2020	0.135948	0.022671	-1.091908	0.993318	-82.3544	96.9876	11.4801	274.4879	-0.0033	0.0574	9.8712	0.2816
76.3544	0.124508	0.031273	-1.093724	0.982299	-82.2482	89.6215	10.1448	280.5217	-0.0073	0.0627	9.9078	0.2997
76.5068	0.111545	0.035490	-1.000147	0.974861	-82.1500	74.9472	0.4514	285.5027	-0.0120	0.0624	9.8425	0.3212
76.6592	0.009398	0.115659	-1.054577	0.964834	-82.0895	40.6100	330.5833	289.9711	-0.0178	0.0660	9.9544	0.3408
76.8116	0.114067	0.048438	-1.015414	0.948585	-82.0633	35.4385	329.3162	293.8741	-0.0242	0.0694	9.9144	0.3570
76.9640	0.153041	0.067500	-0.877607	0.931784	-81.9616	60.8239	358.5915	297.7659	-0.0255	0.0684	9.7971	0.3697
