HOLE:	U1351B
EXPEDITION:	317
TOP:	873.0352
BOTTOM:	1008.9760
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
873.0352	2.1797	0.1227	2.8662	2.1797
873.1876	2.1797	0.1227	2.8662	2.1797
873.3400	2.1994	0.1311	2.8587	2.1994
873.4924	2.2204	0.1299	2.8354	2.2204
873.6448	2.2101	0.1260	2.8533	2.2101
873.7972	2.1983	0.1260	2.9140	2.1983
873.9496	2.1664	0.1162	2.9366	2.1664
874.1020	2.1719	0.1115	2.9177	2.1719
874.2544	2.2071	0.1209	2.7982	2.2071
874.4068	2.2003	0.1178	2.7106	2.2003
874.5592	2.1938	0.1030	2.7475	2.1938
874.7116	2.1874	0.0978	2.8322	2.1874
874.8640	2.1914	0.0993	3.0260	2.1914
875.0164	2.1643	0.1034	3.0160	2.1643
875.1688	2.1252	0.0941	3.0778	2.1252
875.3212	2.1279	0.1050	3.0114	2.1279
875.4736	2.1445	0.1258	2.9317	2.1445
875.6260	2.1463	0.1289	2.8719	2.1463
875.7784	2.1381	0.1159	2.8750	2.1381
875.9308	2.1420	0.1079	2.9476	2.1420
876.0832	2.1420	0.0968	3.0075	2.1420
876.2356	2.1263	0.0776	2.9447	2.1263
876.3880	2.1343	0.0732	2.9565	2.1343
876.5404	2.1465	0.0731	2.9076	2.1465
876.6928	2.1875	0.0757	2.9019	2.1875
876.8452	2.2286	0.0779	2.8066	2.2286
876.9976	2.2622	0.0800	2.7972	2.2622
877.1500	2.2443	0.0707	2.8704	2.2443
877.3024	2.2365	0.0668	2.9465	2.2365
877.4548	2.2199	0.0640	2.7934	2.2199
877.6072	2.2501	0.0806	2.7822	2.2501
877.7596	2.2557	0.0865	2.8163	2.2557
877.9120	2.2708	0.1013	2.9279	2.2708
878.0644	2.2314	0.0949	2.4930	2.2314
878.2168	2.1753	0.1187	2.1379	2.1753
878.3692	1.7648	0.0457	1.7162	1.7648
878.5216	1.3975	-0.0065	1.6492	1.3975
878.6740	1.2309	0.0027	1.5895	1.2309
878.8264	1.1728	0.0164	1.6183	1.1728
878.9788	1.1639	0.0083	1.6580	1.1639
879.1312	1.1626	0.0087	1.6655	1.1626
879.2836	1.1646	0.0081	1.7168	1.1646
879.4360	1.2033	0.0169	1.7210	1.2033
879.5884	1.2784	0.0471	1.7157	1.2784
879.7408	1.3538	0.0752	1.7608	1.3538
879.8932	1.4123	0.0885	1.9073	1.4123
880.0456	1.4987	0.1034	2.1633	1.4987
880.1980	1.5772	0.0995	2.2694	1.5772
880.3504	1.5689	0.0740	2.2029	1.5689
880.5028	1.4926	0.0509	2.1787	1.4926
880.6552	1.4582	0.0529	2.2335	1.4582
880.8076	1.4783	0.0582	2.3943	1.4783
880.9600	1.5478	0.0870	2.5117	1.5478
881.1124	1.6126	0.1187	2.4426	1.6126
881.2648	1.6570	0.1396	2.2727	1.6570
881.4172	1.7027	0.1383	2.1256	1.7027
881.5696	1.7922	0.1212	2.1907	1.7922
881.7220	1.8819	0.1018	2.2705	1.8819
881.8744	2.0187	0.1113	2.3432	2.0187
