HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0880
BOTTOM:	939.9388
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
0.0880	2.4555	1.9945	0.0354	0.4317	0.0501	-999.2500
0.2404	3.8945	3.4090	0.0708	0.6778	0.0352	-999.2500
0.3928	7.0166	5.6734	0.1203	1.1137	0.1518	-999.2500
0.5452	10.8817	9.4665	0.2242	1.7213	0.0793	-999.2500
0.6976	13.6986	9.9356	0.2286	1.8462	0.4811	-999.2500
0.8500	16.1773	12.9733	0.3313	2.2184	0.3760	-999.2500
1.0024	17.4210	12.9535	0.3158	2.3031	0.5320	-999.2500
1.1548	16.9141	11.1538	0.3151	1.7301	0.6712	-999.2500
1.3072	15.8350	9.9204	0.2674	1.6140	0.7166	-999.2500
1.4596	14.1433	8.1780	0.2149	1.3629	0.8100	-999.2500
1.6120	17.0627	9.5363	0.2651	1.5044	1.0301	-999.2500
1.7644	19.4613	10.9225	0.2696	1.9221	1.1843	-999.2500
1.9168	23.3458	14.3588	0.3843	2.3520	1.2324	-999.2500
2.0692	22.6305	14.8309	0.3846	2.5018	0.9771	-999.2500
2.2216	21.5203	13.7748	0.3627	2.2915	0.9247	-999.2500
2.3740	21.6389	15.9500	0.4058	2.7360	0.5944	-999.2500
2.5264	21.0941	15.8727	0.3556	3.0052	0.5629	-999.2500
2.6788	21.5799	17.8121	0.3869	3.4434	0.3241	-999.2500
2.8312	19.4174	17.5424	0.3729	3.4389	0.1568	-999.2500
2.9836	21.0613	18.5327	0.4025	3.5829	0.2396	-999.2500
3.1360	21.0278	18.9823	0.4616	3.3815	0.1129	-999.2500
3.2884	24.2569	23.4801	0.6072	3.9703	-0.1518	-999.2500
3.4408	27.5497	27.3500	0.7324	4.4776	-0.3069	-999.2500
3.5932	33.1759	30.8381	0.7947	5.2312	0.0344	-999.2500
3.7456	37.2161	34.5336	0.9405	5.5618	0.1447	-999.2500
3.8980	36.7279	35.3121	0.9513	5.7483	0.1566	-999.2500
4.0504	32.2453	29.8175	0.8221	4.7438	0.2962	-999.2500
4.2028	27.8129	24.5257	0.6954	3.7893	0.4506	-999.2500
4.3552	22.6520	19.5238	0.5507	3.0333	0.4763	-999.2500
4.5076	20.7371	17.5015	0.4964	2.7028	0.5332	-999.2500
4.6600	17.5810	15.9148	0.4612	2.4007	0.3165	-999.2500
4.8124	18.3927	16.3590	0.4669	2.5095	0.2813	-999.2500
4.9648	18.5236	18.0742	0.4966	2.8855	0.1888	-999.2500
5.1172	18.8948	17.6920	0.4980	2.7547	0.3584	-999.2500
5.2696	22.9800	21.0801	0.6116	3.1753	0.3964	-999.2500
5.4220	27.8363	25.1413	0.6786	4.0848	0.5294	-999.2500
5.5744	32.8640	29.4157	0.7633	4.9587	0.4943	-999.2500
5.7268	32.7946	30.7819	0.7993	5.1855	0.3021	-999.2500
5.8792	31.5044	30.1695	0.8162	4.8903	0.1902	-999.2500
6.0316	28.2683	26.4733	0.7728	3.9599	0.2476	-999.2500
6.1840	28.2309	25.5569	0.7230	3.9577	0.2891	-999.2500
6.3364	26.6673	24.5149	0.6882	3.8278	0.2564	-999.2500
6.4888	25.4466	23.3033	0.6615	3.5960	0.3796	-999.2500
6.6412	22.0780	18.4912	0.5384	2.7745	0.5083	-999.2500
6.7936	23.3937	19.4966	0.5714	2.9035	0.5318	-999.2500
