HOLE:	U1351B
EXPEDITION:	317
TOP:	872.5780
BOTTOM:	1004.8612
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
872.5780	64.1602	45.6791	1.1556	7.8812	2.3225	-0.2154
872.7304	65.5259	46.8211	1.1614	8.2133	2.3949	-0.2154
872.8828	64.7579	46.6650	1.1450	8.2593	2.2721	-0.2154
873.0352	64.4389	48.6408	1.1399	8.9228	2.1064	-0.2154
873.1876	62.5102	48.9645	1.1399	9.0263	1.8574	-0.2154
873.3400	62.4852	49.4877	1.1651	9.0465	1.8602	-0.2154
873.4924	61.5711	47.5967	1.1524	8.5150	1.9378	-0.2154
873.6448	60.9049	46.6757	1.1289	8.3568	2.0379	-0.2154
873.7972	61.1770	47.4758	1.1791	8.3196	1.9979	-0.2154
873.9496	63.8137	49.7053	1.2447	8.6506	2.0053	-0.2154
874.1020	64.5874	49.4814	1.2498	8.5490	2.1555	-0.2154
874.2544	65.4028	50.7629	1.2702	8.8405	2.0245	-0.2154
874.4068	64.6948	50.6890	1.2519	8.9237	1.9454	-0.2154
874.5592	66.6956	51.6427	1.2342	9.3331	2.1413	-0.2154
874.7116	66.1131	48.8834	1.2034	8.6288	2.3830	-0.2154
874.8640	66.4268	46.9243	1.2027	8.0048	2.6844	-0.2154
875.0164	65.6868	46.6165	1.2255	7.7726	2.5735	-0.2154
875.1688	66.9714	46.3646	1.2606	7.4859	2.7848	-0.2154
875.3212	66.8910	46.0502	1.2482	7.4583	2.8062	-0.2154
875.4736	67.0730	45.9737	1.1915	7.7657	2.7374	-0.2154
875.6260	67.4894	46.5701	1.1754	8.0508	2.7511	-0.2154
875.7784	68.6071	47.4999	1.1856	8.2893	2.7150	-0.2154
875.9308	70.0465	46.2558	1.1736	7.9606	3.0587	-0.2154
876.0832	69.3614	45.8168	1.1590	7.9055	3.0144	-0.2154
876.2356	67.9622	44.5261	1.1738	7.4047	2.9632	-0.2154
876.3880	66.8978	43.8457	1.1808	7.1458	2.8615	-0.2154
876.5404	66.8990	43.7349	1.1468	7.3092	2.8254	-0.2154
876.6928	68.3725	43.0657	1.0643	7.5775	3.1782	-0.2154
876.8452	68.1182	44.4882	1.0504	8.1154	2.9575	-0.2154
876.9976	67.7144	43.9588	1.0660	7.8542	2.8501	-0.2154
877.1500	65.7457	42.1826	1.0396	7.4390	2.9272	-0.2154
877.3024	65.7176	41.7200	1.0520	7.2181	3.0006	-0.2154
877.4548	65.9338	41.0739	1.0645	6.9381	3.1036	-0.2154
877.6072	66.4095	42.0404	1.0829	7.1399	3.0042	-0.2154
877.7596	65.1131	40.9283	1.0595	6.9205	2.9485	-0.2154
877.9120	63.6060	40.8263	1.0575	6.8992	2.7870	-0.2154
878.0644	63.1642	40.9313	0.9953	7.2975	2.7418	-0.2154
878.2168	59.6496	41.0401	0.9135	7.8113	2.3443	-0.2154
878.3692	50.3549	35.7509	0.8239	6.6399	1.7859	-0.2154
878.5216	38.2441	27.0893	0.6331	4.9793	1.3128	-0.2154
878.6740	30.9458	22.1249	0.5060	4.1320	1.0909	-0.2154
878.8264	30.5452	21.3612	0.5089	3.8698	1.1158	-0.2154
878.9788	31.0390	22.7044	0.5315	4.1681	1.0073	-0.2154
879.1312	29.1445	21.7759	0.5080	4.0079	0.9139	-0.2154
879.2836	27.9779	21.4652	0.5220	3.8266	0.8613	-0.2154
879.4360	32.2061	24.9040	0.5956	4.4981	0.9298	-0.2154
879.5884	36.3883	28.1551	0.6369	5.2988	1.0336	-0.2154
879.7408	39.2247	30.2009	0.7152	5.4966	1.1508	-0.2154
879.8932	40.2865	29.6192	0.8159	4.7206	1.2697	-0.2154
880.0456	44.6635	33.1321	0.9050	5.3251	1.4284	-0.2154
880.1980	47.5411	35.3822	0.9354	5.8685	1.5409	-0.2154
880.3504	46.0552	34.1460	0.9162	5.5846	1.4999	-0.2154
880.5028	42.7705	33.2604	0.8361	5.7696	1.2233	-0.2154
880.6552	41.4811	31.8140	0.8330	5.3242	1.2295	-0.2154
880.8076	42.3544	34.8491	0.8467	6.2168	0.9996	-0.2154
880.9600	43.1825	34.6834	0.8417	6.1934	1.1453	-0.2154
881.1124	45.6119	36.3618	0.8971	6.4071	1.2518	-0.2154
881.2648	48.6721	38.2334	0.9784	6.5309	1.3895	-0.2154
881.4172	52.3172	40.1755	1.0341	6.8276	1.5642	-0.2154
881.5696	56.2137	42.1986	1.0782	7.2183	1.7590	-0.2154
881.7220	60.2375	45.9003	1.1667	7.8870	1.7797	-0.2154
881.8744	61.2676	49.2269	1.1402	9.1090	1.4889	-0.2154
882.0268	59.6045	47.8260	1.1029	8.8782	1.4569	-0.2154
882.1792	56.6488	43.9672	1.0400	8.0090	1.5380	-0.2154
882.3316	55.8932	43.5100	1.0079	8.0504	1.4493	-0.2154
882.4840	56.6410	42.5527	1.0340	7.5906	1.6733	-0.2154
882.6364	57.6190	43.8123	1.0728	7.7674	1.6479	-0.2154
882.7888	57.4800	43.8576	1.0995	7.6253	1.5992	-0.2154
882.9412	56.0057	42.2118	1.0586	7.3371	1.6484	-0.2154
883.0936	56.5913	43.0182	1.0750	7.4998	1.6017	-0.2154
883.2460	56.8500	43.4120	1.0671	7.6724	1.6596	-0.2154
883.3984	59.4005	44.4985	1.1034	7.8081	1.7868	-0.2154
883.5508	58.8829	41.5993	1.1293	6.7267	2.0431	-0.2154
