HOLE:	U1351B
EXPEDITION:	317
TOP:	73.0876
BOTTOM:	454.8496
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
73.0876	9.1550	5.6934	0.1453	0.9751	0.5345	-0.5225
73.2400	9.1550	5.6934	0.1453	0.9751	0.5345	-0.5225
73.3924	9.1550	5.6934	0.1453	0.9751	0.5345	-0.5225
73.5448	9.1550	5.6934	0.1453	0.9751	0.5345	-0.5225
73.6972	9.1550	5.6934	0.1453	0.9751	0.5345	-0.5225
73.8496	8.8901	6.1834	0.1621	1.0339	0.4242	-0.5225
74.0020	8.7366	6.0749	0.1775	0.9086	0.4105	-0.5225
74.1544	7.4553	5.1478	0.1425	0.8166	0.3730	-0.5225
74.3068	6.6889	4.4866	0.1146	0.7677	0.3454	-0.5225
74.4592	6.7674	4.9447	0.1299	0.8248	0.2878	-0.5225
74.6116	7.2686	5.5342	0.1401	0.9545	0.2822	-0.5225
74.7640	7.9648	6.3482	0.1440	1.1926	0.2537	-0.5225
74.9164	7.6053	6.1009	0.1311	1.1890	0.2207	-0.5225
75.0688	6.6619	4.4021	0.1054	0.7947	0.3282	-0.5225
75.2212	5.6681	3.7474	0.0919	0.6634	0.2795	-0.5225
75.3736	4.5341	2.9926	0.0727	0.5340	0.2326	-0.5225
75.5260	4.1689	2.8772	0.0672	0.5289	0.2040	-0.5225
75.6784	3.4265	2.3319	0.0452	0.4831	0.1770	-0.5225
75.8308	3.1798	2.1042	0.0399	0.4412	0.1428	-0.5225
75.9832	2.7124	2.2292	0.0521	0.4100	0.0581	-0.5225
76.1356	2.5353	2.0878	0.0400	0.4353	0.0582	-0.5225
76.2880	2.8833	2.1714	0.0372	0.4782	0.0732	-0.5225
76.4404	3.0968	2.3940	0.0405	0.5306	0.0947	-0.5225
76.5928	4.5504	3.1238	0.0587	0.6580	0.2045	-0.5225
76.7452	6.1018	4.2205	0.0845	0.8585	0.2789	-0.5225
76.8976	7.0057	4.9331	0.1099	0.9384	0.3360	-0.5225
77.0500	7.1738	5.2295	0.1034	1.0715	0.3148	-0.5225
77.2024	7.1579	5.2017	0.1009	1.0770	0.3085	-0.5225
77.3548	7.6567	5.4919	0.1088	1.1238	0.3465	-0.5225
77.5072	8.0896	6.0205	0.1238	1.2057	0.3556	-0.5225
77.6596	7.0124	4.8537	0.0835	1.0678	0.3799	-0.5225
77.8120	5.6732	3.3261	0.0675	0.6712	0.3975	-0.5225
77.9644	4.2172	2.8105	0.0585	0.5590	0.2693	-0.5225
