HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0880
BOTTOM:	1028.9404
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
0.0880	1877.0000	269.4432	13681.5078	1610.4150
0.2404	1823.0000	268.8336	13679.4697	1600.1056
0.3928	1872.0000	268.8336	13677.4443	1615.0365
0.5452	1878.0000	269.4432	13675.3877	1611.8370
0.6976	1866.0000	270.0528	13673.3496	1611.4816
0.8500	1864.0000	270.0528	13671.3096	1605.7936
1.0024	1835.0000	269.1384	13669.2861	1592.6400
1.1548	1829.0000	268.8336	13667.2500	1608.2821
1.3072	1831.0000	268.2240	13665.2256	1605.4381
1.4596	1820.0000	266.7000	13663.1855	1606.1490
1.6120	1853.0000	266.3952	13661.1299	1642.4100
1.7644	1832.0000	266.7000	13659.0576	1594.4176
1.9168	1775.0000	266.7000	13657.0020	1587.3076
2.0692	1854.0000	267.9192	13654.9600	1643.4766
2.2216	1816.0000	268.2240	13652.9062	1588.7296
2.3740	1806.0000	268.5288	13650.8477	1594.7731
2.5264	1874.0000	269.1384	13648.8076	1652.3640
2.6788	1792.0000	268.8336	13646.7695	1595.1285
2.8312	1737.0000	268.8336	13644.7324	1574.1541
2.9836	1834.0000	268.2240	13642.6904	1625.7015
3.1360	1845.0000	269.1384	13640.6338	1623.2130
3.2884	1781.0000	269.7480	13638.5957	1593.7065
3.4408	1800.0000	269.7480	13636.5723	1597.9725
3.5932	1847.0000	268.8336	13634.5322	1625.3461
3.7456	1833.0000	267.6144	13632.5098	1611.4816
3.8980	1838.0000	267.3096	13630.4541	1593.7065
4.0504	1844.0000	267.6144	13628.4141	1606.8601
4.2028	1885.0000	267.9192	13626.3584	1618.5916
4.3552	1872.0000	268.5288	13624.2998	1617.5250
4.5076	1873.0000	269.4432	13622.2783	1622.5021
4.6600	1879.0000	270.6624	13620.2217	1620.7246
4.8124	1808.0000	270.9672	13618.1982	1600.4611
4.9648	1829.0000	269.1384	13616.1777	1608.2821
5.1172	1832.0000	267.6144	13614.1543	1606.1490
5.2696	1839.0000	267.3096	13612.1143	1623.2130
5.4220	1880.0000	267.6144	13610.0576	1640.6326
5.5744	1787.0000	267.3096	13607.9863	1558.8676
5.7268	1776.0000	267.3096	13605.9619	1581.6195
5.8792	1937.0000	266.7000	13603.9062	1678.3156
6.0316	1818.0000	268.2240	13601.8496	1585.1746
6.1840	1821.0000	268.2240	13599.7939	1591.2180
6.3364	1843.0000	268.2240	13597.7520	1602.9496
6.4888	1807.0000	268.2240	13595.7139	1611.4816
6.6412	1845.0000	268.2240	13593.6582	1618.9470
6.7936	1836.0000	269.1384	13591.5996	1625.3461
6.9460	1813.0000	269.1384	13589.5781	1618.9470
7.0984	1833.0000	268.2240	13587.5225	1625.3461
7.2508	1881.0000	267.6144	13585.4980	1661.9625
7.4032	1869.0000	267.9192	13583.4600	1669.0725
7.5556	1842.0000	269.1384	13581.4023	1621.4355
7.7080	1815.0000	267.0048	13579.3643	1628.1901
7.8604	1877.0000	267.0048	13577.3242	1668.0061
8.0128	1881.0000	267.9192	13575.2676	1655.9191
8.1652	1833.0000	268.2240	13573.2119	1617.5250
8.3176	1875.0000	267.6144	13571.1562	1631.0341
8.4700	1911.0000	268.2240	13569.1162	1664.0956
8.6224	1906.0000	268.8336	13567.0781	1657.3411
8.7748	1899.0000	269.4432	13565.0176	1642.0546
8.9272	1859.0000	268.8336	13562.9980	1635.6555
9.0796	1894.0000	268.2240	13560.9580	1654.1416
9.2320	1857.0000	267.6144	13558.9180	1627.8346
9.3844	1878.0000	266.3952	13556.8779	1655.9191
9.5368	1895.0000	265.4808	13554.8057	1659.1185
9.6892	1893.0000	265.1760	13552.7656	1648.8091
9.8416	1882.0000	265.7856	13550.6943	1656.6300
9.9940	1859.0000	266.7000	13548.6201	1654.8525
10.1464	1872.0000	266.7000	13546.5645	1655.9191
10.2988	1918.0000	267.3096	13544.5059	1673.6941
10.4512	1865.0000	267.3096	13542.4658	1644.5431
10.6036	1884.0000	266.3952	13540.3936	1665.5176
10.7560	1912.0000	267.3096	13538.3535	1679.3821
10.9084	1871.0000	268.5288	13536.2979	1648.8091
11.0608	1797.0000	268.2240	13534.2422	1623.2130
11.2132	1890.0000	268.2240	13532.2178	1677.2490
11.3656	1906.0000	268.2240	13530.1621	1700.0011
11.5180	1853.0000	269.1384	13528.1064	1657.6965
