HOLE:	U1351B
EXPEDITION:	317
TOP:	872.5780
BOTTOM:	1028.9404
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
872.5780	2433.0000	281.6352	1710.3680	1356.2325
872.7304	2433.0000	281.6352	1710.3680	1356.2325
872.8828	2433.0000	281.6352	1710.3680	1356.2325
873.0352	2433.0000	281.6352	1710.3680	1356.2325
873.1876	2433.0000	281.6352	1710.3680	1356.2325
873.3400	2433.0000	281.6352	1710.3680	1356.2325
873.4924	2433.0000	281.6352	1710.3680	1356.2325
873.6448	2433.0000	281.6352	1710.3680	1356.2325
873.7972	2433.0000	281.6352	1710.3680	1356.2325
873.9496	2433.0000	281.6352	1710.3680	1356.2325
874.1020	2433.0000	281.6352	1710.3680	1356.2325
874.2544	2433.0000	281.6352	1710.3680	1356.2325
874.4068	2433.0000	281.6352	1710.3680	1356.2325
874.5592	2433.0000	281.6352	1710.3680	1356.2325
874.7116	2433.0000	281.6352	1710.3680	1356.2325
874.8640	2433.0000	281.6352	1710.3680	1356.2325
875.0164	2433.0000	281.6352	1710.3680	1356.2325
875.1688	2433.0000	281.6352	1710.3680	1356.2325
875.3212	2433.0000	281.6352	1710.3680	1356.2325
875.4736	2433.0000	281.6352	1710.3680	1356.2325
875.6260	2433.0000	281.6352	1710.3680	1356.2325
875.7784	2433.0000	281.6352	1710.3680	1356.2325
875.9308	2433.0000	281.6352	1710.3680	1356.2325
876.0832	2433.0000	281.6352	1710.3680	1356.2325
876.2356	2433.0000	281.6352	1710.3680	1356.2325
876.3880	2433.0000	281.6352	1710.3680	1356.2325
876.5404	2433.0000	281.6352	1710.3680	1356.2325
876.6928	2433.0000	281.6352	1710.3680	1356.2325
876.8452	2433.0000	281.6352	1710.3680	1356.2325
876.9976	2433.0000	281.6352	1710.3680	1356.2325
877.1500	2433.0000	281.6352	1710.3680	1356.2325
877.3024	2433.0000	281.6352	1710.3680	1356.2325
877.4548	2433.0000	281.6352	1710.3680	1356.2325
877.6072	2433.0000	281.6352	1710.3680	1356.2325
877.7596	2433.0000	281.6352	1710.3680	1356.2325
877.9120	2433.0000	281.6352	1710.3680	1356.2325
878.0644	2433.0000	281.6352	1710.3680	1356.2325
878.2168	2433.0000	281.6352	1710.3680	1356.2325
878.3692	2433.0000	281.6352	1710.3680	1356.2325
878.5216	2433.0000	281.6352	1710.3680	1356.2325
878.6740	2433.0000	281.6352	1710.3680	1356.2325
878.8264	2433.0000	281.6352	1710.3680	1356.2325
878.9788	2433.0000	281.6352	1710.3680	1356.2325
879.1312	2433.0000	281.6352	1710.3680	1356.2325
879.2836	2433.0000	281.6352	1710.3680	1356.2325
879.4360	2433.0000	281.6352	1710.3680	1356.2325
879.5884	2433.0000	281.6352	1710.3680	1356.2325
879.7408	2433.0000	281.6352	1710.3680	1356.2325
879.8932	2433.0000	281.6352	1710.3680	1356.2325
880.0456	2433.0000	281.6352	1710.3680	1356.2325
880.1980	2433.0000	281.6352	1710.3680	1356.2325
880.3504	2433.0000	281.6352	1710.3680	1356.2325
880.5028	2433.0000	281.6352	1710.3680	1356.2325
880.6552	2433.0000	281.6352	1710.3680	1356.2325
880.8076	2433.0000	281.6352	1710.3680	1356.2325
880.9600	2433.0000	281.6352	1710.3680	1356.2325
881.1124	2433.0000	281.6352	1710.3680	1356.2325
881.2648	2433.0000	281.6352	1710.3680	1356.2325
881.4172	2433.0000	281.6352	1710.3680	1356.2325
881.5696	2433.0000	281.6352	1710.3680	1356.2325
881.7220	2433.0000	281.6352	1710.3680	1356.2325
881.8744	2433.0000	281.6352	1710.3680	1356.2325
882.0268	2433.0000	281.6352	1710.3680	1356.2325
882.1792	2433.0000	281.6352	1710.3680	1356.2325
882.3316	2433.0000	281.6352	1710.3680	1356.2325
882.4840	2433.0000	281.6352	1710.3680	1356.2325
882.6364	2433.0000	281.6352	1710.3680	1356.2325
882.7888	2433.0000	281.6352	1710.3680	1356.2325
882.9412	2433.0000	281.6352	1710.3680	1356.2325
883.0936	2433.0000	281.6352	1710.3680	1356.2325
883.2460	2433.0000	281.6352	1710.3680	1356.2325
883.3984	2433.0000	281.6352	1710.3680	1356.2325
883.5508	2433.0000	281.6352	1710.3680	1356.2325
883.7032	2433.0000	281.6352	1710.3680	1356.2325
883.8556	2433.0000	281.6352	1710.3680	1356.2325
884.0080	2433.0000	281.6352	1710.3680	1356.2325
884.1604	2433.0000	281.6352	1710.3680	1356.2325
884.3128	2433.0000	281.6352	1710.3680	1356.2325
884.4652	2433.0000	281.6352	1710.3680	1356.2325
884.6176	2433.0000	281.6352	1710.3680	1356.2325
884.7700	2433.0000	281.6352	1710.3680	1356.2325
884.9224	2433.0000	281.6352	1710.3680	1356.2325
885.0748	2433.0000	281.6352	1710.3680	1356.2325
885.2272	2433.0000	281.6352	1710.3680	1356.2325
885.3796	2433.0000	281.6352	1710.3680	1356.2325
885.5320	2433.0000	281.6352	1710.3680	1356.2325
885.6844	2433.0000	281.6352	1710.3680	1356.2325
885.8368	2433.0000	281.6352	1710.3680	1356.2325
885.9892	2433.0000	281.6352	1710.3680	1356.2325
886.1416	2433.0000	281.6352	1710.3680	1356.2325
886.2940	2433.0000	281.6352	1710.3680	1356.2325
886.4464	2433.0000	281.6352	1710.3680	1356.2325
886.5988	2433.0000	281.6352	1710.3680	1356.2325
886.7512	2433.0000	281.6352	1710.3680	1356.2325
886.9036	2433.0000	281.6352	1710.3680	1356.2325
887.0560	2433.0000	281.6352	1710.3680	1356.2325
887.2084	2433.0000	281.6352	1710.3680	1356.2325
887.3608	2433.0000	281.6352	1710.3680	1356.2325
887.5132	2433.0000	281.6352	1710.3680	1356.2325
887.6656	2433.0000	281.6352	1710.3680	1356.2325
887.8180	2433.0000	281.6352	1710.3680	1356.2325
887.9704	2433.0000	281.6352	1710.3680	1356.2325
888.1228	2433.0000	281.6352	1710.3680	1356.2325
888.2752	2433.0000	281.6352	1710.3680	1356.2325
888.4276	2433.0000	281.6352	1710.3680	1356.2325
888.5800	2433.0000	281.6352	1710.3680	1356.2325
888.7324	2433.0000	281.6352	1710.3680	1356.2325
888.8848	2433.0000	281.6352	1710.3680	1356.2325
889.0372	2433.0000	281.6352	1710.3680	1356.2325
889.1896	2433.0000	281.6352	1710.3680	1356.2325
889.3420	2433.0000	281.6352	1710.3680	1356.2325
889.4944	2433.0000	281.6352	1710.3680	1356.2325
889.6468	2433.0000	281.6352	1710.3680	1356.2325
889.7992	2433.0000	281.6352	1710.3680	1356.2325
889.9516	2433.0000	281.6352	1710.3680	1356.2325
890.1040	2433.0000	281.6352	1710.3680	1356.2325
890.2564	2433.0000	281.6352	1710.3680	1356.2325
890.4088	2433.0000	281.6352	1710.3680	1356.2325
890.5612	2433.0000	281.6352	1710.3680	1356.2325
890.7136	2433.0000	281.6352	1710.3680	1356.2325
890.8660	2433.0000	281.6352	1710.3680	1356.2325
891.0184	2433.0000	281.6352	1710.3680	1356.2325
891.1708	2413.2043	281.6352	1709.6295	1345.2705
891.3232	2382.1560	281.6352	1707.6738	1335.3827
891.4756	2388.2893	281.7541	1705.7148	1346.3926
891.6280	2371.7087	281.9400	1703.7606	1324.0021
891.7804	2386.6978	281.6967	1701.8036	1326.0209
891.9328	2399.5051	281.9467	1699.8469	1323.2476
892.0852	2297.0051	282.7298	1697.8896	1253.6995
892.2376	2305.9163	282.2975	1695.9418	1286.8448
892.3900	2334.0732	281.8126	1693.9924	1312.1198
892.5424	2390.9031	282.0219	1692.0358	1348.2725
892.6948	2386.7708	282.5496	1690.0779	1348.4103
892.8472	2308.4651	282.5496	1688.1287	1284.4752
892.9996	2379.1030	282.8160	1686.1852	1317.0828
893.1520	2359.9492	283.2938	1684.2382	1309.3182
893.3044	2301.6611	284.2802	1682.2806	1288.2087
893.4568	2393.3792	280.7554	1680.3472	1345.0645
893.6092	2367.9956	276.0679	1678.3945	1297.0277
893.7616	2140.8008	255.4644	1676.4037	1125.0043
893.9140	2153.2725	227.0019	1674.2178	1175.4409
894.0664	2281.9485	219.1223	1671.7771	1242.7775
894.2188	2336.5034	251.0057	1663.0404	1272.2458
894.3712	2359.3965	290.9632	1653.9088	1325.5288
894.5236	2385.2278	283.3848	1652.0204	1321.5758
894.6760	2443.2202	283.4451	1650.0905	1346.5321
894.8284	2425.7039	292.2870	1648.1654	1337.3976
894.9808	2322.2012	293.0670	1646.2837	1258.0361
895.1332	2304.1675	291.8420	1644.4041	1267.5361
895.2856	2344.1191	290.1560	1642.5154	1310.1447
895.4380	2383.7610	289.0991	1640.6173	1332.5723
895.5904	2420.7197	288.9504	1638.7186	1356.3971
895.7428	2425.4360	289.5860	1636.8108	1338.2009
895.8952	2386.0732	280.5362	1634.9119	1311.0079
896.0476	2352.0000	281.5920	1632.9779	1320.0439
896.2000	2400.7410	289.8431	1631.0306	1357.7761
896.3524	2374.9043	290.2189	1629.1333	1342.3849
896.5048	2424.9204	288.9518	1627.2434	1373.3455
896.6572	2355.5876	290.6098	1625.3280	1312.0009
896.8096	2174.5381	294.4007	1623.4249	1180.7622
896.9620	2211.7192	283.5920	1621.5532	1206.3254
897.1144	2322.6128	284.2868	1619.6982	1294.2772
897.2668	2370.0979	290.2653	1617.8412	1330.8805
897.4192	2446.3584	288.7757	1615.9576	1380.7090
897.5716	2421.6909	288.9980	1614.0486	1370.6323
897.7240	2417.2773	288.9000	1612.1433	1362.7219
897.8764	2413.4492	289.0038	1610.2343	1360.8519
898.0288	2406.3103	289.7965	1608.3488	1355.4725
898.1812	2387.5803	290.8972	1606.4642	1352.2302
898.3336	2455.2051	291.3888	1604.5664	1405.7832
898.4860	2391.3687	292.3124	1602.6670	1337.7401
898.6384	2366.5886	289.9337	1600.7797	1306.5851
898.7908	2402.6155	287.0981	1598.8789	1320.8456
898.9432	2396.7988	286.5120	1596.9634	1321.1176
899.0956	2418.6230	286.5120	1595.0378	1321.0829
899.2480	2428.9639	286.7039	1593.1178	1334.2153
899.4004	2374.6294	287.0101	1591.1918	1298.7935
899.5528	2336.6892	286.9268	1589.2695	1272.8182
899.7052	2330.0691	286.0321	1587.3553	1284.5876
899.8576	2384.1389	285.9930	1585.4279	1325.3063
900.0100	2384.6096	286.8044	1583.5065	1310.3556
900.1624	2351.2427	286.7207	1581.5803	1292.5980
900.3148	2430.7581	286.7139	1579.6483	1335.2189
900.4672	2409.9468	287.2235	1577.7380	1329.6666
900.6196	2360.2061	287.8359	1575.8185	1315.5835
900.7720	2372.9702	288.0360	1573.8987	1322.5645
900.9244	2271.9502	287.4131	1571.9950	1273.9425
901.0768	2282.4116	286.9126	1570.0747	1286.3988
901.2292	2334.4785	285.9749	1568.1541	1315.5375
901.3816	2376.9685	284.9621	1566.2283	1352.6620
