HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0879
BOTTOM:	486.3963
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
0.0879	984.0000	459.0288	516.2395	765.3915
0.2403	1008.0000	460.2480	517.4600	760.4146
0.3927	994.0000	463.6008	518.6815	776.0565
0.5451	1023.0000	462.3816	519.8865	797.0310
0.6975	1014.0000	463.9056	521.0905	809.8290
0.8499	1010.0000	464.5152	522.2940	807.3405
1.0023	1008.0000	458.7240	523.4810	767.1690
1.1547	1008.0000	458.1144	524.7010	744.0615
1.3071	988.0000	455.0664	525.9225	754.3710
1.4595	1012.0000	455.6760	527.1275	777.8340
1.6119	1014.0000	455.6760	528.3150	785.6550
1.7643	1034.0000	459.6384	529.5360	762.5475
1.9167	1043.0000	458.1144	530.7405	754.0155
2.0691	1016.0000	458.7240	531.9450	770.3685
2.2215	1036.0000	459.3336	533.1325	778.5450
2.3739	1053.0000	460.2480	534.3535	776.4120
2.5263	1023.0000	461.7720	535.5750	755.4375
2.6787	1007.0000	461.7720	536.7615	760.4146
2.8311	970.0000	460.2480	537.9655	758.6370
2.9835	975.0000	461.1624	539.1860	777.4785
3.1359	1020.0000	461.7720	540.3740	776.7675
3.2883	994.0000	462.3816	541.5705	766.1025
3.4407	1007.0000	458.4192	542.7665	744.4171
3.5931	1026.0000	459.0288	543.9705	751.1715
3.7455	1003.0000	459.6384	545.1910	758.9926
3.8979	983.0000	459.3336	546.3950	773.5681
4.0503	993.0000	459.6384	547.5995	762.5475
4.2027	974.0000	460.2480	548.8390	751.8825
4.3551	982.0000	460.5528	550.0595	750.4605
4.5075	996.0000	464.2104	551.2630	773.9235
4.6599	996.0000	462.6864	552.4665	776.0565
4.8123	1004.0000	462.6864	553.6875	773.9235
4.9647	976.0000	458.4192	554.8920	766.4580
5.1171	974.0000	456.2856	556.0960	758.6370
5.2695	974.0000	456.2856	557.3005	755.4375
5.4219	964.0000	454.7616	558.5045	755.7930
5.5743	963.0000	453.5424	559.7260	766.4580
5.7267	957.0000	452.9328	560.9135	762.9030
5.8791	943.0000	453.2376	562.1185	762.5475
6.0315	960.0000	456.2856	563.3400	747.9720
6.1839	953.0000	456.8952	564.5440	751.5270
6.3363	954.0000	456.8952	565.7310	756.5040
6.4887	950.0000	457.5048	566.9510	755.7930
6.6411	929.0000	457.2000	568.1550	757.9260
6.7935	948.0000	457.2000	569.3600	757.5706
6.9459	943.0000	457.5048	570.5820	753.3045
7.0983	924.0000	457.8096	571.7865	762.5475
7.2507	919.0000	458.4192	572.9735	768.5910
7.4031	943.0000	458.1144	574.1610	758.9926
7.5555	963.0000	457.5048	575.3655	749.7495
7.7079	967.0000	456.8952	576.5865	752.5935
7.8603	938.0000	456.8952	577.7895	753.6600
8.0127	919.0000	455.6760	579.0090	742.6395
8.1651	909.0000	455.6760	580.2310	752.9490
8.3175	934.0000	457.8096	581.4530	764.6805
8.4699	969.0000	463.9056	582.6575	776.4120
8.6223	968.0000	461.1624	583.8615	781.3890
8.7747	950.0000	459.9432	585.0655	742.2840
8.9271	932.0000	455.3712	586.2870	721.3095
9.0795	922.0000	455.0664	587.4998	705.3120
9.2319	943.0000	455.6760	588.7115	706.3785
9.3843	965.0000	454.7616	589.9150	730.1970
9.5367	936.0000	454.1520	591.1190	754.0155
9.6891	909.0000	453.2376	592.3410	745.4835
9.8415	908.0000	452.9328	593.5290	733.7520
9.9939	934.0000	454.1520	594.7330	734.1075
10.1463	978.0000	456.2856	595.9360	762.1920
10.2987	942.0000	455.9808	597.1395	750.4605
10.4511	947.0000	457.2000	598.3610	721.3095
10.6035	929.0000	458.1144	599.5825	706.3785
10.7559	940.0000	459.6384	600.7870	745.1281
10.9083	955.0000	459.6384	601.9740	772.5015
11.0607	910.0000	457.5048	603.1785	760.4146
11.2131	885.0000	457.8096	604.3990	719.1765
11.3655	907.0000	457.5048	605.6035	685.7595
11.5179	911.0000	456.5904	606.8080	711.0000
11.6703	940.0000	456.5904	608.0120	752.5935
11.8227	929.0000	456.5904	609.2160	755.7930
11.9751	890.0000	456.2856	610.4375	738.3735
12.1275	892.0000	456.2856	611.6420	716.3325
12.2799	927.0000	456.5904	612.8800	718.8210
12.4323	934.0000	461.4672	614.0835	739.7955
12.5847	948.0000	463.2960	615.3035	755.0820
12.7371	924.0000	462.9912	616.5075	722.0205
12.8895	948.0000	464.2104	617.7290	703.8900
13.0419	944.0000	462.6864	618.9505	714.1995
13.1943	934.0000	459.6384	620.1545	720.2430
13.3467	941.0000	455.3712	621.3410	736.9515
13.4991	910.0000	455.9808	622.5620	739.7955
13.6515	951.0000	459.0288	623.7825	729.8416
13.8039	949.0000	459.3336	624.9870	726.9975
13.9563	932.0000	459.6384	626.1750	719.5320
14.1087	937.0000	460.2480	627.3800	724.1535
14.2611	922.0000	460.2480	628.6010	740.5065
14.4135	928.0000	461.7720	629.8220	740.5065
14.5659	914.0000	461.7720	631.0265	722.3760
14.7183	899.0000	461.1624	632.2315	717.3990
14.8707	909.0000	461.1624	633.4525	718.1100
15.0231	907.0000	460.8576	634.6485	717.3990
15.1755	893.0000	462.3816	635.8610	723.0870
15.3279	897.0000	462.3816	637.0480	720.2430
15.4803	909.0000	460.8576	638.2525	715.9771
15.6327	916.0000	459.0288	639.4575	722.3760
15.7851	903.0000	460.2480	640.6785	736.9515
15.9375	889.0000	459.9432	641.8985	742.9951
16.0899	879.0000	459.6384	643.1025	729.4860
16.2423	919.0000	459.9432	644.3230	696.4245
16.3947	918.0000	461.7720	645.5445	677.9385
16.5471	922.0000	463.9056	646.7650	698.9130
16.6995	894.0000	463.2960	647.9860	730.1970
16.8519	885.0000	462.0768	649.1735	749.0385
17.0043	903.0000	459.9432	650.4115	697.4910
17.1567	905.0000	456.8952	651.6155	690.0255
17.3091	888.0000	456.8952	652.8370	675.0945
17.4615	890.0000	456.2856	654.0240	711.7110
17.6139	890.0000	455.0664	655.2275	734.4630
17.7663	908.0000	454.7616	656.4320	734.8185
17.9187	918.0000	454.7616	657.6370	707.8005
18.0711	885.0000	455.6760	658.8425	679.3605
18.2235	866.0000	457.2000	660.0645	688.9590
18.3759	859.0000	457.5048	661.2685	712.0665
18.5283	892.0000	460.5528	662.4720	724.5090
18.6807	909.0000	460.2480	663.6770	705.6675
18.8331	873.0000	459.6384	664.8980	666.5625
18.9855	843.0000	456.5904	666.1190	685.0485
19.1379	856.0000	459.0288	667.3060	714.5551
19.2903	882.0000	461.7720	668.5085	736.2405
19.4427	925.0000	460.2480	669.7120	719.8875
19.5951	892.0000	460.5528	670.9180	701.0460
19.7475	844.0000	458.4192	672.1050	708.8670
19.8999	823.0000	455.6760	673.3265	717.0435
20.0523	825.0000	455.6760	674.5470	718.4655
20.2047	851.0000	455.0664	675.7670	692.8695
20.3571	878.0000	457.5048	676.9725	675.0945
20.5095	891.0000	464.8200	678.2115	693.5805
20.6619	899.0000	462.9912	679.4160	712.0665
20.8143	879.0000	462.9912	680.6040	736.9515
20.9667	872.0000	456.2856	681.8245	707.0895
21.1191	883.0000	453.5424	683.0290	700.3350
21.2715	859.0000	454.4568	684.2427	703.5345
21.4239	857.0000	454.1520	685.4380	715.6215
21.5763	856.0000	453.5424	686.6585	714.9105
21.7287	866.0000	453.2376	687.8625	703.5345
21.8811	892.0000	453.5424	689.0665	711.3555
22.0335	889.0000	457.8096	690.2535	721.6650
22.1859	875.0000	457.8096	691.4745	713.8441
22.3383	864.0000	456.2856	692.6795	696.0690
22.4907	840.0000	456.8952	693.8840	700.6906
22.6431	856.0000	457.2000	695.1055	692.1585
22.7955	875.0000	459.6384	696.3080	701.0460
22.9479	850.0000	459.0288	697.5295	711.3555
23.1003	882.0000	459.6384	698.7340	722.7315
23.2527	884.0000	460.8576	699.9215	714.1995
23.4051	884.0000	460.2480	701.1260	703.5345
23.5575	883.0000	458.1144	702.3305	689.3145
23.7099	878.0000	458.4192	703.5355	697.8465
23.8623	872.0000	457.5048	704.7565	707.4450
24.0147	889.0000	458.1144	705.9610	708.1560
24.1671	899.0000	459.6384	707.1650	692.8695
24.3195	919.0000	462.3816	708.4030	684.6931
24.4719	919.0000	466.0392	709.6245	696.7800
24.6243	899.0000	464.2104	710.8460	711.3555
24.7767	890.0000	459.9432	712.0495	702.1125
24.9291	890.0000	459.3336	713.2535	698.9130
25.0815	903.0000	459.9432	714.4740	698.5575
25.2339	915.0000	459.3336	715.6780	711.7110
25.3863	881.0000	456.5904	716.8735	716.3325
25.5387	856.0000	453.8472	718.0690	718.1100
25.6911	869.0000	452.6280	719.2910	701.4016
25.8435	905.0000	458.1144	720.4955	695.3580
25.9959	922.0000	461.7720	721.6825	710.2890
26.1483	901.0000	459.6384	722.8870	705.6675
26.3007	849.0000	455.9808	724.1080	688.2480
26.4531	826.0000	458.1144	725.3285	669.0510
26.6055	842.0000	457.5048	726.5320	672.9615
26.7579	868.0000	458.4192	727.7365	691.0920
26.9103	898.0000	460.5528	728.9580	701.7570
27.0627	860.0000	460.5528	730.1635	693.5805
27.2151	844.0000	460.5528	731.3680	674.7390
27.3675	848.9464	460.5528	732.5759	665.9469
27.5199	868.5696	458.7633	733.7666	667.9386
27.6723	904.8076	458.4290	734.9432	670.3928
27.8247	883.9893	457.8358	736.1500	678.2979
27.9771	851.7744	457.5212	737.3730	683.3589
28.1295	842.5161	457.7899	738.5812	689.9454
28.2819	839.2258	457.8096	739.7734	690.3810
28.4343	875.5582	462.2668	740.9804	681.2835
28.5867	903.3876	462.1358	742.1888	677.5371
28.7391	893.5056	462.0768	743.3963	686.1111
28.8915	878.7737	462.3456	744.5741	702.8546
29.0439	872.6451	459.7269	745.7775	693.8099
29.1963	868.5592	457.4983	746.9857	672.8929
29.3487	839.1178	454.6108	748.1942	662.2123
29.5011	835.6774	453.1295	749.3744	668.6268
29.6535	869.1173	453.1852	750.5773	693.0753
29.8059	897.2477	454.4830	751.7719	697.5560
29.9583	882.6452	456.4822	752.9496	687.7435
30.1107	846.9666	456.4101	754.1511	672.1086
30.2631	839.0000	455.8071	755.3589	657.5334
30.4155	856.8063	456.1479	756.5676	663.5579
30.5679	884.1404	460.9397	757.7631	685.7487
30.7203	863.9031	461.4639	758.9542	702.2388
30.8727	840.9035	459.5794	760.1705	681.9297
31.0251	843.3120	458.8059	761.3700	662.2351
31.1775	848.1613	458.7240	762.5609	658.2866
31.3299	853.9680	461.1035	763.7520	672.7672
31.4823	852.5053	459.3073	764.9549	678.6495
31.6347	823.4738	455.5974	766.1521	668.8640
31.7871	802.8707	454.2503	767.3436	660.0945
31.9395	804.3334	455.9808	768.5457	666.0886
32.0919	831.9239	456.8952	769.7534	682.0092
32.2443	857.9033	456.8952	770.9500	686.1838
32.3967	827.5698	456.7018	772.1621	682.7932
32.5491	819.0966	457.1606	773.3760	670.8516
32.7015	834.3549	457.8784	774.5845	663.7759
32.8539	845.6236	458.4815	775.7831	672.7817
33.0063	854.7314	458.9043	776.9847	679.8460
33.1587	835.9349	454.9581	778.1928	674.4407
33.3111	798.9146	450.6288	779.4014	657.3543
33.4635	783.0000	450.0913	780.5999	651.8954
33.6159	794.5164	450.6615	781.7911	665.9091
33.7683	828.1931	451.1270	782.9909	684.1042
33.9207	857.9573	452.2118	784.1807	690.4727
34.0731	849.4838	453.7194	785.3636	678.6839
34.2255	819.8485	454.3027	786.5629	669.4104
34.3779	783.7412	454.0013	787.7702	663.9592
34.5303	769.2258	453.8472	788.9778	668.1794
34.6827	791.2481	453.8472	790.1777	674.7999
34.8351	802.7634	453.9881	791.3766	673.0763
34.9875	792.2260	454.5649	792.5847	676.0349
35.1399	778.7094	455.4695	793.7855	676.3904
35.2923	783.1829	456.1119	794.9695	679.5708
35.4447	808.9041	455.2630	796.1509	687.5718
35.5971	820.7311	453.8472	797.3418	702.4109
35.7495	804.8603	453.7259	798.5292	717.6589
35.9019	788.0000	453.4244	799.7255	715.5636
36.0543	788.7527	453.4670	800.9392	698.1905
36.2067	798.7739	454.0700	802.1473	697.8082
36.3591	816.1292	454.8894	803.3434	711.6769
36.5115	817.2473	456.9345	804.5353	711.5236
36.6639	804.6660	458.5207	805.7542	698.9136
36.8163	793.2260	456.9935	806.9624	691.9627
36.9687	802.8064	456.2496	808.1649	649.2157
37.1211	812.3122	454.1520	809.3611	641.8150
37.2735	812.1606	453.7095	810.5690	653.2841
37.4259	790.2044	452.3724	811.7722	670.0189
37.5783	784.3442	451.6317	812.9684	618.4933
37.7307	790.8388	451.2515	814.1766	597.1479
37.8831	802.7104	450.8746	815.3844	572.7085
38.0355	812.8171	451.4645	816.5838	600.3441
38.1879	806.5162	452.7657	817.7658	605.3707
38.3403	798.2151	453.3687	818.9741	601.7006
38.4927	796.1394	453.9717	820.1854	599.5765
38.6451	783.8388	454.4568	821.4003	623.5585
38.7975	781.1938	454.5682	822.5782	617.9006
38.9499	791.0000	455.0140	823.7755	597.1215
39.1023	792.1294	454.8108	824.9976	580.9994
39.2547	796.1934	455.0664	826.2033	545.6965
