HOLE:	U1351B
EXPEDITION:	317
TOP:	73.0876
BOTTOM:	483.3484
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
73.0876	2466.0000	331.6224	4155.0229	2156.4631
73.2400	2465.0000	331.6224	4153.3862	2165.3506
73.3924	2495.0000	331.3176	4151.7319	2173.1716
73.5448	2488.0000	303.5808	4150.0762	2168.9055
73.6972	2455.0000	280.4160	4148.2539	2165.3506
73.8496	2450.0000	281.9400	4146.2959	2147.9312
74.0020	2450.0000	281.9400	4144.3560	2154.3301
74.1544	2424.0000	282.5496	4142.3999	2125.1790
74.3068	2433.0000	283.4640	4140.4761	2146.1536
74.4592	2441.0000	283.7688	4138.5361	2174.2380
74.6116	2501.0000	315.4680	4136.6138	2206.9441
74.7640	2517.0000	326.4408	4134.8408	2213.6985
74.9164	2506.0000	334.3656	4133.1519	2219.3865
75.0688	2528.0000	335.2800	4131.5142	2221.1641
75.2212	2514.0000	346.2528	4129.8589	2234.6731
75.3736	2556.0000	363.6264	4128.2720	2249.6040
75.5260	2475.0000	278.5872	4126.7520	2197.7012
75.6784	2450.0000	261.2136	4124.9438	2151.1306
75.8308	2467.0000	261.5184	4122.8359	2172.8162
75.9832	2492.0000	262.1280	4120.7461	2173.1716
76.1356	2482.0000	262.4328	4118.6362	2153.2637
76.2880	2508.0000	262.4328	4116.5630	2163.2175
76.4404	2433.0000	263.3472	4114.4570	2141.8877
76.5928	2489.0000	262.7376	4112.3662	2176.7266
76.7452	2474.0000	261.5184	4110.3101	2172.8162
76.8976	2428.0000	260.2992	4108.2061	2124.4680
77.0500	2522.0000	259.6896	4106.1138	2152.9080
77.2024	2488.0000	259.0800	4104.0088	2148.9976
77.3548	2441.0000	257.2512	4101.8672	2144.0205
77.5072	2352.0000	167.6400	4099.7080	2034.8821
77.6596	2421.0000	256.6416	4096.6138	2122.6907
77.8120	2430.0000	255.7272	4094.4741	2145.0872
77.9644	2456.0000	256.0320	4092.3501	2162.1511
78.1168	2428.0000	257.2512	4090.1941	2149.3530
78.2692	2433.0000	258.4704	4088.0540	2150.0640
78.4216	2402.0000	257.8608	4085.9299	2107.7595
78.5740	2381.0000	256.9464	4083.8081	2115.5806
78.7264	2493.0000	256.3368	4081.6841	2179.5706
78.8788	2441.0000	256.3368	4079.5439	2152.5525
79.0312	2467.0000	256.9464	4077.4021	2169.6165
79.1836	2366.0000	256.9464	4075.2620	2078.6086
79.3360	2345.0000	257.2512	4073.1531	2083.9412
79.4884	2395.0000	256.0320	4071.0300	2117.7136
79.6408	2476.0000	255.4224	4068.8899	2167.8391
79.7932	2901.0000	244.7544	4066.7319	2593.3726
79.9456	2509.0000	214.2744	4064.4260	2166.7725
80.0980	2935.0000	203.3016	4061.8350	2609.7256
80.2504	2819.0000	112.4712	4049.0071	2528.3162
80.4028	2918.0000	178.0032	4039.3940	2558.8892
80.5552	2736.0000	181.9656	4036.3201	2398.2031
80.7076	2500.0000	186.5376	4033.3259	2157.1741
80.8600	2559.0000	187.1472	4030.3821	2193.7905
81.0124	2433.0000	187.4520	4027.4380	2098.1611
81.1648	2428.0000	186.2328	4024.4951	2077.8975
81.3172	2478.0000	185.3184	4021.5681	2153.2637
81.4696	2452.0000	185.6232	4018.6089	2137.6216
81.6220	2457.0000	185.0136	4015.6680	2123.0461
81.7744	2385.0000	186.2328	4012.6919	2087.8516
81.9268	2402.0000	185.9280	4009.7661	2078.6086
82.0792	2371.0000	186.2328	4006.8220	2080.7415
82.2316	2423.0000	187.1472	4003.8601	2150.0640
82.3840	2199.0000	193.2432	4000.9180	1899.4364
82.5364	2558.0000	184.7088	3997.9580	2283.0210
82.6888	2332.0000	186.5376	3994.9990	2074.3425
82.8412	2345.0000	185.9280	3992.0740	2083.9412
82.9936	2459.0000	186.8424	3989.0991	2180.2815
83.1460	2365.0000	186.8424	3986.1880	2080.3860
83.2984	2421.0000	187.1472	3983.2600	2125.8901
83.4508	2336.0000	187.7568	3980.3140	2063.6775
83.6032	2411.0000	186.2328	3977.4021	2087.1406
83.7556	2435.0000	185.3184	3974.4751	2117.7136
83.9080	2407.0000	186.2328	3971.4980	2087.8516
84.0604	2398.0000	187.4520	3968.5701	2073.2761
84.2128	2382.0000	187.4520	3965.6460	2085.0076
84.3652	2407.0000	187.4520	3962.7029	2095.6726
84.5176	2421.0000	187.1472	3959.7920	2093.5396
84.6700	2374.0000	186.8424	3956.8621	2080.7415
84.8224	2626.0000	182.8800	3953.9670	2238.5835
84.9748	2420.0000	187.1472	3951.0061	2099.2275
85.1272	2361.0000	187.7568	3948.0769	2051.2351
85.2796	2418.0000	186.5376	3945.1499	2090.3401
85.4320	2420.0000	186.5376	3942.2241	2103.8491
85.5844	2370.0000	185.9280	3939.2639	2053.7236
85.7368	2426.0000	185.0136	3936.3379	2093.8950
85.8892	2410.0000	186.5376	3933.3931	2075.7646
86.0416	2376.0000	186.2328	3930.4460	2047.6802
86.1940	2381.0000	186.8424	3927.4839	2064.0330
86.3464	2312.0000	187.1472	3924.5391	2027.0609
86.4988	2372.0000	188.0616	3921.6289	2078.9641
86.6512	2332.0000	188.3664	3918.6860	2038.4371
86.8036	2318.0000	188.0616	3915.7939	2045.1914
86.9560	2274.0000	188.0616	3912.8679	2013.1965
87.1084	2294.0000	187.1472	3909.9561	2050.5242
87.2608	2309.0000	188.3664	3907.0439	2056.9231
87.4132	2281.0000	189.5856	3904.1001	2019.9509
87.5656	2281.0000	188.6712	3901.2219	2034.1710
87.7180	2307.0000	188.3664	3898.3279	2028.8386
87.8704	2311.0000	188.0616	3895.4021	2003.2427
88.0228	2346.0000	187.7568	3892.5100	2054.4346
88.1752	2299.0000	188.3664	3889.5840	1975.1580
88.3276	2350.0000	188.3664	3886.6880	2036.3041
88.4800	2302.0000	190.1952	3883.7749	1965.5594
88.6324	2298.0000	190.5000	3880.8821	1980.1350
88.7848	2338.0000	190.5000	3877.9861	1987.6006
88.9372	2337.0000	190.5000	3875.1260	1981.2015
89.0896	2333.0000	189.8904	3872.2500	1977.2910
89.2420	2253.0000	190.5000	3869.3740	1917.9226
89.3944	2189.0000	191.1096	3866.4971	1857.1322
89.5468	2209.0000	189.8904	3863.6340	1885.2167
89.6992	2252.0000	190.5000	3860.7400	1909.7461
89.8516	2129.0000	190.5000	3857.8621	1815.1831
90.0040	2168.0000	188.3664	3854.9851	1850.7330
90.1564	2251.0000	187.7568	3852.0750	1940.6746
90.3088	2162.0000	129.8448	3849.1150	1866.7307
90.4612	2078.0000	129.5400	3844.9021	1814.1166
90.6136	2362.0000	124.9680	3840.6851	2074.6980
90.7660	2181.0000	130.4544	3836.3330	1940.6746
90.9184	2043.0000	133.1976	3832.1340	1790.6536
91.0708	3026.0000	285.9024	3827.3840	2737.3501
91.2232	2659.0000	294.1320	3825.4780	2406.0242
91.3756	2318.0000	304.1904	3823.6211	2031.6827
91.5280	2133.0000	305.7144	3821.7991	1851.0887
91.6804	2156.0000	300.8376	3819.9939	1876.6847
91.8328	2253.0000	299.3136	3818.2041	1907.9686
91.9852	2193.0000	303.5808	3816.3469	1849.6667
92.1376	2143.0000	309.6768	3814.5381	1825.1371
92.2900	2194.0000	302.9712	3812.7639	1853.9326
92.4424	2215.0000	303.5808	3810.9561	1895.8817
92.5948	2176.0000	304.8000	3809.1321	1868.1527
92.7472	2174.0000	304.8000	3807.3250	1878.1066
92.8996	2181.3086	304.7971	3805.5190	1876.6947
93.0520	2212.9519	304.4836	3803.7119	1876.9993
93.2044	2159.3157	303.8506	3801.9043	1839.1478
93.3568	2171.3027	302.6431	3800.0801	1868.6975
93.5092	2201.4658	302.0859	3798.2427	1880.1627
93.6616	2153.7009	302.5788	3796.4182	1839.4874
93.8140	2200.1462	301.0811	3794.5776	1895.6538
93.9664	2226.0103	300.3917	3792.7378	1914.9750
94.1188	2176.0996	302.4142	3790.8943	1885.8188
94.2712	2161.3779	302.8834	3789.0542	1868.7319
94.4236	2208.5125	302.1212	3787.2434	1928.5212
94.5760	2176.9275	302.6664	3785.4050	1902.5634
94.7284	2164.1199	302.6284	3783.5786	1872.9457
94.8808	2186.9412	302.4026	3781.7388	1901.3274
