HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
398.5752	62.0563	0.9057	30.5205	481.0000	2294.5000
398.7276	58.6915	0.4808	30.7276	496.0000	2402.5000
398.8800	55.3128	0.7047	31.9781	474.0000	2434.5000
399.0324	58.5374	0.4178	35.3435	459.5000	2374.5000
399.1848	57.6938	0.5276	33.9556	487.0000	2417.5000
399.3372	55.4973	0.4704	34.4651	465.5000	2412.5000
399.4896	60.3819	0.3290	34.6817	452.0000	2382.5000
399.6420	63.3983	0.1113	34.3893	451.5000	2365.0000
399.7944	62.3694	0.1225	34.6285	471.5000	2433.5000
399.9468	55.3462	0.2620	33.8526	476.0000	2438.5000
400.0992	51.1565	0.3754	33.7629	487.0000	2443.1111
400.2516	52.2888	0.3597	34.1603	504.0000	2354.8572
400.4040	55.2587	0.3466	33.6598	500.0000	2331.5000
400.5564	56.6556	0.5006	32.1909	476.5714	2449.0000
400.7088	67.6336	0.7846	32.4830	454.0000	2448.5000
400.8612	83.6856	0.0169	33.9896	458.5000	2438.5000
401.0136	94.1044	-0.4416	34.0391	404.0000	2436.0000
401.1660	95.1471	-0.4253	34.7291	390.2857	2412.5000
401.3184	95.3386	-0.4196	35.1295	420.5000	2277.0000
401.4708	96.6083	-0.3543	34.4123	378.5000	2316.0000
401.6232	90.7602	-0.3886	36.7951	388.4445	2271.5557
401.7756	87.4154	-0.2189	38.0345	394.5000	2297.5000
401.9280	86.3051	-0.1531	37.5364	426.5000	2235.0000
402.0804	89.4749	-0.3346	38.6253	393.0000	2243.5000
402.2328	91.9486	-0.4216	39.7398	416.5000	2263.0000
402.3852	96.0785	-0.3917	39.2649	435.5555	2284.5000
402.5376	88.9677	-0.3001	39.2341	412.0000	2256.5000
402.6900	77.2185	0.4049	38.5306	450.0000	2309.7778
402.8424	55.5878	0.4623	36.6366	487.0000	2321.0000
402.9948	43.4060	0.4319	34.7264	493.5000	2576.5000
403.1472	42.1749	0.3190	32.7516	542.5000	2552.5000
403.2996	46.0451	0.1443	30.5137	532.5000	2574.5000
403.4520	49.4802	0.1377	30.4009	502.5000	2542.0000
403.6044	45.7339	0.2343	30.2128	555.0000	2564.5000
403.7568	44.7603	0.2307	30.2829	558.5000	2826.0000
403.9092	43.0547	0.2363	30.2535	537.0000	2812.0000
404.0616	45.7132	0.2733	31.6255	502.0000	2851.0000
404.2140	41.0537	0.3388	32.0090	530.0000	2798.0000
404.3664	41.8676	0.4025	32.8453	514.2222	2815.0000
404.5188	46.2127	0.3675	32.4402	514.8571	2662.5000
404.6712	54.3089	0.3203	33.2625	500.4445	2527.5000
404.8236	52.9294	0.4291	31.3414	471.5000	2497.0000
404.9760	51.9535	0.3584	31.2121	483.0000	2478.0000
405.1284	50.5199	0.3374	30.7278	489.7143	2508.0000
405.2808	52.7937	0.5949	31.2833	486.5000	2481.5000
405.4332	50.4848	0.4344	30.5099	501.0000	2502.0000
405.5856	51.1129	0.2890	32.2539	494.0000	2610.0000
405.7380	46.7123	0.3558	33.4897	484.5000	2540.5715
405.8904	45.8712	0.3291	32.2902	519.0000	2576.5000
406.0428	45.7048	0.2713	32.9121	489.5000	2556.5000
406.1952	47.9364	0.4188	33.8634	525.7143	2513.0000
406.3476	39.8546	1.0389	30.5028	473.7778	2520.5000
406.5000	36.9003	1.2213	29.2713	441.7143	2507.5000
406.6524	37.0642	1.2127	30.1280	454.5000	2475.0000
406.8048	36.7759	1.1313	30.3081	484.5000	2483.0000
406.9572	60.0212	0.7399	30.8560	457.5000	2503.0000
407.1096	78.2302	-0.0376	32.7683	423.0000	2309.5000
407.2620	100.1062	0.0413	32.2223	370.5000	2250.8572
407.4144	99.0620	-0.1336	33.6678	402.0000	2330.5000
407.5668	100.4858	0.0692	33.3966	401.5000	2277.5000
407.7192	103.9572	0.9253	33.0641	390.8571	2328.5000
407.8716	99.4452	-0.0842	35.3526	399.0000	2313.0000
408.0240	96.0563	-0.3877	35.0855	401.0000	2300.0000
408.1764	93.3672	-0.4421	35.0322	388.5000	2277.0000
408.3288	90.6787	-0.3785	35.1536	366.0000	2267.0000
408.4812	89.6597	-0.3361	35.2815	404.0000	2246.0000
408.6336	77.5577	0.3866	34.9858	400.5347	2296.9895
408.7860	72.7161	0.6247	33.8515	421.5696	2422.9375
408.9384	75.5130	0.5125	34.6271	409.8766	2375.0667
409.0908	87.2175	-0.2079	35.6481	410.9396	2415.2498
409.2432	96.2834	-0.3438	34.7368	402.4531	2287.3723
409.3956	99.1749	-0.1167	33.9748	447.5679	2346.0667
409.5480	92.9226	-0.4095	33.3319	428.6539	2405.7974
409.7004	76.1336	0.4620	33.5981	418.9887	2358.5178
409.8528	59.9023	0.8559	30.9299	415.2983	2444.9216
410.0052	47.3567	0.8861	32.2246	466.6987	2416.2375
410.1576	56.5930	0.7330	32.6992	454.7200	2333.3235
410.3100	59.1336	0.4426	33.4061	468.7595	2357.5884
410.4624	57.6988	0.3479	32.1652	444.9322	2400.2703
410.6148	57.2522	0.5149	33.1077	472.7782	2454.9556
410.7672	58.9518	0.7439	31.6611	506.4335	2373.0312
410.9196	58.8349	0.4871	30.6875	500.4178	2424.9309
