HOLE:	U1352B
EXPEDITION:	317
TOP:	124.5604
BOTTOM:	438.9616
DEPTH_WMSF	C1	C2
m	in	in
124.5604	3.0726	2.9051
124.7128	3.0730	2.9053
124.8652	15.6488	13.9033
125.0176	15.6549	13.8779
125.1700	15.6512	13.8946
125.3224	15.6487	13.9877
125.4748	15.6935	13.9509
125.6272	15.6535	14.0241
125.7796	15.6456	14.1039
125.9320	15.6712	14.1291
126.0844	15.6870	14.5357
126.2368	15.7511	14.7426
126.3892	15.7320	13.7022
126.5416	15.7184	13.3623
126.6940	15.6999	13.2756
126.8464	15.6990	13.2749
126.9988	15.6933	13.2782
127.1512	15.6687	13.4793
127.3036	15.6570	13.7756
127.4560	15.6818	14.1911
127.6084	15.6590	14.4795
127.7608	16.0322	15.8178
127.9132	16.0063	15.6533
128.0656	16.0047	15.6283
128.2180	16.0050	15.6329
128.3704	16.0219	15.7623
128.5228	16.0134	15.7438
128.6752	15.8006	15.4665
128.8276	15.6895	14.3337
128.9800	15.6976	14.5610
129.1324	16.0574	15.9401
129.2848	16.0576	15.9403
129.4372	16.0595	15.9418
129.5896	16.0637	15.9453
129.7420	16.0640	15.9456
129.8944	16.0640	15.9456
130.0468	16.0229	15.7672
130.1992	15.9315	15.4276
130.3516	16.0140	15.7258
130.5040	16.0241	15.8162
130.6564	16.0242	15.8158
130.8088	15.9290	15.5954
130.9612	15.6752	14.9912
131.1136	15.6432	13.2673
131.2660	15.6427	13.3976
131.4184	15.6700	13.6545
131.5708	15.6748	13.4948
131.7232	15.6718	13.2718
131.8756	15.6612	13.1765
132.0280	15.6778	13.1089
132.1804	15.6768	13.0783
132.3328	15.6711	13.0744
132.4852	15.6827	13.0881
132.6376	15.6766	13.0685
132.7900	15.6815	13.0721
132.9424	15.6777	13.0630
133.0948	15.6807	12.9774
133.2472	15.6845	12.7025
133.3996	15.6827	12.6643
133.5520	15.6854	12.8731
133.7044	15.6805	12.8587
133.8568	15.6790	12.8673
134.0092	15.6817	12.8573
134.1616	15.6741	12.8042
134.3140	15.6673	12.6723
134.4664	15.6689	12.7532
134.6188	15.6721	12.6948
134.7712	15.6709	12.5530
134.9236	15.6781	12.4607
135.0760	15.6722	12.4183
135.2284	15.6626	12.4241
135.3808	15.6597	12.4036
135.5332	15.6641	12.3261
135.6856	15.6617	11.9948
135.8380	15.6325	11.7315
135.9904	15.6630	11.7217
136.1428	15.6810	11.6917
136.2952	15.6834	11.6560
136.4476	15.6913	11.5952
136.6000	15.6809	11.5952
136.7524	15.6544	11.6034
136.9048	15.6763	11.6376
137.0572	15.5867	12.4881
137.2096	16.0432	15.8463
137.3620	16.0521	15.8932
137.5144	16.0557	15.8983
137.6668	16.0524	15.9099
137.8192	16.0557	15.8983
137.9716	16.0523	15.9057
138.1240	16.0480	15.8677
138.2764	16.0500	15.8727
138.4288	16.0277	15.8018
138.5812	15.8733	15.5169
138.7336	15.7173	14.7301
138.8860	15.9452	15.5711
139.0384	16.0352	15.8148
139.1908	16.0506	15.8742
139.3432	16.0557	15.8845
139.4956	16.0457	15.8497
139.6480	16.0240	15.7874
139.8004	15.7067	14.0087
139.9528	15.6359	13.0601
140.1052	15.6343	12.7366
140.2576	15.6265	12.6905
140.4100	15.6175	12.7001
140.5624	15.6309	12.6901
140.7148	15.6279	12.6806
140.8672	15.6138	12.6575
141.0196	15.5855	12.6699
141.1720	15.6244	13.2015
141.3244	15.9941	15.6890
141.4768	16.0481	15.8527
141.6292	16.0474	15.8428
141.7816	16.0211	15.7670
141.9340	15.8450	15.5164
142.0864	15.7097	15.1983
142.2388	15.6354	13.5553
142.3912	15.6343	13.5503
142.5436	15.6327	13.5334
142.6960	15.6416	13.4967
142.8484	15.6280	13.1929
143.0008	15.6518	14.4586
143.1532	15.6535	14.0543
143.3056	15.6298	13.0871
143.4580	15.6251	13.0834
143.6104	15.6299	13.0873
143.7628	15.6300	13.0873
143.9152	15.6309	13.0881
144.0676	15.6304	13.0769
144.2200	15.6309	13.0780
144.3724	15.6019	12.8889
144.5248	15.5870	12.5844
144.6772	15.5783	12.2358
144.8296	15.4122	12.2497
144.9820	15.4069	12.2501
145.1344	15.3628	12.2545
145.2868	15.3335	12.2245
145.4392	15.3438	12.3363
145.5916	15.6353	12.5918
145.7440	15.6714	14.1174
145.8964	15.6350	13.7894
146.0488	15.5876	13.2264
146.2012	15.5831	13.2227
146.3536	15.5876	13.2264
146.5060	15.5182	13.3349
146.6584	15.5617	14.3648
146.8108	15.7990	14.4537
146.9632	15.9341	14.9109
147.1156	15.9379	14.8542
147.2680	15.9311	14.5111
147.4204	15.9383	14.4505
147.5728	15.9650	14.5712
147.7252	15.9246	15.4956
147.8776	15.8756	15.0909
148.0300	15.8752	15.2163
148.1824	15.9364	15.5681
148.3348	15.9610	15.5931
148.4872	16.0263	15.8108
148.6396	16.0501	15.8915
148.7920	16.0557	15.8879
148.9444	16.0557	15.8788
149.0968	16.0340	15.8341
149.2492	16.0355	15.8353
149.4016	16.0390	15.8382
149.5540	16.0380	15.8457
149.7064	16.0379	15.8456
149.8588	16.0390	15.8466
150.0112	16.0359	15.8466
150.1636	16.0307	15.8217
150.3160	16.0228	15.7818
150.4684	15.7804	15.4169
150.6208	15.8101	15.4449
150.7732	15.6714	14.2612
150.9256	15.6608	13.9359
151.0780	15.6655	13.6341
151.2304	15.6517	13.4172
151.3828	15.6565	13.3565
151.5352	15.6596	13.3840
151.6876	15.6514	13.4092
151.8400	15.6653	13.2617
151.9924	15.6535	13.0773
152.1448	15.6261	13.1792
152.2972	15.6525	13.9205
152.4496	15.6761	14.1113
152.6020	15.6694	14.0057
152.7544	15.6645	14.0317
152.9068	15.6717	14.0798
153.0592	15.6654	14.0553
153.2116	15.6607	14.0202
153.3640	15.6470	13.5480
153.5164	15.6478	12.8299
153.6688	15.6526	12.5481
153.8212	15.6495	12.5138
153.9736	15.6545	12.4833
154.1260	15.6473	12.5190
154.2784	15.6380	12.4412
154.4308	15.6500	12.3777
154.5832	15.6293	12.3819
154.7356	15.5633	12.6239
154.8880	15.9514	15.3844
155.0404	15.6186	12.7939
155.1928	15.6326	12.8373
155.3452	15.6283	12.6366
155.4976	15.6181	12.6108
155.6500	15.6222	12.5804
155.8024	15.6189	12.5420
155.9548	15.6195	12.9178
156.1072	15.6268	12.9317
156.2596	15.6308	12.8015
156.4120	15.6230	12.5758
156.5644	15.6049	12.5225
156.7168	15.6050	12.5056
156.8692	15.5941	12.5173
157.0216	15.6109	12.6171
157.1740	15.6082	12.6172
157.3264	15.5969	12.6060
157.4788	15.5779	12.6311
157.6312	15.6028	12.6844
157.7836	15.6213	12.9233
157.9360	15.6190	12.8462
158.0884	15.6223	12.8188
158.2408	15.6165	12.7866
158.3932	15.6104	12.7181
158.5456	15.6072	12.8097
158.6980	15.6123	12.9693
158.8504	15.6238	13.5920
159.0028	15.6395	14.8713
159.1552	15.6223	15.1671
159.3076	15.6280	15.1105
159.4600	15.6186	14.0137
159.6124	15.6122	12.7568
159.7648	15.6064	12.5141
159.9172	15.6004	12.5060
160.0696	14.9547	12.3013
160.2220	14.8124	12.3207
160.3744	14.1173	12.6305
160.5268	14.1200	12.6576
160.6792	14.1130	12.6573
160.8316	13.9341	12.5720
160.9840	13.9093	12.5354
161.1364	13.8735	12.5354
161.2888	13.6662	13.2200
161.4412	15.9312	15.2210
161.5936	15.9988	15.6906
161.7460	16.0031	15.6526
161.8984	16.0070	15.6401
162.0508	16.0056	15.6457
162.2032	16.0390	15.8424
162.3556	16.0432	15.8466
162.5080	16.0280	15.7969
162.6604	15.7001	14.9755
162.8128	15.7016	14.8576
162.9652	15.7171	14.8550
163.1176	15.7085	14.9795
163.2700	15.7146	14.8726
163.4224	15.6910	13.3854
163.5748	15.6587	12.1313
163.7272	15.6587	11.5952
163.8796	15.6587	11.5795
164.0320	15.6653	11.5003
164.1844	15.6654	11.4102
164.3368	15.6655	11.2201
164.4892	15.6609	11.4217
164.6416	15.6655	11.8950
164.7940	15.6654	12.7170
164.9464	15.6586	12.5715
165.0988	15.6655	12.6680
165.2512	15.6654	12.4543
165.4036	15.6567	12.0125
165.5560	15.6567	12.1043
165.7084	15.6217	12.1986
165.8608	15.4391	12.0023
166.0132	15.5682	12.0970
166.1656	15.6241	12.3931
166.3180	15.6241	12.3880
166.4704	15.6309	12.3933
166.6228	15.6309	12.3013
166.7752	15.6264	12.3114
166.9276	15.6309	12.3115
167.0800	15.6309	12.3067
167.2324	15.6154	12.3732
167.3848	15.6368	12.3700
167.5372	15.6612	12.6829
167.6896	15.6568	12.6979
167.8420	15.6587	12.6519
167.9944	15.6609	12.6070
168.1468	15.6395	12.6068
168.2992	15.6524	12.5453
168.4516	15.6506	12.2517
168.6040	15.6586	12.0591
168.7564	15.6415	12.0591
168.9088	15.6568	12.0644
169.0612	15.6328	12.0590
169.2136	15.6396	12.1318
169.3660	15.6397	12.2354
169.5184	15.6484	12.5009
169.6708	15.6481	12.5564
169.8232	15.6524	12.5969
169.9756	15.6328	12.5148
170.1280	15.6611	12.3370
170.2804	15.6414	12.3062
170.4328	15.6568	12.2858
170.5852	15.6303	12.2443
170.7376	15.6327	12.2704
170.8900	15.6413	12.3369
171.0424	15.6327	12.3988
171.1948	15.6395	12.6439
171.3472	15.6525	13.3183
171.4996	15.6414	13.1516
171.6520	15.6414	13.1121
171.8044	15.6414	13.0528
171.9568	15.6480	13.1133
172.1092	15.6587	13.9579
172.2616	15.6522	14.0157
172.4140	15.6724	14.3072
172.5664	15.6782	14.3225
172.7188	15.6759	14.3112
172.8712	15.6691	14.2778
173.0236	15.6777	14.0555
173.1760	15.6827	13.5044
173.3284	15.6824	12.5565
173.4808	15.6420	11.7544
173.6332	15.6668	14.8527
173.7856	15.6724	14.5403
173.9380	15.6673	14.5601
174.0904	15.6999	14.7329
174.2428	15.6889	14.6598
174.3952	15.6869	14.6656
174.5476	15.6517	11.6302
174.7000	15.6449	11.6935
174.8524	15.6414	11.8881
175.0048	15.6481	11.9296
175.1572	15.6396	12.0023
175.3096	15.6397	12.0024
175.4620	15.6481	12.0799
175.6144	15.6425	12.0889
175.7668	15.6453	12.1816
175.9192	15.6436	12.2671
176.0716	15.6440	12.3832
176.2240	15.6501	12.3832
176.3764	15.6524	12.4648
176.5288	15.6482	12.5014
176.6812	15.6415	12.7529
176.8336	15.6735	13.3671
176.9860	15.5162	13.4439
177.1384	15.6292	13.4088
177.2908	15.6149	14.1621
177.4432	15.6263	14.6219
177.5956	15.6395	14.1325
177.7480	15.6308	13.7511
177.9004	15.6222	13.7297
178.0528	14.8564	14.8200
178.2052	15.7459	15.4466
178.3576	15.9752	15.6965
178.5100	16.0450	15.8912
178.6624	16.0679	15.9501
178.8148	16.0656	15.9481
178.9672	16.0724	15.9539
179.1196	16.0724	15.9539
179.2720	16.0723	15.9538
179.4244	16.0635	15.8855
179.5768	16.0188	15.7441
179.7292	13.6319	15.2938
179.8816	13.4299	15.2809
180.0340	13.3653	15.2654
180.1864	13.1830	15.2617
180.3388	13.1382	15.2722
180.4912	13.0653	15.2665
180.6436	12.9824	15.2779
180.7960	12.9212	15.2692
180.9484	12.8836	15.2636
181.1008	12.8081	15.2691
181.2532	12.6102	15.2635
181.4056	12.5198	15.2617
181.5580	12.4940	15.2778
181.7104	12.4701	15.2722
181.8628	12.4768	15.2735
182.0152	12.4559	15.2779
182.1676	12.4018	15.2721
182.3200	12.2990	15.2736
182.4724	12.2989	15.2779
182.6248	12.2922	15.2722
182.7772	12.2921	15.2721
182.9296	12.1924	15.2741
183.0820	12.1902	15.2664
183.2344	12.1937	15.2692
183.3868	12.1832	15.2692
183.5392	12.2674	15.2692
183.6916	12.2617	15.2686
183.8440	12.2661	15.2682
183.9964	12.2633	15.2692
184.1488	12.2618	15.2645
184.3012	12.2727	15.2692
184.4536	12.2684	15.2641
184.6060	12.2645	15.2755
184.7584	12.2707	15.2771
184.9108	12.2779	15.2779
185.0632	12.2617	15.2667
185.2156	12.2587	15.2532
185.3680	12.2569	15.2518
185.5204	12.2636	15.2485
185.6728	13.0210	14.6496
185.8252	15.1674	15.1923
185.9776	15.6164	15.4151
186.1300	15.4875	15.4079
186.2824	15.3704	15.3938
186.4348	14.5594	14.6965
186.5872	14.5707	14.6886
186.7396	15.0706	15.3073
186.8920	15.7855	15.6124
187.0444	14.5534	15.0031
187.1968	14.4463	14.9170
187.3492	14.4465	15.2086
187.5016	14.4953	15.2781
187.6540	14.6287	15.3342
187.8064	15.1672	15.5662
187.9588	16.0409	15.8262
188.1112	16.0494	15.9239
188.2636	16.0453	15.9204
188.4160	15.4369	15.4774
188.5684	15.2975	15.4200
188.7208	15.2962	15.4589
188.8732	15.2841	15.4553
189.0256	15.3350	15.4903
189.1780	15.9975	15.7286
189.3304	16.0452	15.8530
189.4828	16.0440	15.8416
189.6352	16.0323	15.8325
189.7876	16.0278	15.7935
189.9400	15.8594	15.5302
190.0924	15.6236	15.1558
190.2448	15.6050	14.9852
190.3972	15.6013	14.9587
190.5496	15.6093	14.9863
190.7020	15.5968	15.0818
190.8544	15.6049	15.1746
191.0068	15.6029	14.9906
191.1592	15.5978	15.0968
191.3116	15.5985	15.1242
191.4640	15.5894	15.1059
191.6164	15.6007	15.0768
191.7688	15.6049	15.0724
191.9212	15.6043	15.1025
192.0736	15.6022	14.6038
192.2260	15.5215	14.5783
192.3784	15.3521	14.5140
192.5308	15.3547	14.5154
192.6832	15.3530	14.5061
192.8356	15.3567	14.5079
192.9880	15.3554	14.5098
193.1404	15.3444	14.4543
193.2928	15.5205	14.4529
193.4452	15.5278	14.4781
193.5976	15.5994	14.4987
193.7500	15.6049	14.5081
193.9024	15.6019	14.4989
194.0548	15.6022	14.4991
194.2072	15.5965	14.4970
194.3596	15.6049	14.5380
194.5120	15.6326	14.5562
194.6644	15.6337	14.5818
194.8168	15.6332	14.5247
194.9692	15.6272	14.4491
195.1216	15.6309	14.4555
195.2740	15.6308	14.4554
195.4264	15.6308	14.4555
195.5788	15.6261	14.4597
195.7312	15.6266	14.5162
195.8836	15.6741	15.2908
196.0360	15.6661	15.3129
196.1884	15.5905	15.2866
196.3408	15.5779	15.2858
196.4932	15.5821	15.2866
196.6456	15.5572	15.2866
196.7980	15.5187	15.2866
196.9504	15.5050	15.2866
197.1028	15.4529	15.2866
197.2552	15.2015	15.2846
197.4076	15.1643	15.2809
197.5600	15.1481	15.2809
197.7124	15.1731	15.2835
197.8648	15.1617	15.2866
198.0172	15.1518	15.2839
198.1696	15.1472	15.2801
198.3220	15.0615	15.2866
198.4744	14.7489	15.2852
198.6268	14.5084	15.2694
198.7792	14.9858	15.2665
198.9316	14.9961	15.2649
199.0840	14.8931	15.2691
199.2364	14.7608	15.2105
199.3888	14.7468	15.2032
199.5412	14.7363	15.2077
199.6936	14.8022	15.2400
199.8460	15.0138	15.2689
199.9984	15.0650	15.2779
200.1508	15.0650	15.2779
200.3032	14.9195	15.2779
200.4556	14.8944	15.2722
200.6080	14.8877	15.2741
200.7604	14.9013	15.2779
200.9128	14.8769	15.2704
201.0652	14.8917	15.2736
201.2176	14.6720	15.2655
201.3700	14.5359	15.2741
201.5224	14.5672	15.2772
201.6748	14.5523	15.2982
201.8272	14.5588	15.3038
201.9796	14.5055	15.2722
202.1320	14.5055	15.2636
202.2844	14.5101	15.2461
202.4368	14.7637	15.2519
202.5892	14.7568	15.2505
202.7416	14.8192	15.2605
202.8940	14.8454	15.2567
203.0464	14.9197	15.2302
203.1988	14.9219	15.2504
203.3512	14.9947	15.2462
203.5036	15.0015	15.2518
203.6560	15.0016	15.2519
203.8084	15.0137	15.2593
203.9608	15.6244	15.2718
204.1132	16.0555	15.8545
204.2656	15.6610	14.9749
204.4180	15.6432	14.9503
204.5704	15.6499	14.9559
204.7228	15.6568	14.9529
204.8752	15.6260	14.9279
205.0276	15.6352	14.8724
205.1800	15.6112	14.8264
205.3324	14.4869	14.5065
205.4848	15.4879	15.1524
205.6372	16.0724	15.9703
205.7896	16.0724	15.9703
205.9420	15.6610	15.3382
206.0944	15.6301	15.2405
206.2468	15.7304	15.3861
206.3992	16.0640	15.8714
206.5516	16.0567	15.8676
206.7040	16.0520	15.8637
206.8564	16.0557	15.8713
207.0088	16.0539	15.8676
207.1612	16.0598	15.8714
207.3136	16.0598	15.8755
207.4660	16.0532	15.8740
207.6184	16.0598	15.8796
207.7708	16.0640	15.8796
207.9232	16.0280	15.7910
208.0756	15.9366	15.5808
208.2280	15.6519	15.2913
208.3804	15.6135	15.2692
208.5328	15.6135	15.2692
208.6852	15.6091	15.2655
208.8376	15.6068	15.2636
208.9900	15.6068	15.2722
209.1424	15.6400	15.3001
209.2948	15.6989	15.3509
209.4472	15.5373	15.3415
209.5996	15.5353	15.3513
209.7520	15.5223	15.2995
209.9044	15.5154	15.2895
210.0568	15.4392	15.2909
210.2092	15.4185	15.2865
210.3616	15.2839	15.2754
210.5140	15.2579	15.2953
210.6664	15.1672	15.2838
210.8188	15.0759	15.2634
210.9712	15.0802	15.3024
211.1236	15.0920	15.3168
211.2760	15.0287	15.3038
211.4284	15.0219	15.2983
211.5808	14.8800	15.2895
211.7332	14.1797	15.2770
211.8856	14.3205	15.3209
212.0380	13.7831	15.2779
212.1904	13.7762	15.2766
212.3428	13.7663	15.2635
212.4952	13.7832	15.2692
212.6476	13.7832	15.2692
212.8000	13.7820	15.2766
212.9524	14.2715	15.2866
213.1048	14.2468	15.2952
213.2572	14.1997	15.2909
213.4096	14.2214	15.3114
213.5620	14.2309	15.3070
213.7144	14.2168	15.2853
213.8668	14.6527	15.2914
214.0192	15.7607	15.4231
214.1716	15.7520	15.3967
214.3240	15.8750	15.5020
214.4764	15.8532	15.5182
214.6288	15.6092	15.2779
214.7812	15.6311	15.2780
214.9336	15.6785	15.3215
215.0860	15.6913	15.3471
215.2384	15.6650	15.3187
215.3908	15.7085	15.3558
215.5432	15.7008	15.3547
215.6956	15.6309	15.2822
215.8480	15.6308	15.2823
216.0004	15.3377	15.2779
216.1528	15.3177	15.2722
216.3052	15.3265	15.2722
216.4576	15.3088	15.2722
216.6100	15.3087	15.2722
216.7624	15.6054	15.2779
216.9148	15.6812	15.3077
217.0672	16.0722	15.9413
217.2196	16.0657	15.9276
217.3720	16.0724	15.9292
217.5244	16.0678	15.9363
217.6768	16.0724	15.9374
217.8292	16.0640	15.9456
217.9816	16.0548	15.9425
218.1340	15.6999	15.3989
218.2864	15.7084	15.3988
218.4388	15.6741	15.3126
218.5912	15.6740	15.3298
218.7436	15.6827	15.3299
218.8960	15.6740	15.3385
219.0484	15.6568	15.3385
219.2008	15.6500	15.3328
219.3532	15.6523	15.2908
219.5056	15.6241	15.2722
219.6580	15.5851	15.2722
219.8104	15.5267	15.2780
219.9628	15.5199	15.2809
220.1152	15.5266	15.2822
220.2676	15.5809	15.2722
220.4200	15.5894	15.2722
220.5724	15.5963	15.2779
220.7248	15.5917	15.2741
220.8772	15.5906	15.2722
221.0296	15.6626	15.2953
221.1820	15.6843	15.2980
221.3344	15.6699	15.2954
221.4868	15.6604	15.2925
221.6392	15.6914	15.3040
221.7916	15.7319	15.3589
221.9440	15.7901	15.4165
222.0964	15.8708	15.5018
222.2488	15.9594	15.5868
222.4012	16.0071	15.6486
222.5536	16.0113	15.6910
222.7060	16.0725	15.9462
222.8584	16.0807	16.0058
223.0108	16.0740	16.0056
223.1632	16.0807	16.0112
223.3156	16.0672	15.9999
223.4680	16.0672	15.9999
223.6204	16.0806	16.0112
223.7728	16.0807	16.0071
223.9252	16.0806	16.0193
224.0776	16.0807	16.0194
224.2300	16.0807	16.0194
224.3824	16.0807	16.0194
224.5348	16.0806	16.0163
224.6872	16.0762	16.0074
224.8396	16.0761	16.0018
224.9920	16.0656	15.9646
225.1444	16.0657	15.9646
225.2968	16.0722	15.9783
225.4492	16.0657	15.9606
225.6016	16.0589	15.9672
225.7540	16.0723	15.9783
225.9064	16.0553	15.8547
226.0588	16.0734	15.9961
226.2112	16.0765	16.0112
226.3636	16.0656	16.0056
226.5160	16.0698	16.0055
226.6684	16.0740	16.0096
226.8208	16.0807	15.9867
226.9732	16.0724	15.9921
227.1256	16.0723	15.9703
227.2780	16.0679	15.9665
227.4304	15.9401	15.5768
227.5828	15.9333	15.5838
227.7352	15.9550	15.5951
227.8876	15.9332	15.5838
228.0400	15.9467	15.5952
228.1924	15.9384	15.5952
228.3448	16.0139	15.6631
228.4972	16.0139	15.7131
228.6496	16.0072	15.7075
228.8020	16.0072	15.7075
228.9544	15.9633	15.6244
229.1068	15.9231	15.5725
229.2592	15.9299	15.5825
229.4116	15.9214	15.5528
229.5640	15.9147	15.5598
229.7164	15.9316	15.6149
229.8688	15.9341	15.6120
230.0212	15.8325	15.5058
230.1736	15.8239	15.4845
230.3260	15.8197	15.4761
230.4784	15.8193	15.4758
230.6308	15.8149	15.4721
230.7832	15.8197	15.4761
230.9356	15.8196	15.4760
231.0880	15.7856	15.4760
231.2404	15.7788	15.4618
231.3928	15.7856	15.4671
231.5452	15.7598	15.4160
231.6976	15.7257	15.3470
231.8500	15.7170	15.3772
232.0024	15.6673	15.2809
232.1548	15.7600	15.4032
232.3072	15.7601	15.3731
232.4596	15.7326	15.3230
232.6120	15.7343	15.2866
232.7644	15.7430	15.2691
232.9168	15.7984	15.1778
233.0692	15.7986	15.1908
233.2216	15.8622	15.1249
233.3740	15.8511	15.0976
233.5264	16.0656	15.9283
233.6788	16.0740	15.9974
233.8312	16.0762	15.9993
233.9836	16.0761	15.9992
234.1360	16.0739	15.9974
234.2884	16.0807	16.0030
234.4408	16.0806	16.0030
234.5932	16.0807	16.0112
234.7456	16.0673	16.0000
234.8980	16.0807	16.0112
235.0504	16.0806	16.0111
235.2028	16.0739	16.0055
235.3552	16.0807	16.0112
235.5076	16.0740	16.0178
235.6600	16.0806	16.0002
235.8124	16.0677	15.9550
235.9648	16.0640	15.8884
236.1172	16.0598	15.8838
236.2696	16.0557	15.8714
236.4220	16.0305	15.7751
236.5744	16.0071	15.7242
236.7268	16.0072	15.7242
236.8792	15.8723	15.5511
237.0316	15.8622	15.5270
237.1840	15.7784	15.4485
237.3364	15.6629	14.8340
237.4888	15.7127	13.9796
237.6412	15.6950	12.1770
237.7936	15.7017	11.9655
237.9460	15.7086	11.8672
238.0984	15.7171	11.8357
238.2508	15.7018	11.7626
238.4032	15.6793	11.7308
238.5556	15.6913	11.4859
238.7080	15.6782	11.4019
238.8604	15.6581	11.7021
239.0128	15.6611	12.4455
239.1652	15.7100	12.7849
239.3176	15.6824	12.6310
239.4700	15.6609	11.2726
239.6224	15.6136	11.3430
239.7748	15.6136	11.8207
239.9272	15.6136	11.8464
240.0796	15.6068	11.8411
240.2320	15.6093	11.9977
240.3844	15.6222	12.1781
240.5368	15.6078	12.2542
240.6892	15.6309	12.4447
240.8416	15.6309	12.4852
240.9940	15.6241	12.4797
241.1464	15.6240	12.4695
241.2988	15.6241	12.4594
241.4512	15.6309	12.5412
241.6036	15.6266	12.6176
241.7560	15.6586	12.9484
241.9084	15.6653	12.9886
242.0608	15.6654	12.9887
242.2132	15.6586	12.9732
242.3656	15.6653	12.9735
242.5180	15.6654	12.9288
242.6704	15.6501	12.8984
242.8228	15.6622	13.1321
242.9752	15.6781	14.3732
243.1276	15.6759	15.0358
