HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
102.0048	3.1392
102.1572	8.3837
102.3096	18.8297
102.4620	18.8214
102.6144	18.8131
102.7668	18.8147
102.9192	18.8158
103.0716	18.8214
103.2240	18.8158
103.3764	18.8103
103.5288	18.8305
103.6812	18.8158
103.8336	18.8186
103.9860	18.8214
104.1384	18.8273
104.2908	18.8158
104.4432	18.8158
104.5956	18.8103
104.7480	18.8269
104.9004	18.8214
105.0528	18.8186
105.2052	18.8115
105.3576	18.8297
105.5100	18.8103
105.6624	18.8131
105.8148	18.8242
105.9672	18.8214
106.1196	18.8131
106.2720	18.8115
106.4244	18.8242
106.5768	18.8158
106.7292	18.8075
106.8816	18.8075
107.0340	18.8048
107.1864	18.8158
107.3388	18.7608
107.4912	18.7749
107.6436	18.8186
107.7960	18.8020
107.9484	18.7493
108.1008	18.7493
108.2532	18.7937
108.4056	18.7465
108.5580	18.7299
108.7104	18.7101
108.8628	18.7743
109.0152	18.7632
109.1676	18.7327
109.3200	18.7133
109.4724	18.7853
109.6248	18.7964
109.7772	18.7893
109.9296	18.7552
110.0820	18.8052
110.2344	18.8075
110.3868	18.7632
110.5392	18.7826
110.6916	18.8186
110.8440	18.8214
110.9964	18.8158
111.1488	18.8131
111.3012	18.8273
111.4536	18.8158
111.6060	18.8131
111.7584	18.8103
111.9108	18.7909
112.0632	18.7465
112.2156	18.7438
112.3680	18.7299
112.5204	18.7244
112.6728	18.7438
112.8252	18.8048
112.9776	18.8158
113.1300	18.8075
113.2824	18.8075
113.4348	18.7988
113.5872	18.8075
113.7396	18.8020
113.8920	18.8158
114.0444	18.8075
114.1968	18.7826
114.3492	18.8020
114.5016	18.7988
114.6540	18.8186
114.8064	18.8048
114.9588	18.7964
115.1112	18.8158
115.2636	18.8131
115.4160	18.8048
115.5684	18.8103
115.7208	18.8103
115.8732	18.8103
116.0256	18.7992
116.1780	18.8048
116.3304	18.7766
116.4828	18.7909
116.6352	18.7743
116.7876	18.7743
116.9400	18.7632
117.0924	18.7382
117.2448	18.7354
117.3972	18.6966
117.5496	18.7196
117.7020	18.7327
117.8544	18.6855
118.0068	18.6357
118.1592	18.6606
118.3116	18.6357
118.4640	18.6848
118.6164	18.6246
118.7688	18.5608
118.9212	18.5885
119.0736	18.6301
119.2260	18.9739
119.3784	18.8653
119.5308	18.7050
119.6832	18.7182
119.8356	18.7715
119.9880	18.7640
120.1404	18.7826
120.2928	18.7964
120.4452	18.7632
120.5976	18.7493
120.7500	18.8048
120.9024	18.7992
121.0548	18.7937
121.2072	18.7703
121.3596	18.7438
121.5120	18.7410
121.6644	18.7216
121.8168	18.7105
121.9692	18.6911
122.1216	18.7576
122.2740	18.8048
122.4264	18.7640
122.5788	18.7715
122.7312	18.8048
122.8836	18.7853
123.0360	18.7881
123.1884	18.8048
123.3408	18.8075
123.4932	18.8147
123.6456	18.8048
123.7980	18.7881
123.9504	18.8048
124.1028	18.7909
124.2552	18.7830
124.4076	18.7937
124.5600	18.8131
124.7124	18.8158
124.8648	18.8103
125.0172	18.8214
125.1696	18.8048
125.3220	18.8048
125.4744	18.8103
125.6268	18.8048
125.7792	18.8242
125.9316	18.8075
126.0840	18.8075
126.2364	18.8048
126.3888	18.7743
126.5412	18.8020
126.6936	18.7549
126.8460	18.7418
126.9984	18.7410
127.1508	18.7576
127.3032	18.7438
127.4556	18.7050
127.6080	18.6994
127.7604	18.7133
127.9128	18.6994
128.0652	18.7022
128.2176	18.7299
128.3700	18.7715
128.5224	18.7937
128.6748	18.7853
128.8272	18.7549
128.9796	18.7493
129.1320	18.7743
129.2844	18.7992
129.4368	18.8020
129.5892	18.7770
129.7416	18.7826
129.8940	18.7909
130.0464	18.7798
130.1988	18.8020
130.3512	18.8020
130.5036	18.7465
130.6560	18.7327
130.8084	18.7244
130.9608	18.6939
131.1132	18.6966
131.2656	18.7006
131.4180	18.6828
131.5704	18.6939
131.7228	18.7299
131.8752	18.7382
132.0276	18.7513
132.1800	18.7521
132.3324	18.7382
132.4848	18.7576
132.6372	18.7715
132.7896	18.7826
132.9420	18.8020
133.0944	18.7826
133.2468	18.7798
133.3992	18.7909
133.5516	18.7853
133.7040	18.8020
133.8564	18.8103
134.0088	18.8103
134.1612	18.8075
134.3136	18.8020
134.4660	18.8158
134.6184	18.8178
134.7708	18.8103
134.9232	18.8020
135.0756	18.8048
135.2280	18.8020
135.3804	18.7964
135.5328	18.7632
135.6852	18.7992
135.8376	18.7937
135.9900	18.7632
136.1424	18.7271
136.2948	18.7604
136.4472	18.7271
136.5996	18.7164
136.7520	18.7216
136.9044	18.7271
137.0568	18.7410
137.2092	18.7549
137.3616	18.7133
137.5140	18.6246
137.6664	18.7450
137.8188	18.8103
137.9712	18.7549
138.1236	18.5802
138.2760	18.8186
138.4284	18.8158
138.5808	18.8158
138.7332	18.8685
138.8856	18.9406
139.0380	18.8242
139.1904	18.6495
139.3428	18.7604
139.4952	18.8051
139.6476	18.7937
139.8000	18.8131
139.9524	18.8242
140.1048	18.6273
140.2572	18.6856
140.4096	18.7077
140.5620	18.6412
140.7144	18.6024
140.8668	18.6107
141.0192	18.6994
141.1716	18.7354
141.3240	18.5885
141.4764	18.5858
141.6288	18.6309
141.7812	18.7438
141.9336	18.7604
142.0860	18.7410
142.2384	18.7244
142.3908	18.7327
142.5432	18.7101
142.6956	18.7881
142.8480	18.7549
143.0004	18.7133
143.1528	18.7188
143.3052	18.7992
143.4576	18.8048
143.6100	18.6772
143.7624	18.6499
143.9148	18.6661
144.0672	18.7604
144.2196	18.8020
144.3720	18.7493
144.5244	18.7465
144.6768	18.7354
144.8292	18.7105
