HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	467.4600
DEPTH_WMSF	LCAL
m	in
398.5752	18.8075
398.7276	18.8158
398.8800	18.8052
399.0324	18.8048
399.1848	18.8048
399.3372	18.8115
399.4896	18.7632
399.6420	18.5525
399.7944	18.7386
399.9468	18.5109
400.0992	18.0321
400.2516	17.6820
400.4040	18.7105
400.5564	18.8075
400.7088	18.8020
400.8612	18.8075
401.0136	18.8147
401.1660	18.8048
401.3184	18.8048
401.4708	18.8083
401.6232	18.8131
401.7756	18.8083
401.9280	18.5913
402.0804	18.7937
402.2328	18.8020
402.3852	18.7715
402.5376	18.7545
402.6900	18.8103
402.8424	18.8020
402.9948	18.8051
403.1472	18.8131
403.2996	18.8075
403.4520	18.8083
403.6044	18.8048
403.7568	18.8020
403.9092	18.8020
404.0616	18.8020
404.2140	18.8131
404.3664	18.8051
404.5188	18.8075
404.6712	18.7766
404.8236	18.7160
404.9760	18.7133
405.1284	18.7038
405.2808	18.6939
405.4332	18.6939
405.5856	18.7450
405.7380	18.1672
405.8904	17.8622
406.0428	17.8622
406.1952	17.8610
406.3476	17.8262
406.5000	17.5905
406.6524	18.1335
406.8048	18.0812
406.9572	17.4840
407.1096	17.4131
407.2620	17.4935
407.4144	18.7687
407.5668	18.8147
407.7192	18.8020
407.8716	18.7956
408.0240	18.8020
408.1764	18.8103
408.3288	18.7992
408.4812	18.8052
408.6336	18.8186
408.7860	18.8020
408.9384	18.8048
409.0908	18.7687
409.2432	18.8051
409.3956	18.7909
409.5480	18.7798
409.7004	18.8158
409.8528	18.8075
410.0052	18.8048
410.1576	18.8083
410.3100	18.8075
410.4624	18.8020
410.6148	18.8020
410.7672	18.8075
410.9196	18.8158
411.0720	18.8048
411.2244	18.8052
411.3768	18.8048
411.5292	18.8103
411.6816	18.8020
411.8340	18.7992
411.9864	18.8147
412.1388	18.8020
412.2912	18.7743
412.4436	16.4539
412.5960	15.3360
412.7484	15.3257
412.9008	15.3035
413.0532	15.3138
413.2056	14.9542
413.3580	14.8766
413.5104	14.9736
413.6628	15.2092
413.8152	16.3181
413.9676	18.4000
414.1200	18.6162
414.2724	18.7937
414.4248	18.8103
414.5772	18.8075
414.7296	18.8131
414.8820	18.8051
415.0344	18.8020
415.1868	18.8131
415.3392	18.8115
415.4916	18.8075
415.6440	18.8103
415.7964	18.7988
415.9488	18.8103
416.1012	18.8147
416.2536	18.7992
416.4060	18.8131
416.5584	18.8020
416.7108	18.7992
416.8632	18.8048
417.0156	18.8147
417.1680	18.8075
417.3204	18.8020
417.4728	18.4440
417.6252	17.4713
417.7776	15.3894
417.9300	12.6430
418.0824	7.5830
418.2348	7.8768
418.3872	7.6404
418.5396	7.5857
418.6920	7.8115
418.8444	13.4129
418.9968	18.8214
419.1492	18.0163
419.3016	13.6014
419.4540	14.1574
419.6064	16.3985
419.7588	16.9086
419.9112	17.2745
420.0636	18.6721
420.2160	18.8020
420.3684	18.7881
420.5208	17.5101
420.6732	18.4978
420.8256	17.0112
420.9780	16.6341
421.1304	16.6286
421.2828	16.3846
421.4352	16.1656
421.5876	16.1490
421.7400	16.1344
421.8924	16.0991
422.0448	17.1553
422.1972	18.7766
422.3496	18.7853
422.5020	18.7937
422.6544	18.7988
422.8068	18.8131
422.9592	18.8158
423.1116	18.8103
423.2640	18.8052
423.4164	18.8103
423.5688	18.8048
423.7212	18.8051
423.8736	18.8020
424.0260	18.8048
424.1784	18.8115
424.3308	18.7549
424.4832	18.5961
424.6356	18.6412
424.7880	18.8131
424.9404	18.8052
425.0928	18.8048
425.2452	18.8103
425.3976	18.8051
425.5500	18.8048
425.7024	18.8048
425.8548	18.8020
426.0072	18.8020
426.1596	18.7937
426.3120	18.7228
426.4644	18.7937
426.6168	18.8048
426.7692	18.8052
426.9216	18.8048
427.0740	18.8020
427.2264	18.7925
427.3788	18.7354
427.5312	16.5316
427.6836	15.9918
427.8360	16.0049
427.9884	15.9938
428.1408	17.0246
428.2932	18.8158
428.4456	18.8103
428.5980	18.8147
428.7504	18.8242
428.9028	18.8103
429.0552	18.8147
429.2076	18.8186
429.3600	18.8269
429.5124	18.8178
429.6648	18.8158
429.8172	18.8083
429.9696	18.8186
430.1220	18.8048
430.2744	18.8115
430.4268	18.8131
430.5792	18.8242
430.7316	18.8103
430.8840	18.8131
431.0364	18.8115
431.1888	18.8131
431.3412	18.8158
431.4936	18.8083
431.6460	18.8186
431.7984	18.8158
431.9508	18.8052
432.1032	18.8214
432.2556	18.8075
432.4080	18.8214
432.5604	18.8048
432.7128	18.8052
432.8652	18.8048
433.0176	18.8158
433.1700	18.8186
433.3224	18.8115
433.4748	18.8075
433.6272	18.8214
433.7796	18.8020
433.9320	18.8075
434.0844	18.8051
434.2368	18.8075
434.3892	18.8158
434.5416	18.8103
434.6940	18.7992
434.8464	18.8048
434.9988	18.8147
435.1512	18.2309
435.3036	13.6125
435.4560	13.3408
435.6084	13.3020
435.7608	13.2826
435.9132	13.9701
436.0656	18.6745
436.2180	15.8746
436.3704	15.4837
436.5228	17.5284
436.6752	14.7463
436.8276	14.5827
436.9800	12.9222
437.1324	7.9952
437.2848	7.1062
437.4372	7.2475
437.5896	7.2503
437.7420	7.2570
437.8944	8.1987
438.0468	12.4786
438.1992	12.5036
438.3516	12.4980
438.5040	12.6699
438.6564	15.3257
438.8088	17.2686
438.9612	17.3133
439.1136	18.5497
439.2660	18.7022
439.4184	18.7160
439.5708	18.7196
439.7232	18.7244
439.8756	18.6495
440.0280	18.6357
440.1804	18.6277
440.3328	15.6750
440.4852	14.6243
440.6376	14.2639
440.7900	11.7432
440.9424	12.0822
441.0948	14.3637
441.2472	14.3637
441.3996	13.7677
441.5520	14.2140
441.7044	14.6354
441.8568	14.8516
442.0092	14.8960
442.1616	14.5946
442.3140	14.1530
442.4664	14.1724
442.6188	14.1392
442.7712	14.1067
442.9236	14.1031
443.0760	14.0976
443.2284	14.1946
443.3808	16.3736
443.5332	15.0595
443.6856	14.2239
443.8380	15.2896
443.9904	15.8829
444.1428	14.6687
444.2952	15.6306
444.4476	15.6500
444.6000	15.0928
444.7524	13.9610
444.9048	13.3630
445.0572	13.2050
445.2096	13.2604
445.3620	12.9915
445.5144	13.0608
445.6668	14.1004
445.8192	14.2501
445.9716	14.2398
446.1240	14.2279
446.2764	14.1253
446.4288	14.1289
446.5812	14.1115
446.7336	14.0643
446.8860	13.7677
447.0384	13.6600
447.1908	13.6430
447.3432	13.6513
447.4956	13.6513
447.6480	13.6568
447.8004	13.6505
447.9528	13.6263
448.1052	13.5931
448.2576	13.5931
448.4100	13.5986
448.5624	13.5935
448.7148	13.6263
