HOLE:	U1352B
EXPEDITION:	317
TOP:	81.1260
BOTTOM:	481.9380
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
81.1260	2.5601	1950.0000	1.1648
81.2784	0.3620	1950.0000	0.8470
81.4308	0.4147	2.0893	0.8221
81.5832	0.4549	0.8992	0.8226
81.7356	0.5271	0.6263	0.8270
81.8880	0.7833	0.5735	0.7868
82.0404	1.0506	0.6346	0.7956
82.1928	1.1302	0.8084	0.8593
82.3452	1.7425	1.1133	0.7428
82.4976	1.2387	1.4416	0.7412
82.6500	1.2296	1.5012	0.6809
82.8024	1.2215	1.3168	0.7004
82.9548	1.1785	1.1511	0.7390
83.1072	1.1430	1.0870	0.7417
83.2596	1.1482	1.1156	0.7942
83.4120	1.1910	1.2048	0.8203
83.5644	1.2568	1.2988	0.6429
83.7168	1.3211	1.3474	0.7916
83.8692	1.3627	1.3444	0.7246
84.0216	1.3970	1.3146	0.6763
84.1740	1.4234	1.2855	0.7826
84.3264	1.4057	1.2734	0.8165
84.4788	1.3889	1.2777	0.7594
84.6312	1.3760	1.2891	0.7835
84.7836	1.3504	1.2990	0.6825
84.9360	1.3079	1.2981	0.8048
85.0884	1.3052	1.2803	0.7219
85.2408	1.3218	1.2504	0.7109
85.3932	1.3265	1.2206	0.7042
85.5456	1.3220	1.2008	0.7527
85.6980	1.3049	1.1937	0.7152
85.8504	1.2867	1.1937	0.5989
86.0028	1.2690	1.1900	0.7372
86.1552	1.2681	1.1771	0.7039
86.3076	1.2794	1.1603	0.6149
86.4600	1.2652	1.1484	0.6540
86.6124	1.2634	1.1452	0.7045
86.7648	1.2680	1.1503	0.6807
86.9172	1.2722	1.1611	0.6683
87.0696	1.2804	1.1727	0.6762
87.2220	1.2866	1.1798	0.6584
87.3744	1.2889	1.1807	0.6907
87.5268	1.2894	1.1773	0.7238
87.6792	1.2939	1.1726	0.7516
87.8316	1.2883	1.1701	0.8118
87.9840	1.2897	1.1714	0.7367
