HOLE:	U1352B
EXPEDITION:	317
TOP:	428.1408
BOTTOM:	483.9192
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
428.1408	1.0264	0.6446	0.3736
428.2932	0.9642	0.5947	0.3729
428.4456	0.8698	0.5706	0.3939
428.5980	0.8394	0.5765	0.4244
428.7504	0.8341	0.6040	0.4387
428.9028	0.8799	0.6410	0.4399
429.0552	1.0014	0.6763	0.4338
429.2076	1.0847	0.7061	0.4589
429.3600	1.0994	0.7372	0.4873
429.5124	1.1129	0.7780	0.4999
429.6648	1.1214	0.8247	0.4806
429.8172	1.1304	0.8591	0.4769
429.9696	1.1549	0.8613	0.5051
430.1220	1.1758	0.8302	0.4961
430.2744	1.1801	0.7854	0.4894
430.4268	1.1799	0.7488	0.4766
430.5792	1.1802	0.7324	0.4737
430.7316	1.1487	0.7357	0.4750
430.8840	1.1156	0.7457	0.4670
431.0364	1.1097	0.7456	0.4455
431.1888	1.0892	0.7285	0.4622
431.3412	1.0424	0.6998	0.4631
431.4936	1.0289	0.6643	0.4409
431.6460	0.9662	0.6210	0.3670
431.7984	0.8735	0.5706	0.3433
431.9508	0.8367	0.5210	0.3482
432.1032	0.8149	0.4828	0.3369
432.2556	0.7827	0.4621	0.3448
432.4080	0.7645	0.4565	0.3421
432.5604	0.7428	0.4573	0.3485
432.7128	0.7100	0.4548	0.3589
432.8652	0.6954	0.4446	0.3529
433.0176	0.6992	0.4292	0.3535
433.1700	0.6866	0.4143	0.3519
433.3224	0.6480	0.4041	0.3460
433.4748	0.6376	0.4006	0.3298
433.6272	0.6538	0.4033	0.2982
433.7796	0.6486	0.4099	0.3136
433.9320	0.6429	0.4175	0.3602
434.0844	0.6610	0.4267	0.2347
434.2368	0.6392	0.4436	0.3091
434.3892	0.6441	0.4723	0.3119
434.5416	0.6994	0.5079	0.3135
434.6940	0.8602	0.5403	0.2763
434.8464	0.9212	0.5684	0.4977
434.9988	0.8708	0.6054	0.5983
435.1512	0.8466	0.6665	0.4011
435.3036	0.9185	0.7489	0.3753
435.4560	1.0556	0.8134	0.5535
435.6084	1.0566	0.8223	0.4856
435.7608	1.0319	0.7931	0.4415
435.9132	1.0329	0.7599	0.5128
436.0656	1.0600	0.7371	0.5371
436.2180	1.0511	0.7313	0.4976
436.3704	1.0224	0.7463	0.5000
436.5228	1.0204	0.7809	0.6464
436.6752	1.0236	0.8315	0.6656
436.8276	1.0230	0.8881	0.6732
436.9800	1.0325	0.9264	0.6675
437.1324	1.1032	0.9301	0.6715
437.2848	1.1179	0.9127	0.6653
437.4372	1.1175	0.8969	0.6640
437.5896	1.1188	0.8928	0.6450
437.7420	1.1165	0.9003	0.6657
437.8944	1.1008	0.9111	0.6770
438.0468	1.0903	0.9127	0.6280
438.1992	1.0798	0.9009	0.6342
438.3516	1.0720	0.8818	0.6183
438.5040	1.0687	0.8634	0.6507
438.6564	1.0668	0.8519	0.6117
438.8088	1.0674	0.8510	0.6071
438.9612	1.0712	0.8609	0.5703
439.1136	1.0788	0.8798	0.5866
439.2660	1.0922	0.9066	0.5953
439.4184	1.0969	0.9381	0.5911
439.5708	1.0904	0.9665	0.5864
439.7232	1.0917	0.9842	0.6077
439.8756	1.1123	0.9892	0.6646
440.0280	1.1624	0.9893	0.7230
440.1804	1.1801	0.9979	0.7272
440.3328	1.1542	1.0219	0.6757
440.4852	1.1490	1.0539	0.7008
440.6376	1.2120	1.0803	0.7093
440.7900	1.2645	1.0971	0.7318
440.9424	1.2797	1.1136	0.8509
441.0948	1.2752	1.1450	0.8156
441.2472	1.2792	1.1972	0.7074
441.3996	1.3237	1.2561	0.7137
441.5520	1.3943	1.2970	0.7842
441.7044	1.4312	1.3074	0.7943
441.8568	1.4179	1.2916	0.7781
442.0092	1.4034	1.2630	0.7874
442.1616	1.4293	1.2410	0.7940
442.3140	1.4509	1.2355	0.8266
442.4664	1.4491	1.2349	0.8357
442.6188	1.4535	1.2250	0.8239
442.7712	1.4549	1.2112	0.8576
442.9236	1.4129	1.2083	0.8549
443.0760	1.3465	1.2196	0.8043
443.2284	1.3180	1.2332	0.7250
443.3808	1.3170	1.2253	0.6538
443.5332	1.3061	1.1821	0.6638
443.6856	1.2833	1.1243	0.6805
443.8380	1.2723	1.0903	0.6922
443.9904	1.3092	1.1026	0.7881
444.1428	1.3539	1.1641	0.8652
444.2952	1.3671	1.2651	0.8407
444.4476	1.3921	1.3758	0.8692
444.6000	1.4570	1.4495	0.9825
444.7524	1.5414	1.4623	1.0377
444.9048	1.5842	1.4352	0.9807
445.0572	1.5962	1.4014	0.9273
445.2096	1.6031	1.3808	0.9215
445.3620	1.5951	1.3800	0.9488
445.5144	1.5699	1.3930	0.9377
445.6668	1.5527	1.4058	0.8899
445.8192	1.5471	1.4085	0.8998
445.9716	1.5450	1.4002	0.8744
446.1240	1.5471	1.3860	0.8746
446.2764	1.5462	1.3748	0.8628
446.4288	1.5488	1.3748	0.8607
446.5812	1.5580	1.3874	0.8916
446.7336	1.5753	1.4072	0.9028
446.8860	1.5893	1.4267	0.9359
447.0384	1.5887	1.4393	0.9558
447.1908	1.5937	1.4424	0.9532
447.3432	1.6086	1.4379	0.9512
447.4956	1.6173	1.4307	0.9461
447.6480	1.6264	1.4244	0.9206
447.8004	1.6480	1.4216	0.9136
447.9528	1.6600	1.4221	0.9120
448.1052	1.6874	1.4233	0.9183
448.2576	1.7641	1.4277	0.9222
448.4100	1.9782	1.4436	0.9273
448.5624	1.9360	1.4663	0.9682
448.7148	1.9047	1.4830	0.9607
448.8672	1.9554	1.5008	0.9335
449.0196	2.0201	1.5051	0.9380
449.1720	1.8687	1.3969	0.8825
449.3244	1.5632	1.1321	0.5603
449.4768	1.2438	0.8486	0.6599
449.6292	1.0703	0.6528	0.7468
449.7816	1.1020	0.5449	0.5206
449.9340	1.0583	0.4960	0.3021
450.0864	0.8552	0.4774	0.2821
450.2388	0.7255	0.4678	0.2845
450.3912	0.7158	0.4594	0.3323
450.5436	0.7110	0.4556	0.3427
450.6960	0.7037	0.4587	0.3506
450.8484	0.7434	0.4674	0.3329
451.0008	0.7804	0.4805	0.3664
451.1532	0.7926	0.4992	0.3291
451.3056	0.8419	0.5238	0.2641
451.4580	0.8860	0.5505	0.2769
451.6104	0.8985	0.5721	0.2697
451.7628	0.9231	0.5890	0.3455
451.9152	0.9657	0.6150	0.4082
452.0676	0.9752	0.6667	0.4512
452.2200	1.0234	0.7458	0.5498
452.3724	1.0459	0.8233	0.5438
452.5248	1.0917	0.8547	0.5889
452.6772	1.1273	0.8360	0.5311
452.8296	1.1549	0.8096	0.5557
452.9820	1.1380	0.8118	0.5407
453.1344	1.0811	0.8521	0.5773
453.2868	1.0853	0.9175	0.5910
453.4392	1.1156	0.9779	0.6025
453.5916	1.0874	1.0055	0.5967
453.7440	1.0792	1.0006	0.6141
453.8964	1.0680	0.9805	0.6218
454.0488	1.0766	0.9577	0.5907
454.2012	1.0794	0.9389	0.6002
454.3536	1.0791	0.9292	0.6155
454.5060	1.0572	0.9300	0.6049
454.6584	1.0520	0.9399	0.6097
454.8108	1.0605	0.9552	0.6931
454.9632	1.0583	0.9692	0.6165
455.1156	1.0624	0.9749	0.6144
455.2680	1.0936	0.9718	0.5458
455.4204	1.1382	0.9700	0.6542
455.5728	1.1500	0.9852	0.7005
455.7252	1.1662	1.0285	0.7671
455.8776	1.1942	1.0963	0.7511
456.0300	1.2468	1.1681	0.7618
456.1824	1.3263	1.2197	0.7867
456.3348	1.3575	1.2440	0.7993
456.4872	1.3287	1.2545	0.7894
456.6396	1.3551	1.2667	0.7307
456.7920	1.3947	1.2797	0.7759
456.9444	1.4192	1.2759	0.8251
457.0968	1.4113	1.2410	0.8147
457.2492	1.3898	1.1858	0.8285
457.4016	1.3732	1.1369	0.7858
457.5540	1.3388	1.1070	0.7648
457.7064	1.2783	1.0851	0.7170
457.8588	1.2454	1.0537	0.6492
458.0112	1.2374	1.0157	0.5805
458.1636	1.2416	0.9966	0.5551
458.3160	1.2472	1.0198	0.5780
458.4684	1.2351	1.0878	0.5865
458.6208	1.4132	1.1785	0.6556
458.7732	1.3802	1.2594	0.7263
458.9256	1.2531	1.3110	0.8003
459.0780	1.2806	1.3297	0.7083
459.2304	1.4237	1.3225	0.6692
459.3828	1.5909	1.3093	0.9491
459.5352	1.6625	1.3181	0.9758
459.6876	1.6826	1.3710	0.9863
459.8400	1.6678	1.4672	1.0782
459.9924	1.7036	1.5676	1.0076
460.1448	1.7090	1.6169	0.9839
460.2972	1.7174	1.6054	1.0289
460.4496	1.7089	1.5672	0.9696
460.6020	1.7076	1.5332	0.9808
460.7544	1.7552	1.5209	1.0394
460.9068	1.7724	1.5288	1.0418
461.0592	1.7702	1.5330	1.0003
461.2116	1.7767	1.5221	1.0693
