HOLE:	U1352B
EXPEDITION:	323
TOP:		79.5234
BOTTOM:		423.4902
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
79.5234	169.75673	365.89874	249.52216	1.7955	0.8330	1.2215
79.6758	169.28378	391.96573	405.90909	1.8005	0.7776	0.7509
79.8282	159.95795	418.03268	551.81818	1.9055	0.7291	0.5524
79.9806	177.08429	444.09964	697.72729	1.7212	0.6863	0.4368
80.1330	204.29973	470.16660	843.63635	1.4919	0.6483	0.3613
80.2854	199.13354	496.23358	891.81818	1.5306	0.6142	0.3418
80.4378	201.18561	522.30054	948.18182	1.5150	0.5836	0.3215
80.5902	199.77892	548.36749	905.45453	1.5257	0.5558	0.3366
80.7426	197.18723	574.43445	991.81818	1.5457	0.5306	0.3073
80.8950	197.47849	600.50146	1023.63635	1.5435	0.5076	0.2978
81.0474	204.97501	626.56842	1103.63635	1.4870	0.4865	0.2762
81.1998	193.97104	652.63538	1280.00000	1.5714	0.4670	0.2381
81.3522	189.73553	678.70239	1329.39392	1.6064	0.4491	0.2293
81.5046	191.69019	704.76935	1378.78784	1.5901	0.4325	0.2211
81.6570	189.59174	730.83630	1428.18176	1.6077	0.4171	0.2134
81.8094	189.33208	756.90332	1420.00000	1.6099	0.4027	0.2146
81.9618	190.65022	782.97028	1426.36365	1.5987	0.3893	0.2137
82.1142	188.66385	809.03723	1403.81360	1.6156	0.3767	0.2171
82.2666	188.60645	831.63477	1406.69653	1.6161	0.3665	0.2167
82.4190	186.95091	846.97485	1409.57947	1.6304	0.3599	0.2162
82.5714	188.81039	858.55396	1412.46240	1.6143	0.3550	0.2158
82.7238	187.83281	870.13306	1415.34534	1.6227	0.3503	0.2154
82.8762	186.23325	881.71210	1418.22827	1.6367	0.3457	0.2149
83.0286	186.10594	893.29120	1421.11121	1.6378	0.3412	0.2145
83.1810	186.02718	904.87030	1406.06067	1.6385	0.3368	0.2168
83.3334	185.86136	916.44934	1360.30298	1.6399	0.3326	0.2241
83.4858	184.39357	928.02844	1314.54541	1.6530	0.3284	0.2319
83.6382	184.20181	939.60754	1358.18176	1.6547	0.3244	0.2244
83.7906	182.71938	951.18658	1325.45459	1.6681	0.3204	0.2300
83.9430	183.74066	959.82355	1313.63635	1.6589	0.3176	0.2320
84.0954	182.82889	964.87579	1323.63635	1.6671	0.3159	0.2303
84.2478	184.07677	969.68085	1340.00000	1.6558	0.3143	0.2275
84.4002	187.21904	974.48596	1388.18176	1.6280	0.3128	0.2196
84.5526	187.73807	984.78302	1383.63635	1.6235	0.3095	0.2203
84.7050	186.65865	985.79572	1388.18176	1.6329	0.3092	0.2196
84.8574	185.95845	968.97754	1351.81824	1.6391	0.3146	0.2255
85.0098	189.05534	942.19965	1395.45459	1.6122	0.3235	0.2184
85.1622	189.96539	933.89703	1235.00000	1.6045	0.3264	0.2468
85.3146	189.66296	959.80609	1201.59082	1.6071	0.3176	0.2537
85.4670	188.58128	974.90784	1168.18176	1.6163	0.3126	0.2609
85.6194	189.90376	977.63507	1231.55261	1.6050	0.3118	0.2475
85.7718	190.42270	980.36237	1243.37915	1.6006	0.3109	0.2451
85.9242	188.30539	954.69379	1255.20557	1.6186	0.3193	0.2428
86.0766	187.93680	923.63635	1267.28760	1.6218	0.3300	0.2405
86.2290	188.50081	923.63635	1279.58862	1.6170	0.3300	0.2382
86.3814	187.64415	947.37018	1291.88977	1.6244	0.3217	0.2359
86.5338	188.25136	944.45435	1292.67358	1.6191	0.3227	0.2358
86.6862	186.31377	904.49036	1292.67358	1.6359	0.3370	0.2358
86.8386	186.62190	913.86310	1292.67358	1.6332	0.3335	0.2358
86.9910	186.48476	948.77094	1238.18176	1.6344	0.3213	0.2462
87.1434	190.37617	959.70544	1245.90906	1.6010	0.3176	0.2446
87.2958	189.74416	941.52362	1253.63635	1.6064	0.3237	0.2431
87.4482	189.57735	950.46619	1310.00000	1.6078	0.3207	0.2327
87.6006	189.66692	979.44690	1351.81824	1.6070	0.3112	0.2255
87.7530	189.87297	961.90509	1350.00000	1.6053	0.3169	0.2258
87.9054	189.78778	946.65179	1323.63635	1.6060	0.3220	0.2303
88.0578	189.34579	974.23181	1280.00000	1.6098	0.3129	0.2381
88.2102	189.79024	984.80963	1255.45459	1.6060	0.3095	0.2428
88.3626	189.67372	981.47632	1206.36365	1.6070	0.3106	0.2527
88.5150	189.15071	978.14294	1194.84851	1.6114	0.3116	0.2551
88.6674	189.51836	1008.99768	1183.33337	1.6083	0.3021	0.2576
88.8198	188.74779	1030.47046	1171.81824	1.6149	0.2958	0.2601
88.9722	188.39180	996.37952	1194.54541	1.6179	0.3059	0.2552
89.1246	188.60268	957.41473	1186.36365	1.6161	0.3184	0.2569
89.2770	188.16714	922.61707	1178.18176	1.6198	0.3304	0.2587
89.4294	190.46416	940.93872	1170.00000	1.6003	0.3239	0.2605
89.5818	185.24164	920.41962	1160.00000	1.6454	0.3312	0.2628
89.7342	186.65840	881.36890	1235.45459	1.6329	0.3458	0.2467
89.8866	185.53468	885.84235	1140.00000	1.6428	0.3441	0.2674
90.0390	182.41582	852.24835	1100.00000	1.6709	0.3576	0.2771
90.1914	184.28630	844.60687	1095.45459	1.6539	0.3609	0.2782
90.3438	182.11314	852.96033	1173.63635	1.6737	0.3573	0.2597
90.4962	182.96846	847.95508	1159.54541	1.6659	0.3595	0.2629
90.6486	187.74556	816.01398	1145.45459	1.6235	0.3735	0.2661
90.8010	184.57079	788.98071	1140.00000	1.6514	0.3863	0.2674
90.9534	186.92534	808.15002	1160.00000	1.6306	0.3772	0.2628
91.1058	187.01030	818.26874	1181.16492	1.6299	0.3725	0.2581
91.2582	187.76276	817.42523	1190.13440	1.6233	0.3729	0.2561
91.4106	183.85187	880.15253	1199.10376	1.6579	0.3463	0.2542
91.5630	187.70023	902.89966	1208.07312	1.6239	0.3376	0.2523
91.7154	182.53732	879.86932	1217.04248	1.6698	0.3464	0.2504
91.8678	182.56543	856.83905	1215.48792	1.6695	0.3557	0.2508
92.0202	183.52196	852.59802	1212.69238	1.6608	0.3575	0.2513
92.1726	183.00415	846.56073	1209.89685	1.6655	0.3600	0.2519
92.3250	182.81329	813.83350	1206.55273	1.6673	0.3745	0.2526
92.4774	181.09615	816.70691	1196.71228	1.6831	0.3732	0.2547
92.6298	182.35432	859.49561	1186.87195	1.6715	0.3546	0.2568
92.7822	184.42368	901.31378	1177.03149	1.6527	0.3382	0.2590
92.9346	179.41756	948.21783	1167.19104	1.6988	0.3214	0.2611
93.0870	180.01015	1013.23584	1138.63647	1.6932	0.3008	0.2677
93.2394	180.14032	1041.04468	1131.81824	1.6920	0.2928	0.2693
93.3918	180.61287	1010.13562	1068.18176	1.6876	0.3017	0.2853
93.5442	180.91017	965.66437	1078.78784	1.6848	0.3156	0.2825
93.6966	179.15060	931.72913	1089.39392	1.7014	0.3271	0.2798
93.8490	179.95372	927.63824	1100.00000	1.6938	0.3286	0.2771
94.0014	177.93138	892.39673	1060.00000	1.7130	0.3416	0.2875
94.1538	180.86790	903.70831	1020.00000	1.6852	0.3373	0.2988
94.3062	178.00575	971.01929	1028.18176	1.7123	0.3139	0.2964
94.4586	180.36397	1012.45599	1044.09082	1.6899	0.3011	0.2919
94.6110	180.94009	951.79083	1060.00000	1.6845	0.3202	0.2875
94.7634	185.42166	850.90271	1075.90918	1.6438	0.3582	0.2833
94.9158	179.39789	864.53906	1091.81824	1.6990	0.3526	0.2792
95.0682	179.80983	853.91187	1115.45459	1.6951	0.3569	0.2733
95.2206	179.66592	815.50275	1091.81824	1.6965	0.3738	0.2792
95.3730	177.68994	777.09369	1093.63635	1.7153	0.3922	0.2787
95.5254	178.50136	738.68463	1103.63635	1.7076	0.4126	0.2762
95.6778	180.25941	720.72473	1054.54541	1.6909	0.4229	0.2890
95.8302	179.52464	724.48401	1005.45453	1.6978	0.4207	0.3031
95.9826	182.96257	746.22162	1054.54541	1.6659	0.4085	0.2890
96.1350	180.35954	753.04730	1104.54541	1.6900	0.4048	0.2760
96.2874	181.11385	762.03217	1060.00000	1.6829	0.4000	0.2875
96.4398	180.65565	814.04108	1126.36365	1.6872	0.3744	0.2706
96.5922	180.51312	873.23578	1131.81824	1.6885	0.3490	0.2693
96.7446	180.42661	887.05878	1089.39404	1.6893	0.3436	0.2798
96.8970	181.49187	886.75562	1046.96973	1.6794	0.3437	0.2911
97.0494	181.47716	891.42621	1004.54547	1.6796	0.3419	0.3034
97.2018	180.31187	837.16895	1088.18176	1.6904	0.3641	0.2801
97.3542	178.97527	799.89618	1106.36365	1.7030	0.3810	0.2755
97.5066	177.65633	754.99475	1130.00000	1.7157	0.4037	0.2697
97.6590	178.53882	729.75415	1135.45459	1.7072	0.4177	0.2684
97.8114	175.53120	675.99713	1140.90906	1.7364	0.4509	0.2672
97.9638	175.22145	511.25049	1146.36365	1.7395	0.5962	0.2659
98.1162	175.79523	405.38672	1113.63635	1.7338	0.7519	0.2737
98.2686	175.14459	382.27386	1104.54541	1.7403	0.7973	0.2760
98.4210	181.84863	367.55450	1140.00000	1.6761	0.8293	0.2674
98.5734	178.71533	458.78134	1140.00000	1.7055	0.6644	0.2674
98.7258	183.73984	593.51752	1053.63635	1.6589	0.5135	0.2893
98.8782	185.82457	565.91254	1144.54541	1.6403	0.5386	0.2663
99.0306	187.57472	474.49881	1151.36353	1.6250	0.6424	0.2647
99.1830	184.95216	509.49881	1152.87891	1.6480	0.5982	0.2644
99.3354	187.73085	603.62134	1141.48877	1.6236	0.5050	0.2670
99.4878	194.05658	765.43951	1130.09863	1.5707	0.3982	0.2697
99.6402	189.50381	821.51520	1118.70850	1.6084	0.3710	0.2725
99.7926	190.81616	756.51520	1107.31836	1.5973	0.4029	0.2753
99.9450	194.37114	765.68329	1095.92834	1.5681	0.3981	0.2781
100.0974	189.25391	859.77417	1100.41467	1.6105	0.3545	0.2770
100.2498	188.20988	903.07764	1105.84131	1.6195	0.3375	0.2756
100.4022	189.13300	888.22913	1111.26782	1.6116	0.3432	0.2743
100.5546	187.54498	873.38068	1125.57324	1.6252	0.3490	0.2708
100.7070	188.46672	891.73120	1139.92444	1.6173	0.3418	0.2674
100.8594	188.74980	913.23584	1154.27563	1.6148	0.3338	0.2641
101.0118	186.44064	894.82678	1161.81824	1.6348	0.3406	0.2623
101.1642	189.69287	876.41772	1143.63635	1.6068	0.3478	0.2665
101.3166	188.32483	858.00861	1090.00000	1.6185	0.3552	0.2796
101.4690	188.42639	938.45496	1130.00000	1.6176	0.3248	0.2697
101.6214	186.99054	1042.80713	1170.00000	1.6300	0.2923	0.2605
101.7738	187.28438	1044.92834	1098.18176	1.6275	0.2917	0.2775
101.9262	192.67090	1047.04944	1105.45459	1.5820	0.2911	0.2757
102.0786	194.55782	1058.98914	1135.45459	1.5666	0.2878	0.2684
102.2310	193.29774	1082.17090	1150.00000	1.5768	0.2817	0.2650
102.3834	193.91127	1103.44556	1113.63635	1.5719	0.2762	0.2737
102.5358	194.14424	1130.58899	1079.09082	1.5700	0.2696	0.2825
102.6882	193.52609	1158.47632	1044.54541	1.5750	0.2631	0.2918
102.8406	194.80676	1198.69666	1160.00000	1.5646	0.2543	0.2628
102.9930	195.13699	1235.75537	1135.45459	1.5620	0.2467	0.2684
103.1454	194.89525	1200.03821	1160.00000	1.5639	0.2540	0.2628
103.2978	195.59175	1126.27271	1162.50000	1.5583	0.2706	0.2622
103.4502	195.74886	1097.32788	1165.00000	1.5571	0.2778	0.2616
103.6026	195.57990	1173.56616	1167.50000	1.5584	0.2597	0.2611
103.7550	194.83058	1241.76941	1170.00000	1.5644	0.2455	0.2605
103.9074	195.42630	1201.05750	1130.00000	1.5597	0.2538	0.2697
104.0598	190.67805	1113.20850	1158.18188	1.5985	0.2738	0.2632
104.2122	192.72478	1071.49170	1186.36365	1.5815	0.2845	0.2569
104.3646	190.26468	1100.72473	1173.63635	1.6020	0.2769	0.2597
104.5170	191.25732	1072.27393	1098.18176	1.5937	0.2843	0.2775
104.6694	190.60168	1028.73499	1106.36365	1.5991	0.2963	0.2755
104.8218	190.04156	1041.19092	1096.36365	1.6039	0.2927	0.2780
104.9742	189.42696	1025.61572	1090.00000	1.6091	0.2972	0.2796
105.1266	191.12920	986.35724	1104.54541	1.5947	0.3090	0.2760
105.2790	189.56740	964.81677	1065.00000	1.6079	0.3159	0.2862
105.4314	189.70053	930.12292	1025.45459	1.6067	0.3277	0.2972
105.5838	189.11214	893.42883	1124.54541	1.6117	0.3412	0.2710
105.7362	189.82774	851.94110	1141.21204	1.6057	0.3578	0.2671
105.8886	189.70251	856.35724	1157.87878	1.6067	0.3559	0.2632
106.0410	190.33553	859.39819	1174.54541	1.6014	0.3547	0.2595
106.1934	189.72833	855.39313	1173.63635	1.6065	0.3563	0.2597
106.3458	191.66545	857.21130	1172.72729	1.5903	0.3556	0.2599
106.4982	187.65778	884.03467	1171.81824	1.6242	0.3448	0.2601
106.6506	187.64340	854.30200	1058.18176	1.6244	0.3568	0.2880
106.8030	187.91823	821.54047	1061.81824	1.6220	0.3710	0.2871
106.9554	186.26414	863.93726	1081.37708	1.6364	0.3528	0.2819
107.1078	186.14336	836.27264	1087.90015	1.6374	0.3645	0.2802
107.2602	185.23810	796.87366	1094.42334	1.6454	0.3825	0.2785
107.4126	187.14021	786.26758	1100.94653	1.6287	0.3877	0.2769
107.5650	184.99506	775.66156	1107.46973	1.6476	0.3930	0.2752
107.7174	185.10579	750.50446	1113.99280	1.6466	0.4061	0.2736
107.8698	184.39493	719.70551	1096.36365	1.6530	0.4235	0.2780
108.0222	185.29939	713.81433	1116.81812	1.6449	0.4270	0.2729
108.1746	183.23508	747.84900	1137.27271	1.6634	0.4076	0.2680
108.3270	183.70763	817.41882	1157.72729	1.6592	0.3729	0.2633
108.4794	183.13124	824.70032	1178.18176	1.6644	0.3696	0.2587
108.6318	183.41194	785.93982	1181.81812	1.6618	0.3878	0.2579
108.7842	184.53923	816.39319	1185.45459	1.6517	0.3733	0.2571
108.9366	185.98563	854.57300	1148.78796	1.6388	0.3567	0.2653
109.0890	191.23592	860.48212	1112.12122	1.5938	0.3542	0.2741
109.2414	186.18408	853.46478	1075.45459	1.6371	0.3571	0.2834
109.3938	188.01942	874.45209	1060.00000	1.6211	0.3486	0.2875
109.5462	187.04791	939.79010	1091.81824	1.6295	0.3243	0.2792
109.6986	188.66660	970.12292	1110.00000	1.6155	0.3142	0.2746
109.8510	187.89613	953.77203	1061.81824	1.6222	0.3196	0.2871
110.0034	187.25157	922.86298	1115.00000	1.6278	0.3303	0.2734
110.1558	186.15533	953.83112	1168.18176	1.6373	0.3196	0.2609
110.3082	189.31596	1055.64929	1183.63635	1.6100	0.2887	0.2575
110.4606	189.42441	1112.54297	1182.72729	1.6091	0.2740	0.2577
110.6130	189.35532	1056.12024	1181.81824	1.6097	0.2886	0.2579
110.7654	189.09900	1017.84900	1176.81824	1.6119	0.2995	0.2590
110.9178	190.40948	1049.27527	1171.81824	1.6008	0.2905	0.2601
111.0702	188.47311	1044.38586	1166.81824	1.6172	0.2918	0.2612
111.2226	188.66704	1040.14343	1161.81824	1.6155	0.2930	0.2623
111.3750	184.23740	1035.90100	1050.00000	1.6544	0.2942	0.2903
111.5274	185.97572	1042.11267	1118.18176	1.6389	0.2925	0.2726
111.6798	186.45062	1041.64661	1130.00000	1.6347	0.2926	0.2697
111.8322	187.02249	1036.35730	1145.45459	1.6298	0.2941	0.2661
111.9846	187.18100	1032.61719	1146.36365	1.6284	0.2952	0.2659
112.1370	187.33607	1024.09692	1156.36365	1.6270	0.2976	0.2636
112.2894	187.54427	1032.88477	1173.63635	1.6252	0.2951	0.2597
112.4418	186.61000	1041.67273	1115.45459	1.6334	0.2926	0.2733
112.5942	186.00854	986.60553	1064.54541	1.6386	0.3089	0.2863
112.7466	185.11748	924.53906	1101.81824	1.6465	0.3297	0.2766
112.8990	182.73155	883.92694	1106.81824	1.6680	0.3448	0.2754
113.0514	182.62169	781.19965	1111.81824	1.6690	0.3902	0.2741
113.2038	182.76440	726.36365	1116.36365	1.6677	0.4196	0.2730
113.3562	182.83183	726.36365	1088.18176	1.6671	0.4196	0.2801
113.5086	183.48531	749.67352	1086.36365	1.6612	0.4066	0.2806
113.6610	182.68176	788.86621	1091.81824	1.6685	0.3864	0.2792
113.8134	184.93567	815.68439	1100.00000	1.6481	0.3737	0.2771
113.9658	182.83392	810.50446	1070.00000	1.6671	0.3761	0.2849
114.1182	184.38756	840.31122	1105.45459	1.6530	0.3627	0.2757
114.2706	185.88297	905.50958	1106.36365	1.6397	0.3366	0.2755
114.4230	187.18710	911.81818	1103.63635	1.6283	0.3343	0.2762
114.5754	189.19029	912.66583	1070.00000	1.6111	0.3340	0.2849
114.7278	190.79866	941.60822	1088.18176	1.5975	0.3237	0.2801
114.8802	189.65109	937.18817	1130.00000	1.6072	0.3252	0.2697
115.0326	189.71507	935.71710	1106.36365	1.6066	0.3257	0.2755
115.1850	189.92126	980.97052	1073.63635	1.6049	0.3107	0.2839
115.3374	189.61185	967.28552	1094.54541	1.6075	0.3151	0.2785
115.4898	189.86803	940.01282	1098.18176	1.6053	0.3243	0.2775
115.6422	188.89412	929.26886	1100.00000	1.6136	0.3280	0.2771
115.7946	187.96924	934.48401	1168.18176	1.6215	0.3262	0.2609
115.9470	187.47902	979.53143	1148.18176	1.6258	0.3112	0.2655
116.0994	186.58485	1012.19971	1090.00000	1.6336	0.3011	0.2796
116.2518	186.61935	988.71021	1038.18176	1.6333	0.3083	0.2936
116.4042	186.11967	982.04352	1148.18176	1.6377	0.3104	0.2655
116.5566	185.99579	975.37689	1142.72510	1.6387	0.3125	0.2667
116.7090	186.35847	942.99866	1139.43018	1.6356	0.3232	0.2675
116.8614	189.56770	939.66711	1136.13525	1.6079	0.3244	0.2683
117.0138	185.57976	926.16895	1132.84045	1.6424	0.3291	0.2691
117.1662	184.47125	852.32263	1129.54553	1.6523	0.3576	0.2698
117.3186	183.26964	810.50446	1126.25061	1.6631	0.3761	0.2706
117.4710	184.87265	872.94507	1161.81824	1.6487	0.3492	0.2623
117.6234	184.62630	912.36102	1127.39502	1.6509	0.3341	0.2704
