HOLE:	U1352B
EXPEDITION:	323
TOP:		79.5234
BOTTOM:		432.6342
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
79.5234	169.44495	531.61646	-999.25000	1.7988	0.5733	-999.2500
79.6758	200.05962	569.97131	-999.25000	1.5235	0.5348	-999.2500
79.8282	198.82664	608.32617	-999.25000	1.5330	0.5010	-999.2500
79.9806	197.37645	646.68103	-999.25000	1.5443	0.4713	-999.2500
80.1330	192.65495	685.03589	-999.25000	1.5821	0.4449	-999.2500
80.2854	202.42108	723.40070	-999.25000	1.5058	0.4213	-999.2500
80.4378	191.08008	761.84088	-999.25000	1.5951	0.4001	-999.2500
80.5902	187.67996	800.28113	-999.25000	1.6240	0.3809	-999.2500
80.7426	189.77014	838.72131	-999.25000	1.6062	0.3634	-999.2500
80.8950	189.34421	877.16150	-999.25000	1.6098	0.3475	-999.2500
81.0474	189.66330	915.60168	-999.25000	1.6071	0.3329	-999.2500
81.1998	190.02299	952.94098	-999.25000	1.6040	0.3199	-999.2500
81.3522	190.13187	966.73956	-999.25000	1.6031	0.3153	-999.2500
81.5046	191.09492	980.53815	-999.25000	1.5950	0.3108	-999.2500
81.6570	191.43344	994.33679	-999.25000	1.5922	0.3065	-999.2500
81.8094	190.95502	1008.13538	-999.25000	1.5962	0.3023	-999.2500
81.9618	188.56714	1021.93396	-999.25000	1.6164	0.2983	-999.2500
82.1142	191.14880	1035.73254	-999.25000	1.5946	0.2943	-999.2500
82.2666	189.34982	1049.53125	-999.25000	1.6097	0.2904	-999.2500
82.4190	189.13910	1037.57581	-999.25000	1.6115	0.2938	-999.2500
82.5714	189.35004	1029.69702	-999.25000	1.6097	0.2960	-999.2500
82.7238	189.91594	1010.69263	-999.25000	1.6049	0.3016	-999.2500
82.8762	188.69855	1009.47693	-999.25000	1.6153	0.3019	-999.2500
83.0286	189.02457	1008.26123	-999.25000	1.6125	0.3023	-999.2500
83.1810	187.53227	1007.04553	-999.25000	1.6253	0.3027	-999.2500
83.3334	187.18042	1005.82983	-999.25000	1.6284	0.3030	-999.2500
83.4858	190.22346	1004.61420	-999.25000	1.6023	0.3034	-999.2500
83.6382	186.65955	1003.39850	-999.25000	1.6329	0.3038	-999.2500
83.7906	186.14272	1002.18280	-999.25000	1.6375	0.3041	-999.2500
83.9430	183.97260	1000.96710	-999.25000	1.6568	0.3045	-999.2500
84.0954	185.63919	999.75140	-999.25000	1.6419	0.3049	-999.2500
84.2478	186.80226	998.53577	-999.25000	1.6317	0.3052	-999.2500
84.4002	185.35233	997.32007	-999.25000	1.6444	0.3056	-999.2500
84.5526	184.89522	996.10437	-999.25000	1.6485	0.3060	-999.2500
84.7050	186.94949	994.88867	-999.25000	1.6304	0.3064	-999.2500
84.8574	198.70160	993.67297	-999.25000	1.5340	0.3067	-999.2500
85.0098	191.31854	973.49377	-999.25000	1.5932	0.3131	-999.2500
85.1622	191.78667	900.00000	-999.25000	1.5893	0.3387	-999.2500
85.3146	191.01025	851.81818	-999.25000	1.5957	0.3578	-999.2500
85.4670	191.80553	893.63635	-999.25000	1.5891	0.3411	-999.2500
85.6194	191.59491	935.45453	-999.25000	1.5909	0.3258	-999.2500
85.7718	191.84280	926.59088	-999.25000	1.5888	0.3289	-999.2500
85.9242	191.47397	917.72729	-999.25000	1.5919	0.3321	-999.2500
86.0766	191.39682	908.86365	-999.25000	1.5925	0.3354	-999.2500
86.2290	190.76187	900.00000	-999.25000	1.5978	0.3387	-999.2500
86.3814	190.53076	786.36365	-999.25000	1.5997	0.3876	-999.2500
86.5338	190.50266	850.00000	-999.25000	1.6000	0.3586	-999.2500
86.6862	190.24815	875.90906	-999.25000	1.6021	0.3480	-999.2500
86.8386	190.63251	901.81818	-999.25000	1.5989	0.3380	-999.2500
86.9910	190.04759	851.81818	-999.25000	1.6038	0.3578	-999.2500
87.1434	191.45760	886.81818	-999.25000	1.5920	0.3437	-999.2500
87.2958	190.98070	921.81818	-999.25000	1.5960	0.3307	-999.2500
87.4482	190.61732	908.18182	-999.25000	1.5990	0.3356	-999.2500
