HOLE:	U1352B
EXPEDITION:	317
TOP:	125.0168
BOTTOM:	439.4180
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
125.0168	0.203056	0.043309	-0.491772	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1146	-0.0488	9.8169	0.7538
125.1692	0.203087	0.044134	-0.491324	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1267	-0.0438	9.9060	0.7538
125.3216	0.202622	0.046778	-0.491319	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1042	-0.0627	9.7858	0.7538
125.4740	0.201296	0.053652	-0.491336	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1229	-0.0072	9.6447	0.7538
125.6264	0.200298	0.058672	-0.491342	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1893	-0.0716	9.7424	0.7538
125.7788	0.200177	0.059312	-0.491500	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.0994	-0.0706	9.9399	0.7538
125.9312	0.200735	0.057518	-0.491304	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1283	-0.0318	9.8378	0.7538
126.0836	0.200697	0.057383	-0.491339	0.533771	-67.7756	338.6356	8.3080	29.6741	-0.1236	-0.0294	9.8325	0.7538
126.2360	0.200697	0.057579	-0.491340	0.533761	-67.7713	339.2101	8.2773	29.0689	-0.1637	-0.1165	9.8374	0.7544
126.3884	0.201008	0.056237	-0.491264	0.533748	-67.7750	340.3391	8.4150	28.0775	-0.0936	0.0301	9.5525	0.7619
126.5408	0.201452	0.054923	-0.491358	0.533744	-67.7705	340.5738	8.4388	27.8666	-0.2369	-0.2230	9.9177	0.7612
126.6932	0.204357	0.041527	-0.491239	0.533749	-67.7739	345.3141	12.0953	26.7825	-0.1154	-0.0412	10.1085	0.7692
126.8456	0.204241	0.041532	-0.491348	0.533757	-67.7766	345.8691	12.6717	26.8038	-0.1272	-0.0317	9.8853	0.7768
126.9980	0.204318	0.040422	-0.491390	0.533758	-67.7776	346.0674	12.9035	26.8372	-0.1260	-0.0428	9.8029	0.7813
127.1504	0.204277	0.040382	-0.491409	0.533754	-67.7676	347.1322	13.0078	25.8767	-0.1106	-0.0136	9.7132	0.7812
127.3028	0.204878	0.036824	-0.491422	0.533762	-67.7834	348.5875	13.6057	25.0194	-0.1588	-0.0718	9.7280	0.8056
127.4552	0.205499	0.032938	-0.491396	0.533773	-67.7907	350.5069	14.6728	24.1669	-0.0870	-0.0354	10.0174	0.8193
127.6076	0.205967	0.032279	-0.491300	0.533770	-67.7844	352.0029	15.1042	23.1021	-0.2057	0.0143	9.5629	0.8232
127.7600	0.207174	0.022337	-0.491377	0.533774	-67.7925	354.3402	16.6230	22.2834	-0.0729	-0.0524	10.0716	0.8385
127.9124	0.207863	0.022690	-0.491283	0.533780	-67.7901	356.9251	18.0287	21.1040	-0.1686	0.0420	9.9179	0.8403
128.0648	0.207772	0.019645	-0.491260	0.533790	-67.8031	357.4723	18.2498	20.7779	-0.1464	-0.0067	9.7158	0.8543
128.2172	0.208373	0.020731	-0.491129	0.533805	-67.8080	359.1856	18.2740	19.0885	-0.2237	-0.0962	10.0630	0.8665
128.3696	0.209632	0.025323	-0.490506	0.533823	-67.8112	0.0835	17.7481	17.6646	0.1465	-0.0338	9.7188	0.8772
128.5220	0.208475	0.023202	-0.491261	0.533845	-67.8128	1.0232	17.2311	16.2076	-0.1580	0.0127	9.9044	0.8910
