HOLE:	U1352B
EXPEDITION:	317
TOP:	81.1260
BOTTOM:	465.4788
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
81.1260	1.2918	-0.0518	1.5793	1.2918
81.2784	1.3086	-0.0003	1.5300	1.3086
81.4308	1.3035	-0.0013	1.5133	1.3035
81.5832	1.2984	-0.0013	1.5099	1.2984
81.7356	1.2912	-0.0031	1.5259	1.2912
81.8880	1.2935	-0.0032	1.5118	1.2935
82.0404	1.2894	-0.0037	1.4914	1.2894
82.1928	1.2912	-0.0036	1.4833	1.2912
82.3452	1.2825	-0.0052	1.4922	1.2825
82.4976	1.2805	-0.0049	1.5149	1.2805
82.6500	1.2789	-0.0057	1.5239	1.2789
82.8024	1.2723	-0.0069	1.5339	1.2723
82.9548	1.2755	-0.0065	1.5351	1.2755
83.1072	1.2676	-0.0071	1.5307	1.2676
83.2596	1.2678	-0.0073	1.5029	1.2678
83.4120	1.2600	-0.0075	1.4864	1.2600
83.5644	1.2616	-0.0067	1.4757	1.2616
83.7168	1.2586	-0.0076	1.4859	1.2586
83.8692	1.2589	-0.0074	1.4942	1.2589
84.0216	1.2584	-0.0077	1.5151	1.2584
84.1740	1.2609	-0.0077	1.5164	1.2609
84.3264	1.2624	-0.0076	1.5099	1.2624
84.4788	1.2625	-0.0079	1.5162	1.2625
84.6312	1.2610	-0.0085	1.5224	1.2610
84.7836	1.2600	-0.0079	1.5500	1.2600
84.9360	1.2598	-0.0076	1.5384	1.2598
85.0884	1.2588	-0.0078	1.5261	1.2588
85.2408	1.2588	-0.0076	1.5301	1.2588
85.3932	1.2617	-0.0072	1.5552	1.2617
85.5456	1.2648	-0.0069	1.5828	1.2648
85.6980	1.2724	-0.0062	1.5886	1.2724
85.8504	1.2761	-0.0059	1.5841	1.2761
86.0028	1.2823	-0.0044	1.5944	1.2823
86.1552	1.2834	-0.0039	1.6098	1.2834
86.3076	1.2871	-0.0032	1.6123	1.2871
86.4600	1.2930	-0.0020	1.6213	1.2930
86.6124	1.2988	-0.0012	1.6031	1.2988
86.7648	1.3009	-0.0010	1.6110	1.3009
86.9172	1.2983	-0.0014	1.6121	1.2983
87.0696	1.2941	-0.0018	1.6381	1.2941
87.2220	1.2974	-0.0012	1.6420	1.2974
87.3744	1.2968	-0.0011	1.6526	1.2968
87.5268	1.3000	-0.0010	1.6424	1.3000
87.6792	1.2993	-0.0009	1.6526	1.2993
87.8316	1.3048	-0.0008	1.6576	1.3048
87.9840	1.3107	-0.0002	1.6669	1.3107
88.1364	1.3236	0.0030	1.6663	1.3236
88.2888	1.3333	0.0052	1.6697	1.3333
88.4412	1.3445	0.0082	1.6781	1.3445
88.5936	1.3739	0.0149	1.6968	1.3739
88.7460	1.3858	0.0173	1.6875	1.3858
88.8984	1.3796	0.0151	1.6780	1.3796
89.0508	1.3438	0.0112	1.6286	1.3438
89.2032	1.3149	0.0055	1.6354	1.3149
89.3556	1.3174	0.0037	1.5782	1.3174
89.5080	1.3021	-0.0004	1.5979	1.3021
89.6604	1.3048	-0.0012	1.5431	1.3048
89.8128	1.2850	-0.0044	1.5317	1.2850
89.9652	1.2929	-0.0028	1.5188	1.2929
90.1176	1.2950	-0.0024	1.5175	1.2950
90.2700	1.2925	-0.0021	1.5706	1.2925
90.4224	1.2928	-0.0017	1.5734	1.2928
90.5748	1.2843	-0.0028	1.6096	1.2843
90.7272	1.2901	-0.0029	1.5746	1.2901
90.8796	1.2779	-0.0055	1.5746	1.2779
91.0320	1.2775	-0.0059	1.5385	1.2775
91.1844	1.2651	-0.0065	1.5536	1.2651
91.3368	1.2696	-0.0055	1.5185	1.2696
91.4892	1.2659	-0.0051	1.5519	1.2659
91.6416	1.2672	-0.0054	1.5451	1.2672
91.7940	1.2627	-0.0064	1.5662	1.2627
91.9464	1.2596	-0.0073	1.5479	1.2596
92.0988	1.2596	-0.0079	1.5239	1.2596
92.2512	1.2566	-0.0087	1.5285	1.2566
92.4036	1.2585	-0.0077	1.5199	1.2585
92.5560	1.2587	-0.0058	1.5388	1.2587
92.7084	1.2621	-0.0052	1.5247	1.2621
92.8608	1.2611	-0.0043	1.5403	1.2611
93.0132	1.2650	-0.0041	1.5448	1.2650
93.1656	1.2677	-0.0037	1.5729	1.2677
93.3180	1.2790	-0.0030	1.5677	1.2790
93.4704	1.2818	-0.0029	1.5635	1.2818
93.6228	1.2812	-0.0027	1.5364	1.2812
93.7752	1.2800	-0.0024	1.5104	1.2800
93.9276	1.2790	-0.0016	1.4928	1.2790
94.0800	1.2788	-0.0028	1.5131	1.2788
94.2324	1.2727	-0.0032	1.5312	1.2727
94.3848	1.2704	-0.0040	1.5353	1.2704
94.5372	1.2691	-0.0046	1.5256	1.2691
94.6896	1.2674	-0.0052	1.5192	1.2674
94.8420	1.2694	-0.0046	1.5383	1.2694
94.9944	1.2699	-0.0040	1.5372	1.2699
95.1468	1.2715	-0.0043	1.5410	1.2715
95.2992	1.2726	-0.0029	1.5390	1.2726
95.4516	1.2721	-0.0030	1.5245	1.2721
95.6040	1.2726	-0.0032	1.5695	1.2726
95.7564	1.2820	-0.0025	1.5903	1.2820
95.9088	1.2857	-0.0019	1.5815	1.2857
96.0612	1.2814	-0.0031	1.5416	1.2814
96.2136	1.2755	-0.0034	1.5655	1.2755
96.3660	1.2859	-0.0016	1.6225	1.2859
96.5184	1.3014	0.0000	1.6305	1.3014
96.6708	1.3130	0.0024	1.6122	1.3130
96.8232	1.3142	0.0038	1.6102	1.3142
96.9756	1.3155	0.0043	1.6273	1.3155
97.1280	1.3141	0.0046	1.5991	1.3141
97.2804	1.3174	0.0045	1.5970	1.3174
97.4328	1.3175	0.0045	1.5950	1.3175
97.5852	1.3171	0.0042	1.6192	1.3171
97.7376	1.3140	0.0032	1.6083	1.3140
97.8900	1.3095	0.0029	1.6044	1.3095
98.0424	1.2972	0.0012	1.5867	1.2972
98.1948	1.2867	-0.0005	1.6090	1.2867
98.3472	1.2758	-0.0026	1.6197	1.2758
98.4996	1.2794	-0.0026	1.6573	1.2794
98.6520	1.2910	-0.0009	1.6578	1.2910
98.8044	1.3372	0.0066	1.6539	1.3372
98.9568	1.3830	0.0149	1.6650	1.3830
99.1092	1.4197	0.0231	1.6754	1.4197
99.2616	1.4304	0.0279	1.7344	1.4304
99.4140	1.4357	0.0294	1.7933	1.4357
99.5664	1.4330	0.0298	1.7963	1.4330
99.7188	1.4233	0.0295	1.7763	1.4233
99.8712	1.4195	0.0282	1.7167	1.4195
100.0236	1.4531	0.0367	1.7346	1.4531
100.1760	1.4533	0.0372	1.7384	1.4533
100.3284	1.4638	0.0401	1.7296	1.4638
100.4808	1.4446	0.0377	1.7032	1.4446
100.6332	1.4557	0.0406	1.6929	1.4557
100.7856	1.4379	0.0350	1.6965	1.4379
100.9380	1.4350	0.0345	1.7062	1.4350
101.0904	1.4593	0.0404	1.7219	1.4593
101.2428	1.4963	0.0476	1.7476	1.4963
101.3952	1.4852	-0.0002	1.7710	1.4852
101.5476	1.5051	-0.0115	1.7711	1.5051
101.7000	1.5369	-0.0008	1.7909	1.5369
101.8524	1.5866	0.0081	1.8334	1.5866
102.0048	1.6526	0.0279	1.8931	1.6526
102.1572	1.7339	0.0493	1.9429	1.7339
102.3096	1.8059	0.0553	1.9455	1.8059
102.4620	1.8554	0.0741	1.9411	1.8554
102.6144	1.8988	0.0975	1.9049	1.8988
102.7668	1.8392	0.0810	1.9309	1.8392
102.9192	1.7981	0.0691	1.9630	1.7981
103.0716	1.6617	0.0388	1.7914	1.6617
103.2240	1.4500	-0.0035	1.6411	1.4500
103.3764	1.3415	0.0190	1.5419	1.3415
103.5288	1.2632	0.0056	1.5067	1.2632
103.6812	1.2472	-0.0025	1.5361	1.2472
103.8336	1.2497	-0.0037	1.5499	1.2497
103.9860	1.3045	0.0029	1.5607	1.3045
104.1384	1.4169	0.0107	1.5767	1.4169
104.2908	1.5275	0.0023	1.6349	1.5275
104.4432	1.6764	0.0293	1.7208	1.6764
104.5956	1.7456	0.0631	1.7827	1.7456
104.7480	1.8174	0.0807	1.8055	1.8174
104.9004	1.8061	0.0813	1.8879	1.8061
105.0528	1.8088	0.0776	1.9018	1.8088
105.2052	1.8294	0.0745	2.0083	1.8294
105.3576	1.8435	0.0746	2.0200	1.8435
105.5100	1.8809	0.0748	2.0429	1.8809
105.6624	1.8961	0.0745	1.9864	1.8961
105.8148	1.9160	0.0698	1.9599	1.9160
105.9672	1.9174	0.0730	2.0582	1.9174
106.1196	1.9160	0.0611	2.1033	1.9160
106.2720	1.9103	0.0427	2.2857	1.9103
106.4244	1.9299	0.0229	2.4991	1.9299
106.5768	1.9558	0.0147	2.6056	1.9558
106.7292	1.9691	0.0088	2.6175	1.9691
106.8816	1.9711	0.0044	2.5743	1.9711
107.0340	1.9641	-0.0009	2.7537	1.9641
107.1864	1.9667	-0.0000	2.8300	1.9667
107.3388	1.9609	-0.0042	2.7748	1.9501
107.4912	1.9720	-0.0042	2.7852	1.9120
107.6436	1.9738	-0.0034	2.7393	1.9919
107.7960	1.9701	-0.0080	2.8435	1.9862
107.9484	1.9626	-0.0119	2.7285	1.9392
108.1008	1.9665	-0.0128	2.7115	2.0192
108.2532	1.9667	-0.0117	2.7142	1.9407
108.4056	1.9609	-0.0157	2.7596	1.9721
108.5580	1.9700	-0.0083	2.7900	1.9525
108.7104	1.9713	-0.0081	2.7466	2.0542
108.8628	1.9753	-0.0090	2.8359	1.8530
