HOLE:	U1352B
EXPEDITION:	317
TOP:	0.0492
BOTTOM:	458.4684
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
0.0492	1.3310	1.2552	0.0310	0.2209	0.0269	-0.3827
0.2016	1.2663	2.0657	0.0357	0.4532	-0.0765	-0.3827
0.3540	0.8351	1.2379	0.0253	0.2489	-0.0407	-0.3827
0.5064	0.7132	1.0202	0.0209	0.2046	-0.0298	-0.3827
0.6588	2.0466	2.5766	0.0535	0.5126	-0.0514	-0.3827
0.8112	2.9744	3.1177	0.0605	0.6453	0.0176	-0.3827
0.9636	3.6066	3.5217	0.0616	0.7686	0.0761	-0.3827
1.1160	3.2628	2.8882	0.0482	0.6437	0.0751	-0.3827
1.2684	3.4525	2.6485	0.0431	0.5965	0.1265	-0.3827
1.4208	4.1156	3.0968	0.0523	0.6867	0.1484	-0.3827
1.5732	5.4788	4.5082	0.0778	0.9895	0.1490	-0.3827
1.7256	6.1857	5.2467	0.1014	1.0881	0.1549	-0.3827
1.8780	5.8799	4.2926	0.1069	0.7504	0.2147	-0.3827
2.0304	5.7507	4.4598	0.0996	0.8464	0.1850	-0.3827
2.1828	6.5053	4.8172	0.1113	0.8925	0.2466	-0.3827
2.3352	7.8396	5.6564	0.1328	1.0360	0.3273	-0.3827
2.4876	8.2932	6.4123	0.1469	1.1958	0.2684	-0.3827
2.6400	7.6196	6.0359	0.1527	1.0409	0.2114	-0.3827
2.7924	6.3204	5.6022	0.1394	0.9799	0.1000	-0.3827
2.9448	4.9917	4.5947	0.1139	0.8061	0.0564	-0.3827
3.0972	3.6087	3.1658	0.0801	0.5458	0.0843	-0.3827
3.2496	2.9980	2.3215	0.0562	0.4152	0.1179	-0.3827
3.4020	2.3980	1.8019	0.0379	0.3556	0.1000	-0.3827
3.5544	3.5735	2.6116	0.0529	0.5275	0.1593	-0.3827
3.7068	6.2632	4.9287	0.0876	1.0670	0.2422	-0.3827
3.8592	10.5940	8.3735	0.1366	1.8845	0.3555	-0.3827
4.0116	12.5035	10.4923	0.1844	2.2840	0.3231	-0.3827
4.1640	11.4649	8.7307	0.1732	1.7847	0.4174	-0.3827
4.3164	10.2142	8.4053	0.1624	1.7436	0.2835	-0.3827
4.4688	12.8039	9.8607	0.1858	2.0733	0.4685	-0.3827
4.6212	18.5020	14.0778	0.2781	2.8851	0.7085	-0.3827
4.7736	25.1438	20.0939	0.4119	4.0301	0.7896	-0.3827
4.9260	28.3341	22.7443	0.4895	4.4254	0.9191	-0.3827
5.0784	29.2161	23.4766	0.5199	4.4823	0.9358	-0.3827
5.2308	28.1989	22.5872	0.5082	4.2658	0.9007	-0.3827
5.3832	29.4821	22.4112	0.5468	3.9834	1.0868	-0.3827
5.5356	29.9283	22.1133	0.5591	3.8154	1.2364	-0.3827
5.6880	28.5718	20.3012	0.5200	3.4639	1.2806	-0.3827
5.8404	26.2988	19.5731	0.4895	3.4087	1.0716	-0.3827
5.9928	25.4379	18.4501	0.4739	3.1400	1.0786	-0.3827
6.1452	25.4652	19.4010	0.5007	3.2882	0.9285	-0.3827
6.2976	24.4977	18.9059	0.4915	3.1831	0.8407	-0.3827
6.4500	21.0391	16.0953	0.4190	2.7069	0.7439	-0.3827
6.6024	18.9647	14.0422	0.3650	2.3646	0.7168	-0.3827
6.7548	17.8053	12.7676	0.3476	2.0580	0.7048	-0.3827
6.9072	18.6444	13.6470	0.3400	2.3845	0.7221	-0.3827
7.0596	19.7812	14.6323	0.3497	2.6432	0.7528	-0.3827
7.2120	20.9007	17.1935	0.3994	3.1734	0.5778	-0.3827
7.3644	22.0174	19.6543	0.4369	3.7430	0.3999	-0.3827
7.5168	21.9618	18.8149	0.4433	3.4363	0.4834	-0.3827
7.6692	20.7846	17.2310	0.4135	3.1028	0.5211	-0.3827
7.8216	20.4636	16.6493	0.4095	2.9400	0.5515	-0.3827
7.9740	21.2796	17.6629	0.4341	3.1210	0.5294	-0.3827
8.1264	21.8356	19.0515	0.4409	3.5261	0.4582	-0.3827
8.2788	20.6706	18.4641	0.4180	3.4719	0.3808	-0.3827
8.4312	18.3995	17.6082	0.3887	3.3691	0.1927	-0.3827
8.5836	17.9532	17.0039	0.4024	3.0951	0.2088	-0.3827
8.7360	18.3224	18.0068	0.4215	3.3051	0.1393	-0.3827
8.8884	18.1293	16.9435	0.4186	2.9807	0.2266	-0.3827
9.0408	16.4829	14.1405	0.3698	2.3680	0.3854	-0.3827
9.1932	15.0310	13.4465	0.3258	2.4031	0.3024	-0.3827
9.3456	13.6901	12.3550	0.2928	2.2462	0.3106	-0.3827
9.4980	13.5491	12.1155	0.2832	2.2258	0.3275	-0.3827
9.6504	14.3914	12.3569	0.2738	2.3580	0.4241	-0.3827
9.8028	15.1017	11.7527	0.2723	2.1736	0.6197	-0.3827
