HOLE:	U1352B
EXPEDITION:	317
TOP:	73.5060
BOTTOM:	408.9384
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
73.5060	12.1848	10.7524	0.2180	2.1709	0.2972	-0.1283
73.6584	12.1848	10.7524	0.2180	2.1709	0.2972	-0.1283
73.8108	12.1848	10.7524	0.2180	2.1709	0.2972	-0.1283
73.9632	12.1848	10.7524	0.2180	2.1709	0.2972	-0.1283
74.1156	12.1848	10.7524	0.2180	2.1709	0.2972	-0.1283
74.2680	12.5807	11.3243	0.2284	2.2932	0.3000	-0.1283
74.4204	12.2667	10.9743	0.2182	2.2405	0.3098	-0.1283
74.5728	12.1677	10.5243	0.2027	2.1870	0.3690	-0.1283
74.7252	12.8001	10.7616	0.2247	2.1342	0.4068	-0.1283
74.8776	12.9088	10.7587	0.2247	2.1336	0.4314	-0.1283
75.0300	13.0693	10.8500	0.2245	2.1640	0.4519	-0.1283
75.1824	12.3721	10.1279	0.2172	1.9750	0.4091	-0.1283
75.3348	12.0694	10.0198	0.2213	1.9168	0.3700	-0.1283
75.4872	11.9362	9.2340	0.2017	1.7796	0.4508	-0.1283
75.6396	11.8540	9.2405	0.1925	1.8355	0.4502	-0.1283
75.7920	11.8479	8.7063	0.1771	1.7544	0.5458	-0.1283
75.9444	11.7073	8.7226	0.1832	1.7236	0.5199	-0.1283
76.0968	12.1137	9.2188	0.1895	1.8458	0.5040	-0.1283
76.2492	12.2069	9.4819	0.2057	1.8352	0.4820	-0.1283
76.4016	12.2761	9.5139	0.2049	1.8505	0.5159	-0.1283
76.5540	11.8752	9.4214	0.2058	1.8152	0.4657	-0.1283
76.7064	11.8531	8.8360	0.2016	1.6523	0.5361	-0.1283
76.8588	12.0822	9.3027	0.2170	1.7115	0.5162	-0.1283
77.0112	12.6258	9.9918	0.2378	1.8110	0.5059	-0.1283
77.1636	12.6620	10.3872	0.2601	1.8072	0.4454	-0.1283
77.3160	12.4998	9.9280	0.2496	1.7214	0.4747	-0.1283
77.4684	12.3566	10.0453	0.2550	1.7275	0.4223	-0.1283
77.6208	12.4951	9.8927	0.2665	1.6111	0.4425	-0.1283
77.7732	12.6857	10.0818	0.2730	1.6339	0.4445	-0.1283
77.9256	12.2566	10.0901	0.2663	1.6755	0.3941	-0.1283
78.0780	12.2319	9.7858	0.2707	1.5521	0.4338	-0.1283
78.2304	12.0129	9.9696	0.2651	1.6440	0.3786	-0.1283
78.3828	11.8375	10.0342	0.2563	1.7161	0.3352	-0.1283
78.5352	11.7014	9.6831	0.2505	1.6375	0.3751	-0.1283
78.6876	12.3141	9.9814	0.2447	1.7670	0.4309	-0.1283
78.8400	13.1383	10.4876	0.2535	1.8779	0.4756	-0.1283
78.9924	13.7152	11.4786	0.2821	2.0282	0.4262	-0.1283
79.1448	13.1033	11.4348	0.2691	2.0905	0.3378	-0.1283
79.2972	12.8150	10.8321	0.2409	2.0621	0.3871	-0.1283
79.4496	12.5170	10.4332	0.2424	1.9256	0.3764	-0.1283
79.6020	12.7866	10.3014	0.2487	1.8464	0.4247	-0.1283
79.7544	13.0781	10.8879	0.2597	1.9698	0.3713	-0.1283
79.9068	14.3154	11.3676	0.2811	1.9987	0.4791	-0.1283
80.0592	15.6678	12.8041	0.3248	2.2032	0.4714	-0.1283
80.2116	16.6802	13.2073	0.3322	2.2889	0.5494	-0.1283
80.3640	16.4098	12.8124	0.3327	2.1598	0.5680	-0.1283
80.5164	16.4204	12.2716	0.3274	2.0175	0.6487	-0.1283
80.6688	16.7267	12.7600	0.3459	2.0657	0.6170	-0.1283
80.8212	17.3371	13.1308	0.3634	2.0820	0.6589	-0.1283
80.9736	17.9162	14.2128	0.3931	2.2548	0.5583	-0.1283
81.1260	18.1900	15.1672	0.4154	2.4302	0.4439	-0.1283
81.2784	19.9533	16.7449	0.4587	2.6827	0.4626	-0.1283
81.4308	31.6446	26.2329	0.7147	4.2253	0.7866	-0.1283
81.5832	44.9657	36.6066	1.0104	5.8199	1.1683	-0.1283
81.7356	58.0714	46.6506	1.3032	7.3254	1.5827	-0.1283
81.8880	61.3147	49.6911	1.3956	7.7595	1.6012	-0.1283
82.0404	62.8539	49.7366	1.4071	7.7066	1.7488	-0.1283
82.1928	62.4187	49.7086	1.3903	7.7961	1.6458	-0.1283
82.3452	61.8395	48.8494	1.3758	7.6052	1.6852	-0.1283
82.4976	59.1000	46.5179	1.3309	7.1208	1.5698	-0.1283
82.6500	57.1004	44.4889	1.2679	6.8390	1.5930	-0.1283
82.8024	55.7599	42.2479	1.2061	6.4827	1.7544	-0.1283
82.9548	56.5229	42.5239	1.2364	6.3940	1.8113	-0.1283
83.1072	58.1017	43.1247	1.2751	6.3595	1.9114	-0.1283
83.2596	58.7932	44.0597	1.2868	6.5908	1.8863	-0.1283
83.4120	59.9569	44.7439	1.3203	6.6142	1.9554	-0.1299
83.5644	60.1687	44.6357	1.3314	6.5142	1.9915	-0.1823
83.7168	60.6873	45.9806	1.3612	6.7710	1.8867	-0.1823
83.8692	59.7926	45.5477	1.3552	6.6675	1.8819	-0.1823
84.0216	59.2377	44.9820	1.3170	6.7101	1.8981	-0.1823
84.1740	56.5008	42.4132	1.2439	6.3142	1.8843	-0.1823
84.3264	55.2300	41.3547	1.2173	6.1308	1.8685	-0.1823
84.4788	54.3611	40.4272	1.2062	5.8984	1.8709	-0.1823
84.6312	56.3794	41.9174	1.2518	6.1091	1.9227	-0.1823
84.7836	57.6845	43.4483	1.2817	6.4249	1.8973	-0.1823
84.9360	58.5298	44.9527	1.3209	6.6777	1.8128	-0.1823
85.0884	58.4603	45.4395	1.3237	6.8171	1.7058	-0.1823
85.2408	58.6262	46.1266	1.3326	6.9857	1.6794	-0.1823
85.3932	58.8230	46.9623	1.3515	7.1429	1.6010	-0.1823
85.5456	58.4872	46.4479	1.3608	6.9231	1.5953	-0.1823
85.6980	60.0178	47.5708	1.4056	7.0213	1.6577	-0.1823
85.8504	61.9204	50.0182	1.4687	7.4360	1.5828	-0.1823
86.0028	64.4655	51.8464	1.5482	7.5568	1.5942	-0.1823
86.1552	64.9807	52.8372	1.5567	7.8246	1.5162	-0.1823
86.3076	64.3650	53.3136	1.5722	7.8867	1.3897	-0.1823
86.4600	64.4500	53.5205	1.5838	7.8849	1.3661	-0.1823
86.6124	64.8746	53.6455	1.5978	7.8430	1.3985	-0.1823
86.7648	64.2288	53.5706	1.5684	7.9914	1.3585	-0.1823
86.9172	62.4124	52.3244	1.5397	7.7597	1.2331	-0.1823
87.0696	59.2233	48.7697	1.4538	7.1233	1.2837	-0.1823
87.2220	58.7524	48.4430	1.4316	7.1484	1.2341	-0.1823
87.3744	57.8703	47.1795	1.3834	7.0254	1.2391	-0.1823
87.5268	58.3241	47.1339	1.3501	7.2057	1.3412	-0.1823
87.6792	59.1556	48.5808	1.3576	7.6257	1.3348	-0.1823
87.8316	60.9671	49.9017	1.3897	7.8614	1.4119	-0.1823
87.9840	62.3054	50.6510	1.3991	8.0465	1.4755	-0.1823
88.1364	61.5985	49.8889	1.3719	7.9613	1.4995	-0.1823
88.2888	61.6350	49.1507	1.3552	7.8226	1.5919	-0.1823
88.4412	61.6893	48.4160	1.3668	7.5191	1.6680	-0.1823
88.5936	62.7091	48.6888	1.3461	7.7278	1.7685	-0.1823
88.7460	62.6004	48.9777	1.3279	7.9272	1.7177	-0.1823
88.8984	63.8826	50.1035	1.3746	8.0143	1.7892	-0.1823
89.0508	64.1500	51.1320	1.4170	8.0961	1.7347	-0.1823
89.2032	63.8952	51.4888	1.4556	7.9843	1.6691	-0.1823
89.3556	62.0480	49.8448	1.4244	7.6398	1.6188	-0.1823
89.5080	60.7552	48.3253	1.3793	7.4171	1.6296	-0.1823
89.6604	59.9292	46.9029	1.3473	7.1483	1.7095	-0.1823
89.8128	59.1323	45.9183	1.3513	6.8094	1.7457	-0.1823
89.9652	58.9791	46.2233	1.3696	6.7996	1.7393	-0.1823
90.1176	58.4535	45.6359	1.3384	6.7941	1.7797	-0.1823
90.2700	56.9128	43.8545	1.2804	6.5624	1.8221	-0.1823
90.4224	55.1225	41.8643	1.2116	6.3274	1.8510	-0.1823
90.5748	54.6159	41.2211	1.1886	6.2558	1.8181	-0.1823
90.7272	55.2023	41.5638	1.2122	6.2275	1.8018	-0.1823
90.8796	55.5015	40.9361	1.2198	5.9819	1.8950	-0.1823
91.0320	56.0177	40.8844	1.2387	5.8544	1.9817	-0.1823
91.1844	56.7448	40.8967	1.2441	5.8272	2.1070	-0.1823
91.3368	56.8421	40.4462	1.2034	5.9210	2.1893	-0.1823
91.4892	55.6407	39.0920	1.1272	5.9330	2.2024	-0.1823
91.6416	53.8671	36.5459	1.0386	5.6353	2.2894	-0.1823
91.7940	53.2415	35.4562	1.0236	5.3740	2.3504	-0.1823
91.9464	52.6414	34.8705	1.0469	5.0498	2.3558	-0.1823
92.0988	52.7415	35.1063	1.0700	4.9900	2.3538	-0.1823
92.2512	52.8411	34.9276	1.0648	4.9634	2.4504	-0.1823
92.4036	53.8439	35.0179	1.0660	4.9853	2.5633	-0.1823
92.5560	54.8452	35.8400	1.0689	5.2315	2.5760	-0.1823
92.7084	56.2636	36.9671	1.0921	5.4569	2.5989	-0.1823
92.8608	58.7004	39.0790	1.1569	5.7547	2.5936	-0.1823
93.0132	62.5448	42.0275	1.2859	5.9446	2.6605	-0.1823
93.1656	64.5937	43.4041	1.3584	5.9618	2.7190	-0.1823
93.3180	65.2716	45.0590	1.4117	6.1802	2.5444	-0.1823
93.4704	64.6576	46.6443	1.4266	6.6010	2.2649	-0.1823
93.6228	64.2064	46.5906	1.4189	6.6287	2.2229	-0.1823
93.7752	61.8270	44.4496	1.3407	6.4004	2.1494	-0.1823
93.9276	57.1166	41.8003	1.2557	6.0489	1.8726	-0.1823
94.0800	53.3044	39.1255	1.1862	5.5982	1.7648	-0.1823
