HOLE:	U1352B
EXPEDITION:	317
TOP:	37.0824
BOTTOM:	407.4144
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
37.0824	11.5763	15.0546	-0.0143	4.9067	-0.0606	-999.2500
37.2348	12.6254	13.5046	0.1423	3.4942	0.2069	-999.2500
37.3872	12.2904	9.8252	0.0667	2.7576	0.6129	-999.2500
37.5396	11.0044	7.9258	0.0632	2.1696	0.6063	-999.2500
37.6920	11.2362	7.7653	0.0804	2.0175	0.6812	-999.2500
37.8444	12.2166	7.9290	0.0836	2.0514	0.7863	-999.2500
37.9968	12.4905	7.5870	0.1158	1.7532	0.8459	-999.2500
38.1492	11.9168	5.9230	0.0898	1.3726	0.9694	-999.2500
38.3016	11.3162	6.5044	0.0925	1.5429	0.7931	-999.2500
38.4540	11.7898	7.6804	0.1181	1.7699	0.6663	-999.2500
38.6064	12.0513	8.1619	0.1382	1.8062	0.6515	-999.2500
38.7588	11.4436	8.3730	0.1548	1.7770	0.5316	-999.2500
38.9112	10.9469	8.6495	0.1527	1.8775	0.4210	-999.2500
39.0636	11.2327	8.9990	0.1515	1.9965	0.3956	-999.2500
39.2160	11.5461	9.4097	0.1619	2.0673	0.3667	-999.2500
39.3684	11.6209	9.8179	0.1875	2.0485	0.3243	-999.2500
39.5208	11.9675	10.3816	0.2039	2.1332	0.2749	-999.2500
39.6732	12.8672	10.9713	0.1958	2.3692	0.3295	-999.2500
39.8256	13.5623	11.6547	0.2222	2.4339	0.2955	-999.2500
39.9780	12.6052	9.8907	0.2035	1.9783	0.4180	-999.2500
40.1304	11.6752	9.0626	0.2025	1.7187	0.3981	-999.2500
40.2828	10.0635	8.2712	0.1827	1.5808	0.2769	-999.2500
40.4352	9.7797	7.3783	0.1523	1.4727	0.3807	-999.2500
40.5876	9.6687	7.0368	0.1549	1.3483	0.4076	-999.2500
40.7400	9.8266	7.5315	0.1765	1.3803	0.3898	-999.2500
40.8924	9.8049	7.7638	0.1695	1.4956	0.3322	-999.2500
