HOLE:	U1352B
EXPEDITION:	317
TOP:	0.0492
BOTTOM:	485.9004
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
0.0492	1408.0000	460.8576	309.1560	1142.2216
0.2016	1433.0000	460.5528	310.3595	1164.9735
0.3540	1442.0000	459.6384	311.5470	1157.1526
0.5064	1399.0000	459.3336	312.7505	1188.4365
0.6588	1408.0000	458.1144	313.9375	1183.8151
0.8112	1420.0000	458.1144	315.1415	1198.7461
0.9636	1394.0000	457.8096	316.3620	1223.9866
1.1160	1357.0000	457.5048	317.6160	1156.4415
1.2684	1397.0000	459.6384	318.8030	1209.4110
1.4208	1430.0000	460.5528	320.0235	1170.3060
1.5732	1415.0000	460.5528	321.2275	1172.7946
1.7256	1416.0000	460.5528	322.4315	1179.5491
1.8780	1425.0000	460.5528	323.6515	1191.6360
2.0304	1401.0000	461.4672	324.8545	1213.6770
2.1828	1386.0000	462.0768	326.0755	1194.1245
2.3352	1402.0000	461.4672	327.2800	1169.9506
2.4876	1384.0000	459.9432	328.4835	1161.0630
2.6400	1407.0000	460.2480	329.7030	1183.1040
2.7924	1420.0000	460.8576	330.9235	1197.3241
2.9448	1378.0000	460.8576	332.1120	1170.3060
3.0972	1406.0000	461.1624	333.3170	1162.4850
3.2496	1400.0000	461.7720	334.5375	1157.8635
3.4020	1415.0000	464.5152	335.7400	1183.4596
3.5544	1422.0000	464.8200	336.9265	1161.0630
3.7068	1375.0000	464.8200	338.1305	1200.8790
3.8592	1430.0000	459.9432	339.3520	1191.2805
4.0116	1402.0000	459.6384	340.5565	1169.2395
4.1640	1435.0000	459.6384	341.7610	1165.6846
4.3164	1426.0000	459.3336	342.9650	1164.6180
4.4688	1425.0000	459.0288	344.1675	1193.0580
4.6212	1421.0000	459.0288	345.3875	1143.9990
4.7736	1408.0000	458.7240	346.5570	1183.4596
4.9260	1395.0000	458.4192	347.7615	1192.3470
5.0784	1417.0000	460.2480	348.9660	1226.4751
5.2308	1373.0000	460.5528	350.2535	1193.4136
5.3832	1402.0000	460.8576	351.4730	1141.1550
5.5356	1423.0000	460.8576	352.6930	1142.5770
5.6880	1417.0000	463.2960	353.9140	1187.3700
5.8404	1403.0000	461.7720	355.1350	1192.3470
5.9928	1413.0000	463.6008	356.3555	1212.9661
6.1452	1364.0000	458.4192	357.5590	1175.6385
6.2976	1394.0000	458.4192	358.7795	1185.2371
6.4500	1415.0000	461.1624	359.9835	1201.9456
6.6024	1404.0000	463.9056	361.1880	1206.5670
6.7548	1390.0000	461.7720	362.3925	1165.6846
6.9072	1402.0000	462.6864	363.6130	1167.8175
7.0596	1399.0000	462.6864	364.8160	1151.1090
7.2120	1427.0000	465.4296	366.0200	1200.8790
7.3644	1363.0000	463.9056	367.2075	1232.5186
7.5168	1421.0000	464.2104	368.4955	1229.6746
7.6692	1416.0000	460.5528	369.7160	1159.6410
7.8216	1434.0000	462.3816	370.9535	1162.8406
7.9740	1435.0000	461.1624	372.1910	1210.8330
8.1264	1381.0000	459.6384	373.4120	1187.0145
8.2788	1363.0000	457.2000	374.6160	1180.2600
8.4312	1395.0000	457.2000	375.8360	1147.1985
8.5836	1434.0000	458.4192	377.0390	1144.7101
8.7360	1409.0000	458.1144	378.2265	1208.7001
8.8884	1404.0000	460.2480	379.4980	1192.3470
9.0408	1462.0000	460.8576	380.7015	1207.9890
9.1932	1421.0000	461.7720	381.9375	1150.0425
9.3456	1427.0000	461.1624	383.1235	1196.9685
9.4980	1366.0000	461.1624	384.3445	1188.4365
9.6504	1394.0000	464.2104	385.5660	1211.5441
9.8028	1375.0000	462.3816	386.7870	1145.7765
9.9552	1388.0000	462.6864	388.0070	1155.7306
10.1076	1462.0000	462.0768	389.2105	1170.3060
10.2600	1426.0000	461.7720	390.4310	1198.7461
10.4124	1449.0000	462.3816	391.6350	1244.9611
10.5648	1378.0000	460.5528	392.8400	1157.8635
10.7172	1337.0000	460.8576	394.0615	1152.8866
10.8696	1365.0000	453.2376	395.2810	1155.7306
11.0220	1380.0000	451.4088	396.5005	1147.5541
11.1744	1343.0000	460.8576	397.6875	1185.2371
11.3268	1480.0000	457.8096	398.9255	1261.6696
11.4792	1416.0000	457.8096	400.2470	1234.6515
11.6316	1456.0000	457.5048	401.4840	1174.2166
11.7840	1395.0000	455.6760	402.7040	1073.6100
11.9364	1348.0000	454.7616	403.9750	1217.2321
12.0888	1421.0000	455.3712	405.1955	1173.1500
12.2412	1423.0000	453.5424	406.4655	1174.5720
12.3936	1369.0000	454.1520	407.7180	1203.7230
12.5460	1422.0000	454.4568	409.0050	1141.8661
12.6984	1387.0000	457.2000	410.3100	1282.2886
