HOLE:	U1352B
EXPEDITION:	317
TOP:	73.5060
BOTTOM:	439.8756
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
73.5060	2312.0000	291.3888	3588.6899	1736.9730
73.6584	2572.0000	291.3888	3586.8320	1979.0686
73.8108	2429.0000	295.6560	3584.9409	1845.7561
73.9632	2363.0000	296.8752	3583.0859	1789.5870
74.1156	2305.0000	296.5704	3581.2300	1735.9066
74.2680	2442.0000	294.7416	3579.3889	1873.1295
74.4204	2518.0000	295.0464	3577.5149	1931.7871
74.5728	2335.0000	297.4848	3575.6589	1760.7915
74.7252	2296.0000	296.8752	3573.8201	1759.3695
74.8776	2365.0000	295.3512	3571.9641	1854.9990
75.0300	2504.0000	295.6560	3570.1221	1931.0760
75.1824	2405.0000	296.8752	3568.2490	1833.6691
75.3348	2255.0000	297.1800	3566.4021	1703.9116
75.4872	2259.0000	296.2656	3564.5720	1725.9525
75.6396	2465.0000	294.7416	3562.7300	1928.9431
75.7920	2393.0000	294.7416	3560.8560	1874.9071
75.9444	2229.0000	297.7896	3559.0000	1703.2006
76.0968	2198.0000	297.1800	3557.1599	1711.3771
76.2492	2460.0000	296.5704	3555.3181	1903.3470
76.4016	2414.0000	297.1800	3553.4790	1872.7740
76.5540	2261.0000	297.4848	3551.6221	1741.5946
76.7064	2289.0000	296.8752	3549.7820	1757.9475
76.8588	2352.0000	295.6560	3547.9590	1814.1166
77.0112	2352.0000	296.2656	3546.0859	1771.1011
77.1636	2274.0000	296.8752	3544.2300	1699.6455
77.3160	2289.0000	295.9608	3542.3899	1750.8375
77.4684	2436.0000	295.9608	3540.5330	1853.5770
77.6208	2355.0000	296.5704	3538.6760	1803.4515
77.7732	2344.0000	297.4848	3536.8201	1787.0985
77.9256	2300.0000	297.4848	3534.9800	1739.1061
78.0780	2244.0000	297.1800	3533.1399	1691.1135
78.2304	2385.0000	296.5704	3531.3000	1845.7561
78.3828	2351.0000	297.1800	3529.4441	1801.6741
78.5352	2286.0000	297.4848	3527.6040	1756.1700
78.6876	2436.0000	297.4848	3525.7639	1872.0631
