HOLE:	U1352C
EXPEDITION:	317
TOP:	102.0476
BOTTOM:	204.9176
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
102.0476	1950.0000	1950.0000	9700.0000
102.2000	1950.0000	1950.0000	1.0210
102.3524	81.7563	86.8105	0.7343
102.5048	0.3966	1.6273	0.6777
102.6572	0.4124	0.7210	0.7244
102.8096	0.4335	0.4913	0.7347
102.9620	0.5844	0.4188	0.5049
103.1144	0.6798	0.4120	0.4565
103.2668	0.7230	0.4439	0.4592
103.4192	0.7652	0.5013	0.4177
103.5716	0.8115	0.5645	0.3895
103.7240	0.8483	0.6091	0.3713
103.8764	0.8718	0.6264	0.4399
104.0288	0.8799	0.6312	0.4547
104.1812	0.8745	0.6454	0.3716
104.3336	0.8707	0.6849	0.3610
104.4860	0.8829	0.7556	0.4309
104.6384	0.9140	0.8490	0.4860
104.7908	0.9590	0.9390	0.4864
104.9432	1.0060	0.9943	0.4880
105.0956	1.0461	1.0013	0.5383
105.2480	1.0765	0.9729	0.6480
105.4004	1.1008	0.9358	0.5626
105.5528	1.1236	0.9110	0.6172
105.7052	1.1402	0.9043	0.4820
105.8576	1.1451	0.9119	0.5102
106.0100	1.1349	0.9273	0.5234
106.1624	1.1115	0.9381	0.5139
106.3148	1.0790	0.9334	0.5217
106.4672	1.0653	0.9118	0.4929
106.6196	1.0631	0.8803	0.4855
106.7720	1.0588	0.8485	0.4782
106.9244	1.0564	0.8250	0.3906
107.0768	1.0619	0.8151	0.5374
107.2292	1.0563	0.8197	0.4282
107.3816	1.0600	0.8358	0.5425
107.5340	1.0867	0.8575	0.5217
107.6864	1.1239	0.8792	0.5105
107.8388	1.1514	0.8999	0.4543
107.9912	1.1649	0.9243	0.5820
108.1436	1.1831	0.9568	0.6366
108.2960	1.2002	0.9954	0.7592
108.4484	1.2154	1.0302	0.8241
108.6008	1.2261	1.0502	0.8501
108.7532	1.2315	1.0531	0.8584
108.9056	1.2317	1.0459	0.8591
109.0580	1.2299	1.0368	0.8546
109.2104	1.2285	1.0302	0.8404
109.3628	1.2282	1.0273	0.8381
109.5152	1.2282	1.0276	0.8344
109.6676	1.2272	1.0298	0.7128
109.8200	1.2224	1.0321	0.5824
109.9724	1.2153	1.0329	0.5733
110.1248	1.2074	1.0313	0.5782
110.2772	1.2083	1.0278	0.6219
110.4296	1.2187	1.0242	0.6372
110.5820	1.2373	1.0221	0.5290
110.7344	1.2678	1.0228	0.7244
110.8868	1.2961	1.0274	0.4841
111.0392	1.3158	1.0381	0.6034
111.1916	1.3328	1.0573	0.7350
111.3440	1.3486	1.0842	0.6019
111.4964	1.3620	1.1117	0.7488
111.6488	1.3759	1.1274	0.5656
111.8012	1.3866	1.1200	0.6034
111.9536	1.3933	1.0886	0.5109
112.1060	1.3994	1.0440	0.6220
112.2584	1.3756	0.9988	0.5294
112.4108	1.3077	0.9601	0.5327
112.5632	1.1907	0.9287	0.5085
112.7156	1.0764	0.8983	0.5708
112.8680	1.0045	0.8573	0.4649
113.0204	0.9615	0.7973	0.4379
113.1728	0.9324	0.7253	0.4660
113.3252	0.9119	0.6592	0.3676
113.4776	0.8997	0.6152	0.3640
113.6300	0.8927	0.6026	0.4034
113.7824	0.8951	0.6254	0.3892
113.9348	0.9137	0.6829	0.4057
114.0872	0.9512	0.7664	0.5392
114.2396	1.0174	0.8552	0.4797
114.3920	1.0858	0.9137	0.4853
114.5444	1.1435	0.9294	0.4989
114.6968	1.1765	0.9208	0.4519
114.8492	1.1930	0.9122	0.4232
115.0016	1.1986	0.9143	0.5851
115.1540	1.2021	0.9247	0.5432
115.3064	1.2064	0.9355	0.5448
115.4588	1.2107	0.9414	0.5607
115.6112	1.2140	0.9446	0.6037
115.7636	1.2160	0.9538	0.5799
115.9160	1.2195	0.9754	0.6204
116.0684	1.2267	1.0075	0.5888
116.2208	1.2340	1.0391	0.6297
116.3732	1.2394	1.0561	0.7121
116.5256	1.2451	1.0509	0.6566
116.6780	1.2655	1.0285	0.6506
116.8304	1.2989	1.0032	0.6678
116.9828	1.3103	0.9911	0.6925
117.1352	1.2958	1.0020	0.5777
117.2876	1.2798	1.0336	0.6199
117.4400	1.2777	1.0697	0.5860
117.5924	1.2797	1.0876	0.5877
117.7448	1.2765	1.0759	0.6994
117.8972	1.2720	1.0455	0.6073
118.0496	1.2673	1.0170	0.7022
118.2020	1.2619	1.0022	0.6526
118.3544	1.2544	1.0012	0.5904
118.5068	1.2473	1.0079	0.5846
118.6592	1.2415	1.0145	0.7013
118.8116	1.2358	1.0155	0.5892
118.9640	1.2325	1.0108	0.6245
119.1164	1.2323	1.0036	0.5548
119.2688	1.2330	0.9975	0.5796
119.4212	1.2332	0.9953	0.6319
119.5736	1.2348	0.9977	0.5753
