HOLE:	U1352C
EXPEDITION:	317
TOP:	0.0930
BOTTOM:	204.9186
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
0.0930	-0.143812	0.301600	0.399527	0.843714	67.3201	5.4087	258.4762	253.0667	0.2222	-0.2113	9.6615
0.2454	-0.084295	0.214902	0.497122	0.792468	69.4948	11.4061	272.4429	261.0367	-0.5628	0.2959	9.5339
0.3978	0.140358	0.301399	0.604140	0.757764	69.5602	44.1374	306.1547	262.0150	0.0305	0.1944	9.8213
0.5502	0.120727	0.080105	0.520443	0.717127	69.3889	69.7355	332.6044	262.8682	0.4253	-0.1995	10.3179
0.7026	0.066134	0.045234	0.608757	0.673075	70.1114	89.0406	346.2959	257.2562	-1.1695	0.1097	10.4291
0.8550	0.096566	0.103263	0.634441	0.644374	70.4049	60.8326	336.4709	275.6376	-0.2815	0.3465	9.9241
1.0074	0.212939	0.202463	0.641483	0.617151	70.8847	81.0553	345.4400	264.3846	-0.3696	-0.3253	9.6391
1.1598	0.160472	0.138172	0.561075	0.615392	71.6417	57.6136	337.0795	279.4640	0.0645	0.1977	9.6921
1.3122	0.101850	-0.033952	0.568834	0.640385	73.7330	92.4130	4.7984	272.3869	-0.4270	0.5691	9.8653
1.4646	0.067663	0.003607	0.693714	0.672586	75.3892	158.9881	71.7379	272.7519	-0.2380	-0.1178	10.1051
1.6170	-0.179183	0.287334	0.532294	0.706503	76.5599	347.8122	260.7261	272.9144	-0.0733	0.2216	10.2486
1.7694	0.048774	0.014755	0.498865	0.732882	77.6568	37.5572	309.5018	271.9440	-0.5156	-0.2721	10.0316
1.9218	-0.003645	0.067800	0.641233	0.771357	78.7052	134.0826	27.6324	253.5504	0.3768	0.9943	9.6814
2.0742	0.064663	0.043792	0.787570	0.805478	79.0828	88.4952	325.4222	236.9270	-0.5659	0.3582	9.8647
2.2266	0.027632	0.169848	0.797971	0.834027	78.8871	88.7021	322.5603	233.8595	-0.1519	0.2762	10.1730
2.3790	0.029704	0.117422	0.885473	0.847549	79.6918	70.0159	301.7374	231.7195	0.2215	0.2514	10.0093
2.5314	-0.059510	0.005027	0.901470	0.862101	80.4694	40.5755	272.7933	232.2151	-0.4654	0.8092	9.6853
2.6838	-0.155231	0.028227	1.024122	0.876028	80.6453	345.9211	214.7090	228.7903	-0.3164	0.0267	9.8113
2.8362	-0.173247	0.050000	1.051696	0.884854	80.8392	356.3924	222.0079	225.6162	-0.2241	-0.3963	10.1504
2.9886	-0.176609	0.021774	1.072910	0.884098	80.1900	347.3434	213.7122	226.3701	0.0443	0.2448	10.0857
3.1410	-0.155810	0.031873	1.182413	0.892081	79.4981	8.2574	232.7825	224.5244	-0.2552	0.4874	9.9100
3.2934	-0.188372	0.073902	1.182332	0.900917	78.5119	344.0067	216.2870	232.2827	-0.3915	0.6331	9.9392
3.4458	-0.004963	0.192068	0.937338	0.898261	77.6290	49.0994	274.9292	225.8245	-0.0383	0.1594	10.0664
3.5982	-0.086236	0.098121	0.855041	0.889322	76.8138	41.1410	271.6503	230.5051	-0.1992	0.0071	10.0340
3.7506	0.052493	0.125716	0.847247	0.870421	76.7274	72.8396	297.4748	224.6322	-0.1572	0.5072	9.8866
3.9030	0.058453	0.105060	0.807472	0.847738	75.9242	98.0436	330.7605	232.7179	-0.3989	0.1439	9.8007
4.0554	-0.076671	0.292783	0.677783	0.821113	75.1120	60.7314	299.2720	238.5381	-0.0170	-0.0602	9.8952
4.2078	-0.288535	0.409198	0.572363	0.789289	74.5863	16.6838	263.4334	246.7474	0.0094	-0.0727	10.1313
4.3602	-0.298213	0.120718	0.595778	0.778810	74.3254	348.5956	247.6067	259.0134	-0.3874	0.5512	10.0373
4.5126	-0.326774	0.196697	0.658300	0.774348	74.6842	329.7928	230.7649	260.9749	-0.4507	0.0307	9.8562
4.6650	-0.125345	0.278972	0.626987	0.773236	74.8817	348.0009	258.5645	270.5660	-0.4071	0.1510	9.8290
4.8174	-0.071457	0.206645	0.592706	0.778053	75.2295	12.9153	282.6028	269.6855	-0.2989	-0.0596	10.0785
4.9698	-0.003176	0.070138	0.475675	0.790415	75.8425	6.2254	277.7624	271.5359	-0.1004	0.4520	10.1127
5.1222	0.096283	0.118495	0.546943	0.799673	76.1301	55.3516	328.5351	273.1812	-0.4686	0.2403	9.9022
5.2746	0.130551	0.124573	0.443440	0.817246	76.6496	66.1178	343.0898	276.9713	-0.1238	0.0352	9.8244
5.4270	0.057776	0.123305	0.561635	0.840545	76.6028	57.9087	334.9706	277.0609	-0.1158	0.1632	9.8752
5.5794	0.004536	0.139969	1.014307	0.851666	77.6968	34.5462	314.3135	279.7657	-0.2812	0.1567	10.0641
5.7318	-0.009609	0.027006	1.158762	0.859328	78.9277	338.0236	262.3684	284.3444	0.0471	-0.1843	10.0950
5.8842	-0.102916	0.126527	1.182338	0.885691	79.5905	342.5964	268.9186	286.3233	-0.1366	-0.1494	9.8947
6.0366	-0.062135	0.128953	1.182373	0.914777	80.5596	330.0206	262.1805	292.1620	-0.2795	0.1198	9.8333
6.1890	0.051281	0.041191	1.092603	0.948936	81.3617	6.5628	294.6008	288.0356	-0.2365	-0.2653	9.9144
6.3414	0.037642	-0.042621	0.924815	0.988720	81.1911	65.2947	353.3366	288.0424	0.0621	-0.1781	10.1260
6.4938	-0.039264	0.097527	1.182415	1.028551	81.5560	63.2130	339.4894	276.2780	-0.2052	-0.1712	10.0455
6.6462	-0.314154	0.233494	0.992274	1.068880	81.7976	324.8358	243.3845	278.5543	0.1359	0.0319	9.8436
6.7986	0.028422	0.093278	0.726989	1.097705	81.9536	349.2869	265.7594	276.4698	-0.0886	-0.1095	9.9090
6.9510	-0.144151	0.007503	0.982960	1.056825	80.7224	276.4247	183.1628	266.7393	-0.2300	0.2993	9.9647
7.1034	-0.176100	0.137011	1.182298	1.064402	79.4657	323.0601	240.8699	277.8152	-0.3716	-0.0912	10.0289
7.2558	-0.120051	0.036991	1.182426	1.063665	79.4172	312.8171	228.1075	275.2936	0.3190	0.1175	10.0553
7.4082	-0.219628	0.037579	1.182355	1.053335	79.5816	299.3857	222.7889	283.4051	-0.0549	-0.0702	9.9959
7.5606	-0.228170	-0.049666	1.182441	1.023469	78.9887	277.8280	199.2377	281.4058	-0.1915	-0.2888	9.9752
7.7130	-0.104092	0.145664	1.182329	0.993542	77.8549	318.0000	228.4607	270.4627	-0.0972	-0.0196	9.7158
7.8654	-0.018817	0.247808	1.182278	0.975780	76.8710	18.6661	275.5313	256.8655	-0.3659	-0.1629	9.7119
8.0178	-0.175212	-0.236365	0.501009	0.978055	76.3813	321.3027	217.4735	256.1711	-0.2323	0.0544	10.0386
8.1702	0.001448	0.057165	1.144764	0.989446	76.4748	268.4077	162.7983	254.3893	0.0479	-0.1044	10.4592
8.3226	0.407851	0.276004	1.182503	0.996082	76.1028	83.7232	347.9409	264.2169	0.2995	0.3924	10.1330
8.4750	-0.028452	-0.013499	1.116534	0.974824	76.0970	105.2213	5.8689	260.6502	-0.6972	-0.4582	9.5888
8.6274	-0.048324	0.099053	0.893589	0.953544	75.8799	354.7320	250.8891	256.1576	-0.4885	-0.1900	9.5900
8.7798	-0.111322	0.028112	0.505282	0.933064	75.8141	337.3229	232.1928	254.8720	0.1819	0.3413	10.0067
8.9322	-0.399192	0.008488	0.513581	0.907918	76.0232	319.5320	213.5980	254.0672	-0.5617	0.2263	10.3617
9.0846	-0.344425	0.044657	0.957127	0.886392	76.1272	328.3555	208.7868	240.4326	-0.3363	-0.0461	10.0490
9.2370	-0.400676	0.173491	1.149227	0.868583	75.9295	350.0488	219.2939	229.2451	0.0838	0.0719	9.4788
9.3894	-0.146529	0.126586	0.945849	0.856458	75.3423	24.0301	246.8311	222.8000	-0.1570	0.0439	9.7310
9.5418	-0.115031	0.180188	0.841360	0.885949	76.9838	24.5241	252.9788	228.4527	-0.2906	-0.2791	10.2634
9.6942	-0.123274	0.053768	0.749380	0.858618	78.1016	36.0695	259.8541	223.7831	-0.1138	-0.2272	10.2542
9.8466	-0.073898	-0.045334	0.856892	0.834822	77.8301	337.7831	185.1015	207.3194	-0.2008	0.2319	9.9168
9.9990	-0.084382	-0.025441	0.838699	0.823256	77.1340	331.0294	175.0734	204.0460	-0.2402	-0.0563	9.8407
10.1514	-0.094263	0.046127	0.756398	0.832541	76.8552	14.8351	225.8954	211.0950	-0.1680	0.4034	9.8780
10.3038	-0.000656	-0.041101	0.878441	0.852804	77.8094	269.0817	118.1388	209.0570	-1.0911	-0.5345	9.9292
10.4562	-0.263470	-0.078513	0.858526	0.855631	78.8136	327.5298	178.4973	210.9698	-0.3559	-0.5231	9.8786
10.6086	-0.247794	0.069814	0.686143	0.839155	79.6501	2.8463	207.4229	204.5763	-0.2708	0.3353	9.7475
10.7610	0.020033	0.127198	0.741432	0.830668	80.0262	77.9138	271.4900	193.5751	-0.1831	0.7549	9.9700
10.9134	-0.098430	-0.034412	0.796872	0.837188	80.5390	13.9977	203.3843	189.3853	-0.2356	-0.0889	10.3047
11.0658	-0.050178	-0.122760	0.760490	0.853283	80.7257	318.3926	146.0771	187.6874	-0.1350	-0.0877	10.1819
11.2182	-0.252394	-0.043263	0.763478	0.861785	80.1079	344.0400	174.8764	190.8380	-0.4377	0.3252	9.6067
11.3706	-0.206830	0.070585	0.816703	0.867891	79.7691	22.3977	219.5112	197.1118	-0.2602	-0.1870	9.5636
11.5230	0.007143	0.183612	0.833528	0.880188	79.8774	61.2834	258.2868	197.0017	-0.2012	0.1286	9.9530
11.6754	-0.118962	-0.092229	0.889987	0.887992	79.3016	2.0846	221.2491	219.1648	-0.3954	-0.4434	10.3651
11.8278	-0.127761	-0.010306	0.899818	0.891074	79.8401	324.1343	185.7587	221.6265	-0.0839	-0.7697	10.0767
11.9802	-0.127023	-0.113914	0.924507	0.903315	80.7520	303.5965	174.6493	231.0550	0.2005	0.6877	9.7126
12.1326	-0.096824	0.053720	1.066810	0.917644	81.1510	324.2919	197.3733	233.0824	-0.2082	0.2260	9.8490
12.2850	-0.180219	0.145317	0.999231	0.926755	81.2607	7.6631	245.6306	237.9666	-0.2116	-0.0861	10.0609
12.4374	-0.128442	0.260515	0.906145	0.934030	81.1784	27.6548	266.9297	239.2737	-0.2082	0.1948	9.9068
12.5898	-0.086442	0.126508	0.933405	0.935781	81.1059	19.4296	264.8812	245.4492	-0.2064	-0.0854	9.8173
12.7422	-0.077076	0.119921	1.020158	0.936726	80.8638	32.8565	275.0415	242.1814	-0.0531	0.1347	9.8743
12.8946	-0.020215	0.181344	0.920073	0.927702	80.4171	39.2101	284.1496	244.9368	-0.2828	-0.0071	9.9757
13.0470	-0.024020	0.051572	0.969248	0.921719	79.9128	23.0740	271.9886	248.9110	-0.1495	-0.1519	10.1660
13.1994	0.023394	0.047710	0.986004	0.911337	79.9776	65.1373	317.2547	252.1169	-0.2578	0.1143	10.0211
13.3518	-0.021343	0.106111	0.974422	0.898733	80.0467	27.9554	287.6790	259.7202	-0.2014	0.0562	9.8491
13.5042	-0.038886	0.077807	0.904346	0.880978	79.9885	22.7809	290.6486	267.8674	-0.2113	-0.1083	9.8887
13.6566	-0.164015	0.037576	0.851504	0.863431	80.2237	330.4983	237.7522	267.2568	-0.1030	0.2694	10.1180
13.8090	-0.268771	0.006255	0.800198	0.852005	80.6040	301.9809	206.1193	264.1399	-0.2573	-0.1205	10.0735
13.9614	-0.247982	0.216629	0.724700	0.845093	80.5519	338.1053	237.2761	259.1699	-0.1945	-0.1690	9.8684
14.1138	0.031306	0.276915	0.669228	0.833386	80.3295	21.3022	273.4512	252.1477	-0.1483	0.2206	9.7629
