HOLE:	U1352C
EXPEDITION:	317
TOP:	0.0920
BOTTOM:	186.9344
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
0.0920	9.9747	10.1550	0.2516	1.7824	0.0369	-0.3093
0.2444	13.1037	13.4880	0.3257	2.4173	0.0125	-0.2446
0.3968	19.3845	19.7582	0.4913	3.4578	0.0089	-0.2446
0.5492	24.1392	25.4943	0.6604	4.3065	-0.0947	-0.2446
0.7016	24.8214	25.8339	0.6637	4.3960	-0.0269	-0.2446
0.8540	25.2216	25.3813	0.6336	4.4276	0.1224	-0.2446
1.0064	26.6820	25.9533	0.6639	4.4330	0.2505	-0.2446
1.1588	29.8579	28.9091	0.7414	4.9268	0.2722	-0.2446
1.3112	33.1993	31.6116	0.8325	5.2599	0.3840	-0.2446
1.4636	34.7338	31.6967	0.8546	5.1578	0.5535	-0.2446
1.6160	35.8852	32.9759	0.8782	5.4298	0.5839	-0.2446
1.7684	37.3359	31.8397	0.8452	5.2589	0.8857	-0.2446
1.9208	41.5367	34.8346	0.9573	5.5626	1.0491	-0.2446
2.0732	42.8471	35.2188	1.0211	5.3125	1.1750	-0.2446
2.2256	42.1728	33.5426	0.9539	5.1685	1.3009	-0.2446
2.3780	39.1580	31.1721	0.8731	4.8817	1.1770	-0.2446
2.5304	37.9677	29.7068	0.8549	4.5182	1.1862	-0.2446
2.6828	39.1043	30.8097	0.8900	4.6663	1.2065	-0.2446
2.8352	39.2603	30.0745	0.8731	4.5297	1.3411	-0.2446
2.9876	38.1782	29.1393	0.8150	4.5700	1.2915	-0.2446
3.1400	38.1617	29.2332	0.8134	4.6095	1.2492	-0.2446
3.2924	40.3804	30.4825	0.8615	4.7284	1.3792	-0.2446
3.4448	43.7295	34.2101	0.9874	5.1862	1.3302	-0.2446
3.5972	44.1762	35.0024	0.9924	5.4110	1.3429	-0.2446
3.7496	42.6805	34.5826	0.9334	5.6218	1.2213	-0.2446
3.9020	42.4634	35.0779	0.9553	5.6522	1.1358	-0.2446
4.0544	43.3624	35.6575	0.9982	5.5872	1.1478	-0.2446
4.2068	43.6286	35.3343	0.9945	5.5054	1.2423	-0.2446
4.3592	42.4913	35.0770	0.9358	5.7662	1.1651	-0.2446
4.5116	41.0039	36.5593	0.9446	6.1902	0.7920	-0.2446
4.6640	40.3777	36.5504	0.9722	6.0253	0.7567	-0.2446
4.8164	40.5072	37.3190	0.9319	6.5078	0.7138	-0.2446
4.9688	40.1822	36.2926	0.9165	6.2687	0.8224	-0.2446
5.1212	41.6844	37.7744	0.9628	6.4728	0.8814	-0.2446
5.2736	42.2094	36.9480	0.9507	6.2788	1.0319	-0.2446
5.4260	41.9561	36.7247	0.9336	6.3076	0.9618	-0.2446
5.5784	40.7369	34.5324	0.8818	5.9081	1.0547	-0.2446
5.7308	38.8166	32.5087	0.8180	5.6327	1.1601	-0.2446
5.8832	36.9082	31.5388	0.7577	5.6745	1.0319	-0.2446
6.0356	35.3473	30.5681	0.7587	5.3574	0.9300	-0.2446
6.1880	32.2069	26.0201	0.6671	4.4358	1.0929	-0.2446
6.3404	30.7687	24.5223	0.6087	4.2974	1.1063	-0.2446
6.4928	28.3248	22.8528	0.6049	3.7847	0.9595	-0.2446
6.6452	27.4063	23.2763	0.6184	3.8412	0.7320	-0.2446
6.7976	24.4070	20.8858	0.5178	3.6641	0.5894	-0.2446
6.9500	19.8137	17.0780	0.4215	3.0070	0.4786	-0.2446
7.1024	15.7134	12.9282	0.3159	2.2950	0.4872	-0.2446
7.2548	12.7335	10.9977	0.2689	1.9511	0.3313	-0.2446
7.4072	13.7296	11.6025	0.2638	2.1750	0.3593	-0.2446
7.5596	19.7584	16.8811	0.4057	3.0363	0.4266	-0.2446
7.7120	27.1720	22.0840	0.5496	3.8619	0.6873	-0.2446
7.8644	31.6944	25.2556	0.6633	4.2129	0.8611	-0.2446
8.0168	30.7768	24.7923	0.6837	3.9451	0.7623	-0.2446
8.1692	29.8712	23.6452	0.6494	3.7784	0.8120	-0.2446
8.3216	30.9633	23.7955	0.6520	3.8109	0.9360	-0.2446
8.4740	32.6023	24.5845	0.6946	3.8145	1.1083	-0.2446
8.6264	34.1680	26.6404	0.7516	4.1399	1.0448	-0.2446
8.7788	34.2476	28.0126	0.7736	4.4511	0.8967	-0.2446
8.9312	35.1159	28.1950	0.7469	4.6661	1.0705	-0.2446
9.0836	34.0946	27.3546	0.7666	4.2812	1.0479	-0.2446
9.2360	34.1331	28.6269	0.8105	4.4320	0.9639	-0.2446
9.3884	33.7735	28.6382	0.8092	4.4431	0.8871	-0.2446
9.5408	34.1174	28.7303	0.7985	4.5355	0.8912	-0.2446
9.6932	31.8148	26.7060	0.7080	4.4163	0.8445	-0.2446
9.8456	29.7922	24.9837	0.6944	3.9435	0.7795	-0.2446
9.9980	30.5322	26.4292	0.7217	4.2476	0.7115	-0.2446
10.1504	32.2264	28.1149	0.7519	4.6109	0.6815	-0.2446
10.3028	33.7077	28.6598	0.7748	4.6518	0.7343	-0.2446
10.4552	31.7678	26.7858	0.7477	4.2097	0.7049	-0.2446
10.6076	29.6406	25.2874	0.7386	3.7822	0.5754	-0.2446
10.7600	29.2838	26.2115	0.7422	4.0576	0.3879	-0.2446
10.9124	30.2612	26.1237	0.7351	4.0711	0.5089	-0.2446
11.0648	32.3942	27.6578	0.7637	4.3956	0.6379	-0.2446
11.2172	31.0755	27.3516	0.7263	4.5161	0.5504	-0.2446
11.3696	30.1583	26.4337	0.7244	4.2330	0.5092	-0.2446
11.5220	28.9087	25.1827	0.6558	4.2337	0.5429	-0.2446
11.6744	28.7959	24.6620	0.6660	4.0073	0.6201	-0.2446
11.8268	26.6045	23.2438	0.6303	3.7611	0.4902	-0.2446
11.9792	26.2501	23.3127	0.6358	3.7514	0.4729	-0.2446
12.1316	27.3709	23.3429	0.6456	3.7036	0.6231	-0.2446
12.2840	30.7634	25.8454	0.7162	4.0927	0.7250	-0.2446
12.4364	33.0657	26.3388	0.7638	3.9718	0.9649	-0.2446
12.5888	33.6542	26.6354	0.7756	3.9979	1.0262	-0.2446
12.7412	33.6383	27.6824	0.7893	4.2535	0.8300	-0.2446
12.8936	34.1397	27.3616	0.7790	4.2106	0.8993	-0.2446
13.0460	34.9183	28.7980	0.7880	4.6188	0.8077	-0.2446
13.1984	35.2349	28.4317	0.7963	4.4528	0.9491	-0.2446
13.3508	35.2333	28.3351	0.7777	4.5304	0.9287	-0.2446
13.5032	36.0442	28.8272	0.8055	4.5256	1.0626	-0.2446
13.6556	35.9623	28.6931	0.7902	4.5724	1.0759	-0.2446
13.8080	34.7223	29.0023	0.7960	4.6375	0.8075	-0.2446
13.9604	32.8989	28.6331	0.7925	4.5393	0.5988	-0.2446
14.1128	34.1590	29.8325	0.8178	4.7758	0.5928	-0.2446
14.2652	35.3186	31.0081	0.8423	5.0090	0.5339	-0.2446
14.4176	35.2887	30.7769	0.8103	5.1223	0.5259	-0.2446
14.5700	33.9014	30.5148	0.8196	4.9839	0.3794	-0.2446
14.7224	33.4839	29.2985	0.8146	4.6235	0.5149	-0.2446
14.8748	34.2512	30.8351	0.8237	5.0626	0.3662	-0.2446
15.0272	36.7048	32.8782	0.8775	5.4028	0.4341	-0.2446
15.1796	38.5907	34.8124	0.9093	5.8368	0.3365	-0.2446
15.3320	40.4398	36.4867	0.9659	6.0421	0.3564	-0.2446
15.4844	39.0188	34.6394	0.9162	5.7409	0.4603	-0.2446
15.6368	39.3466	33.4469	0.8306	5.8596	0.6854	-0.2446
15.7892	37.5884	31.5596	0.7868	5.5109	0.7314	-0.2446
15.9416	38.2255	32.5939	0.8131	5.6884	0.6612	-0.2446
16.0940	36.9517	30.9363	0.7908	5.2877	0.7683	-0.2446
16.2464	36.7560	30.5023	0.7798	5.2131	0.8130	-0.2446
16.3988	35.9630	29.1667	0.7088	5.2004	0.9301	-0.2446
16.5512	31.1057	24.8900	0.6235	4.3290	0.8582	-0.2446
16.7036	24.8744	20.2995	0.5085	3.5306	0.6338	-0.2446
16.8560	18.8785	15.8806	0.3999	2.7496	0.4425	-0.2446
17.0084	17.4551	14.7652	0.3712	2.5601	0.3993	-0.2446
17.1608	17.5363	14.8195	0.3739	2.5619	0.4304	-0.2446
17.3132	19.1381	17.0716	0.4678	2.7342	0.3700	-0.2446
17.4656	21.5192	20.4558	0.5303	3.4527	0.3030	-0.2446
17.6180	24.5325	22.4128	0.5582	3.9171	0.5033	-0.2446
17.7704	25.9922	23.3540	0.6293	3.8025	0.5815	-0.2446
17.9228	26.9736	23.9831	0.6329	3.9834	0.6457	-0.2446
18.0752	27.8785	24.7130	0.6751	3.9701	0.6288	-0.2446
18.2276	28.9840	25.0252	0.6984	3.9336	0.7434	-0.2446
18.3800	29.4438	25.2343	0.6820	4.0969	0.8060	-0.2446
18.5324	31.0250	26.2213	0.7334	4.1120	0.9244	-0.2446
18.6848	31.8411	26.6025	0.7491	4.1424	0.9913	-0.2446
18.8372	32.6395	26.3094	0.7094	4.2813	1.1138	-0.2446
18.9896	32.8476	25.1880	0.6818	4.0829	1.2246	-0.2446
19.1420	33.3028	24.8687	0.6631	4.0902	1.2888	-0.2446
19.2944	33.3685	23.6899	0.6650	3.7013	1.4570	-0.2446
19.4468	33.1282	23.1518	0.6320	3.7218	1.4664	-0.2446
19.5992	32.0007	21.9104	0.6177	3.4079	1.4746	-0.2446
19.7516	31.7168	22.2857	0.6139	3.5505	1.4430	-0.2446
19.9040	30.7571	22.2348	0.5833	3.7131	1.2888	-0.2446
20.0564	29.4241	21.5827	0.5870	3.4823	1.1719	-0.2446
20.2088	26.6881	19.9004	0.5123	3.3804	0.9876	-0.2446
20.3612	25.4540	18.6221	0.4639	3.2537	0.9795	-0.2446
20.5136	23.4847	17.3390	0.4729	2.7896	0.8924	-0.2446
20.6660	23.3656	17.9147	0.4333	3.2061	0.8612	-0.2446
20.8184	22.5774	17.3544	0.4225	3.0902	0.8357	-0.2446
20.9708	23.4756	19.0050	0.4566	3.4193	0.7256	-0.2446
21.1232	23.0395	18.4678	0.4305	3.4000	0.7671	-0.2446
21.2756	22.9966	18.2030	0.4402	3.2581	0.8039	-0.2446
21.4280	22.1660	17.0533	0.4189	3.0143	0.7695	-0.2446
21.5804	22.8462	17.8471	0.4435	3.1249	0.7582	-0.2446
21.7328	22.9687	17.6172	0.4243	3.1637	0.7894	-0.2446
21.8852	23.5693	17.6210	0.4222	3.1772	0.8452	-0.2446
22.0376	22.9603	17.2212	0.4168	3.0809	0.7816	-0.2446
22.1900	23.5464	17.9232	0.4117	3.3356	0.7347	-0.2446
22.3424	24.1590	17.8157	0.4702	2.9585	0.8357	-0.2446
22.4948	24.1034	17.6789	0.4774	2.8725	0.8156	-0.2446
22.6472	22.5222	17.3192	0.4560	2.8827	0.7106	-0.2446
22.7996	19.9710	15.8434	0.4133	2.6591	0.5430	-0.2446
22.9520	18.9680	15.0012	0.3660	2.6666	0.5089	-0.2446
23.1044	17.5751	13.9949	0.3380	2.5079	0.5154	-0.2446
23.2568	17.2082	12.6288	0.2967	2.3115	0.6610	-0.2446
23.4092	16.2967	11.8624	0.2777	2.1770	0.6410	-0.2446
23.5616	17.2950	12.0490	0.2909	2.1595	0.7785	-0.2446
23.7140	18.0071	12.6111	0.2916	2.3357	0.8216	-0.2446
23.8664	18.2042	12.5982	0.2875	2.3553	0.8704	-0.2446
24.0188	17.7427	12.5220	0.2599	2.4926	0.7583	-0.2446
24.1712	16.6713	11.6926	0.2461	2.3076	0.7536	-0.2446
24.3236	15.8755	10.8414	0.2131	2.2280	0.7019	-0.2446
24.4760	15.1663	10.2072	0.2107	2.0388	0.7274	-0.2446
24.6284	15.4656	10.2684	0.2062	2.0845	0.7754	-0.2446
24.7808	17.0944	10.9027	0.1955	2.3507	0.9268	-0.2446
24.9332	17.5903	11.7449	0.2133	2.5162	0.8609	-0.2446
25.0856	18.6369	12.9868	0.2340	2.7935	0.8441	-0.2446
25.2380	15.9604	11.3825	0.2062	2.4421	0.6789	-0.2446
25.3904	14.6904	11.5709	0.2094	2.4837	0.5055	-0.2446
25.5428	12.4875	10.5577	0.1895	2.2753	0.3483	-0.2446
25.6952	12.8901	11.2588	0.1922	2.4842	0.3338	-0.2446
25.8476	13.6693	11.7825	0.2062	2.5701	0.3422	-0.2446
26.0000	13.2272	11.1064	0.2147	2.3035	0.4231	-0.2446
26.1524	12.3078	10.5716	0.1847	2.3079	0.3452	-0.2446
26.3048	10.4105	9.2327	0.1596	2.0255	0.2618	-0.2446
26.4572	9.5749	9.6661	0.1817	2.0348	0.0645	-0.2446
26.6096	9.9981	10.2966	0.2049	2.1012	0.0675	-0.2446
26.7620	9.7940	9.6242	0.1872	1.9892	0.1265	-0.2446
26.9144	10.9516	10.4942	0.1978	2.2064	0.1985	-0.2446
27.0668	10.7861	9.4638	0.1735	2.0184	0.2632	-0.2446
27.2192	11.3225	9.7540	0.1777	2.0867	0.3252	-0.2446
27.3716	11.4557	9.2886	0.1805	1.9208	0.4237	-0.2446
27.5240	11.2919	9.3779	0.1698	2.0124	0.4044	-0.2446
27.6764	11.8715	10.0165	0.1706	2.2124	0.3893	-0.2446
27.8288	11.6630	9.1788	0.1694	1.9510	0.4660	-0.2446
27.9812	12.5966	9.6541	0.1812	2.0341	0.4749	-0.2446
28.1336	12.1228	8.4016	0.1728	1.6817	0.5502	-0.2446
28.2860	11.8121	8.7220	0.1793	1.7461	0.4577	-0.2446
28.4384	11.5534	8.8747	0.2032	1.6555	0.3952	-0.2446
28.5908	11.4739	9.6481	0.2183	1.8147	0.2869	-0.2446
28.7432	10.9478	9.3288	0.2128	1.7450	0.2854	-0.2446
28.8956	9.9463	8.0962	0.2057	1.3909	0.2769	-0.2446
29.0480	9.4538	7.9176	0.1863	1.4474	0.2485	-0.2446
29.2004	9.9797	8.7009	0.2111	1.5537	0.2303	-0.2446
29.3528	10.7658	8.9868	0.2218	1.5825	0.2797	-0.2446
29.5052	11.2132	11.0699	0.2398	2.1451	0.0844	-0.2446
29.6576	11.6082	11.1029	0.2481	2.1069	0.1453	-0.2446
29.8100	11.4893	10.8493	0.2329	2.1145	0.1801	-0.2446
29.9624	11.5350	10.4781	0.2179	2.0831	0.2470	-0.2446
30.1148	11.6721	9.7650	0.1820	2.0650	0.4048	-0.2446
