HOLE:	U1352C
EXPEDITION:	317
TOP:	0.0920
BOTTOM:	204.9176
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
0.0920	1414.0000	410.5656	2539.9465	992.5560
0.2444	1455.0000	369.4176	2538.4900	1018.5075
0.3968	1519.0000	369.4176	2537.0010	1047.3030
0.5492	1631.0000	366.3696	2535.5139	1136.8890
0.7016	1604.0000	366.6744	2534.0271	1130.4900
0.8540	1494.0000	367.2840	2532.5215	1041.6150
1.0064	1448.0000	367.5888	2531.0305	1024.9065
1.1588	1502.0000	366.9792	2529.5425	1044.4590
1.3112	1513.0000	367.5888	2528.0535	1054.4131
1.4636	1579.0000	368.1984	2526.5481	1102.7610
1.6160	1585.0000	369.1128	2525.0754	1097.4286
1.7684	1536.0000	370.6368	2523.5706	1072.5436
1.9208	1453.0000	370.3320	2522.0815	1023.1290
2.0732	1533.0000	370.0272	2520.6096	1044.4590
2.2256	1595.0000	370.0272	2519.1221	1115.5591
2.3780	1518.0000	370.0272	2517.6350	1052.9911
2.5304	1475.0000	371.8560	2516.1616	1022.0626
2.6828	1530.0000	372.4656	2514.6880	1037.3490
2.8352	1576.0000	369.4176	2513.2014	1096.7175
2.9876	1538.0000	369.7224	2511.7141	1070.7660
3.1400	1495.0000	370.6368	2510.2410	1050.1471
3.2924	1540.0000	370.6368	2508.7520	1060.4565
3.4448	1536.0000	369.7224	2507.2805	1066.8556
3.5972	1518.0000	370.3320	2505.7935	1069.3440
3.7496	1495.0000	370.6368	2504.3049	1061.8785
3.9020	1475.0000	370.6368	2502.8154	1033.0830
4.0544	1519.0000	370.0272	2501.3606	1060.8120
4.2068	1544.0000	368.1984	2499.8735	1081.4310
4.3592	1502.0000	368.1984	2498.3855	1067.5665
4.5116	1511.0000	367.8936	2496.8970	1047.6586
4.6640	1500.0000	367.5888	2495.4094	1054.7686
4.8164	1531.0000	366.9792	2493.9214	1080.7201
4.9688	1539.0000	367.5888	2492.4160	1077.8761
5.1212	1505.0000	368.5032	2490.9270	1049.0806
5.2736	1481.0000	368.5032	2489.4399	1040.9041
5.4260	1513.0000	368.5032	2487.9514	1051.5691
5.5784	1515.0000	369.1128	2486.4624	1069.6996
5.7308	1545.0000	370.0272	2484.9741	1063.3005
5.8832	1511.0000	370.6368	2483.4995	1044.1035
6.0356	1505.0000	371.2464	2482.0071	1034.5050
6.1880	1514.0000	370.0272	2480.5371	1051.5691
6.3404	1573.0000	369.4176	2479.0510	1070.0551
6.4928	1546.0000	370.0272	2477.5769	1057.6125
