HOLE:	U1353C
EXPEDITION:	317
TOP:	109.6522
BOTTOM:	249.7078
DEPTH_WMSF	C1	C2
m	in	in
109.6522	14.9288	14.7469
109.8046	14.9288	14.7469
109.9570	14.9288	14.7469
110.1094	14.9288	14.7469
110.2618	14.9288	14.7469
110.4142	14.9288	14.7469
110.5666	14.9288	14.7469
110.7190	14.9288	14.7469
110.8714	14.9288	14.7469
111.0238	14.9288	14.7469
111.1762	14.9288	14.7469
111.3286	14.9288	14.7469
111.4810	14.9288	14.7469
111.6334	14.9288	14.7469
111.7858	14.9288	14.7469
111.9382	14.9288	14.7469
112.0906	14.9288	14.7469
112.2430	14.9288	14.7469
112.3954	14.9288	14.7469
112.5478	14.9288	14.7469
112.7002	14.9288	14.7469
112.8526	14.9288	14.7469
113.0050	14.9288	14.7469
113.1574	14.9288	14.7469
113.3098	14.9288	14.7469
113.4622	14.9288	14.7469
113.6146	14.9288	14.7469
113.7670	14.9288	14.7469
113.9194	14.9288	14.7469
114.0718	14.9288	14.7469
114.2242	14.9288	14.7469
114.3766	14.9288	14.7469
114.5290	14.9288	14.7469
114.6814	14.9288	14.7469
114.8338	14.9288	14.7469
114.9862	14.9288	14.7469
115.1386	14.9288	14.7469
115.2910	14.9288	14.7469
115.4434	14.9288	14.7469
115.5958	14.9288	14.7469
115.7482	14.9288	14.7469
115.9006	14.9288	14.7469
116.0530	14.9288	14.7469
116.2054	14.9288	14.7469
116.3578	14.9288	14.7469
116.5102	14.9288	14.7469
116.6626	14.9288	14.7469
116.8150	14.9288	14.7469
116.9674	14.9288	14.7469
117.1198	14.9288	14.7469
117.2722	14.9288	14.7469
117.4246	14.9288	14.7469
117.5770	14.9288	14.7469
117.7294	14.9288	14.7469
117.8818	14.9288	14.7469
118.0342	14.9288	14.7469
118.1866	14.9288	14.7469
118.3390	14.9288	14.7469
118.4914	14.9288	14.7469
118.6438	14.9288	14.7469
118.7962	14.9288	14.7469
118.9486	14.9288	14.7469
119.1010	14.9288	14.7469
119.2534	14.9288	14.7469
119.4058	14.9288	14.7469
119.5582	14.9288	14.7469
119.7106	14.9288	14.7469
119.8630	14.9288	14.7469
120.0154	14.9288	14.7469
120.1678	14.9288	14.7469
120.3202	14.9288	14.7469
120.4726	14.9288	14.7469
120.6250	14.9288	14.7469
120.7774	14.9288	14.7469
120.9298	14.9288	14.7469
121.0822	14.9288	14.7469
121.2346	14.9288	14.7469
121.3870	14.9288	14.7469
121.5394	14.9288	14.7469
121.6918	14.9288	14.7469
121.8442	14.9288	14.7469
121.9966	14.9288	14.7469
122.1490	14.9288	14.7469
122.3014	14.9288	14.7469
122.4538	14.9288	14.7469
122.6062	14.9288	14.7469
122.7586	14.9288	14.7469
122.9110	14.9288	14.7469
123.0634	14.9288	14.7469
123.2158	14.9288	14.7469
123.3682	14.9288	14.7469
123.5206	14.9288	14.7469
123.6730	14.9288	14.7469
123.8254	14.9288	14.7469
123.9778	14.9288	14.7469
124.1302	14.9288	14.7469
124.2826	14.9288	14.7469
124.4350	14.9288	14.7469
124.5874	14.9288	14.7469
124.7398	14.9288	14.7469
124.8922	14.9288	14.7469
125.0446	14.9288	14.7469
125.1970	14.9288	14.7469
125.3494	14.9288	14.7469
125.5018	14.9288	14.7469
125.6542	14.9288	14.7469
125.8066	14.9288	14.7469
125.9590	14.9288	14.7469
126.1114	14.9288	14.7469
126.2638	14.9288	14.7469
126.4162	14.9288	14.7469
126.5686	14.9288	14.7469
126.7210	14.9288	14.7469
126.8734	14.9288	14.7469
127.0258	14.9288	14.7469
127.1782	14.9288	14.7469
127.3306	14.9288	14.7469
127.4830	14.9288	14.7469
127.6354	14.9288	14.7469
127.7878	14.9288	14.7469
127.9402	14.9288	14.7469
128.0926	14.9288	14.7469
128.2450	14.9288	14.7469
128.3974	14.9288	14.7469
128.5498	14.9288	14.7469
128.7022	14.9288	14.7469
128.8546	14.9288	14.7469
129.0070	14.9288	14.7469
129.1594	14.9288	14.7469
129.3118	14.9288	14.7469
129.4642	14.9288	14.7469
129.6166	14.9288	14.7469
129.7690	14.9288	14.7469
129.9214	14.9288	14.7469
130.0738	14.9288	14.7469
130.2262	14.9288	14.7469
130.3786	14.9288	14.7469
130.5310	14.9288	14.7469
130.6834	14.9288	14.7469
130.8358	14.9288	14.7469
130.9882	14.9288	14.7469
131.1406	14.9288	14.7469
131.2930	14.9288	14.7469
131.4454	14.9288	14.7469
131.5978	14.9288	14.7469
131.7502	14.9288	14.7469
131.9026	14.9288	14.7469
132.0550	14.9288	14.7469
132.2074	14.9288	14.7469
132.3598	14.9288	14.7469
132.5122	14.9288	14.7469
132.6646	14.9288	14.7469
132.8170	14.9288	14.7469
132.9694	14.9288	14.7469
133.1218	14.9288	14.7469
133.2742	14.9288	14.7469
133.4266	14.9288	14.7469
133.5790	14.9288	14.7469
133.7314	14.9288	14.7469
133.8838	14.9288	14.7469
134.0362	14.9288	14.7469
134.1886	14.9288	14.7469
134.3410	14.9288	14.7469
134.4934	14.9288	14.7469
134.6458	14.9288	14.7469
134.7982	14.9288	14.7469
134.9506	14.9288	14.7469
135.1030	14.9288	14.7469
135.2554	14.9288	14.7469
135.4078	14.9288	14.7469
135.5602	14.9288	14.7469
135.7126	14.9288	14.7469
135.8650	14.9288	14.7469
136.0174	14.9288	14.7469
136.1698	14.9288	14.7469
136.3222	14.9288	14.7469
136.4746	14.9288	14.7469
136.6270	14.9288	14.7469
136.7794	14.9288	14.7469
136.9318	14.9288	14.7469
137.0842	14.9288	14.7469
137.2366	14.9288	14.7469
137.3890	14.9288	14.7469
137.5414	14.9288	14.7469
137.6938	14.9288	14.7469
137.8462	14.9288	14.7469
137.9986	14.9288	14.7469
138.1510	14.9288	14.7469
138.3034	14.9288	14.7469
138.4558	14.9288	14.7469
138.6082	14.9288	14.7469
138.7606	14.9288	14.7469
138.9130	14.9288	14.7469
139.0654	14.9288	14.7469
139.2178	14.9288	14.7469
139.3702	14.9288	14.7469
139.5226	14.9288	14.7469
139.6750	14.9288	14.7469
139.8274	14.9288	14.7469
139.9798	14.9288	14.7469
140.1322	14.9288	14.7469
140.2846	14.9288	14.7469
140.4370	14.9288	14.7469
140.5894	14.9288	14.7469
140.7418	14.9288	14.7469
140.8942	14.9288	14.7469
141.0466	14.9288	14.7469
141.1990	14.9288	14.7469
141.3514	14.9288	14.7469
141.5038	14.9288	14.7450
141.6562	14.9247	14.7147
141.8086	14.8469	14.6782
141.9610	14.7228	14.5113
142.1134	14.6365	14.5155
142.2658	14.6799	14.4831
142.4182	14.6413	14.4751
142.5706	14.6790	14.5397
142.7230	14.7410	14.5746
142.8754	14.8653	14.5658
143.0278	14.8639	14.4525
143.1802	14.8502	14.4530
143.3326	14.8651	14.5269
143.4850	15.0064	14.9593
143.6374	15.3753	15.2257
143.7898	15.3690	15.2257
143.9422	15.3449	15.2257
144.0946	15.3398	15.2187
144.2470	15.1742	15.1109
144.3994	14.8253	14.9966
144.5518	14.7341	14.7687
144.7042	14.6339	14.6683
144.8566	14.6274	14.6552
145.0090	14.5844	14.6287
145.1614	14.5441	14.5963
145.3138	14.5290	14.5823
145.4662	14.6053	14.6658
145.6186	14.7145	14.7289
145.7710	14.7589	14.7379
145.9234	14.8085	14.7577
146.0758	14.9417	14.7306
146.2282	15.2512	14.6662
146.3806	14.7444	14.7584
146.5330	14.7401	14.7468
146.6854	14.7359	14.7469
146.8378	14.7355	14.7443
146.9902	14.6925	14.7462
147.1426	14.5991	14.6767
147.2950	14.5827	14.6813
147.4474	14.6022	14.6927
147.5998	14.5950	14.6926
147.7522	14.5877	14.6837
147.9046	14.6361	14.7026
148.0570	14.7092	14.6437
148.2094	14.6251	14.4760
148.3618	14.6247	14.4658
148.5142	14.6269	14.4369
148.6666	14.6389	14.4215
148.8190	14.6398	14.4474
148.9714	14.6341	14.4637
149.1238	14.6277	14.4294
149.2762	14.6138	14.5056
149.4286	14.5841	14.4832
149.5810	14.5959	14.5732
149.7334	14.6341	14.6504
149.8858	14.6794	14.7434
150.0382	14.7359	14.8414
150.1906	14.7605	14.8790
150.3430	14.7668	14.8989
150.4954	14.5301	14.8398
150.6478	13.6642	14.0324
150.8002	13.6206	13.7857
150.9526	13.4717	13.7834
151.1050	13.4768	13.7512
151.2574	13.5081	13.7224
151.4098	13.2458	13.6181
151.5622	13.1103	13.4211
151.7146	13.2002	13.4029
151.8670	13.2601	13.3325
152.0194	13.2669	13.3432
152.1718	13.3608	13.3573
152.3242	13.4231	13.3518
152.4766	13.5248	13.4313
152.6290	13.8357	13.4927
152.7814	13.8842	13.6098
152.9338	14.1121	14.1387
153.0862	14.4681	14.6408
153.2386	14.9185	15.0463
153.3910	14.9476	15.1155
153.5434	14.8486	15.0787
153.6958	14.3927	14.8501
153.8482	14.3510	14.7665
154.0006	14.1944	14.5394
154.1530	13.9537	14.0563
154.3054	13.7907	13.8098
154.4578	13.7635	13.7512
154.6102	13.7476	13.7295
154.7626	13.7378	13.7152
154.9150	14.1086	14.3017
155.0674	14.3546	14.6229
155.2198	14.3871	14.6655
155.3722	14.3775	14.6653
155.5246	14.3771	14.6320
155.6770	14.3899	14.6139
155.8294	14.3864	14.5655
155.9818	14.3751	14.5182
156.1342	14.3747	14.5767
156.2866	14.5256	14.6448
156.4390	14.5311	14.6564
156.5914	14.5311	14.6101
156.7438	14.5309	14.5835
156.8962	14.4735	14.5281
157.0486	14.4469	14.5468
157.2010	14.5036	14.5746
157.3534	14.4919	14.5654
157.5058	14.4763	14.5737
157.6582	14.5067	14.5375
157.8106	14.5038	14.5628
157.9630	14.5048	14.5133
158.1154	14.5484	14.6250
158.2678	14.6719	14.7774
158.4202	14.6989	14.7937
158.5726	14.6988	14.7918
158.7250	14.6976	14.8368
158.8774	14.7449	14.8965
159.0298	14.7638	14.9480
159.1822	14.7359	14.9138
159.3346	14.7176	14.9083
159.4870	14.7086	14.9083
159.6394	14.7008	14.8960
159.7918	14.6894	14.8473
159.9442	14.6339	14.8331
160.0966	14.6548	14.7573
160.2490	14.7117	14.7914
160.4014	14.7131	14.7460
160.5538	14.6987	14.7416
160.7062	14.7130	14.7204
160.8586	14.6660	14.6404
161.0110	14.6975	14.5964
161.1634	14.6989	14.5948
161.3158	14.6865	14.5607
161.4682	14.6340	14.5179
161.6206	14.6640	14.4366
161.7730	14.7350	14.3031
161.9254	14.6989	14.2678
162.0778	14.6989	14.2670
162.2302	14.6967	14.2451
162.3826	14.5231	14.1736
162.5350	14.4611	14.1384
162.6874	14.6912	14.3769
162.8398	14.5826	14.3008
162.9922	14.5582	14.2887
163.1446	14.4678	14.2288
163.2970	14.2601	13.8842
163.4494	13.8372	12.0380
163.6018	13.4836	11.9339
163.7542	13.9473	12.7989
163.9066	13.9243	12.8188
164.0590	13.9193	12.7959
164.2114	13.8706	12.6443
164.3638	13.7033	12.4553
164.5162	14.0052	13.6879
164.6686	14.5751	14.5814
164.8210	14.5779	14.5928
164.9734	14.5802	14.5710
165.1258	14.5364	14.5335
165.2782	14.4779	14.3479
165.4306	14.4558	14.3008
165.5830	14.4115	14.2804
165.7354	14.3992	14.2852
165.8878	14.3680	14.2562
166.0402	14.2661	14.1949
166.1926	14.2462	14.1687
166.3450	14.2202	14.1758
166.4974	14.1901	14.1399
166.6498	14.2218	14.1962
166.8022	14.2394	14.1960
166.9546	14.2570	14.1962
167.1070	14.2283	14.1680
167.2594	14.1188	14.0582
167.4118	14.0870	14.0716
167.5642	14.1435	14.2398
167.7166	14.2625	14.2427
167.8690	14.4376	14.2895
168.0214	14.6710	14.7276
168.1738	14.8414	14.9226
168.3262	14.9288	14.9822
168.4786	14.9288	14.9795
168.6310	14.9044	14.9884
168.7834	14.9098	14.9529
168.9358	14.9003	14.8840
169.0882	14.8737	14.7351
169.2406	14.9658	14.7198
169.3930	14.9740	14.7196
169.5454	14.9715	14.7115
169.6978	14.9653	14.6726
169.8502	14.9084	14.5063
170.0026	15.0161	14.5175
170.1550	15.0743	14.5718
170.3074	15.0981	14.5956
170.4598	15.0988	14.5928
170.6122	15.0981	14.5905
170.7646	15.0858	14.5161
170.9170	14.9537	14.3546
171.0694	14.8648	14.2613
171.2218	14.8523	14.2264
171.3742	14.8307	14.2151
171.5266	14.7320	14.0839
171.6790	14.6813	13.9742
171.8314	14.6722	14.0218
171.9838	14.7104	14.1806
172.1362	14.9485	14.5463
172.2886	15.2534	14.8547
172.4410	15.2292	14.8545
172.5934	15.1258	14.7643
172.7458	15.0318	14.6597
172.8982	15.0288	14.5456
173.0506	15.0251	14.3929
173.2030	15.0016	14.3097
173.3554	14.9901	14.2824
173.5078	14.8274	14.0320
173.6602	14.7636	13.7494
173.8126	14.7359	13.5096
173.9650	14.6760	12.9049
174.1174	14.4409	12.6798
174.2698	14.3928	13.0070
174.4222	14.4176	13.2119
174.5746	14.6070	13.3405
174.7270	14.8499	13.6044
174.8794	15.0133	14.1101
175.0318	15.0916	14.1694
175.1842	15.0921	14.1867
175.3366	15.0921	14.1862
175.4890	15.0735	14.2130
175.6414	14.9633	14.1341
175.7938	14.9014	14.1680
175.9462	14.8879	14.1521
176.0986	14.7189	14.1370
176.2510	14.0515	13.9426
176.4034	13.5018	13.4127
176.5558	13.3615	13.0480
176.7082	13.7143	13.3671
176.8606	14.7042	14.2873
177.0130	14.7359	14.3356
177.1654	14.7359	14.3356
177.3178	14.7359	14.3356
177.4702	14.7364	14.3356
177.6226	14.7779	14.3439
177.7750	14.8768	14.4776
177.9274	15.1226	14.6474
178.0798	15.1918	14.6292
178.2322	15.2026	14.6290
178.3846	15.1909	14.6261
178.5370	15.1952	14.5928
178.6894	15.1576	14.4992
178.8418	15.0965	14.3436
178.9942	15.1343	14.3165
179.1466	15.1343	14.3356
179.2990	15.1368	14.3356
179.4514	15.1196	14.3346
179.6038	15.1113	14.3199
179.7562	15.0616	14.2601
179.9086	14.8769	14.1049
180.0610	14.8154	14.0270
180.2134	14.8189	14.0270
180.3658	14.7900	14.0081
180.5182	14.7776	13.9798
180.6706	13.2036	12.0598
180.8230	12.1899	10.9791
180.9754	12.6009	11.5585
181.1278	12.3347	11.2521
181.2802	12.2674	10.9906
181.4326	12.5440	11.2290
181.5850	14.2885	13.3756
181.7374	14.7176	14.4558
181.8898	15.2262	14.6747
182.0422	14.9110	14.5746
182.1946	14.9134	14.5654
182.3470	14.8907	14.5620
182.4994	14.0083	14.1103
182.6518	13.4979	12.6874
182.8042	13.1269	11.6784
182.9566	13.1347	11.8320
183.1090	13.1639	12.2957
183.2614	13.1253	12.3109
183.4138	13.1341	12.3334
183.5662	13.2352	12.9466
183.7186	13.2971	13.2910
183.8710	13.2976	13.1698
184.0234	13.1911	13.0433
184.1758	13.0267	12.8742
184.3282	12.6262	12.3080
184.4806	12.2991	11.8530
184.6330	12.2990	11.9381
184.7854	12.2986	11.9178
184.9378	12.2675	11.8357
185.0902	12.2776	11.7840
185.2426	12.5869	12.1653
185.3950	13.3687	12.8953
185.5474	14.1050	13.2206
185.6998	14.5716	13.5140
185.8522	14.7327	13.8012
186.0046	14.7452	13.8086
186.1570	14.7359	13.7990
186.3094	14.7926	13.9160
186.4618	15.2738	14.3202
186.6142	15.2681	14.2491
186.7666	15.2588	14.2373
186.9190	15.2614	14.2235
187.0714	15.2715	14.2221
187.2238	15.3681	14.2592
187.3762	15.3681	14.2905
187.5286	15.3422	14.3243
187.6810	15.3422	14.3348
187.8334	15.3422	14.3027
187.9858	15.3421	14.2891
188.1382	15.3407	14.2606
188.2906	15.3336	14.1897
188.4430	15.3365	14.2240
188.5954	15.3300	14.2240
188.7478	15.3065	14.1721
188.9002	15.2979	14.1485
189.0526	15.2980	14.1360
189.2050	15.3517	14.0800
189.3574	15.2996	13.9744
189.5098	15.2880	13.9987
189.6622	15.2623	13.9798
189.8146	15.2750	13.9794
189.9670	15.2707	13.9469
190.1194	15.2806	14.0006
190.2718	15.2714	14.1028
190.4242	15.2623	14.1399
190.5766	15.2624	14.1399
190.7290	15.2612	14.1399
190.8814	15.2146	14.1332
191.0338	15.1646	14.2523
191.1862	15.1819	14.3545
191.3386	15.1982	14.4849
191.4910	15.3864	14.6094
191.6434	15.4650	14.5916
191.7958	15.2153	14.5127
191.9482	14.7880	14.2591
192.1006	14.7771	14.1863
192.2530	14.8345	14.2119
192.4054	14.8406	14.2688
192.5578	14.9197	14.3363
192.7102	14.9150	14.4606
192.8626	14.9513	14.5278
193.0150	14.9653	14.5958
193.1674	14.9653	14.5930
193.3198	14.9922	14.6292
193.4722	14.9766	14.6267
193.6246	14.9573	14.5624
193.7770	14.9733	14.4915
193.9294	14.9379	14.4202
194.0818	14.9772	14.3263
194.2342	15.0009	14.3356
194.3866	15.0044	14.3628
194.5390	15.1011	14.4571
194.6914	11.8781	11.3241
194.8438	3.7335	3.5561
194.9962	3.7335	3.5561
195.1486	3.7335	3.5561
195.3010	3.7335	3.5561
195.4534	3.7335	3.5561
195.6058	3.7335	3.5561
195.7582	3.7335	3.5561
195.9106	3.7335	3.5561
196.0630	3.7335	3.5561
196.2154	3.7335	3.5561
196.3678	3.7335	3.5561
196.5202	3.7335	3.5561
196.6726	3.7335	3.5561
196.8250	3.7335	3.5561
196.9774	3.7335	3.5561
197.1298	3.7335	3.5561
197.2822	3.7335	3.5561
197.4346	3.7335	3.5561
197.5870	14.9043	13.9703
197.7394	14.9654	14.0459
197.8918	14.9181	13.9705
198.0442	14.9223	13.9703
198.1966	14.9246	13.9705
198.3490	14.9286	13.9450
198.5014	14.9288	13.9451
198.6538	14.9029	13.9231
198.8062	14.8936	13.9691
198.9586	14.8364	13.9162
199.1110	14.7862	13.9229
199.2634	14.7928	13.9285
199.4158	14.8137	13.9689
199.5682	14.8112	13.9703
199.7206	14.8026	13.9698
199.8730	14.8579	14.0266
200.0254	14.9231	14.1913
200.1778	14.9298	14.2109
200.3302	14.9288	14.2314
200.4826	14.9209	14.2187
200.6350	14.8375	14.1865
200.7874	14.8226	14.2831
200.9398	14.8789	14.3919
201.0922	15.2693	14.7547
201.2446	15.1341	14.6554
201.3970	14.9197	14.4616
201.5494	14.9091	14.4840
201.7018	14.9106	14.5098
201.8542	14.9222	14.4798
202.0066	14.8965	14.4187
202.1590	14.8427	14.4406
202.3114	14.8374	14.5012
202.4638	14.8371	14.5273
202.6162	14.8318	14.6139
202.7686	14.8301	14.7747
202.9210	14.8193	14.7582
203.0734	14.7808	14.6907
203.2258	14.8006	14.6837
203.3782	14.7679	14.6467
203.5306	14.7390	14.5010
203.6830	14.7077	14.3742
203.8354	14.6984	14.3355
203.9878	14.6525	14.3254
204.1402	14.6026	14.2916
204.2926	14.4296	14.1512
204.4450	14.2651	13.9917
204.5974	14.1691	13.9059
204.7498	14.0381	13.8019
204.9022	13.7295	13.4952
205.0546	13.3084	12.6803
205.2070	13.2126	12.4430
205.3594	13.1832	12.3547
205.5118	13.1268	12.3350
205.6642	13.2655	12.5550
205.8166	13.5124	13.2449
205.9690	13.5166	13.2756
206.1214	13.5166	13.2788
206.2738	13.4561	13.2013
206.4262	13.1253	12.6196
206.5786	12.6096	11.8502
206.7310	11.9337	11.0012
206.8834	11.6762	10.7165
207.0358	11.5116	10.5646
207.1882	11.3853	10.4250
207.3406	11.3410	10.3333
207.4930	11.3462	10.3361
207.6454	12.3531	11.4058
207.7978	12.8070	12.0428
207.9502	12.7555	12.0021
208.1026	12.7158	11.9852
208.2550	13.0977	12.5203
208.4074	13.2327	12.8809
208.5598	13.2566	12.9397
208.7122	13.2664	12.9488
208.8646	13.2668	12.9490
209.0170	13.2756	12.9657
209.1694	13.3906	13.0715
209.3218	13.6233	13.3065
209.4742	13.8297	13.4999
209.6266	14.1352	13.7506
209.7790	14.4106	14.0147
209.9314	14.4660	14.0839
210.0838	14.5609	14.1132
210.2362	14.7298	14.2258
210.3886	14.8816	14.3724
210.5410	15.1035	14.6656
210.6934	15.3235	14.8926
210.8458	15.4038	15.0601
210.9982	15.3748	14.9832
211.1506	15.2760	14.7542
211.3030	15.2541	14.7327
211.4554	15.2802	14.7381
211.6078	15.3201	14.7390
211.7602	15.2565	14.6590
211.9126	15.3068	14.6687
212.0650	15.3068	14.6718
212.2174	15.3058	14.6662
212.3698	15.2801	14.7038
212.5222	15.3070	14.7381
212.6746	15.3158	14.7379
212.8270	15.3245	14.7379
212.9794	15.3170	14.7358
213.1318	15.3290	14.7326
213.2842	15.2986	14.7102
213.4366	15.2935	14.7074
213.5890	15.3463	14.7396
213.7414	15.3748	14.8368
213.8938	15.3773	14.8368
214.0462	15.3621	14.8278
214.1986	15.3036	14.7365
214.3510	15.2643	14.6878
214.5034	15.2608	14.7651
214.6558	15.2628	14.7289
214.8082	15.3066	14.7860
214.9606	15.3336	14.9104
215.1130	15.3338	14.9083
215.2654	15.3356	14.8714
215.4178	15.3202	14.8423
215.5702	15.2981	14.7818
215.7226	15.2232	14.6848
215.8750	15.2129	14.6356
216.0274	15.2266	14.6676
216.1798	15.2266	14.6378
216.3322	15.2212	14.6594
216.4846	15.2802	14.6775
216.6370	15.5187	14.8809
216.7894	15.5327	14.8838
216.9418	15.5235	14.8611
217.0942	15.4918	14.8547
217.2466	15.4918	14.8547
217.3990	15.4806	14.8333
217.5514	15.4594	14.8458
217.7038	15.4389	14.8290
217.8562	15.4014	14.7448
218.0086	15.3415	14.6168
218.1610	15.3333	14.6019
218.3134	15.3131	14.5827
218.4658	15.3065	14.4776
218.6182	15.3629	14.5886
218.7706	15.4040	14.6089
218.9230	15.4123	14.5942
219.0754	15.4347	14.6379
219.2278	15.4360	14.6993
219.3802	15.4360	14.7256
219.5326	15.4358	14.8349
219.6850	15.3288	14.8461
219.8374	15.1655	14.8302
219.9898	15.1306	14.8935
220.1422	15.1369	14.9530
220.2946	15.2961	15.1754
220.4470	15.3615	15.2126
220.5994	15.4920	15.2432
220.7518	15.2123	15.1373
220.9042	15.0976	15.1074
221.0566	15.0829	15.1767
221.2090	15.1011	15.1471
221.3614	15.0858	15.1439
221.5138	15.0288	15.1066
221.6662	15.0005	15.1325
221.8186	14.9407	15.2522
221.9710	14.9379	15.2575
222.1234	14.9442	15.2548
222.2758	14.9409	15.2604
222.4282	14.9379	15.2521
222.5806	14.9379	15.2519
222.7330	14.9288	15.2524
222.8854	14.9014	15.2519
223.0378	14.9176	15.2519
223.1902	14.9288	15.2519
223.3426	14.9288	15.2519
223.4950	14.9288	15.2519
223.6474	14.9288	15.2519
223.7998	14.9268	15.2496
223.9522	14.8399	15.1236
224.1046	14.8189	15.0944
224.2570	14.8151	15.0944
224.4094	14.7802	15.0910
224.5618	14.9229	15.1750
224.7142	15.0988	15.2485
224.8666	15.1143	15.1353
225.0190	15.1281	15.1295
225.1714	15.1281	15.1295
225.3238	15.1281	15.1357
225.4762	15.1281	15.1732
225.6286	15.1270	15.1231
225.7810	15.0903	15.0704
225.9334	15.0044	14.9802
226.0858	15.0016	14.9884
226.2382	14.9704	14.9884
226.3906	14.9653	14.9526
226.5430	14.9214	14.8458
226.6954	14.8029	14.7171
226.8478	14.5751	14.5161
227.0002	14.3999	14.3372
227.1526	14.3323	14.2894
227.3050	13.9702	13.8654
227.4574	13.4913	13.3467
227.6098	13.4169	13.3050
227.7622	13.3904	13.2952
227.9146	13.3399	13.2884
228.0670	13.2695	13.2407
228.2194	13.2628	13.1711
