HOLE:	U1353C
EXPEDITION:	317
TOP:	435.1756
BOTTOM:	525.8536
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
435.1756	0.7742	0.8646	0.8541
435.3280	0.7742	0.8646	0.8541
435.4804	0.7742	0.8646	0.8541
435.6328	0.7742	0.8646	0.8541
435.7852	0.7742	0.8646	0.8541
435.9376	0.7742	0.8646	0.8541
436.0900	0.7742	0.8646	0.8541
436.2424	0.7742	0.8646	0.8541
436.3948	0.7742	0.8646	0.8541
436.5472	0.7742	0.8646	0.8541
436.6996	0.7742	0.8646	0.8541
436.8520	0.7742	0.8646	0.8541
437.0044	0.7742	0.8646	0.8541
437.1568	0.7742	0.8646	0.8541
437.3092	0.7742	0.8646	0.8541
437.4616	0.7742	0.8646	0.8541
437.6140	0.7742	0.8646	0.8541
437.7664	0.7742	0.8646	0.8541
437.9188	0.7742	0.8646	0.8541
438.0712	0.7742	0.8646	0.8541
438.2236	0.7742	0.8646	0.8541
438.3760	0.7742	0.8646	0.8541
438.5284	0.7742	0.8646	0.8541
438.6808	0.7742	0.8646	0.8541
438.8332	0.7742	0.8646	0.8541
438.9856	0.7742	0.8646	0.8541
439.1380	0.7742	0.8646	0.8541
439.2904	0.7742	0.8646	0.8541
439.4428	0.7742	0.8646	0.8541
439.5952	0.7742	0.8646	0.8541
439.7476	0.7742	0.8646	0.8541
439.9000	0.7742	0.8646	0.8541
440.0524	0.7742	0.8646	0.8541
440.2048	0.7742	0.8646	0.8541
440.3572	0.7742	0.8646	0.8541
440.5096	0.7742	0.8646	0.8541
440.6620	0.7742	0.8646	0.8541
440.8144	0.7742	0.8646	0.8541
440.9668	0.7742	0.8646	0.8541
441.1192	0.7742	0.8646	0.8541
441.2716	0.7742	0.8646	0.8541
441.4240	0.7742	0.8646	0.8541
441.5764	0.7742	0.8646	0.8541
441.7288	0.7742	0.8646	0.8541
441.8812	0.7742	0.8646	0.8541
442.0336	0.7742	0.8646	0.8541
442.1860	0.7742	0.8646	0.8541
442.3384	0.7742	0.8646	0.8541
442.4908	0.7742	0.8646	0.8541
442.6432	0.7742	0.8646	0.8541
442.7956	0.7742	0.8646	0.8541
442.9480	0.7742	0.8646	0.8541
443.1004	0.7742	0.8646	0.8541
443.2528	0.7742	0.8646	0.8541
443.4052	0.7742	0.8646	0.8541
443.5576	0.7742	0.8646	0.8541
443.7100	0.7742	0.8646	0.8541
443.8624	0.7742	0.8646	0.8541
444.0148	0.7742	0.8646	0.8541
444.1672	0.7742	0.8646	0.8541
444.3196	0.7742	0.8646	0.8541
444.4720	0.7742	0.8646	0.8541
444.6244	0.7742	0.8646	0.8541
444.7768	0.7742	0.8646	0.8541
444.9292	0.7742	0.8646	0.8541
445.0816	0.7742	0.8646	0.8541
445.2340	0.7742	0.8646	0.8541
445.3864	0.7742	0.8646	0.8541
445.5388	0.7742	0.8646	0.8541
445.6912	0.7742	0.8646	0.8541
445.8436	0.7742	0.8646	0.8541
445.9960	0.7742	0.8646	0.8541
446.1484	0.7742	0.8646	0.8541
446.3008	0.7742	0.8646	0.8541
446.4532	0.7742	0.8646	0.8541
446.6056	0.7742	0.8646	0.8541
446.7580	0.7742	0.8646	0.8541
446.9104	0.7742	0.8646	0.8541
447.0628	0.7742	0.8646	0.8541
447.2152	0.7742	0.8646	0.8541
447.3676	0.7742	0.8646	0.8541
447.5200	0.7742	0.8646	0.8541
447.6724	0.7742	0.8646	0.8541
447.8248	0.7742	0.8646	0.8541
447.9772	0.7742	0.8646	0.8541
448.1296	0.7742	0.8646	0.8541
448.2820	0.7742	0.8646	0.8541
448.4344	0.7742	0.8646	0.8541
448.5868	0.7742	0.8646	0.8541
448.7392	0.7742	0.8646	0.8541
448.8916	0.7742	0.8646	0.8541
449.0440	0.7742	0.8646	0.8541
449.1964	0.7742	0.8646	0.8541
449.3488	0.7742	0.8646	0.8541
449.5012	0.7742	0.8646	0.8541
449.6536	0.7742	0.8646	0.8541
449.8060	0.7742	0.8646	0.8541
449.9584	0.7742	0.8646	0.8541
450.1108	0.7742	0.8646	0.8541
450.2632	0.7742	0.8646	0.8541
450.4156	0.7742	0.8646	0.8541
450.5680	0.7742	0.8646	0.8541
450.7204	0.7742	0.8646	0.8541
450.8728	0.7742	0.8646	0.8541
451.0252	0.7742	0.8646	0.8541
451.1776	0.7742	0.8646	0.8541
451.3300	0.7742	0.8646	0.8541
451.4824	0.7742	0.8646	0.8541
451.6348	0.7742	0.8646	0.8541
451.7872	0.7742	0.8646	0.8541
451.9396	0.7742	0.8646	0.8541
452.0920	0.7742	0.8646	0.8541
452.2444	0.7742	0.8646	0.8541
452.3968	0.7742	0.8646	0.8541
452.5492	0.7742	0.8646	0.8541
452.7016	0.7742	0.8646	0.8541
452.8540	0.7742	0.8646	0.8541
453.0064	0.7742	0.8646	0.8541
453.1588	0.7742	0.8646	0.8541
453.3112	0.7742	0.8646	0.8541
453.4636	0.7742	0.8646	0.8541
453.6160	0.7742	0.8646	0.8541
453.7684	0.7742	0.8646	0.8541
453.9208	0.7742	0.8646	0.8541
454.0732	0.7742	0.8646	0.8541
454.2256	0.7742	0.8646	0.8541
454.3780	0.7742	0.8646	0.8541
454.5304	0.7742	0.8646	0.8541
454.6828	0.7742	0.8646	0.8541
454.8352	0.7742	0.8646	0.8541
454.9876	0.7742	0.8646	0.8541
455.1400	0.7742	0.8646	0.8541
455.2924	0.7742	0.8646	0.8541
455.4448	0.7742	0.8646	0.8541
455.5972	0.7742	0.8646	0.8481
455.7496	0.7742	0.8646	0.8437
455.9020	0.7742	0.8646	0.8430
456.0544	0.7742	0.8646	0.8443
456.2068	0.7742	0.8646	0.8460
456.3592	0.7742	0.8646	0.8473
456.5116	0.7742	0.8646	0.8506
456.6640	0.7742	0.8646	0.8557
456.8164	0.7742	0.8646	0.8594
456.9688	0.7742	0.8646	0.8590
457.1212	0.7742	0.8646	0.8585
457.2736	0.7742	0.8646	0.8584
457.4260	0.7742	0.8646	0.8565
457.5784	0.7742	0.8646	0.8566
457.7308	0.7742	0.8646	0.8561
457.8832	0.7742	0.8646	0.8570
458.0356	0.7742	0.8646	0.8586
458.1880	0.7742	0.8646	0.8578
458.3404	0.7742	0.8646	0.8585
458.4928	0.7742	0.8646	0.8626
458.6452	0.7742	0.8646	0.8528
458.7976	0.7742	0.8646	0.8507
458.9500	0.7742	0.8646	0.8537
459.1024	0.7742	0.8646	0.8509
459.2548	0.7742	0.8646	0.8493
459.4072	0.7742	0.8646	0.8616
459.5596	0.7742	0.8646	0.8702
459.7120	0.7742	0.8646	0.8708
459.8644	0.7742	0.8646	0.8738
460.0168	0.7742	0.8646	0.8719
460.1692	0.7742	0.8646	0.8624
460.3216	0.7742	0.8646	0.8585
460.4740	0.7742	0.8646	0.8585
460.6264	0.7742	0.8646	0.8577
460.7788	0.7742	0.8646	0.8594
460.9312	0.7742	0.8646	0.8634
461.0836	0.7742	0.8646	0.8637
461.2360	0.7742	0.8646	0.8611
461.3884	0.7742	0.8646	0.8630
461.5408	0.7742	0.8646	0.8695
461.6932	0.7742	0.8646	0.8751
461.8456	0.7742	0.8646	0.8772
