HOLE:	U1353C
EXPEDITION:	323
TOP:		105.6062
BOTTOM:		191.4074
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
105.6062	174.39990	555.01355	-999.25000	1.7477	0.5492	-999.2500
105.7586	175.02719	545.99115	-999.25000	1.7414	0.5583	-999.2500
105.9110	175.27272	610.94580	-999.25000	1.7390	0.4989	-999.2500
106.0634	175.27272	627.00323	-999.25000	1.7390	0.4861	-999.2500
106.2158	175.27272	631.85986	-999.25000	1.7390	0.4824	-999.2500
106.3682	175.07277	627.54962	-999.25000	1.7410	0.4857	-999.2500
106.5206	174.80911	652.62677	-999.25000	1.7436	0.4670	-999.2500
106.6730	174.72728	669.04926	-999.25000	1.7444	0.4556	-999.2500
106.8254	175.22716	674.85907	-999.25000	1.7395	0.4516	-999.2500
106.9778	175.83632	693.49915	-999.25000	1.7334	0.4395	-999.2500
107.1302	176.19995	714.68884	-999.25000	1.7299	0.4265	-999.2500
107.2826	176.86351	739.59814	-999.25000	1.7234	0.4121	-999.2500
107.4350	177.47267	757.61676	-999.25000	1.7174	0.4023	-999.2500
107.5874	177.63637	775.63538	-999.25000	1.7159	0.3930	-999.2500
107.7398	177.63637	793.65399	-999.25000	1.7159	0.3840	-999.2500
107.8922	177.63637	811.67261	-999.25000	1.7159	0.3755	-999.2500
108.0446	177.43642	853.89417	-999.25000	1.7178	0.3570	-999.2500
108.1970	177.27272	879.81866	-999.25000	1.7194	0.3464	-999.2500
108.3494	177.27272	827.69427	-999.25000	1.7194	0.3683	-999.2500
108.5018	177.27272	814.85663	-999.25000	1.7194	0.3741	-999.2500
108.6542	177.17274	858.67676	-999.25000	1.7204	0.3550	-999.2500
108.8066	176.89096	902.44788	-999.25000	1.7231	0.3377	-999.2500
108.9590	176.52733	897.55212	-999.25000	1.7266	0.3396	-999.2500
109.1114	176.36363	895.25598	-999.25000	1.7282	0.3405	-999.2500
109.2638	176.02960	876.75140	-999.25000	1.7315	0.3476	-999.2500
109.4162	175.69029	841.25159	-999.25000	1.7349	0.3623	-999.2500
109.5686	175.63637	820.13171	-999.25000	1.7354	0.3716	-999.2500
109.7210	175.63637	786.87665	-999.25000	1.7354	0.3874	-999.2500
109.8734	175.79269	749.19684	-999.25000	1.7339	0.4068	-999.2500
110.0258	176.22020	728.61975	-999.25000	1.7297	0.4183	-999.2500
110.1782	176.65999	756.04712	-999.25000	1.7253	0.4031	-999.2500
110.3306	177.05136	783.67200	-999.25000	1.7215	0.3889	-999.2500
110.4830	176.97476	789.92413	-999.25000	1.7223	0.3859	-999.2500
110.6354	176.57339	788.84576	-999.25000	1.7262	0.3864	-999.2500
110.7878	176.24577	800.30627	-999.25000	1.7294	0.3809	-999.2500
