HOLE:	U1353C
EXPEDITION:	323
TOP:		145.5350
BOTTOM:		192.7790
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
145.5350	171.63637	644.45459	729.08282	1.7758	0.4730	0.4181
145.6874	171.63637	643.78210	732.66980	1.7758	0.4735	0.4160
145.8398	171.61446	655.88892	698.94562	1.7761	0.4647	0.4361
145.9922	171.46730	693.21234	717.79401	1.7776	0.4397	0.4246
146.1446	171.72568	724.27454	717.82489	1.7749	0.4208	0.4246
146.2970	171.90843	733.64954	732.17230	1.7730	0.4155	0.4163
146.4494	171.02040	742.16718	741.10693	1.7822	0.4107	0.4113
146.6018	168.32150	726.60028	666.02393	1.8108	0.4195	0.4576
146.7542	164.41534	650.32544	591.25458	1.8538	0.4687	0.5155
146.9066	160.48872	578.14490	522.62714	1.8992	0.5272	0.5832
147.0590	157.24678	532.60687	480.83429	1.9384	0.5723	0.6339
147.2114	154.78712	493.24991	463.88495	1.9692	0.6179	0.6571
147.3638	153.31580	469.14587	447.55582	1.9881	0.6497	0.6810
147.5162	153.26942	457.33557	450.76385	1.9887	0.6665	0.6762
147.6686	153.88156	454.38272	436.78268	1.9807	0.6708	0.6978
147.8210	154.01076	457.84351	426.25943	1.9791	0.6657	0.7151
147.9734	152.82439	462.03796	438.90833	1.9944	0.6597	0.6945
148.1258	150.02039	463.09198	475.63602	2.0317	0.6582	0.6408
148.2782	145.88911	449.57822	451.76129	2.0893	0.6780	0.6747
148.4306	143.66794	428.44513	395.14090	2.1216	0.7114	0.7714
148.5830	145.75826	429.69568	414.00372	2.0911	0.7093	0.7362
148.7354	147.93401	451.09076	479.75854	2.0604	0.6757	0.6353
148.8878	150.37468	463.89896	505.84286	2.0269	0.6570	0.6026
149.0402	153.61699	455.71603	477.62115	1.9842	0.6688	0.6382
149.1926	154.65953	437.33371	438.82220	1.9708	0.6970	0.6946
149.3450	154.69136	424.62131	416.04044	1.9704	0.7178	0.7326
149.4974	155.19124	419.84735	392.79785	1.9640	0.7260	0.7760
149.6498	155.84923	428.55237	393.32059	1.9557	0.7112	0.7749
149.8022	156.41901	464.25168	455.99225	1.9486	0.6565	0.6684
149.9546	157.37845	507.62549	540.16290	1.9367	0.6004	0.5643
150.1070	158.02657	539.30463	578.16852	1.9288	0.5652	0.5272
150.2594	158.03577	547.38336	549.92682	1.9287	0.5568	0.5543
150.4118	158.16904	539.29523	529.52216	1.9271	0.5652	0.5756
150.5642	157.98752	531.66315	530.02240	1.9293	0.5733	0.5751
150.7166	156.25461	519.60712	498.44678	1.9507	0.5866	0.6115
150.8690	153.51511	510.11844	528.31580	1.9855	0.5975	0.5769
151.0214	148.82649	487.51807	514.16522	2.0480	0.6252	0.5928
151.1738	140.25505	444.96078	484.62540	2.1732	0.6850	0.6289
151.3262	128.71722	386.31085	357.31082	2.3680	0.7890	0.8530
151.4786	121.67728	328.65912	300.12604	2.5050	0.9274	1.0156
151.6310	130.57114	297.35794	257.22693	2.3344	1.0250	1.1849
151.7834	142.62354	263.12210	241.82072	2.1371	1.1584	1.2604
151.9358	152.37381	267.72391	226.97876	2.0003	1.1385	1.3429
152.0882	163.56638	372.82654	419.42108	1.8635	0.8175	0.7267
152.2406	170.91399	525.92865	616.15973	1.7834	0.5795	0.4947
152.3930	174.17027	663.46741	803.86639	1.7500	0.4594	0.3792
152.5454	175.41183	734.00775	858.60602	1.7376	0.4153	0.3550
152.6978	174.96048	739.89648	831.89642	1.7421	0.4119	0.3664
152.8502	173.74803	726.13092	796.65192	1.7543	0.4198	0.3826
153.0026	172.58142	699.25092	732.62762	1.7661	0.4359	0.4160
153.1550	171.21925	666.45514	678.81122	1.7802	0.4573	0.4490
153.3074	169.89519	633.23846	644.76996	1.7940	0.4813	0.4727
153.4598	169.23880	589.91760	605.77167	1.8010	0.5167	0.5032
153.6122	168.92365	530.55560	539.04736	1.8044	0.5745	0.5654
153.7646	169.01202	487.70190	467.41452	1.8034	0.6250	0.6521
153.9170	169.58377	499.46805	450.92606	1.7973	0.6102	0.6759
154.0694	170.12079	551.87549	566.62854	1.7917	0.5523	0.5379
154.2218	170.16800	595.32068	583.74109	1.7912	0.5120	0.5221
154.3742	169.86159	650.55939	569.20172	1.7944	0.4685	0.5355
154.5266	169.66635	687.37701	562.79309	1.7965	0.4434	0.5416
154.6790	169.96143	668.48669	541.50940	1.7933	0.4560	0.5629
154.8314	170.29716	630.41614	515.67560	1.7898	0.4835	0.5911
154.9838	170.68019	627.96509	531.69952	1.7858	0.4854	0.5733
155.1362	171.01793	627.58966	557.10406	1.7823	0.4857	0.5471
155.2886	171.09091	618.23871	576.70386	1.7815	0.4930	0.5285
155.4410	170.93900	628.78119	594.78625	1.7831	0.4847	0.5125
155.5934	170.46909	648.43634	612.79541	1.7880	0.4701	0.4974
155.7458	169.79070	651.54694	615.64081	1.7952	0.4678	0.4951
155.8982	169.14371	636.26965	661.95270	1.8020	0.4790	0.4605
156.0506	168.65327	615.04175	642.83032	1.8073	0.4956	0.4742
156.2030	168.41151	591.05090	591.68536	1.8099	0.5157	0.5151
156.3554	168.71155	576.45105	556.61060	1.8066	0.5288	0.5476
156.5078	169.55600	574.16199	558.32446	1.7976	0.5309	0.5459
156.6602	170.67758	580.27966	565.79120	1.7858	0.5253	0.5387
156.8126	171.84444	594.99280	597.33606	1.7737	0.5123	0.5103
156.9650	172.68993	621.94678	617.38824	1.7650	0.4901	0.4937
157.1174	172.51906	650.97498	664.93347	1.7668	0.4682	0.4584
157.2698	170.86192	674.36566	710.14465	1.7839	0.4520	0.4292
157.4222	168.53055	696.21246	774.38403	1.8086	0.4378	0.3936
157.5746	164.68832	697.67468	798.94873	1.8508	0.4369	0.3815
157.7270	158.12540	675.73315	636.14703	1.9276	0.4511	0.4791
157.8794	150.30849	616.32886	383.42926	2.0278	0.4945	0.7949
158.0318	143.77748	503.75571	285.36227	2.1199	0.6051	1.0681
158.1842	140.22488	395.31128	292.36395	2.1737	0.7710	1.0425
158.3366	139.25264	343.13965	298.44034	2.1888	0.8883	1.0213
158.4890	138.25159	328.62134	318.68750	2.2047	0.9275	0.9564
158.6414	136.28934	316.50403	340.58987	2.2364	0.9630	0.8949
158.7938	139.46167	277.05765	326.58124	2.1855	1.1001	0.9333
158.9462	151.28253	215.94157	283.15186	2.0148	1.4115	1.0765
159.0986	163.49942	206.37459	219.74718	1.8642	1.4769	1.3870
159.2510	169.38107	301.92334	191.61378	1.7995	1.0095	1.5907
159.4034	170.84061	446.16602	297.45517	1.7841	0.6832	1.0247
159.5558	170.85277	546.14240	439.90170	1.7840	0.5581	0.6929
159.7082	170.72728	585.93384	501.44870	1.7853	0.5202	0.6078
159.8606	170.81760	600.99744	570.46790	1.7844	0.5072	0.5343
160.0130	170.95827	612.74219	648.51599	1.7829	0.4974	0.4700
160.1654	171.04025	627.82928	680.34143	1.7820	0.4855	0.4480
160.3178	171.34891	653.52325	709.98474	1.7788	0.4664	0.4293
160.4702	171.89505	683.26294	731.75568	1.7732	0.4461	0.4165
160.6226	171.98956	693.69495	742.22394	1.7722	0.4394	0.4107
160.7750	170.49820	676.65277	767.51135	1.7877	0.4505	0.3971
160.9274	166.85022	646.62921	818.77924	1.8268	0.4714	0.3723
161.0798	161.82471	601.34778	836.68097	1.8835	0.5069	0.3643
161.2322	155.42380	513.90790	738.86133	1.9611	0.5931	0.4125
161.3846	146.21135	398.83502	565.80164	2.0847	0.7642	0.5387
161.5370	135.07771	336.14758	438.41937	2.2565	0.9067	0.6952
161.6894	126.03017	307.18576	315.86932	2.4185	0.9922	0.9650
161.8418	121.29639	262.66425	246.88470	2.5129	1.1604	1.2346
161.9942	123.72723	208.02325	216.37450	2.4635	1.4652	1.4087
162.1466	135.01898	159.05374	182.31822	2.2575	1.9163	1.6718
162.2990	150.85727	162.06554	155.73259	2.0205	1.8807	1.9572
162.4514	160.96146	224.47925	173.34474	1.8936	1.3578	1.7583
162.6038	164.59058	303.61575	243.70633	1.8519	1.0039	1.2507
162.7562	166.06131	386.00955	355.62735	1.8355	0.7896	0.8571
162.9086	167.83191	462.30606	449.15305	1.8161	0.6593	0.6786
163.0610	169.42526	516.33948	517.72083	1.7990	0.5903	0.5887
163.2134	170.16193	561.15417	545.51953	1.7912	0.5432	0.5587
163.3658	170.70674	609.54669	563.43018	1.7855	0.5000	0.5410
163.5182	171.45944	596.52802	589.52887	1.7777	0.5110	0.5170
163.6706	172.61176	539.63214	579.10327	1.7658	0.5648	0.5263
163.8230	173.91724	511.40875	569.33215	1.7526	0.5960	0.5354
163.9754	174.79631	530.25647	595.92474	1.7437	0.5748	0.5115
164.1278	174.73611	559.23309	634.82275	1.7443	0.5450	0.4801
164.2802	173.83768	585.38293	658.26160	1.7534	0.5207	0.4630
164.4326	173.50070	618.45795	650.06354	1.7568	0.4928	0.4689
164.5850	173.59958	653.54797	645.32770	1.7558	0.4664	0.4723
164.7374	173.23207	683.15051	658.44708	1.7595	0.4462	0.4629
164.8898	172.40135	665.06580	638.15112	1.7680	0.4583	0.4776
165.0422	171.76038	622.03778	609.90991	1.7746	0.4900	0.4997
165.1946	171.46463	584.66168	607.58063	1.7776	0.5213	0.5017
165.3470	171.78819	580.93036	591.78003	1.7743	0.5247	0.5151
165.4994	170.21538	596.72034	579.24280	1.7907	0.5108	0.5262
165.6518	169.13190	613.97083	574.80194	1.8021	0.4964	0.5303
165.8042	171.01816	625.25958	584.27826	1.7823	0.4875	0.5217
165.9566	170.46634	667.78448	588.67682	1.7880	0.4564	0.5178
166.1090	169.41597	648.07635	575.26782	1.7991	0.4703	0.5298
166.2614	170.26176	566.22241	563.63635	1.7902	0.5383	0.5408
166.4138	171.21548	532.65997	557.35718	1.7802	0.5722	0.5469
166.5662	171.96429	527.06946	467.97665	1.7725	0.5783	0.6513
166.7186	173.45876	525.91858	456.42139	1.7572	0.5796	0.6678
166.8710	174.84944	545.10486	484.67398	1.7432	0.5592	0.6289
167.0234	175.24396	573.50220	517.47327	1.7393	0.5315	0.5890
167.1758	175.84129	589.81293	529.31708	1.7334	0.5168	0.5758
167.3282	176.68486	592.49854	531.42981	1.7251	0.5144	0.5735
167.4806	176.16051	593.25098	541.26617	1.7302	0.5138	0.5631
167.6330	175.23203	602.18439	546.98004	1.7394	0.5062	0.5572
167.7854	174.64473	629.29150	547.37982	1.7453	0.4844	0.5568
167.9378	173.99361	674.13184	590.80658	1.7518	0.4521	0.5159
168.0902	173.26010	709.13458	636.71509	1.7592	0.4298	0.4787
168.2426	172.10059	725.92810	656.53363	1.7711	0.4199	0.4643
168.3950	170.43559	734.26813	667.66565	1.7884	0.4151	0.4565
168.5474	169.36807	733.83844	670.11084	1.7996	0.4154	0.4549
168.6998	169.31532	728.40356	673.32324	1.8002	0.4184	0.4527
168.8522	168.47028	724.99371	674.94824	1.8092	0.4204	0.4516
169.0046	165.33594	711.43976	676.45300	1.8435	0.4284	0.4506
169.1570	162.17831	663.35815	728.97711	1.8794	0.4595	0.4181
169.3094	163.34523	589.82550	844.90680	1.8660	0.5168	0.3607
169.4618	165.89172	529.61200	834.85474	1.8373	0.5755	0.3651
169.6142	166.27530	515.72314	800.82764	1.8331	0.5910	0.3806
