HOLE:	U1353C
EXPEDITION:	317
TOP:	0.0742
BOTTOM:	527.9878
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
0.0742	-0.013235	-0.025493	0.392321	0.541649	76.8646	271.8632	166.3170	254.4486	-0.1123	0.0844	9.8789
0.2266	-0.034681	-0.048564	0.461568	0.546005	77.7015	293.5705	190.2694	256.7087	-0.1458	0.1071	9.9919
0.3790	-0.011020	-0.019846	0.544421	0.558587	78.5225	197.3679	89.0901	251.7303	-0.0604	0.0753	9.8421
0.5314	0.115565	-0.092755	0.650329	0.574569	79.4100	134.5831	27.0406	252.4463	-0.0439	0.0791	10.1999
0.6838	0.258847	-0.009264	0.544216	0.584731	78.9933	116.1847	49.6637	293.4608	-0.1043	0.0641	9.6951
0.8362	0.053492	-0.008971	0.693939	0.587229	79.2299	184.0725	148.9091	324.8422	-0.0499	0.0214	9.9328
0.9886	-0.073919	0.029908	0.745429	0.597752	79.5196	227.9943	216.7388	348.7400	-0.0659	0.0249	10.1386
1.1410	-0.103939	0.016791	0.570280	0.613146	80.1212	170.1080	178.7301	8.6221	-0.0095	0.0346	9.7136
1.2934	0.016107	-0.065597	0.616011	0.629293	80.1483	33.8851	60.2918	26.4049	-0.0719	0.0544	10.0120
1.4458	0.123661	-0.032666	0.625229	0.646426	80.6047	86.2777	98.2174	11.9355	-0.0711	0.0833	9.8981
1.5982	-0.019667	-0.006246	0.597760	0.663611	80.4093	234.9991	222.3488	347.3394	-0.0697	0.0691	9.9854
1.7506	-0.003381	0.005848	0.680231	0.672962	80.0442	75.0637	29.6261	314.5508	-0.0855	0.0848	10.0098
1.9030	0.192147	0.032673	0.592536	0.672177	80.4518	81.7401	9.8166	288.0736	-0.0918	0.1003	10.0532
2.0554	0.083433	0.006801	0.507234	0.671667	81.0842	76.9790	13.5382	296.5858	-0.0607	0.0902	10.0607
2.2078	0.093547	0.015740	0.659729	0.663903	80.6827	106.8584	65.4476	318.5961	-0.0597	0.0397	10.0619
2.3602	-0.024322	-0.050729	0.755737	0.648500	80.4521	232.9329	188.0474	315.1257	-0.0426	0.0445	10.0373
2.5126	-0.219303	-0.035881	0.735336	0.639492	79.5963	251.1115	189.3138	298.1966	-0.0819	0.0510	9.7746
2.6650	-0.088413	-0.045670	0.763097	0.622762	79.2316	216.2098	210.4917	281.2885	-0.0594	0.0768	9.9315
2.8174	-0.016345	0.049784	0.780066	0.601228	78.5837	22.5021	303.2439	280.7455	-0.0294	0.0613	10.1015
2.9698	0.007724	0.220608	0.748764	0.583823	77.4306	1.5829	296.1592	294.5785	-0.0810	0.0802	9.7752
3.1222	-0.017510	0.136823	0.647563	0.557485	76.7859	295.0021	231.7365	296.7319	-0.1013	0.0648	9.7799
3.2746	0.014861	0.024070	0.601232	0.542547	76.5660	109.9213	48.2298	298.3087	-0.0861	0.0488	9.7160
