HOLE:	U1353C
EXPEDITION:	317
TOP:	445.0820
BOTTOM:	527.9876
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
445.0820	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.2344	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.3868	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.5392	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.6916	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.8440	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
445.9964	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.1488	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.3012	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.4536	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.6060	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.7584	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
446.9108	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.0632	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.2156	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.3680	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.5204	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.6728	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.8252	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
447.9776	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.1300	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.2824	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.4348	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.5872	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.7396	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
448.8920	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.0444	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.1968	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.3492	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.5016	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.6540	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.8064	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
449.9588	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.1112	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.2636	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.4160	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.5684	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.7208	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
450.8732	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.0256	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.1780	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.3304	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.4828	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.6352	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.7876	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
451.9400	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.0924	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.2448	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.3972	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.5496	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.7020	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
452.8544	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
453.0068	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
453.1592	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
453.3116	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
453.4640	0.182216	0.084726	0.836587	0.860041	77.0252	170.0267	357.8187	187.7923	0.0772	0.0149	9.8177
