HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1444
BOTTOM:	208.8620
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
106.1444	0.078593	0.187568	-0.471946	0.516086	-66.6021	175.4196	327.7011	152.2814	-0.0103	-0.0589	9.8788	0.3798
106.2968	0.085667	0.185696	-0.471714	0.516086	-66.6021	175.4196	327.7011	152.2814	-0.0688	0.0899	9.9069	0.3798
106.4492	0.096368	0.180183	-0.472057	0.516086	-66.6021	175.4196	327.7011	152.2814	0.2099	0.0014	9.5979	0.3798
106.6016	0.123194	0.162939	-0.473556	0.516086	-66.6021	175.4196	327.7011	152.2814	-0.1333	-0.0181	9.5501	0.3798
106.7540	0.138649	0.148185	-0.475259	0.516508	-66.6336	184.7436	336.6730	151.9292	0.3074	0.0105	10.5414	0.3881
106.9064	0.142167	0.144649	-0.476083	0.516948	-66.6704	187.4429	338.3203	150.8779	-0.2094	-0.1650	9.1613	0.4064
107.0588	0.147776	0.137706	-0.476976	0.517416	-66.7320	190.9484	341.0006	150.0529	0.1669	0.0213	9.7716	0.4042
107.2112	0.153715	0.130403	-0.477925	0.517904	-66.7801	194.7214	343.4933	148.7719	0.1616	-0.0404	9.8994	0.4197
107.3636	0.157272	0.125676	-0.478686	0.518420	-66.8067	195.7134	345.7174	150.0027	0.0837	-0.0091	9.6910	0.4328
107.5160	0.160456	0.121515	-0.479064	0.518944	-66.8473	197.9165	347.1422	149.2253	0.0717	-0.0488	9.9188	0.4441
107.6684	0.164809	0.116186	-0.479435	0.519470	-66.8941	200.5430	349.1731	148.6283	0.1261	-0.0537	9.5999	0.4547
107.8208	0.168061	0.111708	-0.479737	0.519999	-66.9443	201.5249	350.7918	149.2650	0.0590	-0.0340	9.7702	0.4505
107.9732	0.174567	0.100592	-0.480328	0.520480	-66.9876	205.0826	353.4765	148.3930	0.0618	-0.0282	9.6533	0.4804
108.1256	0.178488	0.091687	-0.480932	0.520897	-67.0358	207.8603	357.0805	149.2197	0.1249	-0.1278	9.9295	0.4670
108.2780	0.179284	0.088929	-0.481513	0.521311	-67.0568	207.9809	358.3937	150.4115	-0.0149	0.0353	9.7285	0.4822
108.4304	0.179274	0.089241	-0.482090	0.521694	-67.0988	210.2791	358.9821	148.7035	0.1088	-0.1361	10.0041	0.4845
108.5828	0.179314	0.089567	-0.482927	0.522044	-67.1134	209.5034	358.4237	148.9185	0.0706	-0.0430	9.7304	0.4999
108.7352	0.181069	0.086163	-0.482666	0.522373	-67.1374	210.8397	359.2451	148.4029	0.0940	-0.0379	9.9102	0.5090
108.8876	0.182854	0.082612	-0.482856	0.522692	-67.1626	212.0462	0.4550	148.4065	0.0741	-0.0235	9.9544	0.5148
109.0400	0.183452	0.080233	-0.483239	0.522913	-67.2212	212.4624	1.2814	148.8184	0.0875	-0.0477	9.6877	0.5146
109.1924	0.184643	0.075596	-0.483815	0.523374	-67.2067	213.4475	2.4419	148.9928	0.0596	-0.0915	9.6636	0.5223
109.3448	0.185640	0.073133	-0.484199	0.523818	-67.1951	214.7106	3.4514	148.7405	0.1056	-0.1167	9.9395	0.5277
109.4972	0.187816	0.069370	-0.484382	0.524242	-67.1807	215.0617	4.2658	149.2024	0.0565	0.0951	9.7068	0.5209
