HOLE:	U1353C
EXPEDITION:	317
TOP:	133.1188
BOTTOM:	211.4524
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
133.1188	0.170533	-0.099600	-0.494112	0.532226	-67.9409	266.7136	55.9157	149.2026	0.0056	-0.0681	9.8695	0.4942
133.2712	0.170656	-0.099674	-0.494185	0.532228	-67.9393	266.5354	55.9161	149.3816	0.0350	-0.0967	9.7984	0.4954
133.4236	0.170100	-0.100082	-0.494295	0.532221	-67.9383	266.5030	55.9190	149.4161	0.0008	-0.1037	9.8356	0.4971
133.5760	0.168954	-0.101974	-0.494309	0.532219	-67.9357	266.2957	55.9199	149.6231	0.0115	-0.0768	9.8331	0.4988
133.7284	0.168904	-0.101827	-0.494163	0.532214	-67.9316	266.0479	55.9255	149.8773	0.0180	-0.1197	9.8338	0.5032
133.8808	0.169472	-0.101454	-0.494186	0.532207	-67.9331	266.0323	55.9273	149.8941	0.0020	-0.0904	9.8728	0.5041
134.0332	0.169867	-0.101058	-0.494186	0.532217	-67.9311	265.6694	55.9326	150.2622	0.0011	-0.0776	9.8065	0.5061
134.1856	0.169473	-0.101451	-0.494381	0.532230	-67.9303	265.6621	56.1287	150.4653	0.0279	-0.0992	9.8635	0.5062
134.3380	0.168683	-0.102045	-0.494382	0.532241	-67.9271	265.6375	56.4375	150.7987	-0.0153	-0.0967	9.7681	0.5079
134.4904	0.168091	-0.103629	-0.494188	0.532249	-67.9276	265.9229	56.9246	151.0016	0.0112	-0.0836	9.8723	0.5064
134.6428	0.167697	-0.104422	-0.494188	0.532259	-67.9258	265.9149	57.1215	151.2077	0.0065	-0.0839	9.7293	0.5073
134.7952	0.167104	-0.105017	-0.494189	0.532269	-67.9241	266.0167	57.5216	151.5055	0.0229	-0.0848	9.7792	0.5087
134.9476	0.165784	-0.106937	-0.494130	0.532272	-67.9250	266.3160	57.9587	151.6419	0.0053	-0.1083	9.7104	0.5099
135.1000	0.165981	-0.106540	-0.494325	0.532282	-67.9226	265.7592	57.7902	152.0299	-0.0057	-0.0855	9.8515	0.5113
135.2524	0.165958	-0.106760	-0.494349	0.532295	-67.9212	264.7531	57.1572	152.4032	0.0296	-0.0834	9.7942	0.5117
135.4048	0.169275	-0.101255	-0.494576	0.532304	-67.9186	263.0659	55.7362	152.6701	-0.0007	-0.0673	9.8926	0.5149
135.5572	0.170460	-0.100067	-0.494379	0.532319	-67.9205	262.4774	55.2816	152.8036	0.0333	-0.0969	9.8566	0.5132
135.7096	0.171248	-0.098287	-0.494184	0.532335	-67.9194	261.3604	54.7004	153.3404	0.0001	-0.0594	9.9291	0.5112
135.8620	0.172630	-0.096306	-0.494377	0.532348	-67.9209	260.8301	54.2540	153.4233	0.0093	-0.0990	9.8729	0.5124
136.0144	0.172469	-0.095872	-0.494536	0.532368	-67.9204	260.0957	53.9619	153.8651	0.0178	-0.0830	9.8758	0.5114
136.1668	0.173022	-0.094528	-0.494183	0.532391	-67.9217	259.5518	53.5230	153.9708	0.0078	-0.0851	9.7794	0.5126
136.3192	0.174207	-0.093140	-0.494570	0.532412	-67.9222	258.7432	52.9743	154.2315	0.0279	-0.0803	9.8020	0.5127
136.4716	0.174996	-0.091360	-0.494570	0.532432	-67.9193	257.5968	52.2647	154.6680	0.0061	-0.0847	9.7162	0.5157
136.6240	0.176179	-0.088392	-0.494375	0.532439	-67.9206	256.7666	51.4359	154.6681	0.0197	-0.0875	9.7478	0.5185
136.7764	0.177202	-0.086375	-0.494532	0.532439	-67.9208	255.7161	50.5963	154.8803	0.0151	-0.0674	9.8248	0.5242
136.9288	0.178791	-0.082801	-0.494713	0.532442	-67.9241	254.6563	49.5729	154.9154	0.0271	-0.0884	9.8196	0.5282
137.0812	0.179925	-0.080079	-0.494762	0.532443	-67.9215	253.2413	48.4249	155.1833	0.0128	-0.1017	9.9297	0.5362
137.2336	0.182291	-0.075333	-0.494177	0.532447	-67.9235	251.6279	46.8098	155.1817	0.0443	-0.0497	9.8267	0.5406
137.3860	0.184078	-0.070766	-0.494747	0.532465	-67.9212	250.5164	45.7713	155.2531	0.0263	-0.0999	9.9559	0.5422
137.5384	0.184939	-0.068517	-0.494674	0.532485	-67.9183	249.9738	45.1409	155.1668	0.0367	-0.0840	9.7892	0.5439
137.6908	0.185369	-0.066305	-0.494639	0.532499	-67.9197	249.5970	44.5787	154.9811	0.0349	-0.0834	9.8896	0.5448
137.8432	0.186071	-0.064214	-0.494724	0.532513	-67.9180	248.9364	43.8496	154.9115	0.0310	-0.0947	9.7473	0.5479
137.9956	0.186660	-0.062039	-0.494724	0.532532	-67.9209	248.1200	43.1115	154.9906	0.0322	-0.0890	9.8120	0.5449
138.1480	0.187807	-0.059105	-0.494955	0.532540	-67.9202	247.3690	42.1261	154.7560	0.0379	-0.0940	9.7014	0.5503
138.3004	0.188630	-0.055705	-0.494725	0.532559	-67.9163	246.2581	40.9916	154.7322	0.0678	-0.1058	9.8386	0.5532
138.4528	0.189811	-0.051553	-0.494726	0.532568	-67.9154	245.4354	40.0988	154.6621	0.0287	-0.0889	9.7480	0.5555
138.6052	0.190761	-0.050104	-0.494761	0.532567	-67.9145	245.4315	40.0277	154.5942	0.0581	-0.0741	9.8941	0.5616
138.7576	0.190663	-0.051886	-0.494662	0.532559	-67.9141	245.7792	40.5157	154.7360	0.0208	-0.0948	9.8484	0.5646
138.9100	0.190404	-0.052544	-0.494529	0.532553	-67.9164	246.1857	40.9318	154.7451	0.0234	-0.0611	9.8666	0.5679
139.0624	0.189973	-0.052182	-0.494761	0.532549	-67.9163	245.5447	40.3428	154.7970	0.0643	-0.0753	9.8998	0.5714
139.2148	0.190798	-0.050660	-0.494724	0.532547	-67.9168	244.8624	39.5866	154.7242	0.0141	-0.0579	9.7748	0.5724
139.3672	0.191411	-0.046779	-0.494702	0.532545	-67.9168	244.3633	38.5412	154.1764	0.0505	-0.1025	9.8767	0.5783
139.5196	0.192569	-0.045321	-0.494724	0.532550	-67.9171	244.5905	38.9763	154.3851	0.0189	-0.0561	9.7637	0.5734
139.6720	0.191351	-0.048622	-0.494761	0.532564	-67.9097	244.2073	39.0553	154.8475	0.0298	-0.1216	9.9731	0.5698
139.8244	0.191422	-0.045776	-0.494691	0.532568	-67.9088	243.9462	38.2174	154.2699	0.0495	-0.0775	9.7630	0.5684
139.9768	0.192160	-0.043055	-0.494740	0.532565	-67.9117	243.9827	37.4966	153.5130	0.0484	-0.0809	9.8973	0.5733
140.1292	0.192527	-0.040708	-0.494765	0.532565	-67.9100	243.2500	36.9087	153.6568	0.0513	-0.0966	9.7485	0.5731
140.2816	0.192525	-0.039126	-0.494767	0.532558	-67.9073	242.8273	36.7219	153.8935	0.0511	-0.0871	9.7656	0.5708
140.4340	0.192630	-0.039336	-0.494766	0.532551	-67.9100	243.1856	36.8688	153.6818	0.0542	-0.0992	9.7403	0.5696
140.5864	0.192921	-0.039568	-0.494765	0.532546	-67.9090	243.0036	36.6514	153.6458	0.0284	-0.0576	9.7723	0.5727
140.7388	0.192365	-0.039521	-0.494765	0.532541	-67.9102	242.8061	36.6750	153.8685	0.0395	-0.1668	9.8358	0.5683
140.8912	0.193186	-0.039059	-0.494733	0.532536	-67.9122	243.0388	36.7633	153.7227	0.0358	-0.0624	9.7527	0.5679
141.0436	0.193435	-0.040302	-0.494498	0.532533	-67.9120	244.9628	38.7474	153.7829	0.0756	-0.0496	9.9243	0.5686
141.1960	0.191340	-0.049962	-0.494439	0.532538	-67.9133	246.9944	40.5776	153.5815	0.0437	-0.0649	9.8401	0.5649
141.3484	0.190164	-0.054194	-0.494572	0.532549	-67.9134	247.7899	41.2758	153.4848	0.0001	-0.1151	9.8956	0.5609
141.5008	0.190058	-0.054998	-0.494609	0.532554	-67.9118	248.3676	41.5917	153.2231	0.0289	-0.0698	9.8677	0.5566
141.6532	0.189647	-0.055993	-0.494304	0.532557	-67.9124	249.3956	42.0402	152.6435	0.0303	-0.0852	9.8811	0.5515
141.8056	0.188551	-0.057849	-0.494723	0.532569	-67.9135	249.8910	42.3225	152.4299	0.0355	-0.0863	9.8701	0.5468
141.9580	0.188400	-0.058152	-0.494758	0.532578	-67.9123	249.4992	42.2550	152.7542	0.0316	-0.0807	9.8543	0.5385
142.1104	0.188423	-0.057499	-0.494735	0.532588	-67.9117	249.3080	42.1463	152.8376	0.0377	-0.0792	9.8059	0.5339
142.2628	0.188714	-0.057625	-0.494723	0.532590	-67.9132	250.0150	42.2327	152.2173	0.0402	-0.0835	9.7791	0.5349
142.4152	0.188614	-0.058216	-0.494752	0.532594	-67.9202	250.6035	42.3851	151.7807	0.0399	-0.0908	9.8386	0.5334
