HOLE:	U1353C
EXPEDITION:	317
TOP:	0.0736
BOTTOM:	507.8704
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
0.0736	-0.4844	-156.8576	-11.5954	17.5966	39.7671	-999.2500
0.2260	-0.8004	-2.3439	-0.1190	-0.0544	0.3836	-999.2500
0.3784	-0.7162	-1.5167	-0.0625	-0.1201	0.1738	-999.2500
0.5308	-0.5010	-0.5837	-0.0262	-0.0339	0.0293	-999.2500
0.6832	0.6641	0.6483	0.0306	0.0284	-0.0156	-999.2500
0.8356	2.2699	2.1241	0.0919	0.1426	-0.0097	-999.2500
0.9880	4.6951	3.7195	0.1488	0.3209	0.0793	-999.2500
1.1404	6.9209	5.0708	0.2023	0.4407	0.2178	-999.2500
1.2928	10.1479	7.5715	0.2743	0.8203	0.2758	-999.2500
1.4452	11.7999	8.5370	0.2440	1.3074	0.3737	-999.2500
1.5976	13.3410	8.0715	0.2512	1.1157	0.6420	-999.2500
1.7500	12.0780	6.8222	0.2142	0.9321	0.6264	-999.2500
1.9024	11.1409	6.8020	0.2082	0.9607	0.5196	-999.2500
2.0548	10.3269	5.4003	0.1730	0.7174	0.5882	-999.2500
2.2072	10.9875	7.3157	0.1956	1.1994	0.3795	-999.2500
2.3596	11.3048	8.0914	0.1751	1.5677	0.3502	-999.2500
2.5120	11.1079	8.2440	0.1643	1.6798	0.2666	-999.2500
2.6644	11.3095	8.8877	0.1783	1.8042	0.1896	-999.2500
2.8168	12.0724	10.8429	0.1884	2.3713	-0.0373	-999.2500
2.9692	13.6330	11.3695	0.1754	2.6167	0.0944	-999.2500
3.1216	13.7826	10.1981	0.1966	2.1170	0.3217	-999.2500
3.2740	13.5001	10.9198	0.1982	2.3387	0.2335	-999.2500
3.4264	12.3502	9.9759	0.1843	2.1176	0.2235	-999.2500
3.5788	13.8215	10.7033	0.1907	2.3136	0.3525	-999.2500
3.7312	15.1880	13.4717	0.2028	3.1296	0.2178	-999.2500
3.8836	17.8133	16.0687	0.2385	3.7533	0.2518	-999.2500
4.0360	17.5457	17.8032	0.2520	4.2296	-0.0204	-999.2500
4.1884	17.7695	17.9289	0.2291	4.4042	0.0301	-999.2500
4.3408	16.9342	17.0325	0.2233	4.1509	0.0487	-999.2500
4.4932	16.5677	16.0058	0.2188	3.8479	0.1735	-999.2500
4.6456	15.3890	15.2771	0.2100	3.6660	0.1349	-999.2500
4.7980	14.8898	15.0929	0.2121	3.5948	0.0716	-999.2500
4.9504	14.5510	14.2970	0.2190	3.2990	0.1075	-999.2500
5.1028	14.9403	14.4878	0.2451	3.2076	0.1360	-999.2500
5.2552	15.5989	14.9932	0.2639	3.2591	0.1332	-999.2500
5.4076	16.2422	14.7241	0.2778	3.0916	0.2073	-999.2500
5.5600	17.4532	14.5874	0.3119	2.8486	0.3855	-999.2500
5.7124	17.6403	12.8442	0.3076	2.3152	0.6551	-999.2500
5.8648	17.6949	10.3077	0.2808	1.6593	0.9888	-999.2500
6.0172	18.1167	9.8896	0.2971	1.4298	1.1294	-999.2500
