HOLE:	U1353C
EXPEDITION:	317
TOP:	142.1104
BOTTOM:	218.9200
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
142.1104	57.0089	47.6389	1.3019	7.6535	1.0912	0.0579
142.2628	57.0089	47.6389	1.3019	7.6535	1.0912	0.0579
142.4152	57.0089	47.6389	1.3019	7.6535	1.0912	0.0579
142.5676	58.5704	49.9154	1.3506	8.0983	0.9958	0.0579
142.7200	59.0418	49.3196	1.3544	7.8850	1.1788	0.0579
142.8724	59.7503	51.3474	1.3536	8.5400	1.0975	0.0579
143.0248	57.8897	49.2728	1.2548	8.4529	1.1368	0.0579
143.1772	57.2260	46.8156	1.1794	8.1068	1.3930	0.0579
143.3296	55.1558	44.5436	1.1520	7.5383	1.4356	0.0579
143.4820	54.2972	43.8041	1.1472	7.3293	1.4380	0.0579
143.6344	53.5339	42.9424	1.1074	7.2863	1.4519	0.0579
143.7868	52.8173	42.3043	1.0814	7.2339	1.3940	0.0579
143.9392	52.4548	40.9204	1.0309	7.0860	1.5601	0.0579
144.0916	51.0885	41.4385	0.9783	7.5597	1.3874	0.0579
144.2440	50.4647	38.5800	0.9442	6.8431	1.7113	0.0579
144.3964	50.4337	38.6244	0.9394	6.8855	1.6634	0.0579
144.5488	50.9735	37.6942	0.9530	6.5073	1.7703	0.0579
144.7012	50.1604	37.3770	0.9585	6.3735	1.6955	0.0579
144.8536	49.5029	36.3524	0.9818	5.9082	1.7544	0.0579
145.0060	48.8977	36.2513	0.9435	6.1002	1.6722	0.0579
145.1584	48.8057	36.5195	0.9698	6.0325	1.6759	0.0579
145.3108	50.7889	38.0633	1.0286	6.1831	1.7455	0.0579
145.4632	55.5036	41.3266	1.1446	6.5502	1.9345	0.0579
145.6156	61.3535	47.0374	1.3043	7.4467	1.9347	0.0579
145.7680	65.3110	47.8989	1.3851	7.2497	2.2699	0.0579
145.9204	67.6684	50.8544	1.4384	7.8854	2.1677	0.0579
146.0728	71.3743	54.9563	1.5460	8.5709	2.1361	0.0579
146.2252	71.6577	55.5553	1.5162	8.9370	2.1661	0.0579
146.3776	71.7500	56.3126	1.5210	9.1519	2.1071	0.0579
146.5300	70.9179	57.0922	1.5251	9.3778	1.8549	0.0579
146.6824	73.0151	58.4495	1.6003	9.3729	1.9136	0.0579
146.8348	74.3280	59.1365	1.6345	9.3928	1.9378	0.0579
146.9872	74.7434	60.0885	1.6349	9.6957	1.8641	0.0579
147.1396	73.0532	59.2003	1.6252	9.4682	1.7941	0.0579
147.2920	70.8037	59.2559	1.6103	9.5729	1.5699	0.0579
147.4444	67.8951	57.2470	1.5537	9.2605	1.5339	0.0579
147.5968	65.0652	54.5471	1.4846	8.7988	1.5692	0.0579
147.7492	63.1867	51.7647	1.4316	8.2170	1.6901	0.0579
147.9016	61.2159	49.1459	1.4079	7.5162	1.7553	0.0579
148.0540	59.8051	46.5407	1.3591	6.9665	1.9126	0.0579
148.2064	58.1414	43.7204	1.2793	6.5294	2.0917	0.0579
148.3588	56.7865	41.9183	1.2124	6.3429	2.1561	0.0579
148.5112	55.5750	41.0488	1.1772	6.2704	2.0828	0.0579
148.6636	54.4821	40.6195	1.1699	6.1756	1.9843	0.0579
148.8160	54.1281	40.0281	1.1362	6.1834	1.9714	0.0579
148.9684	54.0141	38.5092	1.0901	5.9663	2.1329	0.0579
149.1208	53.3440	37.8629	1.0713	5.8691	2.1222	0.0579
149.2732	52.9261	37.8656	1.0589	5.9423	2.0362	0.0579
149.4256	53.4150	39.0883	1.0951	6.1226	1.9062	0.0579
149.5780	54.7286	40.9187	1.1628	6.3131	1.7743	0.0579
149.7304	54.7255	42.4521	1.1975	6.6016	1.5449	0.0579
149.8828	53.8565	42.9639	1.2042	6.7262	1.3375	0.0579
150.0352	52.3628	42.1248	1.1793	6.6031	1.2788	0.0579
150.1876	51.7144	42.7481	1.1428	7.0165	1.1835	0.0579
150.3400	52.2229	43.3561	1.1631	7.0926	1.1560	0.0579
150.4924	54.5586	44.7179	1.2380	7.0908	1.2837	0.0579
150.6448	57.1029	46.0165	1.3153	7.0549	1.3712	0.0579
150.7972	58.8717	47.9710	1.3642	7.3954	1.3601	0.0579
150.9496	60.1606	49.5693	1.4001	7.6975	1.3464	0.0579
151.1020	61.0645	50.1127	1.3935	7.9102	1.4374	0.0579
151.2544	62.7421	51.4134	1.3827	8.3905	1.5768	0.0579
151.4068	63.8488	52.0430	1.3981	8.5027	1.6489	0.0579
151.5592	63.5730	50.9458	1.3727	8.2994	1.8122	0.0579
151.7116	62.4782	49.0699	1.2994	8.1269	1.9693	0.0579
151.8640	59.7190	44.5924	1.2400	7.0392	2.1089	0.0579
152.0164	55.6447	42.5662	1.1114	7.1420	1.9079	0.0579
152.1688	49.0625	38.3761	0.9728	6.6100	1.5712	0.0579
152.3212	43.1447	34.5630	0.8660	6.0129	1.3074	0.0579
152.4736	38.5819	30.2672	0.7466	5.3343	1.1790	0.0579
152.6260	35.9304	28.1256	0.6986	4.9285	1.0921	0.0579
152.7784	36.8165	28.2783	0.6943	5.0025	1.1635	0.0579
152.9308	40.8672	32.1253	0.7939	5.6534	1.1797	0.0579
153.0832	49.7312	38.6686	0.9433	6.8767	1.5176	0.0579
153.2356	59.5702	48.7887	1.1917	8.6674	1.4254	0.0579
153.3880	66.9207	56.2865	1.4389	9.6243	1.3460	0.0579
153.5404	70.6481	59.5709	1.5370	10.1032	1.4258	0.0579
153.6928	73.0714	60.3113	1.6043	9.9467	1.6278	0.0579
153.8452	74.9072	60.9964	1.6353	9.9848	1.7502	0.0579
153.9976	74.9636	61.1994	1.6365	10.0428	1.7625	0.0579
154.1500	71.2365	58.2742	1.5639	9.5301	1.6884	0.0579
154.3024	67.7165	55.8291	1.5153	9.0303	1.5585	0.0579
154.4548	64.3643	54.6775	1.4673	8.9421	1.2611	0.0579
154.6072	63.3591	53.8866	1.4849	8.5855	1.1862	0.0579
154.7596	63.9440	52.7671	1.4994	8.1417	1.3795	0.0579
154.9120	66.8800	53.0752	1.5325	8.0463	1.7278	0.0579
155.0644	69.6393	54.5071	1.5452	8.4312	1.9198	0.0579
155.2168	71.7830	55.5654	1.5585	8.6926	2.1077	0.0579
155.3692	73.6337	56.6079	1.5855	8.8690	2.2189	0.0579
155.5216	74.7805	58.2953	1.6345	9.1235	2.1771	0.0579
155.6740	75.1880	59.0965	1.6590	9.2366	2.1261	0.0579
155.8264	75.1423	59.4266	1.6888	9.1680	2.0657	0.0579
155.9788	75.3861	59.3588	1.7116	9.0128	2.0758	0.0579
156.1312	75.8517	58.2484	1.7100	8.6663	2.2437	0.0579
156.2836	76.0587	57.4269	1.6894	8.5234	2.3628	0.0579
156.4360	76.2724	58.5774	1.6886	8.8968	2.2255	0.0579
156.5884	76.7026	60.6676	1.7316	9.3155	2.0127	0.0579
156.7408	77.0482	61.3765	1.7580	9.3883	1.9593	0.0579
156.8932	76.7184	61.4609	1.7852	9.2562	1.8431	0.0579
157.0456	75.8348	61.4766	1.8030	9.1568	1.6708	0.0579
157.1980	75.0216	59.9676	1.7732	8.8476	1.7639	0.0579
157.3504	74.4289	59.0228	1.7677	8.5764	1.7739	0.0579
157.5028	74.8694	59.3448	1.7734	8.6467	1.7777	0.0579
157.6552	75.6081	58.7185	1.7540	8.5592	1.9706	0.0579
157.8076	76.1980	59.2957	1.7282	8.8957	2.0114	0.0579
157.9600	76.0747	59.9764	1.7372	9.0613	1.9392	0.0579
158.1124	73.5615	57.4575	1.6857	8.5551	1.9492	0.0579
158.2648	72.3506	55.2286	1.6545	8.0230	2.0587	0.0579
158.4172	72.6870	54.8447	1.6482	7.9365	2.0898	0.0579
158.5696	74.3806	56.7572	1.6985	8.2553	2.1126	0.0579
158.7220	70.6193	54.0842	1.6115	7.9074	1.9874	0.0579
158.8744	63.1588	49.0592	1.4746	7.0979	1.6991	0.0579
159.0268	54.6100	43.5251	1.2740	6.4976	1.3299	0.0579
159.1792	50.3963	39.0134	1.1574	5.7335	1.4561	0.0579
159.3316	48.9544	38.7049	1.1066	5.9323	1.2668	0.0579
159.4840	51.1518	41.5467	1.2009	6.2916	1.2279	0.0579
159.6364	53.3643	42.7734	1.2661	6.3028	1.4029	0.0579
159.7888	55.7556	45.0519	1.3082	6.7870	1.4099	0.0579
159.9412	56.3715	47.2740	1.3375	7.3278	1.2281	0.0579
160.0936	59.5526	51.3746	1.3852	8.3635	1.1908	0.0579
160.2460	63.7520	53.7686	1.4420	8.7990	1.4704	0.0579
160.3984	69.5925	56.8571	1.5189	9.3387	1.8489	0.0579
160.5508	73.9415	60.6789	1.6083	10.0410	1.9075	0.0579
160.7032	77.0351	64.1185	1.6720	10.7709	1.8567	0.0579
160.8556	77.4499	64.3924	1.6871	10.7702	1.8435	0.0579
161.0080	77.5155	63.7536	1.7075	10.4458	1.9750	0.0579
161.1604	78.0103	62.9606	1.7219	10.1073	2.1313	0.0579
161.3128	78.7332	62.7978	1.7469	9.9091	2.2433	0.0579
161.4652	77.5035	61.7253	1.7190	9.7285	2.2265	0.0579
161.6176	75.7764	59.8488	1.6902	9.2951	2.2177	0.0579
161.7700	75.3038	59.8168	1.7186	9.1186	2.1138	0.0579
161.9224	75.3094	61.5632	1.7765	9.3399	1.8839	0.0579
162.0748	70.9173	58.2894	1.6802	8.8536	1.7458	0.0579
162.2272	62.2560	50.0670	1.4758	7.4137	1.6706	0.0579
162.3796	52.4926	41.7199	1.2460	6.0829	1.4695	0.0579
162.5320	46.6827	37.3069	1.0960	5.5459	1.2705	0.0579
162.6844	44.9787	35.6158	1.0489	5.2792	1.2196	0.0579
162.8368	46.3518	39.1136	1.0893	6.1646	0.9192	0.0579
162.9892	47.2350	40.8927	1.1371	6.4554	0.9071	0.0579
163.1416	50.1365	43.0054	1.2098	6.7069	1.0439	0.0579
163.2940	56.2099	48.7037	1.3739	7.5735	1.1542	0.0579
163.4464	63.8117	54.8898	1.5254	8.6699	1.3987	0.0579
163.5988	69.3601	59.3607	1.6164	9.5708	1.6036	0.0579
163.7512	71.0831	61.3601	1.6823	9.8264	1.5652	0.0579
163.9036	73.5385	61.9406	1.6813	10.0182	1.7995	0.0579
164.0560	71.8404	60.9663	1.6362	9.9695	1.7173	0.0579
164.2084	70.6827	60.4210	1.5890	10.0714	1.6132	0.0579
164.3608	67.6544	58.8162	1.5621	9.7141	1.4365	0.0579
164.5132	70.3161	58.5376	1.5731	9.5604	1.8353	0.0579
164.6656	73.2349	59.5966	1.6057	9.7092	1.8976	0.0579
164.8180	78.1995	62.7609	1.7107	10.1091	2.0969	0.0579
164.9704	76.6336	59.3050	1.6445	9.3887	2.2190	0.0579
165.1228	74.6529	57.1122	1.6122	8.8746	2.1853	0.0579
