HOLE:	U1353C
EXPEDITION:	317
TOP:	133.1188
BOTTOM:	178.9912
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
133.1188	61.1709	79.2900	1.8972	14.3092	-2.1818	-999.2500
133.2712	61.1709	79.2900	1.8972	14.3092	-2.1818	-999.2500
133.4236	61.1709	77.1771	1.8813	13.7247	-1.8662	-999.2500
133.5760	61.1709	73.0926	1.8136	12.8118	-1.3967	-999.2500
133.7284	61.1709	70.1534	1.7771	12.0831	-1.0210	-999.2500
133.8808	61.8152	67.5016	1.7683	11.2845	-0.6532	-999.2500
134.0332	66.6691	70.2512	1.8495	11.6906	-0.3636	-999.2500
134.1856	70.4821	73.4409	1.9398	12.1843	-0.3008	-999.2500
134.3380	69.6179	70.2278	1.8761	11.5272	-0.0336	-999.2500
134.4904	65.8662	63.4219	1.6854	10.4618	0.4629	-999.2500
134.6428	63.9039	59.3569	1.5822	9.7633	0.7475	-999.2500
134.7952	64.8154	57.8319	1.5987	9.1779	1.0751	-999.2500
134.9476	64.7804	56.5136	1.5832	8.8462	1.2257	-999.2500
135.1000	65.2750	55.2758	1.5926	8.3943	1.4597	-999.2500
135.2524	69.5353	58.9387	1.6822	9.0435	1.5339	-999.2500
135.4048	69.1235	58.9022	1.6782	9.0555	1.5262	-999.2500
135.5572	66.0588	58.0659	1.5995	9.2483	1.2227	-999.2500
135.7096	62.8799	54.9907	1.5142	8.7614	1.1266	-999.2500
135.8620	64.9923	55.8421	1.5623	8.7530	1.3070	-999.2500
136.0144	64.5995	55.1776	1.5796	8.4387	1.3891	-999.2500
136.1668	64.2333	54.1243	1.6503	7.6878	1.3190	-999.2500
136.3192	62.4983	51.5894	1.6214	7.0441	1.4559	-999.2500
136.4716	63.1598	51.8477	1.5895	7.3134	1.5116	-999.2500
136.6240	59.9890	49.4562	1.4485	7.3726	1.4293	-999.2500
136.7764	61.3120	50.5584	1.4188	7.8996	1.4192	-999.2500
136.9288	62.0097	51.0349	1.4699	7.7537	1.4253	-999.2500
137.0812	64.4329	53.2459	1.5323	8.0972	1.3886	-999.2500
137.2336	61.2916	49.3784	1.4416	7.3884	1.5522	-999.2500
137.3860	63.3530	50.4974	1.5069	7.3649	1.7069	-999.2500
137.5384	63.7309	49.5209	1.5512	6.7928	1.9062	-999.2500
137.6908	62.6965	47.4423	1.4728	6.5851	2.0214	-999.2500
137.8432	61.3142	47.3460	1.4253	6.8322	1.9549	-999.2500
137.9956	62.1275	48.0668	1.3992	7.2159	1.8873	-999.2500
138.1480	65.0143	50.5692	1.4537	7.6990	1.9102	-999.2500
138.3004	65.3230	49.6073	1.4882	7.1882	1.9974	-999.2500
138.4528	64.2049	50.5149	1.5190	7.2995	1.7462	-999.2500
138.6052	65.7307	52.2478	1.5787	7.5049	1.8198	-999.2500
138.7576	66.0104	52.7175	1.5750	7.6774	1.8623	-999.2500
138.9100	69.1058	55.6473	1.6543	8.1522	1.9102	-999.2500
139.0624	68.1114	56.0135	1.6174	8.4856	1.8046	-999.2500
139.2148	68.1903	55.8156	1.5385	8.8845	1.8369	-999.2500
139.3672	64.8791	52.3076	1.4394	8.3400	1.7351	-999.2500
