HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1440
BOTTOM:	208.8616
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
106.1440	3001.0000	765.0480	8097.7080	2461.1267
106.2964	2570.0000	776.6304	8096.9800	2306.4841
106.4488	2259.0000	777.2400	8096.2598	2079.3196
106.6012	2750.0000	762.0000	8095.5581	2403.8911
106.7536	2768.0000	772.9728	8094.8462	2527.6050
106.9060	2407.0000	773.2776	8094.1362	2221.5195
107.0584	2532.0000	770.8392	8093.4238	2270.9341
107.2108	2496.0000	774.4968	8092.7139	2239.2947
107.3632	2326.0000	774.1920	8091.9951	2196.9900
107.5156	2574.0000	772.9728	8091.2930	2358.0315
107.6680	2630.0000	773.5824	8090.5742	2379.3616
107.8204	2561.0000	773.2776	8089.8721	2359.4536
107.9728	2620.0000	769.6200	8089.1519	2358.3870
108.1252	2539.0000	769.3152	8088.4658	2361.5867
108.2776	2580.0000	766.8768	8087.7461	2385.0496
108.4300	2742.0000	765.0480	8087.0259	2468.5920
108.5824	2645.0000	736.0920	8086.3071	2399.6250
108.7348	2685.0000	654.1008	8085.5879	2423.4436
108.8872	2673.0000	641.2992	8084.8628	2413.4895
109.0396	2535.0000	643.4328	8084.0151	2344.5227
109.1920	2624.0000	639.7752	8083.1621	2387.1826
109.3444	2651.0000	642.5184	8082.3091	2369.0520
109.4968	2584.0000	634.8984	8081.4399	2365.8525
109.6492	2662.0000	572.4144	8080.5859	2401.0471
109.8016	2525.0000	531.5712	8079.7329	2339.1902
109.9540	2731.0000	491.0328	8078.6982	2448.6841
110.1064	2743.0000	75.5904	8077.6602	2471.7915
110.2588	7267.0000	200.8632	7928.5879	6971.7109
110.4112	6939.0000	392.5824	7926.2461	6576.0391
110.5636	6322.0000	236.8296	7924.8579	5926.5405
110.7160	5746.0000	356.3112	7918.6338	5546.8667
110.8684	5558.0000	357.8352	7917.1138	5398.2676
111.0208	5542.0000	358.4448	7915.5581	5396.1348
111.1732	5536.0000	356.9208	7914.0361	5411.0659
111.3256	5546.0000	358.1400	7912.4961	5421.0195
111.4780	5490.0000	365.4552	7910.9741	5398.2676
111.6304	5576.0000	357.5304	7909.4341	5455.8589
111.7828	5466.0000	357.5304	7907.9121	5419.9531
111.9352	5490.0000	356.6160	7906.3721	5386.1807
112.0876	5530.0000	357.2256	7904.8481	5405.0220
112.2400	5539.0000	355.3968	7903.3101	5441.2832
112.3924	5587.0000	357.2256	7901.7549	5435.5952
112.5448	5558.0000	286.5120	7900.2319	5362.3623
112.6972	5446.0000	260.9088	7898.4082	5327.5229
112.8496	5507.0000	261.2136	7896.3159	5359.5181
113.0020	5434.0000	235.6104	7894.1738	5334.9888
113.1544	5582.0000	233.7816	7891.8491	5417.4648
113.3068	5578.0000	234.3912	7889.4902	5436.3062
113.4592	5574.0000	232.2576	7887.1641	5481.4546
113.6116	5763.0000	231.3432	7884.7881	5584.9053
113.7640	5763.0000	231.3432	7882.4292	5634.6753
113.9164	5803.0000	232.5624	7880.0518	5683.3789
114.0688	5777.0000	232.5624	7877.6938	5619.3887
114.2212	5755.0000	230.4288	7875.3521	5628.2764
114.3736	7269.0000	128.3208	7135.2480	6977.3989
114.5260	7146.0000	607.7712	6386.9438	6784.7178
114.6784	6939.0000	209.3976	5883.9678	6589.1929
114.8308	6470.0000	230.7336	5870.3198	6055.2319
114.9832	5791.0000	394.7160	5867.3760	5505.2734
115.1356	5071.6533	726.8298	5865.8345	4789.1694
115.2880	4509.7778	767.8717	5865.0537	4212.5693
115.4404	3943.6157	780.6968	5864.3833	3657.2166
115.5928	3445.3433	791.0356	5863.7319	3140.7595
115.7452	2925.2988	797.8139	5863.0898	2635.2087
115.8976	2597.7913	797.6937	5862.4512	2415.1174
116.0500	2667.7810	796.2098	5861.8159	2460.1323
116.2024	2692.8411	799.1856	5861.1772	2413.6384
116.3548	2403.6580	802.8432	5860.5352	2214.4753
116.5072	2396.5791	802.5223	5859.9033	2170.9075
