HOLE:	U1353C
EXPEDITION:	317
TOP:	133.1188
BOTTOM:	211.4524
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
133.1188	1357.0000	691.8960	1.5725	1260.2476
133.2712	1357.0000	691.8960	2.3755	1267.7130
133.4236	1357.0000	691.8960	3.1785	1231.4520
133.5760	1357.0000	691.8960	3.9815	1268.0686
133.7284	1357.0000	691.8960	4.7930	1229.3191
133.8808	1357.0000	691.8960	5.5710	1256.3370
134.0332	1357.0000	691.8960	6.3745	1236.4291
134.1856	1357.0000	691.8960	7.1780	1262.7361
134.3380	1357.0000	691.8960	7.9810	1245.6720
134.4904	1357.0000	691.8960	8.7840	1258.8256
134.6428	1357.0000	691.8960	9.5705	1231.8075
134.7952	1357.0000	691.8960	10.3570	1245.6720
134.9476	1357.0000	691.8960	11.1600	1235.3625
135.1000	1357.0000	691.8960	11.9710	1246.3831
135.2524	1357.0000	691.8960	12.7825	1225.7640
135.4048	1357.0000	691.8960	13.5855	1239.9840
135.5572	1357.0000	691.8960	14.3725	1247.8051
135.7096	1357.0000	691.8960	15.1675	1244.2500
135.8620	1357.0000	691.8960	15.9710	1252.0710
136.0144	1357.0000	691.8960	16.7730	1248.1605
136.1668	1357.0000	691.8960	17.5675	1226.1195
136.3192	1357.0000	691.8960	18.3480	1226.1195
136.4716	1357.0000	691.8960	19.1400	1206.5670
136.6240	1357.0000	691.8960	19.9425	1215.8101
136.7764	1357.0000	691.8960	20.7455	1224.3420
136.9288	1357.0000	691.8960	21.5565	1239.2731
137.0812	1357.0000	691.8960	22.3590	1233.5851
137.2336	1357.0000	691.8960	23.1485	1255.9816
137.3860	1357.0000	691.8960	23.9490	1233.9406
137.5384	1357.0000	691.8960	24.7610	1236.0735
137.6908	1357.0000	691.8960	25.5560	1242.4725
137.8432	1357.0000	691.8960	26.3590	1213.6770
137.9956	1357.0000	691.8960	27.1485	1234.2960
138.1480	1357.0000	691.8960	27.9400	1199.4570
138.3004	1357.0000	691.8960	28.7425	1231.4520
138.4528	1357.0000	691.8960	29.5450	1227.5415
138.6052	1357.0000	691.8960	30.3390	1224.3420
138.7576	1357.0000	691.8960	31.1340	1210.4775
138.9100	1357.0000	691.8960	31.9430	1238.2065
139.0624	1357.0000	691.8960	32.7415	1216.8766
139.2148	1357.0000	691.8960	33.5450	1221.4980
139.3672	1357.0000	691.8960	34.3485	1193.7690
139.5196	1357.0000	691.8960	35.1515	1228.9635
139.6720	1357.0000	691.8960	35.9370	1220.4315
139.8244	1357.0000	691.8960	36.7400	1182.7485
139.9768	1357.0000	691.8960	37.5430	1184.8816
140.1292	1357.0000	691.8960	38.3460	1179.1935
140.2816	1357.0000	691.8960	39.0942	1168.8212
140.4340	1357.0000	691.8960	39.8566	1178.8384
140.5864	1357.0000	691.8960	40.6059	1186.1152
140.7388	1357.0000	691.8960	41.3536	1198.5160
140.8912	1357.0000	691.8960	42.1073	1181.8705
141.0436	1357.0000	691.8960	42.8634	1212.1492
141.1960	1357.0000	691.8960	43.6196	1218.8013
141.3484	1357.0000	691.8960	44.3732	1217.3567
141.5008	1357.0000	691.8960	45.1255	1218.1938
141.6532	1357.0000	691.8960	45.8764	1215.6008
141.8056	1357.0000	691.8960	46.6272	1219.1564
141.9580	1357.0000	691.8960	47.3826	1213.3003
142.1104	1357.0000	691.8960	48.1384	1210.1224
142.2628	1357.0000	691.8960	48.8912	1195.1478
142.4152	1357.0000	691.8960	49.6324	1207.4916
142.5676	1357.0000	691.8960	50.3812	1177.7712
142.7200	1357.0000	691.8960	51.1370	1189.1476
142.8724	1357.0000	691.8960	51.9006	1194.1655
143.0248	1357.0000	691.8960	52.6565	1223.3363
143.1772	1357.0000	691.8960	53.3987	1199.0815
143.3296	1357.0000	691.8960	54.1518	1242.2523
143.4820	1357.0000	691.8960	54.9077	1193.9249
143.6344	1357.0000	691.8960	55.6639	1192.7631
143.7868	1357.0000	691.8960	56.4200	1193.8136
143.9392	1357.0000	691.8960	57.1583	1204.0747
144.0916	1357.0000	691.8960	57.8983	1219.4698
144.2440	1357.0000	691.8960	58.6540	1216.8560
144.3964	1357.0000	691.8960	59.4098	1214.1796
144.5488	1357.0000	691.8960	60.1654	1204.9174
144.7012	1357.0000	691.8960	60.9209	1192.3669
144.8536	1357.0000	691.8960	61.6736	1196.1987
145.0060	1357.0000	691.8960	62.4164	1177.2054
145.1584	1357.0000	691.8960	63.1801	1187.6602
145.3108	1357.0000	691.8960	63.9360	1209.4110
145.4632	1357.0000	691.8960	64.7771	1173.3859
145.6156	1357.0000	691.8960	65.6086	1179.3125
145.7680	1357.0000	691.8960	66.4260	1169.6083
