HOLE:	U1354C
EXPEDITION:	317
TOP:	109.0384
BOTTOM:	379.8532
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
109.0384	1950.0000	1950.0000	0.0942
109.1908	1950.0000	1950.0000	0.2536
109.3432	1950.0000	1950.0000	1.3487
109.4956	0.3745	1950.0000	0.6410
109.6480	0.3552	2.6387	0.7119
109.8004	0.3957	0.9921	0.6406
109.9528	0.4354	0.6290	0.6298
110.1052	0.5283	0.5341	0.7029
110.2576	0.8299	0.5555	0.6922
110.4100	0.9349	0.6705	0.7429
110.5624	0.9635	0.8967	0.7318
110.7148	1.0069	1.2141	0.7009
110.8672	1.0859	1.4368	0.7402
111.0196	1.0569	1.3986	0.7082
111.1720	1.0454	1.2590	0.7692
111.3244	1.0314	1.1732	0.9582
111.4768	1.0206	1.1692	0.9360
111.6292	1.0330	1.2289	0.8983
111.7816	1.0569	1.2958	0.7324
111.9340	1.0962	1.3056	0.7577
112.0864	1.0949	1.2526	0.7197
112.2388	1.0828	1.1793	0.6597
112.3912	1.0854	1.1226	0.6352
112.5436	1.0667	1.1007	0.6547
112.6960	1.0225	1.1120	0.6708
112.8484	0.9876	1.1364	0.6597
113.0008	0.9763	1.1494	0.6689
113.1532	0.9685	1.1374	0.6380
113.3056	0.9725	1.1034	0.6361
113.4580	0.9815	1.0663	0.6356
113.6104	0.9942	1.0474	0.6201
113.7628	1.0073	1.0564	0.6285
113.9152	1.0204	1.0902	0.6287
114.0676	1.0369	1.1400	0.6387
114.2200	1.0596	1.1949	0.6897
114.3724	1.0792	1.2444	0.7216
114.5248	1.0931	1.2843	0.7337
114.6772	1.1482	1.3174	0.7451
114.8296	1.2166	1.3492	0.7602
114.9820	1.2257	1.3861	0.8202
115.1344	1.2757	1.4341	0.9157
115.2868	1.3384	1.4931	0.9146
115.4392	1.3433	1.5477	0.9394
115.5916	1.3428	1.5683	0.9777
115.7440	1.2709	1.5312	0.9943
115.8964	1.2504	1.4416	0.9891
116.0488	1.2207	1.3300	0.8772
116.2012	1.1891	1.2303	0.6629
116.3536	1.1859	1.1657	0.6665
116.5060	1.1815	1.1461	0.6516
116.6584	1.1691	1.1716	0.8037
116.8108	1.1755	1.2348	0.8423
116.9632	1.1802	1.3188	0.9157
117.1156	1.2738	1.3973	0.9232
117.2680	1.3604	1.4478	0.9133
117.4204	1.3677	1.4662	0.9038
117.5728	1.3642	1.4604	0.9091
117.7252	1.3536	1.4404	0.9008
117.8776	1.3195	1.4119	0.9167
118.0300	1.3181	1.3707	0.8067
118.1824	1.2952	1.3128	0.6725
118.3348	1.2371	1.2468	0.7018
118.4872	1.2096	1.1869	0.7000
118.6396	1.1949	1.1412	0.6409
118.7920	1.1520	1.1093	0.6015
118.9444	1.1295	1.0846	0.6020
119.0968	1.1199	1.0615	0.5821
119.2492	1.1109	1.0432	0.5493
119.4016	1.0896	1.0341	0.5688
119.5540	1.0662	1.0292	0.5532
119.7064	1.0382	1.0176	0.5729
119.8588	1.0361	0.9942	0.5497
120.0112	1.0300	0.9641	0.5388
120.1636	1.0401	0.9397	0.5337
120.3160	1.0489	0.9346	0.5140
120.4684	1.0519	0.9554	0.5759
120.6208	1.0535	0.9979	0.5554
120.7732	1.0662	1.0503	0.6239
120.9256	1.0614	1.0951	0.6174
121.0780	1.0738	1.1155	0.6066
121.2304	1.1002	1.1094	0.6354
121.3828	1.1302	1.0966	0.6174
121.5352	1.1734	1.1064	0.5997
121.6876	1.2287	1.1633	0.8830
121.8400	1.2789	1.2788	0.7394
121.9924	1.2893	1.4372	0.8263
122.1448	1.3070	1.5755	0.9594
122.2972	1.3295	1.6107	1.1473
122.4496	1.3310	1.5299	0.8728
122.6020	1.3069	1.3979	0.8808
122.7544	1.3147	1.2740	0.6990
122.9068	1.2544	1.1827	0.7167
123.0592	1.1948	1.1297	0.6603
123.2116	1.1636	1.1132	0.6150
123.3640	1.1530	1.1250	0.6163
123.5164	1.1434	1.1505	0.6609
123.6688	1.1274	1.1714	0.6634
123.8212	1.1306	1.1747	0.6671
123.9736	1.1318	1.1624	0.6520
124.1260	1.1401	1.1472	0.6439
124.2784	1.1456	1.1392	0.6430
124.4308	1.1475	1.1405	0.6366
124.5832	1.1452	1.1476	0.6612
124.7356	1.1467	1.1566	0.6450
124.8880	1.1494	1.1658	0.6463
125.0404	1.1576	1.1766	0.6532
125.1928	1.1645	1.1900	0.6983
125.3452	1.1737	1.2041	0.7143
125.4976	1.1773	1.2177	0.6917
125.6500	1.1804	1.2316	0.7154
125.8024	1.2050	1.2463	0.7121
125.9548	1.2170	1.2611	0.7321
126.1072	1.2197	1.2749	0.7486
126.2596	1.2261	1.2866	0.7663
126.4120	1.2266	1.2954	0.7744
126.5644	1.2247	1.2993	0.7454
126.7168	1.2254	1.2945	0.8019
126.8692	1.2289	1.2795	0.7571
127.0216	1.2288	1.2593	0.7741
127.1740	1.2274	1.2426	0.7509
127.3264	1.2189	1.2350	0.7551
127.4788	1.2142	1.2361	0.7646
127.6312	1.2112	1.2405	0.7827
127.7836	1.2088	1.2437	0.7219
127.9360	1.2022	1.2443	0.7225
128.0884	1.1972	1.2423	0.7212
128.2408	1.1960	1.2364	0.7320
128.3932	1.1973	1.2261	0.7310
128.5456	1.2001	1.2140	0.7244
128.6980	1.2039	1.2060	0.7104
128.8504	1.2112	1.2086	0.7365
129.0028	1.2133	1.2231	0.7758
129.1552	1.2233	1.2433	0.7527
129.3076	1.2314	1.2602	0.7870
129.4600	1.2400	1.2682	0.8193
129.6124	1.2592	1.2680	0.8077
129.7648	1.2892	1.2670	0.8070
129.9172	1.3030	1.2766	0.7998
130.0696	1.4106	1.3105	0.7733
130.2220	1.4599	1.3809	0.7822
130.3744	1.5471	1.4957	0.8182
130.5268	1.5821	1.6461	1.1942
130.6792	1.6072	1.7894	1.6987
130.8316	1.6048	1.8555	1.3681
130.9840	1.6030	1.7996	1.1065
131.1364	1.4732	1.6467	0.9629
131.2888	1.3858	1.4628	0.8223
131.4412	1.4760	1.3027	0.7629
131.5936	1.2546	1.1909	0.6709
131.7460	1.2312	1.1302	0.6234
131.8984	1.1849	1.1124	0.6505
132.0508	1.1655	1.1233	0.6923
132.2032	1.1294	1.1451	0.7098
132.3556	1.1209	1.1619	0.6705
132.5080	1.1159	1.1658	0.6974
132.6604	1.1302	1.1582	0.7065
132.8128	1.1247	1.1466	0.7003
132.9652	1.1302	1.1380	0.6892
133.1176	1.1289	1.1356	0.7011
133.2700	1.1356	1.1396	0.6926
133.4224	1.1486	1.1514	0.7305
133.5748	1.1873	1.1729	0.7507
133.7272	1.2018	1.2043	0.7161
133.8796	1.2190	1.2461	0.7896
134.0320	1.2796	1.2990	0.8281
134.1844	1.3024	1.3578	0.8520
134.3368	1.3047	1.4072	0.8703
134.4892	1.2920	1.4254	0.9344
134.6416	1.2597	1.3963	0.9343
134.7940	1.2728	1.3280	0.8997
134.9464	1.2100	1.2482	0.7414
135.0988	1.1730	1.1807	0.6595
135.2512	1.1868	1.1331	0.6871
135.4036	1.1275	1.1048	0.6776
135.5560	1.0939	1.0932	0.6860
135.7084	1.1069	1.0933	0.6956
135.8608	1.0870	1.0982	0.6777
136.0132	1.0878	1.1032	0.7002
136.1656	1.0841	1.1061	0.7019
136.3180	1.0939	1.1063	0.6739
136.4704	1.0924	1.1053	0.6769
136.6228	1.0877	1.1051	0.6553
136.7752	1.0834	1.1059	0.6766
136.9276	1.0798	1.1055	0.6818
137.0800	1.0780	1.1026	0.6761
137.2324	1.0756	1.0979	0.6756
137.3848	1.0742	1.0926	0.6712
137.5372	1.0714	1.0875	0.6675
137.6896	1.0649	1.0829	0.6725
137.8420	1.0614	1.0779	0.6722
137.9944	1.0576	1.0722	0.6618
138.1468	1.0565	1.0668	0.6514
138.2992	1.0576	1.0635	0.6472
138.4516	1.0576	1.0631	0.6500
138.6040	1.0550	1.0635	0.6627
138.7564	1.0483	1.0610	0.6697
138.9088	1.0416	1.0525	0.6591
139.0612	1.0370	1.0381	0.6481
139.2136	1.0384	1.0211	0.6287
139.3660	1.0558	1.0076	0.6134
139.5184	1.0656	1.0049	0.5822
139.6708	1.0644	1.0185	0.6065
139.8232	1.0628	1.0447	0.6035
139.9756	1.0364	1.0664	0.6594
140.1280	1.0490	1.0630	0.6519
140.2804	1.0354	1.0313	0.6610
140.4328	1.0259	0.9894	0.5495
140.5852	1.0243	0.9596	0.5692
