HOLE:	U1354C
EXPEDITION:	323
TOP:		108.0529
BOTTOM:		361.9513
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
108.0529	145.52527	277.04510	1070.00000	2.0945	1.1002	0.2849
108.2053	142.13234	276.78397	1160.00000	2.1445	1.1012	0.2628
108.3577	176.83444	276.52283	1063.63635	1.7236	1.1023	0.2866
108.5101	186.94954	276.26169	1128.18176	1.6304	1.1033	0.2702
108.6625	179.89182	276.00055	1109.09082	1.6944	1.1043	0.2748
108.8149	176.71661	275.73938	1090.00000	1.7248	1.1054	0.2796
108.9673	179.45020	301.48267	988.18182	1.6985	1.0110	0.3084
109.1197	182.64047	452.84296	1023.63635	1.6689	0.6731	0.2978
109.2721	184.95097	604.20325	1004.54547	1.6480	0.5045	0.3034
109.4245	185.57797	673.32672	1031.81824	1.6424	0.4527	0.2954
109.5769	180.46761	670.23785	-999.25000	1.6889	0.4548	-999.2500
109.7293	190.89388	667.14899	-999.25000	1.5967	0.4569	-999.2500
109.8817	189.22783	664.06012	-999.25000	1.6108	0.4590	-999.2500
110.0341	184.58353	660.97125	-999.25000	1.6513	0.4611	-999.2500
110.1865	184.78987	657.88239	944.54547	1.6494	0.4633	0.3227
110.3389	181.51163	674.92535	986.36365	1.6792	0.4516	0.3090
110.4913	182.01958	685.76740	881.81818	1.6745	0.4445	0.3456
110.6437	176.84438	664.78894	740.00000	1.7235	0.4585	0.4119
110.7961	169.69975	598.34656	677.87878	1.7961	0.5094	0.4496
110.9485	165.68398	578.86267	615.75757	1.8396	0.5265	0.4950
111.1009	164.93163	567.09705	553.63635	1.8480	0.5375	0.5505
111.2533	165.42249	575.22888	550.00000	1.8426	0.5299	0.5542
111.4057	165.00110	549.64459	550.00000	1.8473	0.5545	0.5542
111.5581	165.92612	562.40295	523.63635	1.8370	0.5420	0.5821
111.7105	166.02682	539.39948	496.36365	1.8358	0.5651	0.6141
111.8629	168.53448	555.51892	550.00000	1.8085	0.5487	0.5542
112.0153	173.21556	577.45160	636.36365	1.7597	0.5278	0.4790
112.1677	174.78174	595.52692	743.63635	1.7439	0.5118	0.4099
112.3201	177.77608	619.84607	740.00000	1.7145	0.4917	0.4119
112.4725	176.07443	638.44647	660.00000	1.7311	0.4774	0.4618
112.6249	175.71468	594.77789	713.63635	1.7346	0.5125	0.4271
112.7773	177.39299	644.20477	691.81818	1.7182	0.4731	0.4406
112.9297	176.53680	584.73969	708.18182	1.7266	0.5213	0.4304
113.0821	177.40215	623.95007	705.45453	1.7181	0.4885	0.4321
113.2345	179.47928	660.02917	740.00000	1.6982	0.4618	0.4119
113.3869	179.74284	647.82690	645.45453	1.6958	0.4705	0.4722
113.5393	181.48082	669.24878	660.00000	1.6795	0.4554	0.4618
113.6917	177.64330	631.90344	678.18182	1.7158	0.4824	0.4494
113.8441	175.73114	594.55811	676.36365	1.7345	0.5126	0.4506
113.9965	174.70233	603.10309	698.18182	1.7447	0.5054	0.4366
114.1489	174.95230	565.82220	676.36365	1.7422	0.5387	0.4506
114.3013	172.42609	548.21912	688.18182	1.7677	0.5560	0.4429
114.4537	170.85007	553.31689	664.54547	1.7840	0.5509	0.4587
