HOLE:	U1354C
EXPEDITION:	323
TOP:		108.0529
BOTTOM:		362.8657
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
108.0529	141.20961	533.03271	913.63635	2.1585	0.5718	0.3336
108.2053	161.12994	566.06732	806.36365	1.8916	0.5385	0.3780
108.3577	169.16425	598.84265	847.27271	1.8018	0.5090	0.3597
108.5101	172.92355	630.07422	888.18182	1.7626	0.4838	0.3432
108.6625	176.68285	661.30579	791.81818	1.7251	0.4609	0.3849
108.8149	176.90909	700.01947	740.00000	1.7229	0.4354	0.4119
108.9673	181.27272	745.06525	776.81818	1.6814	0.4091	0.3924
109.1197	184.00000	777.04779	813.63635	1.6565	0.3923	0.3746
109.2721	184.36363	766.74945	808.18182	1.6533	0.3975	0.3771
109.4245	185.09091	727.39093	826.36365	1.6468	0.4190	0.3688
109.5769	184.00000	704.68719	799.09094	1.6565	0.4325	0.3814
109.7293	181.27272	731.26691	771.81818	1.6814	0.4168	0.3949
109.8817	178.72728	683.69025	744.54547	1.7054	0.4458	0.4094
110.0341	179.09091	692.15869	703.63635	1.7019	0.4404	0.4332
110.1865	182.36363	674.77966	628.18182	1.6714	0.4517	0.4852
110.3389	183.63637	669.90759	614.84851	1.6598	0.4550	0.4957
110.4913	183.63637	687.25500	601.51514	1.6598	0.4435	0.5067
110.6437	182.90909	639.67963	588.18182	1.6664	0.4765	0.5182
110.7961	176.36363	638.26666	533.63635	1.7282	0.4775	0.5712
110.9485	170.00000	609.21771	520.00000	1.7929	0.5003	0.5862
111.1009	164.72728	583.93152	500.00000	1.8503	0.5220	0.6096
111.2533	162.00000	562.66785	518.18182	1.8815	0.5417	0.5882
111.4057	162.36363	538.85706	521.81818	1.8773	0.5656	0.5841
111.5581	163.27272	536.71771	533.63635	1.8668	0.5679	0.5712
111.7105	164.90909	543.01605	528.18182	1.8483	0.5613	0.5771
111.8629	171.63637	574.13025	556.36365	1.7758	0.5309	0.5478
112.0153	172.00000	577.00580	601.81818	1.7721	0.5282	0.5065
112.1677	172.36363	579.95380	563.63635	1.7684	0.5256	0.5408
112.3201	171.63637	590.82697	596.36365	1.7758	0.5159	0.5111
112.4725	173.63637	600.34857	605.45453	1.7554	0.5077	0.5034
112.6249	175.09091	585.00342	625.45453	1.7408	0.5210	0.4873
112.7773	172.36363	613.36066	563.63635	1.7684	0.4969	0.5408
112.9297	173.27272	638.03491	586.36365	1.7591	0.4777	0.5198
113.0821	177.27272	599.02966	528.18182	1.7194	0.5088	0.5771
113.2345	175.63637	629.61957	550.00000	1.7354	0.4841	0.5542
113.3869	176.72728	613.99139	561.81818	1.7247	0.4964	0.5425
113.5393	176.36363	637.49506	565.45453	1.7282	0.4781	0.5390
113.6917	176.72728	611.75903	533.63635	1.7247	0.4982	0.5712
113.8441	176.72728	600.69604	523.63635	1.7247	0.5074	0.5821
113.9965	176.72728	585.08368	485.45456	1.7247	0.5210	0.6279
