HOLE:	U1354C
EXPEDITION:	323
TOP:		295.0477
BOTTOM:		363.1705
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
295.0477	159.25191	542.81580	735.45453	1.9139	0.5615	0.4144
295.2001	159.25191	542.81580	735.45453	1.9139	0.5615	0.4144
295.3525	159.25191	542.81580	704.54547	1.9139	0.5615	0.4326
295.5049	159.25191	542.81580	706.36365	1.9139	0.5615	0.4315
295.6573	159.47751	552.08813	701.81818	1.9112	0.5521	0.4343
295.8097	159.56866	554.90338	703.63635	1.9101	0.5493	0.4332
295.9621	159.54642	553.65204	700.00000	1.9104	0.5505	0.4354
296.1145	160.22050	551.73303	700.00000	1.9024	0.5524	0.4354
296.2669	160.67729	564.89349	700.00000	1.8970	0.5396	0.4354
296.4193	160.68529	549.26538	701.81818	1.8969	0.5549	0.4343
296.5717	160.58310	546.16382	736.36365	1.8981	0.5581	0.4139
296.7241	160.43063	582.92780	740.00000	1.8999	0.5229	0.4119
296.8765	159.67149	553.55774	741.81818	1.9089	0.5506	0.4109
297.0289	159.59929	542.95599	700.00000	1.9098	0.5614	0.4354
297.1813	159.64130	510.52255	714.54547	1.9093	0.5970	0.4266
297.3337	159.92720	503.92844	729.09088	1.9059	0.6048	0.4181
297.4861	159.80933	502.17484	743.63635	1.9073	0.6070	0.4099
297.6385	160.38213	511.36551	741.81818	1.9005	0.5961	0.4109
297.7909	161.08325	522.92969	770.00000	1.8922	0.5829	0.3958
297.9433	160.44122	530.96436	808.18182	1.8998	0.5740	0.3771
298.0957	158.81195	539.42609	850.00000	1.9193	0.5650	0.3586
298.2481	157.28729	547.88782	881.81818	1.9379	0.5563	0.3456
298.4005	155.47989	559.50464	851.81818	1.9604	0.5448	0.3578
298.5529	154.40616	591.86267	808.18182	1.9740	0.5150	0.3771
298.7053	153.83052	673.40149	736.36365	1.9814	0.4526	0.4139
298.8577	153.76447	670.54541	738.18182	1.9823	0.4546	0.4129
299.0101	154.90402	670.52545	738.18182	1.9677	0.4546	0.4129
299.1625	156.22807	696.66583	740.00000	1.9510	0.4375	0.4119
