HOLE:	U1354C
EXPEDITION:	317
TOP:	284.1460
BOTTOM:	349.9828
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%
284.1460	34.8881	24.8270	0.5272	4.8743	1.4569	-0.5338
284.2984	34.0946	23.5878	0.5300	4.4607	1.4700	-0.5338
284.4508	33.0819	24.0357	0.5253	4.6318	1.3065	-0.5338
284.6032	34.7105	24.7002	0.5891	4.4711	1.3854	-0.5338
284.7556	38.8305	27.8497	0.6811	4.9423	1.5415	-0.5338
284.9080	43.5671	31.2714	0.7718	5.5086	1.7497	-0.5338
285.0604	44.5351	32.3519	0.8051	5.6599	1.7886	-0.5338
285.2128	45.8501	33.1869	0.8380	5.7352	1.8093	-0.5338
285.3652	46.4166	33.7561	0.8728	5.7142	1.7820	-0.5338
285.5176	47.2861	34.8001	0.9281	5.7250	1.7894	-0.5338
285.6700	48.8191	36.3378	0.9702	5.9716	1.7838	-0.5338
285.8224	47.5853	34.2314	0.9385	5.4816	1.8369	-0.5338
285.9748	49.1348	37.0635	1.0102	5.9705	1.7030	-0.5338
286.1272	49.2733	36.3782	1.0228	5.6769	1.8396	-0.5338
286.2796	50.0074	37.9659	1.0361	6.1077	1.7450	-0.5338
286.4320	49.7530	40.0491	1.0405	6.7502	1.4297	-0.5338
286.5844	49.4834	40.1551	1.0211	6.8977	1.3700	-0.5338
286.7368	51.4860	42.3825	1.0819	7.2559	1.2889	-0.5338
286.8892	52.4455	44.1159	1.0791	7.8281	1.2219	-0.5338
287.0416	52.0783	44.4672	1.0735	7.9736	1.1503	-0.5338
287.1940	51.0682	44.6258	1.0752	8.0148	1.0224	-0.5338
287.3464	51.1281	45.0753	1.1011	8.0074	0.9950	-0.5338
287.4988	49.9952	44.4039	1.1144	7.7138	0.9118	-0.5338
287.6512	49.4803	42.0549	1.0649	7.2503	1.1880	-0.5338
287.8036	48.6300	41.1661	1.0352	7.1392	1.1650	-0.5338
287.9560	49.6234	41.4857	1.0500	7.1554	1.2550	-0.5338
288.1084	48.6767	38.5854	1.0370	6.3013	1.5107	-0.5338
288.2608	48.3185	39.4318	1.0498	6.4980	1.3664	-0.5338
288.4132	48.6185	38.5561	1.0180	6.4032	1.5512	-0.5338
288.5656	48.9405	39.0763	1.0741	6.2418	1.4957	-0.5338
288.7180	49.1005	40.3104	1.0959	6.5095	1.3810	-0.5338
288.8704	47.9613	39.0012	1.0732	6.2226	1.3522	-0.5338
289.0228	47.1440	38.1767	1.0513	6.0867	1.3832	-0.5338
289.1752	47.2515	38.4329	1.0387	6.2423	1.4090	-0.5338
289.3276	46.4921	38.0648	1.0136	6.2713	1.3255	-0.5338
289.4800	47.9480	39.5416	1.0576	6.4874	1.3036	-0.5338
289.6324	47.8093	40.2910	1.0470	6.7894	1.2513	-0.5338
289.7848	48.5959	40.3929	1.0099	7.0396	1.3315	-0.5338
289.9372	48.2117	39.0637	1.0023	6.6578	1.4424	-0.5338
290.0896	47.4361	39.5607	1.0329	6.6379	1.2124	-0.5338
290.2420	47.2073	38.9998	0.9945	6.6833	1.3095	-0.5338
290.3944	47.7988	38.0207	0.9681	6.5236	1.5407	-0.5338
290.5468	48.0674	37.9763	0.9400	6.6741	1.5805	-0.5338
290.6992	47.4083	37.1275	0.9185	6.5275	1.5667	-0.5338
290.8516	46.3559	38.3391	0.8942	7.0586	1.2561	-0.5338
291.0040	46.6675	39.5397	0.9152	7.3203	1.0958	-0.5338
291.1564	46.8416	39.5716	0.9309	7.2385	1.1490	-0.5338
291.3088	46.5304	38.4566	0.9094	7.0070	1.2033	-0.5338
291.4612	46.3480	40.5350	0.9703	7.3172	0.9419	-0.5338
291.6136	46.7925	40.8319	0.9907	7.2928	0.9249	-0.5338
291.7660	46.8798	40.9345	0.9712	7.4400	0.9614	-0.5338
291.9184	45.4740	39.0985	0.9191	7.1561	1.0076	-0.5338
292.0708	44.4684	38.5914	0.8904	7.1617	0.8429	-0.5338
292.2232	43.3798	36.7396	0.8382	6.8734	0.9963	-0.5338
292.3756	43.2092	37.4587	0.8507	7.0308	0.8883	-0.5338
292.5280	43.4618	35.7868	0.8315	6.6073	1.1175	-0.5338
292.6804	43.5364	34.7560	0.8125	6.3878	1.2464	-0.5338
292.8328	44.7116	35.8735	0.8182	6.7125	1.1788	-0.5338
292.9852	43.7178	34.9102	0.8050	6.4812	1.0881	-0.5338
293.1376	42.4074	32.0901	0.7374	5.9726	1.2437	-0.5338
293.2900	39.3794	29.2885	0.6525	5.5712	1.2403	-0.5338
293.4424	38.3379	27.8109	0.5931	5.4453	1.3069	-0.5338
293.5948	38.4424	27.6655	0.5966	5.3781	1.3069	-0.5338
293.7472	39.6039	28.6173	0.6611	5.3056	1.4082	-0.5338
293.8996	39.9386	29.4649	0.6916	5.3989	1.2887	-0.5338
294.0520	40.1615	28.0919	0.6822	5.0138	1.4770	-0.5338
294.2044	41.6392	28.5226	0.7165	4.9511	1.5858	-0.5338
294.3568	44.3693	31.4775	0.7997	5.4113	1.5642	-0.5338
294.5092	46.2514	32.6263	0.8556	5.4526	1.6826	-0.5338
294.6616	49.0261	34.8117	0.9381	5.6701	1.8577	-0.5338
294.8140	49.9669	36.2218	0.9684	5.9453	1.7901	-0.5338
294.9664	50.1091	35.7687	0.9911	5.6668	1.8349	-0.5338
295.1188	49.0057	34.5109	0.9975	5.2260	1.9046	-0.5338
295.2712	49.9657	35.1817	1.0384	5.2020	1.9763	-0.5338
295.4236	50.9268	35.8502	1.0355	5.4333	1.9654	-0.5338
295.5760	49.4708	35.0863	0.9865	5.4749	1.8946	-0.5338
295.7284	47.6172	34.2042	0.9674	5.3040	1.7919	-0.5338
295.8808	46.5943	34.8226	0.9626	5.5304	1.6081	-0.5338
296.0332	46.6643	35.6236	0.9395	5.9223	1.5359	-0.5338
296.1856	45.1868	35.9819	0.8874	6.3424	1.3640	-0.5338
296.3380	45.7352	37.4381	0.9215	6.6097	1.2582	-0.5338
296.4904	46.9523	37.8960	0.9129	6.8070	1.3655	-0.5338
296.6428	50.0330	41.0920	0.9720	7.4857	1.4216	-0.5338
296.7952	51.0773	43.8348	0.9976	8.2155	1.1547	-0.5338
296.9476	50.6142	44.4518	0.9883	8.4676	1.0190	-0.5338
297.1000	49.5144	43.8703	0.9625	8.4324	0.9415	-0.5338
297.2524	48.5759	42.5705	0.9790	7.9190	0.9576	-0.5338
297.4048	47.8019	41.5528	0.9332	7.8607	1.0039	-0.5338
297.5572	47.2638	40.4977	0.9198	7.6009	1.0632	-0.5338
297.7096	47.0184	39.2044	0.9197	7.1867	1.2071	-0.5338
297.8620	47.1551	37.3540	0.9001	6.7081	1.4012	-0.5338
298.0144	48.7867	36.8683	0.8596	6.7894	1.6370	-0.5338
298.1668	48.3442	36.1019	0.8751	6.4526	1.6769	-0.5338
298.3192	47.1336	34.4341	0.8144	6.2735	1.6960	-0.5338
298.4716	45.7200	32.4131	0.7818	5.8165	1.7530	-0.5338
298.6240	45.1948	31.1627	0.7479	5.6135	1.7896	-0.5338
298.7764	44.7773	30.2507	0.7522	5.2960	1.8998	-0.5338
298.9288	41.7021	28.3826	0.6778	5.1326	1.7525	-0.5338
299.0812	39.9195	27.0503	0.6457	4.8933	1.6680	-0.5338
299.2336	39.9674	26.8930	0.6351	4.9050	1.7118	-0.5338
299.3860	38.5300	26.1241	0.6166	4.7666	1.6404	-0.5338
299.5384	38.1530	25.0964	0.5875	4.6077	1.7584	-0.5338
299.6908	35.7055	23.9856	0.5582	4.4232	1.6174	-0.5338
299.8432	36.5713	25.0361	0.5614	4.7414	1.6297	-0.5338
299.9956	36.1855	24.8099	0.5512	4.7285	1.6304	-0.5338
300.1480	36.3032	25.2245	0.5587	4.8175	1.6200	-0.5338
300.3004	36.3907	24.5538	0.5606	4.5913	1.7418	-0.5338
300.4528	36.1258	24.9615	0.5666	4.6871	1.6560	-0.5338
300.6052	36.2867	24.4277	0.5505	4.6099	1.7453	-0.5338
300.7576	36.9820	24.8638	0.5594	4.6977	1.7899	-0.5338
300.9100	37.7220	23.7788	0.5639	4.3231	1.9925	-0.5338
301.0624	37.7758	23.8752	0.5591	4.3821	1.9820	-0.5338
301.2148	36.6052	25.3397	0.5663	4.8096	1.6180	-0.5338
301.3672	36.2902	25.8037	0.5710	4.9312	1.4949	-0.5338
301.5196	38.7729	28.0548	0.6332	5.2890	1.4738	-0.5338
301.6720	39.8124	29.1802	0.6611	5.4863	1.4943	-0.5338
301.8244	41.8237	29.9711	0.6934	5.5507	1.6776	-0.5338
