HOLE:	U1354C
EXPEDITION:	317
TOP:	0.0724
BOTTOM:	382.9012
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
0.0724	1289.0590	611.5095	286.4228	1261.4497
0.2248	1293.0592	611.7695	287.1899	1255.7518
0.3772	1300.7357	612.0294	287.9325	1261.8163
0.5296	1286.1757	611.2853	288.7029	1257.9261
0.6820	1286.3827	610.2992	289.4741	1266.6683
0.8344	1284.8231	608.2910	290.2454	1267.1270
0.9868	1287.3538	607.9058	291.0070	1261.8157
1.1392	1299.7659	609.6717	291.7603	1260.1851
1.2916	1312.1766	610.1740	292.5228	1261.9086
1.4440	1313.8826	612.7738	293.2794	1247.0507
1.5964	1297.3218	613.6790	294.0490	1255.9094
1.7488	1287.8228	617.0233	294.8090	1266.0621
1.9012	1283.4996	617.9818	295.5656	1265.9346
2.0536	1282.0000	616.4667	296.3220	1254.6407
2.2060	1280.5580	614.5214	297.0782	1237.9535
2.3584	1273.4673	612.1815	297.8358	1224.4491
2.5108	1251.2905	609.8417	298.6068	1241.4297
2.6632	1249.7649	610.0662	299.3586	1246.7184
2.8156	1238.8799	606.4435	300.1186	1262.5198
2.9680	1241.4148	605.4049	300.8863	1273.2970
3.1204	1270.7743	606.2648	301.6543	1271.6113
3.2728	1303.8174	605.9972	302.4171	1262.3369
3.4252	1276.9818	610.5144	303.1768	1253.0283
3.5776	1334.1296	610.5144	303.9390	1229.3767
3.7300	1322.8773	612.3078	304.7089	1233.7020
3.8824	1317.7653	612.4147	305.4699	1242.9139
4.0348	1303.1106	612.0384	306.2338	1250.1169
4.1872	1278.8794	612.0384	306.9971	1251.9236
4.3396	1270.4727	612.0833	307.7514	1247.2705
4.4920	1279.0000	612.3432	308.5295	1242.1171
4.6444	1283.8926	613.3680	309.5488	1248.8357
4.7968	1295.6055	611.9608	310.5682	1239.5994
4.9492	1302.8302	611.8500	311.5932	1249.8224
5.1016	1289.0187	611.8831	312.6222	1246.8331
5.2540	1307.8248	612.3157	313.6410	1251.0724
5.4064	1306.5419	612.4152	314.6535	1245.1193
5.5588	1286.9592	619.1338	315.6777	1243.0288
5.7112	1252.1475	617.4855	316.6971	1237.7640
5.8636	1264.5160	615.7020	317.7138	1251.9674
6.0160	1295.9132	617.5248	318.7180	1253.8829
6.1684	1297.7935	615.9389	319.7183	1269.4246
6.3208	1278.8900	611.4722	320.7376	1277.2057
6.4732	1277.6548	608.6021	321.7576	1275.1278
6.6256	1281.1282	607.1226	322.7707	1257.1396
6.7780	1319.2817	608.5198	323.7957	1244.9270
6.9304	1314.7194	608.5369	324.8145	1235.5619
7.0828	1287.7173	612.5482	325.8295	1233.5488
7.2352	1316.1777	611.8609	326.8349	1244.7675
7.3876	1300.3264	611.3013	327.8541	1246.9200
7.5400	1279.4473	610.9577	328.8642	1249.1304
7.6924	1267.3646	611.0244	329.8634	1244.1967
7.8448	1291.4054	612.3435	330.8837	1239.4148
7.9972	1296.0725	613.2134	331.9118	1246.8308
8.1496	1317.5731	613.2410	332.9306	1271.8571
8.3020	1355.8121	612.7864	333.9376	1271.3606
8.4544	1310.3713	611.1900	334.9706	1245.8370
8.6068	1271.0000	609.8275	335.9894	1219.8629
8.7592	1270.4362	610.3425	337.0076	1215.2654
