HOLE:	U1354C
EXPEDITION:	317
TOP:	317.0644
BOTTOM:	382.9012
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
317.0644	1860.0000	285.5976	832.8965	1421.2891
317.2168	1860.0000	285.5976	832.8965	1421.2891
317.3692	1860.0000	285.5976	832.8965	1421.2891
317.5216	1860.0000	285.5976	832.8965	1421.2891
317.6740	1860.0000	285.5976	832.8965	1421.2891
317.8264	1853.9982	285.5976	831.6121	1412.9916
317.9788	1834.4397	285.5976	829.6957	1398.7206
318.1312	1775.9849	284.5947	827.7798	1388.6471
318.2836	1697.6929	282.8779	825.8627	1384.4675
318.4360	1799.2548	282.4428	823.9454	1404.1566
318.5884	1892.2269	282.7462	822.0178	1434.7417
318.7408	1872.3051	283.4406	820.0844	1415.1520
318.8932	1839.9912	283.7688	818.1512	1407.0099
319.0456	1823.7775	283.5760	816.2285	1400.1288
319.1980	1839.1021	284.0384	814.3010	1403.4773
319.3504	1849.1282	284.5686	812.3776	1403.5688
319.5028	1837.4666	283.3612	810.4502	1412.0742
319.6552	1839.0012	282.3620	808.5267	1404.6331
319.8076	1844.0000	282.0585	806.5999	1401.2039
319.9600	1816.6914	281.7550	804.6665	1393.2861
320.1124	1839.3737	281.0842	802.7225	1399.4492
320.2648	1849.8463	280.9032	800.7830	1411.6815
320.4172	1836.0299	281.2067	798.8410	1412.1342
320.5696	1841.6678	282.2293	796.9011	1411.8182
320.7220	1837.6329	283.0328	794.9673	1413.4421
320.8744	1854.2502	283.3364	793.0436	1412.1127
321.0268	1861.1918	282.9364	791.1184	1419.0334
321.1792	1828.2294	282.5496	789.1851	1415.6310
321.3316	1819.2308	282.8961	787.2509	1402.6313
321.4840	1811.7661	283.5031	785.3168	1392.9664
321.6364	1806.7201	284.2809	783.3832	1401.0826
321.7888	1819.2219	284.6832	781.4598	1402.9219
321.9412	1792.4771	284.1791	779.5434	1387.7451
322.0936	1821.7898	283.2686	777.6260	1401.6010
322.2460	1873.9705	282.5235	775.7000	1426.4883
322.3984	1851.5377	282.5731	773.7676	1413.7136
322.5508	1836.0116	282.6916	771.8345	1402.5972
322.7032	1863.6663	282.8726	769.9005	1404.6201
322.8556	1860.4495	283.4796	767.9670	1402.2606
323.0080	1857.6826	284.0866	766.0336	1404.3160
323.1604	1853.3522	283.7480	764.1087	1399.1895
323.3128	1830.8971	282.8466	762.1915	1389.9410
323.4652	1817.8439	282.0845	760.2573	1380.2832
323.6176	1825.6481	281.4814	758.3236	1392.1277
323.7700	1852.0000	281.3304	756.3983	1409.9131
323.9224	1870.9229	281.6326	754.4566	1404.2677
324.0748	1853.9543	281.3409	752.5151	1405.5374
324.2272	1794.3617	281.1662	750.5652	1377.0642
324.3796	1801.5338	281.6352	748.6226	1371.8259
324.5320	1825.4218	282.2187	746.6902	1399.0121
324.6844	1805.8463	282.9990	744.7559	1384.6997
324.8368	1815.1112	282.8726	742.8315	1389.8868
324.9892	1829.9187	282.8336	740.9066	1410.7075
325.1416	1845.4613	283.0185	738.9744	1419.8669
325.2940	1830.1385	282.8544	737.0396	1411.4651
325.4464	1821.5784	282.8544	735.1148	1399.0204
325.5988	1833.2296	283.1280	733.1805	1400.2417
325.7512	1827.1115	282.5157	731.2468	1404.5017
325.9036	1819.7129	281.7329	729.3127	1401.3352
326.0560	1827.3330	282.3777	727.3780	1407.7434
326.2084	1839.8293	283.6021	725.4445	1419.0392
326.3608	1832.7894	283.8156	723.5253	1409.9043
326.5132	1881.6527	281.9869	721.6039	1425.0073
326.6656	1911.3749	282.0181	719.6614	1441.8591
326.8180	1875.7406	283.5605	717.7286	1426.1829
326.9704	1815.5646	284.8629	715.7958	1405.9392
327.1228	1841.2393	283.6933	713.8769	1412.3696
327.2752	1869.8206	281.9999	711.9567	1407.9167
327.4276	1875.0126	281.3929	710.0194	1406.1438
327.5800	1861.7783	281.2653	708.0892	1405.7990
327.7324	1826.5583	281.6352	706.1461	1410.4652
327.8848	1813.6937	281.6352	704.2057	1413.5496
328.0372	1833.6316	282.2149	702.2611	1400.9294
328.1896	1801.1964	283.6177	700.3274	1386.1583
328.3420	1793.0569	284.0383	698.3936	1381.0377
328.4944	1819.8726	283.6880	696.4661	1402.6021
328.6468	1783.0176	284.0736	694.5435	1418.3734
328.7992	1794.1227	283.5266	692.6162	1424.1064
328.9516	1844.4895	282.9821	690.6921	1410.3729
329.1040	1822.6687	284.0893	688.7567	1403.3015
329.2564	1831.3810	284.4721	686.8225	1398.4401
329.4088	1797.6052	283.3437	684.8956	1385.9355
329.5612	1800.4269	281.9400	682.9731	1388.4156
329.7136	1826.0000	282.1432	681.0455	1399.0111
329.8660	1832.5364	282.8504	679.1175	1393.7416
330.0184	1819.1902	283.8600	677.1769	1383.8461
330.1708	1849.9474	284.3901	675.2559	1389.8741
330.3232	1836.8967	283.4797	673.3297	1395.9663
330.4756	1832.2639	283.4250	671.4064	1380.0737
330.6280	1819.7689	284.5894	669.4775	1388.7467
330.7804	1841.0686	284.2859	667.5554	1410.8839
330.9328	1832.5673	283.8913	665.6270	1412.4745
331.0852	1783.8331	283.0146	663.7092	1406.1577
331.2376	1815.6658	281.7629	661.7870	1396.7959
331.3900	1867.5615	281.1557	659.8527	1404.5367
331.5424	1864.9241	280.8928	657.9149	1412.7301
331.6948	1873.0558	281.3304	655.9689	1414.3373
331.8472	1852.2648	281.3304	654.0306	1403.9971
331.9996	1833.1555	281.5766	652.0859	1392.2079
332.1520	1810.0084	282.4063	650.1523	1371.9443
332.3044	1832.9163	282.8544	648.2232	1397.6641
332.4568	1835.2058	282.9326	646.2979	1404.7715
332.6092	1851.9386	283.2361	644.3560	1388.0701
