HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0964
BOTTOM:	804.6642
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
70.0964	166.4391	272.5267	219.1486	1.8313	1.1184	1.3908
70.2488	170.2654	256.7927	211.6903	1.7901	1.1869	1.4398
70.4012	170.5542	254.6949	216.2911	1.7871	1.1967	1.4092
70.5536	163.7414	266.3506	211.0763	1.8615	1.1444	1.4440
70.7060	155.1142	329.5426	222.2346	1.9650	0.9249	1.3715
70.8584	150.5181	302.5359	224.6774	2.0250	1.0075	1.3566
71.0108	146.8989	303.4593	237.783	2.0749	1.0044	1.2818
71.1632	147.6474	317.2931	293.6946	2.0644	0.9606	1.0378
71.3156	148.9314	341.4852	293.9586	2.0466	0.8926	1.0369
71.4680	150.3237	346.85	299.4888	2.0276	0.8788	1.0177
71.6204	151.8834	346.85	317.1698	2.0068	0.8788	0.9610
71.7728	153.0371	534.3368	360.8002	1.9917	0.5704	0.8448
71.9252	155.5677	631.3903	337.1171	1.9593	0.4827	0.9041
72.0776	154.2735	638.9064	418.3145	1.9757	0.4771	0.7286
72.2300	156.2961	637.4821	531.6478	1.9501	0.4781	0.5733
72.3824	159.7304	625.4005	630.6362	1.9082	0.4874	0.4833
72.5348	163.3324	619.4564	641.8159	1.8661	0.4920	0.4749
72.6872	166.9758	625.3613	646.6973	1.8254	0.4874	0.4713
72.8396	170.5966	623.8004	643.0671	1.7867	0.4886	0.4740
72.9920	171.5678	619.7377	592.5457	1.7766	0.4918	0.5144
73.1444	171.6918	622.1216	579.2998	1.7753	0.4899	0.5262
73.2968	172.2543	628.6903	588.665	1.7695	0.4848	0.5178
73.4492	172.586	629.647	583.085	1.7661	0.4841	0.5227
73.6016	170.8324	614.6097	584.7565	1.7842	0.4959	0.5212
73.7540	167.1937	617.6399	581.4667	1.8230	0.4935	0.5242
73.9064	165.8935	619.3481	574.0903	1.8373	0.4921	0.5309
74.0588	164.1924	627.2648	629.0074	1.8564	0.4859	0.4846
74.2112	165.892	634.539	638.6369	1.8373	0.4803	0.4773
74.3636	166.8459	635.4442	642.7831	1.8268	0.4797	0.4742
74.5160	168.5735	630.6481	653.2191	1.8081	0.4833	0.4666
74.6684	167.4094	630.6893	656.2426	1.8207	0.4833	0.4645
74.8208	171.4531	625.3746	655.1951	1.7777	0.4874	0.4652
74.9732	172.215	624.2511	649.1716	1.7699	0.4883	0.4695
75.1256	172.3601	613.5583	602.6908	1.7684	0.4968	0.5057
75.2780	173.3147	610.6718	596.5716	1.7587	0.4991	0.5109
75.4304	173.79	618.2164	595.3278	1.7538	0.4930	0.5120
75.5828	173.9029	614.8357	642.3338	1.7527	0.4957	0.4745
75.7352	173.6032	626.7898	666.1598	1.7557	0.4863	0.4575
75.8876	173.3268	639.9327	667.3711	1.7585	0.4763	0.4567
76.0400	173.0663	641.6144	663.1593	1.7612	0.4751	0.4596
76.1924	173.0007	626.2808	664.8486	1.7618	0.4867	0.4585
76.3448	172.7072	624.6876	609.625	1.7648	0.4879	0.5000
76.4972	172.6167	625.1091	583.5981	1.7658	0.4876	0.5223
76.6496	172.8545	624.704	596.7608	1.7633	0.4879	0.5108
76.8020	172.8271	621.0822	599.8984	1.7636	0.4908	0.5081
76.9544	173.0508	636.0609	583.1744	1.7613	0.4792	0.5227
77.1068	173.4292	663.5444	594.3772	1.7575	0.4594	0.5128
77.2592	173.6167	681.419	561.6328	1.7556	0.4473	0.5427
77.4116	173.7446	671.4081	563.579	1.7543	0.4540	0.5408
77.5640	173.8788	667.286	576.4637	1.7529	0.4568	0.5287
77.7164	173.976	663.1206	583.7991	1.7520	0.4596	0.5221
77.8688	174.0288	628.7852	587.0195	1.7514	0.4847	0.5192
78.0212	173.7949	648.9148	586.1959	1.7538	0.4697	0.5200
78.1736	173.8114	628.8929	652.8119	1.7536	0.4847	0.4669
78.3260	174.8002	623.6091	699.6763	1.7437	0.4888	0.4356
