HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0704
BOTTOM:	842.8910
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
70.0704	142.7706	266.1681	222.2809	2.1349	1.1451	1.3712
70.2228	146.001	253.1021	221.743	2.0877	1.2043	1.3746
70.3752	156.2135	299.2879	256.349	1.9512	1.0184	1.1890
70.5276	148.2938	303.5894	355.9885	2.0554	1.0040	0.8562
70.6800	142.4735	441.1943	380.6448	2.1393	0.6909	0.8007
70.8324	140.2528	568.4037	484.2471	2.1732	0.5362	0.6294
70.9848	141.6624	586.8113	550.8411	2.1516	0.5194	0.5533
71.1372	150.6199	618.4189	640.5148	2.0236	0.4929	0.4759
71.2896	153.4102	627.3571	659.9398	1.9868	0.4858	0.4619
71.4420	156.3779	643.0109	646.1926	1.9491	0.4740	0.4717
71.5944	158.4051	645.1432	655.0205	1.9242	0.4725	0.4653
71.7468	161.2845	647.2331	651.4837	1.8898	0.4709	0.4679
71.8992	159.8625	645.6191	655.3063	1.9066	0.4721	0.4651
72.0516	158.6495	638.5736	654.6212	1.9212	0.4773	0.4656
72.2040	157.5493	623.5018	655.4915	1.9346	0.4889	0.4650
72.3564	156.3392	622.7927	653.0037	1.9496	0.4894	0.4668
72.5088	146.3591	622.9351	583.8504	2.0825	0.4893	0.5221
72.6612	145.4788	633.3815	586.1827	2.0952	0.4812	0.5200
72.8136	144.5068	631.4127	588.4661	2.1092	0.4827	0.5180
72.9660	143.6519	622.3168	596.1013	2.1218	0.4898	0.5113
73.1184	142.8974	621.142	597.5787	2.1330	0.4907	0.5101
73.2708	148.3985	618.4603	589.1944	2.0539	0.4928	0.5173
73.4232	152.1608	625.937	592.5597	2.0031	0.4869	0.5144
73.5756	159.7501	626.6655	580.5581	1.9080	0.4864	0.5250
73.7280	165.2214	626.5013	580.9555	1.8448	0.4865	0.5247
73.8804	170.7328	628.2878	578.8617	1.7852	0.4851	0.5266
74.0328	171.784	630.4135	568.0152	1.7743	0.4835	0.5366
74.1852	172.945	618.5735	636.0596	1.7624	0.4927	0.4792
74.3376	174.0645	629.7554	642.6735	1.7511	0.4840	0.4743
74.4900	174.2092	634.1967	657.889	1.7496	0.4806	0.4633
74.6424	173.8001	634.6511	658.1913	1.7537	0.4803	0.4631
74.7948	173.5169	628.8997	657.0306	1.7566	0.4847	0.4639
74.9472	174.2573	623.6678	593.0278	1.7491	0.4887	0.5140
75.0996	173.9216	622.2812	589.4818	1.7525	0.4898	0.5171
75.2520	173.5145	618.7128	588.3531	1.7566	0.4926	0.5181
75.4044	173.3011	611.0923	580.8066	1.7588	0.4988	0.5248
75.5568	173.022	586.3822	589.2369	1.7616	0.5198	0.5173
75.7092	172.7844	609.7999	570.5139	1.7640	0.4998	0.5343
75.8616	172.8509	591.5354	571.9858	1.7634	0.5153	0.5329
76.0140	172.9957	659.0811	573.7625	1.7619	0.4625	0.5312
76.1664	173.5036	670.9966	565.8937	1.7567	0.4542	0.5386
