HOLE:	U1507B
EXPEDITION:	371
TOP:	743.8307
BOTTOM:	860.4166
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
743.8307	114.7947	260.2873	267.8214	2.6552	1.1710	1.1381
743.9831	114.1114	241.2426	259.3913	2.6711	1.2635	1.1751
744.1355	112.9226	257.7299	257.4937	2.6992	1.1826	1.1837
744.2879	112.9432	259.4308	256.0685	2.6987	1.1749	1.1903
744.4403	113.2855	260.2792	255.9572	2.6905	1.1711	1.1908
744.5927	112.929	252.2378	255.7334	2.6990	1.2084	1.1919
744.7451	113.1129	255.1171	257.64	2.6947	1.1947	1.1830
744.8975	115.7967	261.1064	267.9576	2.6322	1.1673	1.1375
745.0499	117.0911	279.3925	278.0937	2.6031	1.0909	1.0960
745.2023	118.6157	282.2054	280.5982	2.5696	1.0801	1.0863
745.3547	119.4579	280.9684	280.9348	2.5515	1.0848	1.0849
745.5071	119.7456	282.1394	281.0599	2.5454	1.0803	1.0845
745.6595	119.6178	280.7698	280.856	2.5481	1.0856	1.0853
745.8119	119.2655	281.0717	282.1056	2.5556	1.0844	1.0804
745.9643	118.738	280.8636	286.2844	2.5670	1.0852	1.0647
746.1167	114.9601	267.1054	273.823	2.6514	1.1411	1.1131
746.2691	115.9347	275.4533	268.2888	2.6291	1.1065	1.1361
746.4215	116.1063	272.2338	277.2946	2.6252	1.1196	1.0992
746.5739	116.0053	280.1134	277.1742	2.6275	1.0881	1.0997
746.7263	116.19	274.6981	277.3303	2.6233	1.1096	1.0991
746.8787	116.8484	274.7097	277.1565	2.6085	1.1095	1.0997
747.0311	117.3025	276.5452	277.3203	2.5984	1.1022	1.0991
747.1835	117.3387	273.7032	276.3996	2.5976	1.1136	1.1028
747.3359	116.9984	271.6584	274.006	2.6052	1.1220	1.1124
747.4883	115.988	266.3421	265.6258	2.6279	1.1444	1.1475
747.6407	113.1981	253.4358	256.0169	2.6926	1.2027	1.1905
747.7931	112.2912	250.4217	254.5526	2.7144	1.2171	1.1974
747.9455	111.9932	257.7957	251.6401	2.7216	1.1823	1.2113
748.0979	111.5227	257.0396	254.0641	2.7331	1.1858	1.1997
748.2503	111.5846	260.2734	251.9022	2.7316	1.1711	1.2100
748.4027	111.9962	254.4412	257.6205	2.7215	1.1979	1.1831
748.5551	114.1283	257.4054	263.9525	2.6707	1.1841	1.1548
748.7075	115.5373	256.4275	261.925	2.6381	1.1886	1.1637
748.8599	114.4427	265.9278	262.1468	2.6633	1.1462	1.1627
749.0123	114.1245	253.1175	260.4749	2.6708	1.2042	1.1702
749.1647	113.381	254.8768	256.6719	2.6883	1.1959	1.1875
749.3171	112.9446	262.4319	259.4473	2.6987	1.1614	1.1748
749.4695	112.1333	261.2838	258.839	2.7182	1.1665	1.1776
749.6219	111.7123	254.2611	258.6588	2.7284	1.1988	1.1784
749.7743	111.4224	254.322	256.3452	2.7355	1.1985	1.1890
749.9267	112.5083	252.3311	253.5976	2.7091	1.2079	1.2019
750.0791	112.3737	253.0379	246.8763	2.7124	1.2046	1.2346
750.2315	112.7243	252.8408	246.5733	2.7039	1.2055	1.2361
750.3839	112.1708	253.687	249.7437	2.7173	1.2015	1.2205
750.5363	111.6341	243.6881	251.1866	2.7303	1.2508	1.2134
750.6887	111.1688	256.1962	247.6248	2.7418	1.1897	1.2309
750.8411	109.9542	241.5854	244.813	2.7721	1.2617	1.2450
750.9935	110.5879	251.6001	246.8933	2.7562	1.2114	1.2345
751.1459	111.5093	251.8105	251.4497	2.7334	1.2104	1.2122
751.2983	112.8418	253.3643	252.9014	2.7011	1.2030	1.2052
751.4507	113.7318	265.2053	257.9036	2.6800	1.1493	1.1818
751.6031	115.6288	256.5833	267.1488	2.6360	1.1879	1.1409
751.7555	116.2214	265.5397	269.2192	2.6226	1.1479	1.1322
751.9079	115.7454	268.2522	269.2615	2.6334	1.1362	1.1320
752.0603	115.1815	263.7352	267.1404	2.6463	1.1557	1.1410
752.2127	114.9052	261.3991	264.6008	2.6526	1.1660	1.1519
752.3651	113.7669	257.3426	257.6555	2.6792	1.1844	1.1830
752.5175	112.7262	240.4057	252.7189	2.7039	1.2679	1.2061
752.6699	112.2958	250.2458	250.2131	2.7143	1.2180	1.2182
752.8223	112.7301	250.6094	252.9612	2.7038	1.2162	1.2049
752.9747	112.6604	254.1302	252.8085	2.7055	1.1994	1.2057
753.1271	112.8905	259.1794	255.0862	2.7000	1.1760	1.1949
753.2795	112.8681	259.9218	259.0861	2.7005	1.1727	1.1764
753.4319	113.4249	252.9475	257.1952	2.6872	1.2050	1.1851
753.5843	113.6861	254.9568	256.8292	2.6811	1.1955	1.1868
753.7367	113.984	256.5827	254.8671	2.6741	1.1879	1.1959
753.8891	114.3025	255.8659	254.9588	2.6666	1.1912	1.1955
754.0415	114.5974	261.4008	255.414	2.6597	1.1660	1.1934
754.1939	115.7804	252.2043	260.8123	2.6326	1.2085	1.1687
754.3463	117.5213	258.6553	268.028	2.5936	1.1784	1.1372
754.4987	118.7907	270.8931	269.6247	2.5659	1.1252	1.1305
754.6511	119.5383	272.278	270.3295	2.5498	1.1194	1.1275
754.8035	118.6928	272.3565	270.2341	2.5680	1.1191	1.1279
754.9559	119.4955	273.7242	272.6017	2.5507	1.1135	1.1181
755.1083	119.498	272.584	274.5326	2.5507	1.1182	1.1103
755.2607	120.0017	267.0087	273.0381	2.5400	1.1415	1.1163
755.4131	119.8926	272.4103	270.4664	2.5423	1.1189	1.1269
755.5655	119.6199	273.4711	269.7926	2.5481	1.1146	1.1298
755.7179	118.9549	264.3223	267.972	2.5623	1.1531	1.1374
755.8703	119.1809	264.5107	264.7766	2.5575	1.1523	1.1512
756.0227	118.1065	264.7643	267.4651	2.5807	1.1512	1.1396
756.1751	118.6668	269.7326	270.063	2.5685	1.1300	1.1286
756.3275	118.1652	269.0102	270.2442	2.5794	1.1330	1.1279
756.4799	118.9928	273.4235	270.5122	2.5615	1.1148	1.1268
756.6323	119.0565	266.2066	273.0167	2.5601	1.1450	1.1164
756.7847	119.5397	270.8781	279.0646	2.5498	1.1252	1.0922
756.9371	119.3995	271.5409	278.2995	2.5528	1.1225	1.0952
757.0895	118.4191	278.4702	276.6683	2.5739	1.0946	1.1017
757.2419	117.3526	277.9541	273.3578	2.5973	1.0966	1.1150
757.3943	117.6644	261.751	269.4328	2.5904	1.1645	1.1313
757.5467	118.3098	273.514	268.9711	2.5763	1.1144	1.1332
757.6991	118.8637	273.9573	275.3637	2.5643	1.1126	1.1069
757.8515	119.9906	275.9999	277.3174	2.5402	1.1043	1.0991
758.0039	120.9752	277.0284	277.5134	2.5195	1.1002	1.0983
758.1563	120.0589	276.2391	278.1899	2.5388	1.1034	1.0957
758.3087	122.0472	277.8441	278.6247	2.4974	1.0970	1.0939
758.4611	120.134	278.7052	277.5187	2.5372	1.0936	1.0983
758.6135	117.5477	263.8488	263.6895	2.5930	1.1552	1.1559
758.7659	116.9724	251.368	256.081	2.6057	1.2126	1.1902
758.9183	116.7109	254.3625	260.4528	2.6116	1.1983	1.1703
759.0707	117.0724	257.0433	262.4857	2.6035	1.1858	1.1612
759.2231	117.0656	262.2365	262.9168	2.6037	1.1623	1.1593
759.3755	117.287	260.6382	264.2477	2.5988	1.1694	1.1535
759.5279	118.4172	260.2153	262.8047	2.5740	1.1713	1.1598
759.6803	119.309	261.9456	267.8723	2.5547	1.1636	1.1379
759.8327	118.652	261.5502	265.1867	2.5689	1.1654	1.1494
759.9851	118.3648	263.8121	263.8459	2.5751	1.1554	1.1552
760.1375	118.2927	258.8831	263.9102	2.5767	1.1774	1.1549
760.2899	118.3314	264.0043	263.7008	2.5758	1.1545	1.1559
760.4423	118.0133	264.6274	263.6858	2.5828	1.1518	1.1559
760.5947	120.8847	261.9071	268.1951	2.5214	1.1638	1.1365
760.7471	120.2526	271.8863	280.9103	2.5347	1.1211	1.0850
760.8995	120.7952	280.362	284.593	2.5233	1.0872	1.0710
761.0519	120.6989	278.1776	280.8808	2.5253	1.0957	1.0852
761.2043	120.6593	283.5116	280.3059	2.5261	1.0751	1.0874
761.3567	122.2397	282.9916	280.22	2.4935	1.0771	1.0877
761.5091	121.6665	277.7317	280.2669	2.5052	1.0975	1.0875
761.6615	121.599	283.6143	280.0967	2.5066	1.0747	1.0882
761.8139	121.5504	283.0366	279.9956	2.5076	1.0769	1.0886
761.9663	122.255	284.1815	280.0796	2.4931	1.0726	1.0883
762.1187	121.2978	283.3162	280.0581	2.5128	1.0758	1.0883
762.2711	120.6821	280.1112	279.9885	2.5256	1.0881	1.0886
762.4235	119.6511	271.2646	271.5362	2.5474	1.1236	1.1225
762.5759	120.4716	286.2419	287.4552	2.5301	1.0648	1.0603
762.7283	121.5467	292.751	296.5385	2.5077	1.0412	1.0279
762.8807	121.8049	297.5807	293.1765	2.5024	1.0243	1.0396
763.0331	121.3654	295.9416	293.288	2.5114	1.0299	1.0393
763.1855	121.574	297.3831	296.6393	2.5071	1.0249	1.0275
763.3379	121.3378	296.7148	293.2024	2.5120	1.0272	1.0396
763.4903	121.516	295.5777	296.5628	2.5083	1.0312	1.0278
763.6427	121.9178	297.8967	293.175	2.5000	1.0232	1.0397
763.7951	122.7513	296.4612	293.3269	2.4831	1.0281	1.0391
763.9475	122.9691	296.3826	292.8715	2.4787	1.0284	1.0407
764.0999	123.006	288.9806	296.4918	2.4779	1.0547	1.0280
764.2523	123.0265	297.3953	292.8864	2.4775	1.0249	1.0407
764.4047	122.9447	290.3056	293.257	2.4792	1.0499	1.0394
764.5571	122.6043	289.4237	292.812	2.4860	1.0531	1.0409
764.7095	121.8224	287.9387	289.4293	2.5020	1.0586	1.0531
764.8619	120.6148	290.8393	288.92	2.5271	1.0480	1.0550
765.0143	121.2704	291.7125	287.2784	2.5134	1.0449	1.0610
765.1667	121.0179	289.4315	287.0365	2.5186	1.0531	1.0619
765.3191	120.5843	288.3472	286.9257	2.5277	1.0571	1.0623
765.4715	120.555	286.2316	286.9328	2.5283	1.0649	1.0623
765.6239	120.0272	280.1448	286.9642	2.5394	1.0880	1.0622
765.7763	119.6245	267.1352	271.5068	2.5480	1.1410	1.1226
765.9287	118.9566	260.731	271.0936	2.5623	1.1690	1.1243
766.0811	119.1065	277.7895	276.5833	2.5591	1.0972	1.1020
766.2335	119.461	280.8306	276.4043	2.5515	1.0854	1.1027
766.3859	119.8717	279.8559	276.4488	2.5427	1.0891	1.1026
766.5383	121.206	277.6642	276.474	2.5147	1.0977	1.1025
766.6907	121.3359	280.2536	276.4345	2.5120	1.0876	1.1026
766.8431	121.3397	270.4056	280.8091	2.5120	1.1272	1.0854
766.9955	121.2553	281.9178	279.6316	2.5137	1.0812	1.0900
767.1479	121.3836	280.4583	279.2188	2.5110	1.0868	1.0916
767.3003	121.4479	267.9526	277.0152	2.5097	1.1375	1.1003
767.4527	121.2234	267.9564	275.3953	2.5144	1.1375	1.1068
767.6051	119.9481	265.7589	271.0013	2.5411	1.1469	1.1247
767.7575	120.5019	273.72	268.5937	2.5294	1.1135	1.1348
767.9099	120.1437	273.835	270.8015	2.5370	1.1131	1.1255
768.0623	120.3725	271.7289	268.5789	2.5321	1.1217	1.1349
768.2147	120.2959	269.9255	268.0149	2.5338	1.1292	1.1373
768.3671	120.2302	267.8682	268.5501	2.5351	1.1379	1.1350
768.5195	120.6089	273.0703	272.0239	2.5272	1.1162	1.1205
768.6719	120.4615	273.1867	275.4092	2.5303	1.1157	1.1067
768.8243	121.5225	268.9619	277.4703	2.5082	1.1332	1.0985
768.9767	121.9265	275.8568	277.7205	2.4999	1.1049	1.0975
769.1291	122.1526	276.9906	277.5038	2.4952	1.1004	1.0984
769.2815	122.0239	273.3182	277.3655	2.4979	1.1152	1.0989
769.4339	120.9644	273.1575	275.9625	2.5197	1.1158	1.1045
769.5863	119.6145	264.903	271.4533	2.5482	1.1506	1.1228
769.7387	119.1436	265.6642	265.5318	2.5583	1.1473	1.1479
769.8911	119.4789	266.7824	268.1124	2.5511	1.1425	1.1368
770.0435	120.273	267.4386	270.3842	2.5342	1.1397	1.1273
770.1959	120.1882	275.6678	273.0967	2.5360	1.1057	1.1161
770.3483	120.3748	275.9809	274.0103	2.5321	1.1044	1.1124
770.5007	120.5997	275.8407	274.4337	2.5274	1.1050	1.1107
770.6531	121.1287	273.7879	276.2451	2.5163	1.1133	1.1034
770.8055	122.6884	272.1658	278.5465	2.4843	1.1199	1.0943
770.9579	121.4458	273.9944	275.4173	2.5098	1.1124	1.1067
771.1103	120.7199	265.9711	268.5541	2.5249	1.1460	1.1350
771.2627	118.8508	263.7282	265.0072	2.5646	1.1557	1.1502
771.4151	119.6808	261.0664	263.7624	2.5468	1.1675	1.1556
771.5675	119.1432	260.0497	262.1253	2.5583	1.1721	1.1628
771.7199	119.6986	257.6475	260.5069	2.5464	1.1830	1.1700
771.8723	119.4887	257.2869	260.1915	2.5509	1.1847	1.1714
772.0247	119.4213	257.4284	259.6055	2.5523	1.1840	1.1741
772.1771	119.3405	253.0699	258.7612	2.5540	1.2044	1.1779
772.3295	118.2839	257.477	257.7632	2.5769	1.1838	1.1825
772.4819	118.8332	253.6753	257.2205	2.5649	1.2015	1.1850
