HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0076
BOTTOM:	815.9418
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
-0.0076	0.8196057	0.9787869
0.1448	2.050874	2.449188
0.2972	1.640353	1.958937
0.4496	2.37471	2.835918
0.6020	1.144803	1.367143
0.7544	1.963338	2.344651
0.9068	1.228234	1.466778
1.0592	2.86573	3.422302
1.2116	2.049325	2.447338
1.3640	2.866388	3.423089
1.5164	1.227149	1.465482
1.6688	0.8185455	0.9775208
1.8212	1.233325	1.472857
1.9736	2.865029	3.421465
2.1260	2.864905	3.421318
2.2784	2.093798	2.500449
2.4308	1.564663	1.868547
2.5832	1.564663	1.868547
2.7356	1.513211	1.807102
2.8880	0.8184392	0.9773938
3.0404	1.228006	1.466505
3.1928	1.227852	1.466322
3.3452	1.637815	1.955906
3.4976	1.966199	2.348068
3.6500	1.557659	1.860182
3.8024	1.199753	1.432765
3.9548	1.278154	1.526392
4.1072	2.097606	2.504996
4.2596	1.635898	1.953617
4.4120	0.8195799	0.978756
4.5644	0.8195799	0.978756
4.7168	1.228756	1.467401
4.8692	1.637359	1.955362
5.0216	0.8182163	0.9771276
5.1740	0.8176969	0.9765073
5.3264	0.4091235	0.4885822
5.4788	0.8187316	0.977743
5.6312	0.4101084	0.4897583
5.7836	0.8202634	0.9795722
5.9360	0.8195823	0.9787589
6.0884	0.8196967	0.9788955
6.2408	1.227325	1.465692
6.3932	1.228422	1.467002
6.5456	1.636348	1.954154
6.6980	0.8182816	0.9772056
6.8504	1.226646	1.464881
7.0028	1.22769	1.466128
7.1552	1.638145	1.9563
7.3076	2.455332	2.932199
7.4600	2.455997	2.932993
7.6124	2.413046	2.8817
7.7648	0.7778643	0.9289386
7.9172	0.7771833	0.9281253
8.0696	0.8191189	0.9782056
8.2220	1.636542	1.954386
8.3744	2.865396	3.421904
8.5268	2.456111	2.933128
8.6792	2.457201	2.934431
8.8316	1.228216	1.466756
8.9840	1.637115	1.95507
9.1364	1.639161	1.957514
9.2888	3.276283	3.912592
9.4412	3.68659	4.402588
9.5936	3.275723	3.911923
9.7460	1.63688	1.954789
9.8984	0.8183084	0.9772376
10.0508	0.8188982	0.9779419
10.2032	0.8194115	0.9785549
10.3556	1.636165	1.953935
10.5080	2.046131	2.443524
10.6604	2.740609	3.272881
10.8128	2.3338	2.787063
10.9652	2.740379	3.272606
11.1176	1.637115	1.95507
11.2700	1.63711	1.955064
11.4224	0.8197332	0.9789391
11.5748	1.228009	1.466509
11.7272	1.228463	1.467051
11.8796	1.636387	1.9542
12.0320	2.046121	2.443512
12.1844	1.636181	1.953954
12.3368	1.227325	1.465692
12.4892	1.227325	1.465692
12.6416	1.227375	1.465752
12.7940	1.636031	1.953776
12.9464	0.8185683	0.9775479
13.0988	1.227325	1.465692
13.2512	1.227325	1.465692
13.4036	1.637115	1.95507
13.5560	1.636815	1.954712
13.7084	1.229138	1.467857
13.8608	1.637062	1.955006
14.0132	3.276861	3.913282
14.1656	2.867168	3.424021
14.3180	2.866933	3.42374
14.4704	1.22911	1.467824
14.6228	1.228643	1.467266
14.7752	0.8188983	0.977942
14.9276	0.8192458	0.9783571
15.0800	1.228505	1.467101
15.2324	1.637791	1.955877
15.3848	1.228544	1.467147
15.5372	0.8198764	0.9791101
15.6896	1.230173	1.469093
15.8420	1.965416	2.347133
15.9944	2.425679	2.896787
16.1468	1.196393	1.428753
16.2992	0.8697845	1.038711
16.4516	0.409913	0.489525
16.6040	0.4097484	0.4893284
16.7564	-0.0000005	-0.0000006
16.9088	-0.0000005	-0.0000006
17.0612	0.001482093	0.00176994
17.2136	1.229339	1.468097
17.3660	1.229651	1.46847
17.5184	2.046712	2.444217
17.6708	0.8186575	0.9776545
17.8232	1.226583	1.464806
17.9756	0.8182188	0.9771305
18.1280	0.8182195	0.9771315
18.2804	0.8203576	0.9796847
18.4328	1.63485	1.952365
18.5852	2.864444	3.420766
18.7376	2.822169	3.370282
18.8900	1.596427	1.90648
19.0424	0.3681241	0.43962
19.1948	0.4097879	0.4893756
19.3472	0.4100617	0.4897025
19.4996	1.228006	1.466506
19.6520	1.228006	1.466506
19.8044	1.228006	1.466506
19.9568	0.4098737	0.489478
20.1092	0.8184518	0.9774088
20.2616	1.229931	1.468805
20.4140	3.269561	3.904564
20.5664	2.861757	3.417557
20.7188	3.268059	3.902771
20.8712	1.638444	1.956658
21.0236	4.091863	4.886571
21.1760	5.319034	6.352079
21.3284	5.318301	6.351204
21.4808	2.863027	3.419074
21.6332	0.818898	0.9779417
21.7856	0.818898	0.9779417
21.9380	0.8196598	0.9788514
22.0904	1.22824	1.466785
22.2428	1.63818	1.956342
22.3952	2.046227	2.443638
22.5476	2.046877	2.444415
22.7000	1.637114	1.955069
22.8524	1.636418	1.954238
23.0048	2.456018	2.933018
23.1572	2.456018	2.933018
23.3096	3.847228	4.594424
23.4620	2.618275	3.126787
23.6144	2.667003	3.18498
23.7668	0.869877	1.038822
23.9192	1.689117	2.017172
24.0716	1.637774	1.955858
24.2240	1.596559	1.906637
24.3764	0.7777355	0.9287847
24.5288	0.7783949	0.9295723
24.6812	0.4101392	0.4897951
24.8336	1.228332	1.466894
24.9860	1.638337	1.956529
25.1384	3.272755	3.908379
25.2908	3.27262	3.908218
25.4432	2.454103	2.93073
25.5956	1.639066	1.9574
25.7480	2.861486	3.417234
25.9004	2.861652	3.417433
26.0528	2.450142	2.926001
26.2052	0.4094812	0.4890093
26.3576	0.8199444	0.9791912
26.5100	1.637154	1.955116
26.6624	2.455332	2.932198
26.8148	2.454367	2.931046
26.9672	1.227063	1.465379
27.1196	0.4098536	0.4894541
27.2720	0.4099078	0.4895187
27.4244	0.8193005	0.9784223
27.5768	2.459695	2.937409
27.7292	2.050409	2.448633
27.8816	2.051418	2.449838
28.0340	0.4102256	0.4898983
28.1864	1.229	1.467693
28.3388	0.8200992	0.9793763
28.4912	1.229385	1.468152
28.6436	1.637447	1.955466
28.7960	2.455014	2.931819
28.9484	2.044607	2.441704
29.1008	1.228079	1.466592
29.2532	0.8188975	0.9779412
29.4056	0.8188975	0.9779412
29.5580	0.8184819	0.9774448
29.7104	0.4098773	0.4894824
29.8628	2.051687	2.450158
30.0152	2.051005	2.449344
30.1676	2.050271	2.448468
30.3200	1.22681	1.465076
30.4724	0.8182265	0.9771398
30.6248	1.227325	1.465692
30.7772	1.228688	1.46732
30.9296	1.228225	1.466767
31.0820	0.8196203	0.9788043
31.2344	0.920876	1.099725
31.3868	0.9211374	1.100038
31.5392	1.330972	1.589469
31.6916	1.635007	1.952553
31.8440	2.456141	2.933165
31.9964	3.272933	3.908592
32.1488	2.04791	2.445649
32.3012	1.634902	1.952427
32.4536	0.4091073	0.4885628
32.6060	0.4092647	0.4887508
32.7584	0.8182157	0.9771268
32.9108	0.8182157	0.9771268
33.0632	0.8182157	0.9771268
33.2156	0.0003163246	0.0003777601
33.3680	1.229627	1.468441
33.5204	1.640379	1.958968
33.6728	2.864156	3.420424
33.8252	2.455971	2.932961
33.9776	2.045621	2.442914
34.1300	0.8205886	0.9799607
34.2824	0.4094411	0.4889614
34.4348	1.22801	1.46651
34.5872	1.637117	1.955072
34.7396	1.637491	1.95552
34.8920	1.22846	1.467047
35.0444	1.637064	1.95501
35.1968	1.227904	1.466383
35.3492	0.8182145	0.9771254
35.5016	0.8173102	0.9760454
35.6540	1.278044	1.526262
35.8064	2.752568	3.287162
35.9588	1.935583	2.311505
36.1112	1.473591	1.759787
36.2636	0.4096093	0.4891623
36.4160	0.8188949	0.9779379
36.5684	1.227177	1.465516
36.7208	0.8179174	0.9767706
36.8732	0.4084273	0.4877507
37.0256	0.4084273	0.4877507
37.1780	0.8689629	1.03773
37.3304	1.278409	1.526697
37.4828	0.8713719	1.040607
37.6352	2.045919	2.44327
37.7876	2.865893	3.422498
37.9400	3.683432	4.398816
38.0924	2.455999	2.932996
38.2448	1.636618	1.954476
38.3972	1.228694	1.467327
38.5496	2.044866	2.442013
38.7020	2.044865	2.442013
38.8544	2.043854	2.440805
39.0068	1.741545	2.079782
39.1592	1.740048	2.077995
39.3116	1.330483	1.588885
39.4640	0.4096097	0.4891628
39.6164	1.636102	1.953861
39.7688	2.456013	2.933012
39.9212	2.455438	2.932325
40.0736	1.228344	1.466909
40.2260	0.8194521	0.9786034
40.3784	1.279324	1.52779
40.5308	1.278516	1.526825
40.6832	0.8694115	1.038266
40.8356	1.636195	1.953971
40.9880	2.045478	2.442744
41.1404	3.27269	3.908301
41.2928	2.455808	2.932767
41.4452	3.270051	3.90515
41.5976	2.453523	2.930038
41.7500	2.452467	2.928777
41.9024	0.8187095	0.9777166
42.0548	0.4091075	0.4885631
42.2072	0.4097888	0.4893767
42.3596	0.4097888	0.4893767
42.5120	0.8187613	0.9777785
42.6644	0.4093936	0.4889047
42.8168	0.8182161	0.9771274
42.9692	0.8188971	0.9779407
43.1216	1.637114	1.955069
43.2740	1.637114	1.955069
43.4264	1.636529	1.95437
43.5788	1.739063	2.076818
43.7312	1.698796	2.02873
43.8836	4.051905	4.838852
44.0360	3.540399	4.228003
44.1884	3.579711	4.274951
44.3408	2.046296	2.443721
44.4932	2.455463	2.932355
44.6456	2.864557	3.420902
44.7980	2.046473	2.443932
44.9504	1.638549	1.956783
45.1028	1.637035	1.954974
45.2552	1.228005	1.466505
45.4076	1.226943	1.465236
45.5600	0.8183383	0.9772733
45.7124	2.20215	2.629845
45.8648	2.609872	3.116753
46.0172	2.610759	3.117813
46.1696	2.865329	3.421823
46.3220	2.457403	2.934672
46.4744	2.457125	2.93434
46.6268	1.637798	1.955886
46.7792	1.637799	1.955887
46.9316	1.638482	1.956703
47.0840	0.8189021	0.9779466
47.2364	0.8198637	0.9790949
47.3888	1.331116	1.589641
47.5412	2.558972	3.055968
47.6936	2.150241	2.567853
47.8460	2.047412	2.445053
47.9984	1.637796	1.955883
48.1508	1.637796	1.955883
48.3032	1.637796	1.955883
48.4556	2.660215	3.176873
48.6080	3.479824	4.155663
48.7604	3.887176	4.64213
48.9128	2.457659	2.934977
49.0652	2.046015	2.443385
49.2176	0.8193436	0.9784738
49.3700	1.633715	1.95101
49.5224	1.635075	1.952634
49.6748	2.453273	2.92974
49.8272	2.046435	2.443887
49.9796	2.556989	3.053599
50.1320	2.150296	2.56792
50.2844	3.37611	4.031807
50.4368	3.682656	4.39789
50.5892	3.681579	4.396604
50.7416	2.046645	2.444137
50.8940	2.457973	2.935353
51.0464	2.866552	3.423284
51.1988	3.276737	3.913135
51.3512	2.863177	3.419254
51.5036	2.967436	3.543762
51.6560	2.966107	3.542175
51.8084	2.968269	3.544756
51.9608	3.27255	3.908134
52.1132	2.864437	3.420759
52.2656	2.862401	3.418327
52.4180	2.454656	2.931392
52.5704	2.454656	2.931392
52.7228	2.454241	2.930895
52.8752	2.044955	2.442119
53.0276	2.044867	2.442014
53.1800	2.049162	2.447144
53.3324	2.456473	2.933562
53.4848	2.968656	3.545219
53.6372	2.14856	2.565846
53.7896	1.740457	2.078483
53.9420	0.818529	0.977501
54.0944	1.228225	1.466767
54.2468	0.8196206	0.9788046
54.3992	2.458521	2.936007
54.5516	1.63942	1.957823
54.7040	2.046766	2.444282
54.8564	1.228194	1.46673
55.0088	3.069762	3.665962
55.1612	3.071748	3.668333
55.3136	4.29279	5.126522
55.4660	3.272882	3.90853
55.6184	3.272177	3.907688
55.7708	1.638849	1.957142
55.9232	0.8199874	0.9792426
56.0756	3.172655	3.788837
56.2280	3.989864	4.764762
56.3804	5.625889	6.718531
56.5328	3.684107	4.399623
56.6852	4.910258	5.863912
56.8376	4.501653	5.37595
56.9900	7.370142	8.801546
57.1424	7.778583	9.289314
57.2948	6.549023	7.820952
57.4472	3.26984	3.904897
57.5996	0.8228078	0.9826109
57.7520	2.450813	2.926802
57.9044	2.863501	3.419641
58.0568	3.272775	3.908403
58.2092	2.868411	3.425505
58.3616	2.461133	2.939126
58.5140	2.051873	2.450381
58.6664	1.241581	1.482717
58.8188	2.181336	2.604988
58.9712	2.999563	3.582128
59.1236	3.41857	4.082514
59.2760	2.879056	3.438216
59.4284	2.069432	2.47135
59.5808	1.698666	2.028576
59.7332	2.877656	3.436545
59.8856	4.498525	5.372213
60.0380	6.872451	8.207196
60.1904	6.564856	7.83986
60.3428	7.337409	8.762457
60.4952	8.931023	10.66558
60.6476	10.51248	12.55418
60.8000	10.58432	12.63997
60.9524	7.873732	9.402942
61.1048	5.836712	6.970299
61.2572	3.405224	4.066576
61.4096	1.729239	2.065085
61.5620	1.253477	1.496923
61.7144	1.22937	1.468134
61.8668	1.611953	1.925022
62.0192	1.637799	1.955887
62.1716	2.113762	2.52429
62.3240	2.150151	2.567747
62.4764	1.768454	2.111918
62.6288	1.26589	1.511747
62.7812	1.605008	1.916727
62.9336	3.383101	4.040155
63.0860	3.908559	4.667666
63.2384	4.318875	5.157673
63.3908	2.61673	3.124943
63.5432	3.202882	3.824936
63.6956	2.52968	3.020985
63.8480	2.455332	2.932198
64.0004	2.455332	2.932198
64.1528	3.332189	3.979356
64.3052	3.427471	4.093143
64.4576	2.323213	2.77442
64.6100	0.9610137	1.147659
64.7624	1.548187	1.848871
64.9148	2.000314	2.388809
65.0672	3.135441	3.744396
65.2196	2.591105	3.094341
65.3720	2.142419	2.558512
65.5244	2.458883	2.936439
65.6768	2.821115	3.369022
65.8292	2.864358	3.420664
65.9816	1.787012	2.13408
66.1340	0.9221252	1.101217
66.2864	0.4614775	0.5511042
66.4388	0.05278581	0.06303769
66.5912	0.3552492	0.4242445
66.7436	0.7632011	0.9114275
66.8960	1.171741	1.399313
67.0484	1.228007	1.466506
67.2008	1.581018	1.888079
67.3532	1.28712	1.5371
67.5056	1.578306	1.884839
67.6580	1.288175	1.53836
67.8104	2.010335	2.400776
67.9628	1.801425	2.151292
68.1152	1.739201	2.076983
68.2676	2.690506	3.213047
68.4200	4.592719	5.484701
68.5724	5.259033	6.280426
68.7248	3.610071	4.311207
68.8772	2.250387	2.68745
69.0296	2.046228	2.44364
69.1820	3.198699	3.81994
69.3344	2.752466	3.287041
69.4868	1.937218	2.313458
69.6392	1.411726	1.685907
69.7916	1.665937	1.98949
69.9440	3.41694	4.080567
70.0964	3.700824	4.419586
70.2488	3.683086	4.398403
70.4012	2.019596	2.411835
70.5536	2.964653	3.540439
70.7060	4.267556	5.096387
70.8584	6.813251	8.136498
71.0108	8.681751	10.36789
71.1632	10.68902	12.76501
71.3156	12.08244	14.42905
71.4680	11.35807	13.564
71.6204	10.73339	12.818
71.7728	10.31605	12.3196
71.9252	12.17142	14.53532
72.0776	11.39821	13.61193
72.2300	11.05206	13.19856
72.3824	9.447252	11.28207
72.5348	9.966359	11.90199
72.6872	8.637241	10.31474
72.8396	8.180675	9.769498
72.9920	9.211137	11.00009
73.1444	11.73002	14.00819
73.2968	11.75276	14.03534
73.4492	10.23677	12.22492
73.6016	7.63574	9.118729
73.7540	8.216893	9.812751
73.9064	8.594017	10.26312
74.0588	9.216784	11.00684
74.2112	8.481445	10.12868
74.3636	10.34932	12.35933
74.5160	12.31947	14.71212
74.6684	12.43127	14.84563
74.8208	10.18915	12.16805
74.9732	8.816616	10.52895
75.1256	9.816166	11.72263
75.2780	10.84193	12.94762
75.4304	11.36438	13.57153
75.5828	9.655878	11.53121
75.7352	8.411695	10.04539
75.8876	7.883293	9.414361
76.0400	9.868384	11.78499
76.1924	10.04439	11.99518
76.3448	12.20372	14.57389
76.4972	11.91135	14.22473
76.6496	12.93117	15.44262
76.8020	12.62263	15.07416
76.9544	14.03712	16.76337
77.1068	15.02774	17.94638
77.2592	13.97619	16.6906
77.4116	11.76543	14.05048
77.5640	10.76193	12.85208
77.7164	12.95773	15.47434
77.8688	14.78115	17.6519
78.0212	13.99857	16.71733
78.1736	12.36583	14.76749
78.3260	11.5874	13.83787
78.4784	12.88711	15.39
78.6308	12.08964	14.43766
78.7832	12.02514	14.36063
78.9356	11.15221	13.31816
79.0880	12.61338	15.06311
79.2404	12.95047	15.46566
79.3928	14.65217	17.49786
