HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0336
BOTTOM:	820.0310
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
-0.0336	3.478933	2.666845
0.1188	3.683168	2.82387
0.2712	3.070261	2.353569
0.4236	2.865488	2.196596
0.5760	2.455561	1.882358
0.7284	2.081624	1.595973
0.8808	1.264414	0.9692613
1.0332	1.263018	0.9681908
1.1856	1.194565	0.9160947
1.3380	1.399143	1.072541
1.4904	1.002213	0.7683922
1.6428	1.036051	0.7940741
1.7952	1.036089	0.794234
1.9476	1.228728	0.9422159
2.1000	1.227888	0.9412618
2.2524	1.43185	1.097839
2.4048	1.432607	1.098193
2.5572	1.637155	1.255407
2.7096	1.637627	1.255355
2.8620	2.249853	1.724669
3.0144	1.63687	1.254775
3.1668	1.660413	1.273452
3.3192	1.047601	0.8030594
3.4716	1.047237	0.8029122
3.6240	1.023497	0.7847113
3.7764	1.433345	1.098758
3.9288	1.842177	1.412157
4.0812	1.433463	1.099031
4.2336	1.636403	1.255038
4.3860	1.637518	1.255272
4.5384	2.455713	1.882786
4.6908	2.45726	1.883661
4.8432	2.251936	1.726551
4.9956	1.638237	1.256237
5.1480	1.023436	0.784794
5.3004	0.8190691	0.6280029
5.4528	1.024111	0.7850523
5.6052	1.636337	1.254366
5.7576	1.841027	1.411276
5.9100	1.841404	1.411855
6.0624	1.252178	0.9598818
6.2148	1.662145	1.27415
6.3672	1.25251	0.9601363
6.5196	1.84245	1.412366
6.6720	1.992502	1.527644
6.8244	2.197145	1.684959
6.9768	1.58364	1.214571
7.1292	1.047738	0.8031641
7.2816	1.252027	0.9597657
7.4340	1.456221	1.116295
7.5864	1.227757	0.9411612
7.7388	1.023093	0.7842715
7.8912	0.6143578	0.4709481
8.0436	1.229629	0.9429069
8.1960	2.251141	1.726012
8.3484	3.274263	2.50995
8.5008	2.863798	2.195301
8.6532	2.86318	2.195551
8.8056	2.046651	1.568901
8.9580	2.864393	2.196481
9.1104	2.250979	1.725532
9.2628	2.86341	2.195728
9.4152	2.251772	1.72614
9.5676	2.86468	2.196339
9.7200	2.046888	1.569859
9.8724	1.636294	1.254333
10.0248	0.6144016	0.4711368
10.1772	1.023687	0.7847277
10.3296	1.228393	0.9416486
10.4820	1.63781	1.255495
10.6344	2.45723	1.883638
10.7868	2.661533	2.04025
10.9392	2.481628	1.902969
11.0916	2.015404	1.544948
11.2440	2.221253	1.703096
11.3964	2.196636	1.683875
11.5488	2.096033	1.607285
11.7012	1.685537	1.292508
11.8536	1.685306	1.291905
12.0060	1.227186	0.9407238
12.1584	1.023224	0.7843727
12.3108	0.6140445	0.4708632
12.4632	0.8185968	0.627615
12.6156	0.8190553	0.6279663
12.7680	1.431962	1.097699
12.9204	1.023198	0.7844821
13.0728	1.432889	1.098409
13.2252	1.228515	0.9418976
13.3776	1.432738	1.09852
13.5300	1.228095	0.9414206
13.6824	1.023518	0.784857
13.8348	1.227944	0.9413047
13.9872	1.023506	0.784847
14.1396	1.432111	1.097812
14.2920	1.432262	1.098291
14.4444	2.045658	1.568139
14.5968	2.249832	1.725222
14.7492	1.841568	1.412156
14.9016	1.023249	0.7843919
15.0540	0.4095396	0.3139924
15.2064	0.6150166	0.4714531
15.3588	1.637357	1.255355
15.5112	1.841659	1.41176
15.6636	1.841684	1.41207
15.8160	1.637155	1.254993
15.9684	1.637923	1.255375
16.1208	2.527957	1.937855
16.2732	1.914623	1.467934
16.4256	1.710081	1.310896
16.5780	0.8188751	0.6278286
16.7304	1.195578	0.9169471
16.8828	1.423717	1.091739
17.0352	1.423603	1.091651
17.1876	0.8420104	0.6454596
17.3400	0.8191387	0.6279268
17.4924	1.023441	0.7845387
17.6448	2.659926	2.039691
17.7972	2.659826	2.038942
17.9496	2.454494	1.882316
18.1020	1.432982	1.098481
18.2544	1.022812	0.7841861
18.4068	0.8180321	0.6271821
18.5592	0.2047435	0.1569501
18.7116	0.4093864	0.3138231
18.8640	0.6133367	0.4701653
19.0164	1.432944	1.098632
19.1688	1.432603	1.09819
19.3212	1.433082	1.098557
19.4736	1.228439	0.9416841
19.6260	1.637543	1.255705
19.7784	2.046727	1.568959
19.9308	2.299374	1.763212
20.0832	2.503677	1.919243
20.2356	1.890438	1.44963
20.3880	2.045849	1.569061
20.5404	1.841667	1.411766
20.6928	2.250952	1.725796
20.8452	2.046632	1.569209
20.9976	2.046508	1.56879
21.1500	1.637061	1.254921
21.3024	2.045723	1.568448
21.4548	1.841421	1.411344
21.6072	1.841323	1.411793
21.7596	1.43226	1.097927
21.9120	1.432433	1.09806
22.0644	1.636395	1.254824
22.2168	1.841024	1.411273
22.3692	1.636886	1.255305
22.5216	1.841368	1.411537
22.6740	1.841368	1.412002
22.8264	2.251102	1.725626
22.9788	2.251064	1.726166
23.1312	1.842296	1.412248
23.2836	2.252038	1.726629
23.4360	2.456341	1.882956
23.5884	2.25184	1.726477
23.7408	2.251743	1.726687
23.8932	2.047286	1.569387
24.0456	2.047286	1.569646
24.1980	1.43193	1.097674
24.3504	1.431919	1.097666
24.5028	1.433044	1.098528
24.6552	2.047745	1.569739
24.8076	1.843443	1.413127
24.9600	2.047348	1.569953
25.1124	2.323732	1.781596
25.2648	2.323141	1.780849
25.4172	1.710233	1.311013
25.5696	0.8182561	0.6272502
25.7220	0.8186421	0.6277531
25.8744	1.637837	1.255516
26.0268	1.637837	1.255723
26.1792	1.228738	0.9419129
26.3316	0.6137018	0.4705228
26.4840	0.6144352	0.4710851
26.6364	1.639064	1.256664
26.7888	2.456274	1.882905
26.9412	2.04715	1.569606
27.0936	1.43248	1.098277
27.2460	1.229027	0.9421351
27.3984	2.250539	1.72548
27.5508	2.455693	1.882848
27.7032	2.250968	1.725808
27.8556	1.841708	1.411798
28.0080	1.432422	1.098413
28.1604	1.227711	0.9411258
28.3128	1.023151	0.7846399
28.4652	1.023168	0.7843295
28.6176	1.04692	0.8026692
28.7700	1.04692	0.8025368
28.9224	1.455638	1.116032
29.0748	1.227705	0.9413155
29.2272	1.22751	0.9409719
29.3796	1.023208	0.7846186
29.5320	1.842713	1.412567
29.6844	1.638083	1.255912
29.8368	1.433623	1.098972
29.9892	1.433623	1.098972
30.1416	1.638171	1.255772
30.2940	1.638177	1.256191
30.4464	1.638322	1.255888
30.5988	1.843391	1.413669
30.7512	2.456298	1.882923
30.9036	1.636814	1.255146
31.0560	1.636576	1.254549
31.2084	1.2279	0.9412705
31.3608	1.432543	1.098144
31.5132	1.023134	0.7843035
31.6656	0.8190324	0.6279489
31.8180	1.024341	0.7852287
31.9704	1.637587	1.255739
32.1228	2.046589	1.568853
32.2752	2.046468	1.569019
32.4276	1.637495	1.255254
32.5800	1.636838	1.25475
32.7324	1.022909	0.7842604
32.8848	1.636388	1.254405
33.0372	1.227482	0.9411057
33.1896	1.431532	1.097368
33.3420	1.022927	0.7841445
33.4944	1.637853	1.255528
33.6468	1.842407	1.412916
33.7992	1.879187	1.440528
33.9516	1.877825	1.439721
34.1040	2.696008	2.066678
34.2564	3.06999	2.353749
34.4088	2.865217	2.196388
34.5612	2.45814	1.884647
34.7136	4.095283	3.140355
34.8660	4.300151	3.296365
35.0184	4.503842	3.452508
35.1708	3.070205	2.353526
35.3232	2.865903	2.197639
35.4756	2.047562	1.569599
35.6280	1.227954	0.9411569
35.7804	1.023659	0.7847058
35.9328	1.227961	0.9417056
36.0852	1.637817	1.255501
36.2376	2.251433	1.726449
36.3900	2.046661	1.569167
36.5424	1.637217	1.255041
36.6948	1.696566	1.30075
36.8472	1.901771	1.457599
36.9996	1.696077	1.300376
37.1520	0.8193195	0.6280654
37.3044	1.227243	0.9407673
37.4568	1.227394	0.940883
37.6092	1.637314	1.255115
37.7616	1.228885	0.9421813
37.9140	1.841792	1.412327
38.0664	1.227395	0.9408838
38.2188	1.02302	0.7844749
38.3712	0.6143242	0.4708445
38.5236	1.024264	0.78517
38.6760	1.432528	1.098495
38.8284	1.841828	1.411889
38.9808	2.456394	1.882997
39.1332	2.455822	1.882559
39.2856	1.842915	1.412956
39.4380	1.251894	0.9596636
39.5904	1.22015	0.9353299
39.7428	1.665511	1.27673
39.8952	1.232404	0.9447238
40.0476	1.060299	0.812793
40.2000	0.6145117	0.4709882
40.3524	1.024313	0.7855306
40.5048	1.227831	0.9413731
40.6572	1.023528	0.7848645
40.8096	0.8185963	0.6275111
40.9620	0.8190535	0.6280686
41.1144	1.637382	1.255167
41.2668	2.249948	1.725027
41.4192	1.853266	1.420657
41.5716	1.444096	1.107183
41.7240	1.24079	0.9511515
41.8764	1.411573	1.082069
42.0288	1.207104	0.9253295
42.1812	0.7971094	0.6112414
42.3336	1.276428	0.9786322
42.4860	1.276643	0.9786357
42.6384	1.481626	1.136004
42.7908	1.228121	0.9414403
42.9432	1.637381	1.255787
43.0956	2.04751	1.56956
43.2480	2.660418	2.040236
43.4004	2.456016	1.883018
43.5528	1.840933	1.411669
43.7052	0.8309715	0.6369974
43.8576	1.445581	1.108138
44.0100	1.821733	1.396255
44.1624	2.62834	2.014805
44.3148	3.447417	2.642685
44.4672	3.070354	2.354029
44.6196	2.048842	1.57084
44.7720	0.614541	0.4710884
44.9244	1.492472	1.144083
45.0768	2.312164	1.772435
45.2292	2.924391	2.242119
45.3816	1.842379	1.412311
45.5340	1.637147	1.255194
45.6864	0.8199271	0.6284015
45.8388	1.637137	1.254979
45.9912	1.842376	1.412309
46.1436	2.046944	1.569125
46.2960	2.046669	1.569238
46.4484	1.636273	1.254317
46.6008	1.444221	1.107279
46.7532	1.445583	1.107957
46.9056	1.650429	1.26496
47.0580	2.25206	1.72636
47.2104	2.865988	2.19698
47.3628	3.275292	2.510739
47.5152	3.274776	2.511172
47.6676	2.04542	1.567957
47.8200	1.84248	1.412622
47.9724	1.433312	1.098733
48.1248	2.251377	1.725837
48.2772	1.841436	1.411589
48.4296	2.45576	1.882511
48.5820	1.842853	1.412675
48.7344	2.082938	1.596717
48.8868	2.083031	1.597052
49.0392	2.255749	1.729189
49.1916	2.473446	1.89646
49.3440	2.267335	1.73807
49.4964	3.935528	3.017354
49.6488	3.683037	2.82377
49.8012	3.683037	2.82377
49.9536	1.842194	1.41217
50.1060	2.866822	2.198344
50.2584	3.889431	2.98152
50.4108	4.092796	3.138448
50.5632	3.06856	2.352265
50.7156	2.250105	1.725716
50.8680	2.070615	1.587271
51.0204	3.007153	2.305573
51.1728	2.394927	1.836181
51.3252	3.043257	2.332868
51.4776	2.516665	1.929518
51.6300	2.925197	2.242367
51.7824	3.274453	2.51051
51.9348	2.659295	2.038535
52.0872	2.86521	2.196383
52.2396	1.843	1.412788
52.3920	2.252259	1.727082
52.5444	2.661545	2.039923
52.6968	3.684302	2.824857
52.8492	3.070303	2.353601
53.0016	2.251342	1.726379
53.1540	2.455644	1.882422
53.3064	2.864828	2.19609
53.4588	3.069466	2.353348
53.6112	2.456082	1.882758
53.7636	2.492835	1.911247
53.9160	1.877879	1.439525
54.0684	1.264152	0.9692205
54.2208	1.228387	0.941644
54.3732	1.228804	0.9419636
54.5256	1.637409	1.255188
54.6780	1.842551	1.413142
54.8304	2.863124	2.195146
54.9828	2.864302	2.196592
55.1352	2.658638	2.038031
55.2876	2.457744	1.884654
55.4400	2.04745	1.569513
55.5924	2.455605	1.882081
55.7448	1.432391	1.098027
55.8972	2.866734	2.197914
56.0496	2.457814	1.884397
56.2020	2.662101	2.040686
56.3544	2.336828	1.79171
56.5068	3.154037	2.418188
56.6592	3.769228	2.889375
56.8116	3.683699	2.823812
56.9640	4.2985	3.296185
57.1164	5.935644	4.550084
57.2688	5.527049	4.238266
57.4212	3.890009	2.981963
57.5736	2.251656	1.72662
57.7260	2.456982	1.883447
57.8784	3.274192	2.509895
58.0308	3.069153	2.352719
58.1832	2.251027	1.725854
58.3356	2.047225	1.569341
58.4880	2.661154	2.04038
58.6404	3.274953	2.510479
58.7928	3.274765	2.510335
58.9452	2.912319	2.232495
59.0976	2.299412	1.762659
59.2500	2.094649	1.606688
59.4024	2.252403	1.726624
59.5548	3.683408	2.824055
59.7072	3.275072	2.510571
59.8596	3.681974	2.823421
60.0120	4.505157	3.453517
60.1644	6.346174	4.866388
60.3168	7.162064	5.49022
60.4692	5.367919	4.114883
60.6216	4.753734	3.645271
60.7740	3.938415	3.019069
60.9264	4.706453	3.607823
61.0788	3.889243	2.981375
61.2312	3.886551	2.980786
61.3836	2.86498	2.196207
61.5360	3.272846	2.509691
61.6884	1.843891	1.413471
61.8408	3.477288	2.666463
61.9932	2.659461	2.038661
62.1456	3.477531	2.666319
62.2980	1.434716	1.09981
62.4504	2.864833	2.196094
62.6028	2.696071	2.066726
62.7552	2.900182	2.223559
62.9076	2.084533	1.59794
63.0600	2.595053	1.989617
63.2124	2.619764	2.008231
63.3648	2.413376	1.850021
63.5172	2.070251	1.586991
63.6696	2.25093	1.725495
63.8220	2.046628	1.5694
63.9744	1.637443	1.255214
64.1268	1.43273	1.098106
64.2792	1.637767	1.255462
64.4316	2.250674	1.725583
64.5840	2.455659	1.882433
64.7364	2.046527	1.569064
64.8888	1.891827	1.450217
65.0412	2.708015	2.075882
65.1936	4.140192	3.173745
65.3460	4.502124	3.451761
65.4984	4.092252	3.136997
65.6508	2.865158	2.197429
65.8032	2.250208	1.724941
65.9556	1.841947	1.412446
66.1080	1.4331	1.098753
66.2604	1.687168	1.293758
66.4128	2.299054	1.762748
66.5652	3.117358	2.390067
66.7176	2.659042	2.038341
66.8700	2.251118	1.725924
67.0224	1.810611	1.388188
67.1748	2.424112	1.85825
67.3272	2.218361	1.700528
67.4796	2.661252	2.040036
67.6320	3.067225	2.353178
67.7844	2.658962	2.038616
67.9368	2.044075	1.568217
68.0892	1.432943	1.098451
68.2416	1.433613	1.099326
68.3940	2.456827	1.883329
68.5464	3.275346	2.511298
68.6988	3.683998	2.824041
68.8512	2.862723	2.1952
69.0036	1.615641	1.238501
69.1560	1.206071	0.9245377
69.3084	1.002131	0.7683619
69.4608	0.8195044	0.6281035
69.6132	1.583693	1.214011
69.7656	1.37871	1.056877
69.9180	1.788778	1.371223
70.0704	1.637609	1.255342
70.2228	1.820153	1.395734
70.3752	1.206224	0.924655
70.5276	1.00275	0.7686773
70.6800	2.749792	2.107907
70.8324	7.01529	5.378818
70.9848	8.915085	6.835162
71.1372	11.82439	9.064216
71.2896	12.47614	9.56225
71.4420	13.05474	10.00737
71.5944	10.33978	7.924853
71.7468	8.293348	6.360575
71.8992	8.298203	6.362199
72.0516	9.267628	7.103108
72.2040	9.46747	7.257477
72.3564	9.655955	7.404404
72.5088	8.495844	6.512656
72.6612	7.75479	5.945566
72.8136	8.349634	6.397932
72.9660	8.1526	6.250566
73.1184	9.122053	6.992688
73.2708	9.12248	6.991861
73.4232	10.28522	7.884337
73.5756	9.897241	7.586924
73.7280	9.488636	7.2737
73.8804	9.682672	7.422441
74.0328	10.45672	8.015799
74.1852	8.144519	6.241281
74.3376	8.535728	6.545927
74.4900	7.56646	5.799259
74.6424	9.062238	6.949128
74.7948	9.440572	7.238051
74.9472	10.6087	8.135661
75.0996	11.83646	9.076463
75.2520	13.00585	9.969884
75.4044	11.64345	8.925513
75.5568	12.46065	9.553524
75.7092	12.07331	9.251207
75.8616	12.07311	9.257934
76.0140	11.43937	8.77052
76.1664	9.458143	7.252715
76.3188	11.00749	8.438007
76.4712	10.62013	8.143755
76.6236	11.05256	8.472558
76.7760	10.66913	8.179979
76.9284	11.05006	8.470641
77.0808	11.24411	8.620817
77.2332	10.82901	8.302559
77.3856	11.2238	8.603823
77.5380	12.19392	9.350568
77.6904	13.37946	10.2512
77.8428	12.40268	9.513785
77.9952	11.04494	8.468114
78.1476	9.882011	7.576498
78.3000	9.695445	7.430699
78.4524	11.49409	8.812472
78.6048	12.07535	9.255071
78.7572	11.23803	8.614729
78.9096	11.18462	8.573792
79.0620	10.7968	8.273759
79.2144	12.6034	9.661381
79.3668	10.85939	8.325855
79.5192	11.63538	8.921168
79.6716	12.48224	9.566925
79.8240	14.41363	11.04905
79.9764	15.00364	11.50133
