HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	820.9451
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
740.1731	16.16746	19.32903
740.3255	16.16769	19.32931
740.4779	16.77822	20.06902
740.6303	16.77129	20.06072
740.7827	14.80888	17.71028
740.9351	16.65384	19.92376
741.0875	16.45201	19.67359
741.2399	15.35215	18.36649
741.3923	13.09513	15.65521
741.5447	11.6661	13.94929
741.6971	11.8954	14.23102
741.8495	11.69321	13.97985
742.0019	14.55285	17.41024
742.1543	15.96046	19.08411
742.3067	17.59849	21.04643
742.4591	15.76116	18.85581
742.6115	15.9594	19.08283
742.7639	16.78323	20.08212
742.9163	17.60166	21.04649
743.0687	18.00945	21.54077
743.2211	15.95632	19.07238
743.3735	13.71564	16.40283
743.5259	11.66898	13.95273
743.6783	11.8704	14.19357
743.8307	12.73414	15.23444
743.9831	13.10344	15.67347
744.1355	13.51302	16.15766
744.2879	12.86372	15.38674
744.4403	14.53903	17.38756
744.5927	13.31103	15.91755
744.7451	15.34789	18.35164
744.8975	13.92158	16.65502
745.0499	14.94847	17.87722
745.2023	14.5308	17.38387
745.3547	15.7575	18.85144
745.5071	18.62633	22.27565
745.6595	18.01207	21.55249
745.8119	16.57982	19.8317
745.9643	15.34799	18.35744
746.1167	16.57694	19.82474
746.2691	18.2133	21.77785
746.4215	17.39298	20.8117
746.5739	18.18832	21.7499
746.7263	15.52999	18.56937
746.8787	15.3328	18.3336
747.0311	13.50936	16.15042
747.1835	14.5304	17.37723
747.3359	13.30144	15.90608
747.4883	14.121	16.88464
747.6407	12.28341	14.69261
747.7931	12.07671	14.45304
747.9455	10.25626	12.26462
748.0979	12.50955	14.96046
748.2503	14.55212	17.4063
748.4027	13.91505	16.63837
748.5551	15.75503	18.8418
748.7075	14.53831	17.38363
748.8599	14.94467	17.88295
749.0123	14.32662	17.13657
749.1647	13.70863	16.40027
749.3171	13.30212	15.91113
749.4695	12.79775	15.30715
749.6219	13.00228	15.55248
749.7743	12.59021	15.05425
749.9267	12.28212	14.68846
750.0791	13.29877	15.90149
750.2315	13.71193	16.39696
750.3839	13.09496	15.66887
750.5363	12.48822	14.9323
750.6887	11.2579	13.46835
750.8411	8.802899	10.52432
750.9935	8.185805	9.789593
751.1459	9.212789	11.01973
751.2983	11.45652	13.70112
751.4507	12.68728	15.17837
751.6031	14.17767	16.95765
751.7555	12.95585	15.49419
751.9079	13.56874	16.23291
752.0603	12.07616	14.44215
752.2127	13.09591	15.67002
752.3651	12.48178	14.92592
752.5175	12.27991	14.69103
752.6699	12.27991	14.69363
752.8223	12.35328	14.77358
752.9747	14.59852	17.46102
753.1271	14.80908	17.71052
753.2795	13.91716	16.64974
753.4319	13.91684	16.64641
753.5843	13.30367	15.9158
753.7367	15.75796	18.84781
753.8891	13.91978	16.64698
754.0415	15.14041	18.10675
754.1939	13.2985	15.90398
754.3463	14.12062	16.90063
754.4987	12.2581	14.66495
754.6511	13.48899	16.13751
754.8035	15.11851	18.09018
754.9559	14.94007	17.8735
755.1083	15.14325	18.11337
755.2607	13.51145	16.15722
755.4131	14.32586	17.12655
755.5655	12.48688	14.93069
755.7179	13.30216	15.91117
755.8703	12.68625	15.17043
756.0227	12.68238	15.16714
756.1751	12.55574	15.01836
756.3275	13.93655	16.66113
756.4799	14.35103	17.17184
756.6323	16.07478	19.22676
756.7847	16.74604	20.03052
756.9371	18.79201	22.47778
757.0895	16.17177	19.33677
757.2419	14.93854	17.87167
757.3943	12.68988	15.17611
757.5467	12.89504	15.42966
757.6991	14.53101	17.37489
757.8515	14.72769	17.61007
758.0039	14.52711	17.37945
758.1563	13.30485	15.9144
758.3087	12.502	14.95672
758.4611	12.90666	15.4381
758.6135	12.91066	15.45246
758.7659	15.1445	18.10844
758.9183	14.93967	17.86985
759.0707	14.31943	17.12493
759.2231	11.26234	13.47127
759.3755	10.64361	12.73626
759.5279	10.84709	12.96999
759.6803	12.07104	14.43348
759.8327	13.80499	16.50678
759.9851	13.39567	16.02586
760.1375	14.30359	17.10826
760.2899	14.00154	16.7418
760.4423	13.59559	16.26216
760.5947	13.30204	15.91103
760.7471	11.46326	13.71099
760.8995	11.66227	13.94223
761.0519	11.66658	13.94985
761.2043	14.12027	16.88675
761.3567	18.82979	22.51498
761.5091	18.68228	22.35048
761.6615	18.47531	22.09504
761.8139	14.99527	17.93636
761.9663	16.57142	19.81463
762.1187	15.96545	19.1002
762.2711	14.94594	17.88052
762.4235	13.92194	16.64957
762.5759	12.28121	14.69258
762.7283	12.6902	15.17381
762.8807	12.69096	15.18278
763.0331	14.32664	17.13052
763.1855	14.32664	17.13658
763.3379	13.1003	15.66696
763.4903	13.50688	16.15318
763.6427	13.53247	16.1931
763.7951	14.55131	17.39608
763.9475	15.36994	18.38777
764.0999	15.9592	19.0792
764.2523	16.16767	19.33357
764.4047	15.35223	18.36007
764.5571	17.80197	21.28225
764.7095	16.78455	20.07657
764.8619	17.39594	20.80237
765.0143	15.96471	19.1027
765.1667	15.75894	18.84648
765.3191	14.94068	17.8679
765.4715	13.50379	16.16094
765.6239	12.88538	15.41197
765.7763	10.64311	12.72834
765.9287	12.0757	14.43904
766.0811	14.12549	16.89897
766.2335	15.554	18.5981
766.3859	13.7272	16.41885
766.5383	14.13035	16.90181
766.6907	12.69862	15.18658
766.8431	13.09916	15.66836
766.9955	14.32857	17.13814
767.1479	17.59218	21.03889
767.3003	18.2084	21.77199
767.4527	15.55367	18.60098
767.6051	13.91904	16.64315
767.7575	13.3037	15.9123
767.9099	13.71647	16.40384
768.0623	15.71174	18.7867
768.2147	17.14442	20.51792
768.3671	16.88415	20.18856
768.5195	16.02008	19.15708
768.6719	14.38317	17.20116
768.8243	14.63585	17.49715
768.9767	13.09614	15.66197
769.1291	13.5079	16.15655
769.2815	14.32624	17.13914
769.4339	15.55333	18.60058
769.5863	14.52282	17.37125
769.7387	13.71297	16.40546
769.8911	13.37799	15.99409
770.0435	14.81128	17.71314
770.1959	16.03119	19.16866
770.3483	16.16804	19.3323
770.5007	17.39607	20.80251
770.6531	18.82832	22.51323
770.8055	17.80375	21.29944
770.9579	15.34551	18.34229
771.1103	12.0761	14.43953
771.2627	12.88861	15.41241
771.4151	15.5426	18.58775
771.5675	16.78147	20.06223
771.7199	16.16935	19.33729
771.8723	14.12747	16.88638
772.0247	12.68929	15.17541
772.1771	12.27992	14.68324
772.3295	11.66609	13.95422
772.4819	11.68749	13.98476
772.6343	11.28196	13.49714
772.7867	12.50818	14.96147
772.9391	13.71111	16.39161
773.0915	15.7538	18.847
773.2439	15.13708	18.09636
773.3963	13.91364	16.63816
773.5487	15.96585	19.09392
773.7011	17.40204	20.80782
773.8535	17.85548	21.35755
774.0059	16.01649	19.15111
774.1583	14.99129	17.92684
774.3107	16.57642	19.81358
774.4631	16.98177	20.30889
774.6155	18.42011	22.02121
774.7679	18.01046	21.53912
774.9203	16.57759	19.83253
775.0727	14.52586	17.36257
775.2251	13.71403	16.4038
775.3775	11.82414	14.14076
775.5299	13.45777	16.09303
775.6823	11.07025	13.23212
775.8347	12.37071	14.79441
775.9871	10.32417	12.35347
776.1395	13.52831	16.18167
776.2919	13.09953	15.66464
776.4443	15.34514	18.34835
776.5967	14.53267	17.37687
776.7491	14.9369	17.86021
776.9015	15.14706	18.12113
777.0539	14.12499	16.88716
777.2063	15.01574	17.96085
777.3587	14.1878	16.95849
777.5111	15.82816	18.92591
777.6635	15.34908	18.37094
777.8159	14.49296	17.32942
777.9683	12.21665	14.61533
778.1207	10.78179	12.89191
778.2731	11.02879	13.19191
778.4255	12.27924	14.68372
778.5779	14.32694	17.13391
778.7303	13.5085	16.15799
778.8827	14.73452	17.61199
779.0351	13.50492	16.16014
779.1875	14.52158	17.3667
779.3399	12.4837	14.93482
779.4923	11.87056	14.19376
779.6447	12.4878	14.94238
779.7971	12.89754	15.42309
779.9495	13.71307	16.39686
780.1019	12.89481	15.41846
780.2543	14.12315	16.88421
780.4067	14.796	17.69799
780.5591	17.25002	20.62787
780.7115	17.45392	20.88092
780.8639	18.00624	21.52645
781.0163	16.57442	19.82875
781.1687	16.16462	19.33849
781.3211	14.32621	17.13304
781.4735	13.1034	15.67066
781.6259	15.763	18.84799
781.7783	17.79987	21.28349
781.9307	18.49866	22.1161
782.0831	16.15875	19.32119
782.2355	15.74726	18.8225
782.3879	17.29852	20.68402
782.5403	17.80676	21.28418
782.6927	18.8287	22.52065
782.8451	16.16317	19.32991
782.9975	13.91366	16.64261
783.1499	13.91366	16.64261
783.3023	15.96653	19.1015
783.4547	17.19151	20.55973
783.6071	14.74284	17.62193
783.7595	12.07547	14.44388
783.9119	11.49434	13.74634
784.0643	14.59706	17.45927
784.2167	17.40357	20.80594
784.3691	17.72765	21.19338
784.5215	16.0582	19.20435
784.6739	13.6605	16.32822
784.8263	13.50396	16.1554
784.9787	14.52602	17.36276
785.1311	16.16407	19.32755
785.2835	16.99161	20.32425
785.4359	17.80945	21.29212
785.5883	17.39559	20.80747
785.7407	16.98288	20.30663
785.8931	15.55702	18.60499
786.0455	16.78068	20.06485
786.1979	16.37301	19.58779
786.3503	15.55415	18.60486
786.5027	13.54534	16.19918
786.6551	12.14114	14.51214
786.8075	11.52815	13.78679
786.9599	13.05078	15.61326
787.1123	15.06312	18.01752
787.2647	14.45057	17.29094
787.4171	14.32795	17.1321
787.5695	12.69117	15.17967
787.7219	13.099	15.66262
787.8743	11.25342	13.463
788.0267	12.48556	14.93442
788.1791	12.28252	14.69415
788.3315	14.1183	16.89038
788.4839	14.32254	17.1317
788.6363	15.18897	18.17127
788.7887	12.73781	15.23614
788.9411	12.94434	15.48043
789.0935	13.30447	15.91323
789.2459	13.92119	16.64277
789.3983	12.27906	14.69261
789.5507	11.66631	13.95201
789.7031	12.32789	14.74842
789.8555	13.55168	16.20964
790.0079	15.193	18.16644
790.1603	14.94118	17.87166
790.3127	14.12314	16.88719
790.4651	11.04981	13.21648
790.6175	11.0868	13.2566
790.7699	11.49671	13.74432
790.9223	12.93418	15.47924
791.0747	12.2816	14.68787
791.2271	11.66764	13.95545
791.3795	9.317904	11.14744
791.5319	8.736287	10.45163
791.6843	9.144829	10.93845
791.8367	11.09637	13.27275
791.9891	11.88014	14.21277
792.1415	11.27006	13.47812
792.2939	11.86953	14.20006
792.4463	13.82987	16.53946
792.5987	15.67327	18.74651
792.7511	14.8546	17.76496
792.9035	13.3014	15.91026
793.0559	13.50973	16.15945
793.2083	14.94204	17.86003
793.3607	18.00967	21.53435
793.5131	17.38996	20.78599
793.6655	15.96285	19.08356
793.8179	12.28703	14.68912
793.9703	13.9169	16.64352
794.1227	16.5751	19.812
794.2751	17.60052	21.04139
794.4275	15.34935	18.34035
794.5799	13.50807	16.14887
794.7323	13.50453	16.14178
794.8847	14.12289	16.87716
795.0371	14.6038	17.46191
795.1895	13.99535	16.72846
795.3419	14.80357	17.69137
795.4943	13.50802	16.14309
795.6467	14.53028	17.36168
795.7991	12.70251	15.16966
795.9515	13.31614	15.90248
796.1039	11.88153	14.19429
796.2563	13.29661	15.89605
796.4087	14.32143	17.10305
796.5611	17.38731	20.77542
796.7135	15.96433	19.0447
796.8659	15.34911	18.2977
797.0183	13.30764	15.86972
797.1707	14.53118	17.32265
797.3231	14.59284	17.40236
797.4755	15.20162	18.12188
797.6279	14.38572	17.14619
797.7803	13.50848	16.09989
797.9327	11.0555	13.17693
798.0851	10.03054	11.95529
798.2375	10.43562	12.43589
798.3899	12.33762	14.70114
798.5423	13.56563	16.13409
798.6947	15.40156	18.31434
798.8471	13.50457	16.05859
798.9995	12.68867	15.08568
799.1519	11.32262	13.46157
799.3043	12.52268	14.89633
799.4567	13.61129	16.18259
799.6091	12.93345	15.38221
799.7615	11.72494	13.93989
799.9139	10.43792	12.41641
800.0663	10.03022	11.92502
800.2187	11.866	14.1076
800.3711	13.91066	16.53851
800.5235	13.50575	16.05998
800.6759	12.28201	14.60743
800.8283	11.51953	13.69568
800.9807	12.90318	15.35102
801.1331	14.62245	17.38477
801.2855	15.58894	18.54047
801.4379	15.83946	18.83169
801.5903	14.32663	17.04068
801.7427	13.51011	16.06231
801.8951	14.53021	17.2751
802.0475	15.14462	18.01204
802.1999	14.93649	17.75813
802.3523	11.82105	14.06046
802.5047	12.0284	14.30068
802.6571	9.979801	11.87146
802.8095	10.84724	12.90101
802.9619	9.826514	11.68807
803.1143	13.30171	15.8202
803.2667	13.71266	16.31187
803.4191	14.53137	17.27649
803.5715	12.50714	14.87519
803.7239	12.91908	15.35961
803.8763	14.14775	16.82642
804.0287	15.14467	18.01532
804.1811	14.123	16.79097
804.3335	15.34787	18.24723
804.4859	14.32877	17.03561
804.6383	14.93743	17.73698
804.7907	11.4369	13.512
804.9431	12.04793	14.24994
805.0955	13.48932	16.08064
805.2479	15.75979	18.80736
805.4003	15.555	18.54315
805.5527	15.14212	18.05737
805.7051	15.35024	18.3072
805.8575	15.61589	18.629
806.0099	15.73351	18.75929
806.1623	14.11823	16.83936
806.3147	13.2414	15.79213
806.4671	13.52881	16.13921
806.6195	14.32321	17.08994
806.7719	16.57382	19.76825
806.9243	16.37426	19.53716
807.0767	16.58236	19.77492
807.2291	16.57758	19.7868
807.3815	14.94115	17.82091
807.5339	12.2796	14.65419
807.6863	11.34093	13.52557
807.8387	13.38908	15.96968
807.9911	17.06809	20.36141
808.1435	17.1901	20.50696
808.2959	15.55694	18.55785
808.4483	12.89863	15.38197
808.6007	11.25568	13.42508
808.7531	11.25729	13.42463
808.9055	11.05282	13.19075
809.0579	12.48464	14.89092
809.2103	13.5919	16.21448
809.3627	17.4774	20.84228
809.5151	18.09409	21.59303
809.6675	17.19245	20.51342
809.8199	15.55667	18.56495
809.9723	14.32732	17.08572
810.1247	14.73532	17.57852
810.2771	13.09952	15.6264
810.4295	13.70915	16.34562
810.5819	14.52315	17.32233
810.7343	14.11774	16.83878
810.8867	11.46605	13.67358
811.0391	8.195071	9.775882
811.1915	8.391411	10.01233
811.3439	10.84419	12.9366
811.4963	12.07405	14.40632
811.6487	12.68875	15.12966
811.8011	11.67965	13.92582
811.9535	14.95457	17.83056
812.1059	15.15559	18.0831
812.2583	15.32783	18.27236
812.4107	13.28004	15.83468
812.5631	13.89422	16.57512
812.7155	14.1219	16.84975
812.8679	11.66836	13.92474
813.0203	10.64381	12.69416
813.1727	10.89438	12.99879
813.3251	12.53528	14.94866
813.4775	15.02656	17.92276
813.6299	15.19099	18.12533
813.7823	15.59658	18.60101
813.9347	12.89355	15.37864
814.0871	11.66327	13.91123
814.2395	12.27598	14.64205
814.3919	14.12197	16.84982
814.5443	14.7357	17.57898
814.6967	13.92024	16.61208
814.8491	12.69163	15.13513
815.0015	13.05395	15.56857
815.1539	12.86306	15.33955
815.3063	13.59746	16.19512
815.4587	13.02508	15.51338
815.6111	13.82664	16.47395
815.7635	13.7093	16.33559
815.9159	13.29957	15.84313
816.0683	12.07662	14.39399
816.2207	12.88828	15.35867
816.3731	15.14603	18.04756
816.5255	17.48367	20.82745
816.6779	16.25998	19.38353
816.8303	12.77348	15.21642
816.9827	12.2777	14.62321
817.1351	10.43921	12.4335
817.2875	10.84719	12.92403
817.4399	9.418167	11.21741
817.5923	12.27619	14.62663
817.7447	15.75381	18.7634
817.8971	16.57282	19.73886
818.0495	15.75939	18.78344
818.2019	14.73639	17.55161
818.3543	14.12236	16.82027
818.5067	13.27659	15.81293
818.6591	12.37523	14.73937
818.8115	12.51976	14.91152
818.9639	12.30659	14.65762
819.1163	11.95569	14.24222
819.2687	11.06752	13.18479
819.4211	12.2563	14.60033
819.5735	12.34258	14.70573
819.7259	15.10229	17.98741
819.8783	14.22883	16.95313
820.0307	15.22405	18.13648
820.1831	20.11211	23.96285
820.3355	26.94591	32.09362
820.4879	33.02075	39.336
820.6403	33.02787	39.33747
820.7927	33.02787	39.33747
820.9451	33.02787	39.35152
