HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0076
BOTTOM:	815.9418
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
-0.0076	-0.05937675	-0.361634	-0.005228458	-0.08383351	0.04691442	-999.25
0.1448	-0.3006046	-1.28826	-0.01606539	-0.3144292	0.1554627	-999.25
0.2972	0.1815654	0.4569949	-0.0005847929	0.1503083	-0.04275161	-999.25
0.4496	1.018052	1.634177	-0.008629395	0.5778199	-0.03814164	-999.25
0.6020	1.730261	3.299083	0.04960466	0.7530292	-0.1358477	-999.25
0.7544	0.9902112	1.07969	0.02921099	0.1663884	0.02904614	-999.25
0.9068	0.6973952	0.404335	0.01311281	0.04891564	0.0652659	-999.25
1.0592	0.8795928	0.40158	0.01504099	0.03612624	0.1027488	-999.25
1.2116	2.207265	0.8238556	0.03873021	0.02554012	0.2483587	-999.25
1.3640	2.878914	0.9663168	0.05983722	-0.05897146	0.3216339	-999.25
1.5164	3.314609	-0.02187739	0.04019305	-0.2550339	0.3929136	-999.25
1.6688	1.986358	0.01182828	0.0324363	-0.1963323	0.2828206	-999.25
1.8212	1.183927	0.5371069	0.02557123	0.0146737	0.1134238	-999.25
1.9736	0.3914683	0.4251979	0.01767118	0.0274781	-0.007739212	-999.25
2.1260	0.6335334	0.6455524	0.02784901	0.03543026	-0.01472296	-999.25
2.2784	0.8868101	0.7198593	0.0351367	0.0143235	-0.006863342	-999.25
2.4308	1.090864	0.8785637	0.01564659	0.1855126	-0.005257957	-999.25
2.5832	0.9777142	0.9057238	0.01726853	0.1842139	-0.03869913	-999.25
2.7356	1.216284	1.321467	0.02111465	0.2939602	-0.1153533	-999.25
2.8880	1.077596	1.101536	0.03145247	0.1595661	-0.04262858	-999.25
3.0404	1.434143	0.9172581	0.02947722	0.1126248	0.005669332	-999.25
3.1928	1.006181	1.014657	0.03369404	0.1178751	-0.007989089	-999.25
3.3452	0.4044318	0.7277809	0.02784756	0.0618387	-0.05248166	-999.25
3.4976	0.28066	0.5319859	0.02603751	0.01014767	-0.04989131	-999.25
3.6500	-0.256967	-0.3683331	-0.02021176	0.006441207	0.01670952	-999.25
3.8024	0.2273367	0.6972986	0.02891095	0.04550248	-0.07724188	-999.25
3.9548	0.2969086	1.179852	0.05037197	0.06803006	-0.1592314	-999.25
4.1072	0.2379992	0.7613267	0.04350667	-0.02398862	-0.1179122	-999.25
4.2596	0.3626222	0.7115449	0.0432474	-0.03835146	-0.09702519	-999.25
4.4120	0.1734186	0.2549525	0.01457668	-0.008070068	-0.03155084	-999.25
4.5644	0.4734521	1.168271	0.03781401	0.1418123	-0.1378692	-999.25
4.7168	0.901585	2.836467	0.08333959	0.3965116	-0.3655648	-999.25
4.8692	1.010308	2.849833	0.07848847	0.4307286	-0.3596169	-999.25
5.0216	1.252213	1.764773	0.03998761	0.319937	-0.2252898	-999.25
5.1740	1.059386	0.5604437	0.01834763	0.06676123	-0.03417633	-999.25
5.3264	0.4678645	0.4234188	0.01428391	0.04780997	-0.04816572	-999.25
5.4788	0.4164264	0.2660925	0.008366914	0.03379964	-0.01783985	-999.25
5.6312	0.8924801	0.3630434	0.007810107	0.06834046	0.007607882	-999.25
5.7836	2.238322	1.160556	0.0369723	0.1444409	-0.04056843	-999.25
5.9360	2.167345	2.717049	0.04878152	0.5712702	-0.2464427	-999.25
6.0884	1.458966	0.966095	0.02010866	0.1860693	0.02780035	-999.25
6.2408	0.8363829	0.003573353	0.002546288	-0.01458014	0.07736819	-999.25
6.3932	0.5967382	0.2084751	0.008841217	0.01236281	0.02858906	-999.25
6.5456	1.068964	0.1970996	0.01709309	-0.04220013	0.0750851	-999.25
6.6980	1.31056	0.07360661	0.005279197	-0.008982734	0.14534	-999.25
6.8504	1.556319	0.8225832	-0.006637898	0.3049636	0.08674882	-999.25
7.0028	1.677411	0.4445485	-0.04667484	0.430605	0.1461215	-999.25
7.1552	1.376003	0.7095504	-0.03053683	0.4161374	0.07488444	-999.25
7.3076	1.492325	0.8628464	-0.03453613	0.4900476	0.0811813	-999.25
7.4600	0.5273952	0.4143145	-0.003322182	0.1534923	0.0112576	-999.25
7.6124	0.3350738	0.2590877	0.003147196	0.06374893	0.005944505	-999.25
7.7648	0.3242031	0.4501539	0.006034608	0.1072769	-0.02533248	-999.25
7.9172	0.6763832	1.266791	0.01653016	0.3046837	-0.1001416	-999.25
8.0696	1.398385	1.908244	0.003187861	0.5929477	-0.03412939	-999.25
8.2220	1.288957	2.698842	0.02447236	0.7154403	-0.1037841	-999.25
8.3744	1.721247	3.960433	0.03276265	1.069334	-0.2030414	-999.25
8.5268	0.7646213	1.89139	0.02618069	0.4457016	-0.1174964	-999.25
8.6792	1.250357	3.336706	0.06810285	0.6511072	-0.1895865	-999.25
8.8316	0.705809	1.927003	0.04888027	0.3170991	-0.1544783	-999.25
8.9840	0.8313742	3.068866	0.06676812	0.5733303	-0.2773626	-999.25
9.1364	-0.01587865	-0.07028113	-0.001124553	-0.01562626	0.007046079	-999.25
9.2888	-0.0761568	-0.2397555	-0.002268709	-0.06297828	0.02025213	-999.25
9.4412	0.1641775	0.5669764	0.007639118	0.134898	-0.06457879	-999.25
9.5936	0.4055819	0.876341	0.006576917	0.240778	-0.08233968	-999.25
9.7460	0.4643008	1.413854	0.01226262	0.3782558	-0.1782652	-999.25
9.8984	0.1065892	0.2363645	-0.002184715	0.08935966	-0.03145573	-999.25
10.0508	0.4756434	0.8377552	0.0006127078	0.2651774	-0.1247773	-999.25
10.2032	1.057851	1.325138	0.01627556	0.3250119	-0.137787	-999.25
10.3556	1.183379	1.437014	0.009303352	0.4039348	-0.202756	-999.25
10.5080	0.8128284	0.8123946	-0.002840935	0.2783401	-0.06623276	-999.25
10.6604	0.4756174	0.1130399	-0.005732883	0.07166574	0.01133408	-999.25
10.8128	1.027799	1.068137	0.00343475	0.3217459	-0.08091065	-999.25
10.9652	1.163777	1.684599	0.02694669	0.3746067	-0.1503522	-999.25
11.1176	1.520916	2.902371	0.0209771	0.8023795	-0.2516552	-999.25
